,GEOGRAPHY_CODE,Can understand spoken Welsh,Cannot understand spoken Welsh,Total: All usual residents aged 3 years and over
108,W02000117,0.3016998761679613,0.6983001238320388,1
109,W02000118,0.44145720649061404,0.558542793509386,1
110,W02000120,0.5745944380069525,0.4254055619930475,1
111,W02000122,0.5158678756476683,0.4841321243523316,1
112,W02000123,0.5309250866435617,0.4690749133564383,1
113,W02000124,0.5605863577254995,0.4394136422745005,1
114,W02000125,0.5501235924196649,0.4498764075803351,1
115,W02000126,0.5476930730008706,0.45230692699912944,1
116,W02000127,0.4193582660433489,0.5806417339566511,1
117,W02000128,0.3736093507956626,0.6263906492043374,1
118,W02000129,0.3584637268847795,0.6415362731152204,1
119,W02000130,0.16545426404581334,0.8345457359541867,1
120,W02000131,0.18480904019453584,0.8151909598054642,1
121,W02000132,0.2550885927661444,0.7449114072338556,1
122,W02000133,0.1705541157595952,0.8294458842404048,1
123,W02000134,0.13562031230788146,0.8643796876921185,1
124,W02000135,0.11649803260258572,0.8835019673974143,1
125,W02000136,0.15784301682839946,0.8421569831716006,1
126,W02000137,0.10020876826722339,0.8997912317327766,1
127,W02000138,0.10656263360410431,0.8934373663958957,1
128,W02000139,0.13892927957699933,0.8610707204230007,1
129,W02000140,0.11638786504111143,0.8836121349588886,1
130,W02000141,0.1565798733286418,0.8434201266713582,1
131,W02000142,0.5503703703703704,0.44962962962962966,1
132,W02000143,0.46733760292772186,0.5326623970722781,1
133,W02000144,0.5009393451422437,0.4990606548577563,1
134,W02000145,0.5235971223021583,0.47640287769784173,1
135,W02000146,0.55359375,0.44640625,1
136,W02000147,0.4831105710814095,0.5168894289185906,1
137,W02000148,0.44243259200944696,0.557567407990553,1
138,W02000149,0.4820717131474104,0.5179282868525896,1
139,W02000151,0.5772074208397266,0.4227925791602734,1
140,W02000152,0.5829670982301937,0.4170329017698064,1
141,W02000153,0.5436916164124393,0.4563083835875606,1
142,W02000154,0.5719353567205361,0.4280646432794639,1
143,W02000156,0.6148962148962149,0.3851037851037851,1
144,W02000157,0.6217071676536655,0.3782928323463345,1
145,W02000158,0.48281907433380084,0.5171809256661991,1
146,W02000159,0.4999173690299124,0.5000826309700875,1
147,W02000160,0.4499731759656652,0.5500268240343348,1
148,W02000161,0.36107808164883076,0.6389219183511693,1
149,W02000162,0.3970223325062035,0.6029776674937966,1
150,W02000163,0.3698841698841699,0.6301158301158302,1
151,W02000164,0.42129309151322164,0.5787069084867783,1
152,W02000165,0.30727044813538074,0.6927295518646193,1
153,W02000166,0.35044769352827837,0.6495523064717217,1
154,W02000167,0.27816369676834796,0.721836303231652,1
155,W02000168,0.3337537442850386,0.6662462557149613,1
156,W02000169,0.2849740932642487,0.7150259067357513,1
157,W02000170,0.16149946952728989,0.8385005304727101,1
158,W02000171,0.21345707656612528,0.7865429234338747,1
159,W02000172,0.19296654574768238,0.8070334542523177,1
160,W02000173,0.18935450286309213,0.8106454971369078,1
161,W02000174,0.23194444444444445,0.7680555555555556,1
162,W02000175,0.13796971396522714,0.8620302860347728,1
163,W02000176,0.13242061665899676,0.8675793833410033,1
164,W02000177,0.17045454545454544,0.8295454545454546,1
165,W02000178,0.10309765902104516,0.8969023409789548,1
166,W02000179,0.1722503160556258,0.8277496839443742,1
167,W02000180,0.11230430844869971,0.8876956915513003,1
168,W02000181,0.11506657323055361,0.8849334267694464,1
169,W02000182,0.10195970946964505,0.898040290530355,1
170,W02000183,0.09418898433552299,0.905811015664477,1
171,W02000184,0.13580434452377335,0.8641956554762267,1
172,W02000185,0.18255578093306288,0.8174442190669371,1
173,W02000186,0.08648325358851675,0.9135167464114833,1
174,W02000188,0.09913132345426673,0.9008686765457332,1
175,W02000189,0.1426620312888006,0.8573379687111994,1
176,W02000191,0.1610691458454387,0.8389308541545613,1
177,W02000192,0.10125448028673835,0.8987455197132617,1
178,W02000193,0.12889502127170288,0.8711049787282971,1
179,W02000194,0.17269890795631826,0.8273010920436817,1
180,W02000195,0.16239466292134833,0.8376053370786517,1
181,W02000196,0.15299479166666666,0.8470052083333334,1
182,W02000197,0.15023474178403756,0.8497652582159625,1
183,W02000198,0.1671813587871982,0.8328186412128018,1
184,W02000200,0.2704163330664532,0.7295836669335468,1
185,W02000201,0.2173491170192121,0.7826508829807879,1
186,W02000202,0.33550300733294885,0.6644969926670512,1
187,W02000204,0.18449612403100776,0.8155038759689922,1
188,W02000205,0.15700267618198038,0.8429973238180196,1
189,W02000206,0.1320460915602616,0.8679539084397384,1
190,W02000207,0.15786384976525822,0.8421361502347418,1
191,W02000208,0.13710396240175027,0.8628960375982497,1
192,W02000210,0.12452011350358871,0.8754798864964113,1
193,W02000211,0.1261297182349814,0.8738702817650186,1
194,W02000212,0.1805111821086262,0.8194888178913738,1
195,W02000213,0.12347931873479319,0.8765206812652068,1
196,W02000214,0.10484300159659393,0.895156998403406,1
197,W02000215,0.10431654676258993,0.89568345323741,1
198,W02000216,0.12521489971346705,0.874785100286533,1
199,W02000217,0.12712954034072646,0.8728704596592736,1
200,W02000218,0.11002482929857231,0.8899751707014277,1
201,W02000219,0.15313125536173863,0.8468687446382613,1
202,W02000220,0.10441974670457482,0.8955802532954251,1
203,W02000221,0.12441283049255134,0.8755871695074486,1
204,W02000222,0.16536997185896374,0.8346300281410363,1
205,W02000223,0.13249699261041417,0.8675030073895859,1
206,W02000224,0.12174884314664114,0.8782511568533589,1
207,W02000225,0.11781043860664275,0.8821895613933572,1
208,W02000226,0.138001638001638,0.861998361998362,1
209,W02000227,0.1266816143497758,0.8733183856502242,1
210,W02000228,0.14316330904414917,0.8568366909558508,1
211,W02000229,0.09488683989941324,0.9051131601005867,1
