,GEOGRAPHY_CODE,All other gender identities,Gender identity different from sex registered at birth but no specific identity given,Gender identity the same as sex registered at birth,Not answered,Total,Trans man,Trans woman
5893,E02006134,0.00011532695190866105,0.0008072886633606274,0.9528312766693576,0.04566947295582978,1,0.00034598085572598315,0.0002306539038173221
5894,E02006135,0.00045920710240318386,0.0013776213072095515,0.9525485994183377,0.04484922700137762,1,0.00045920710240318386,0.00030613806826878924
5895,E02006136,0.0005098139179199592,0.0015294417537598777,0.9471068060158042,0.05008921743563599,1,0.0005098139179199592,0.0002549069589599796
5896,E02006137,0.0004173042147725692,0.0027820280984837947,0.9285018778689664,0.06607316733899013,1,0.0012519126443177077,0.0009737098344693282
5897,E02006138,0.0006559527714004591,0.004755657592653329,0.9014430960970811,0.09117743522466383,1,0.0009839291571006887,0.0009839291571006887
5898,E02006139,0.0007723200494284832,0.006487488415199258,0.8977448254556688,0.08897126969416126,1,0.0035526722273710224,0.002471424158171146
5899,E02006140,0.0002973093503790694,0.0016352014270848818,0.9347405975917943,0.06184034487884644,1,0.0005946187007581388,0.0008919280511372082
5900,E02006141,0.001053518752633797,0.0067425200168563,0.893173198482933,0.09544879898862199,1,0.0018963337547408343,0.001685630004214075
5901,E02006142,0.0013516557783284523,0.00022527596305474206,0.9551700833521063,0.04235188105429151,1,0.0006758278891642261,0.00022527596305474206
5902,E02006143,0.00039952057530962844,0.0005326941004128379,0.9492608869356772,0.04794246903715541,1,0.0009322146757224664,0.0009322146757224664
5903,E02006144,0.00045167118337850043,0.0027100271002710027,0.9262270400481782,0.0689551339957844,1,0.0009033423667570009,0.0007527853056308341
5904,E02006145,0.0,0.0010210332856851133,0.9591586685725955,0.03798243822748622,1,0.000612619971411068,0.001225239942822136
5905,E02006146,0.00013842746400885935,0.0012458471760797341,0.9634551495016611,0.033084163898117386,1,0.0012458471760797341,0.0008305647840531562
5906,E02006147,0.0004335886688827865,0.000867177337765573,0.9549067784361902,0.04350339644457291,1,0.0,0.00028905911258852437
