,GEOGRAPHY_CODE,Number of households
359,E02000384,3807.0
360,E02000385,2850.0
361,E02000386,3366.0
362,E02000387,2587.0
363,E02000388,4134.0
364,E02000389,3678.0
365,E02000390,2719.0
366,E02000391,3281.0
367,E02000392,4039.0
368,E02000393,2588.0
369,E02000394,4346.0
370,E02000395,2640.0
371,E02000396,2770.0
372,E02000397,3472.0
373,E02000398,2880.0
374,E02000400,3120.0
375,E02000401,2477.0
376,E02000402,2424.0
377,E02000403,2990.0
378,E02000404,2665.0
379,E02000405,2462.0
380,E02000406,2597.0
381,E02000407,3005.0
382,E02000408,3000.0
383,E02000409,2370.0
384,E02000410,2614.0
385,E02000411,3952.0
386,E02000412,2870.0
387,E02000413,2963.0
388,E02000414,2718.0
389,E02000415,2835.0
390,E02000416,3919.0
391,E02000417,2866.0
392,E02000418,2208.0
393,E02000419,3645.0
394,E02000420,3436.0
395,E02000421,3140.0
396,E02000422,2887.0
397,E02000423,2672.0
398,E02000424,2984.0
399,E02000425,2163.0
400,E02000426,2744.0
401,E02000427,2869.0
402,E02000428,2922.0
403,E02000429,3201.0
404,E02000430,3249.0
405,E02000431,2848.0
406,E02000432,2798.0
407,E02000433,3544.0
408,E02000434,3638.0
409,E02000435,2812.0
410,E02000436,2044.0
411,E02000437,3089.0
412,E02000438,3044.0
413,E02000439,2948.0
414,E02000440,3055.0
415,E02000441,2794.0
416,E02000442,2667.0
417,E02000443,3546.0
418,E02000444,2670.0
419,E02000445,3820.0
420,E02000447,2744.0
421,E02000448,2759.0
422,E02000449,2527.0
423,E02000451,2329.0
424,E02000452,3452.0
425,E02000453,3047.0
426,E02000454,2524.0
427,E02000455,4758.0
428,E02000456,2717.0
429,E02000457,2563.0
430,E02000459,3418.0
431,E02000460,2414.0
432,E02000461,2559.0
433,E02000462,2286.0
434,E02000463,2834.0
435,E02000464,2873.0
436,E02000465,3492.0
437,E02000466,3293.0
438,E02000467,4290.0
439,E02000468,3165.0
440,E02000469,2699.0
441,E02000470,4131.0
442,E02000471,2941.0
443,E02000472,3527.0
444,E02000473,4022.0
445,E02000474,3532.0
446,E02000475,3958.0
447,E02000476,4198.0
448,E02000477,3715.0
449,E02000478,2151.0
450,E02000479,3789.0
451,E02000480,5012.0
452,E02000481,3246.0
453,E02000482,2577.0
454,E02000483,3473.0
455,E02000484,3253.0
456,E02000485,3455.0
457,E02000486,2990.0
458,E02000487,2944.0
459,E02000488,3012.0
460,E02000489,3261.0
461,E02000490,3225.0
462,E02000491,3934.0
463,E02000492,2622.0
464,E02000493,2498.0
465,E02000494,3216.0
466,E02000495,4305.0
467,E02000496,3177.0
468,E02000497,3693.0
469,E02000498,2638.0
470,E02000499,3014.0
471,E02000500,3306.0
472,E02000501,3273.0
473,E02000502,3530.0
474,E02000503,3254.0
475,E02000504,2922.0
476,E02000506,2899.0
477,E02000507,2781.0
478,E02000508,4339.0
479,E02000509,3402.0
480,E02000510,3261.0
481,E02000511,3262.0
482,E02000512,3106.0
483,E02000513,3323.0
484,E02000514,3180.0
485,E02000515,5345.0
486,E02000516,2817.0
487,E02000517,3321.0
488,E02000518,3329.0
489,E02000519,3022.0
490,E02000520,4455.0
491,E02000521,4351.0
492,E02000522,3488.0
493,E02000523,3683.0
494,E02000524,2639.0
495,E02000525,3318.0
496,E02000526,3617.0
497,E02000529,3036.0
498,E02000530,2517.0
499,E02000531,4936.0
500,E02000532,3818.0
501,E02000533,3688.0
502,E02000534,2999.0
503,E02000535,3005.0
504,E02000536,3245.0
505,E02000537,3158.0
506,E02000538,3005.0
507,E02000539,4734.0
508,E02000540,4486.0
509,E02000541,3281.0
510,E02000542,3952.0
511,E02000543,4892.0
512,E02000544,2922.0
513,E02000545,3548.0
514,E02000546,3159.0
515,E02000547,3852.0
516,E02000548,3726.0
517,E02000549,4083.0
518,E02000550,3721.0
519,E02000551,3416.0
520,E02000552,3359.0
521,E02000553,2600.0
522,E02000554,4200.0
523,E02000555,4033.0
524,E02000556,4950.0
525,E02000557,4139.0
526,E02000558,3957.0
527,E02000559,3995.0
528,E02000560,3274.0
529,E02000561,3158.0
530,E02000562,3487.0
531,E02000563,3858.0
532,E02000564,5664.0
533,E02000565,3494.0
534,E02000566,3837.0
535,E02000567,4896.0
536,E02000568,4669.0
537,E02000569,4602.0
538,E02000570,3990.0
539,E02000571,4122.0
540,E02000572,3523.0
541,E02000573,4921.0
542,E02000574,3605.0
543,E02000575,5170.0
544,E02000576,4953.0
545,E02000577,3175.0
546,E02000578,2309.0
547,E02000579,3820.0
548,E02000580,3988.0
549,E02000581,3010.0
550,E02000582,3270.0
551,E02000583,3118.0
552,E02000584,3331.0
553,E02000585,3386.0
554,E02000586,2880.0
555,E02000587,3027.0
556,E02000588,3077.0
557,E02000589,3658.0
558,E02000590,3049.0
559,E02000591,3241.0
560,E02000592,2839.0
561,E02000593,3685.0
562,E02000594,2922.0
563,E02000595,3029.0
564,E02000596,3073.0
565,E02000597,2997.0
566,E02000598,2970.0
567,E02000599,2352.0
568,E02000600,3378.0
569,E02000601,4858.0
570,E02000602,4046.0
571,E02000603,2953.0
572,E02000604,3559.0
573,E02000605,3115.0
574,E02000606,4811.0
575,E02000607,2583.0
576,E02000608,3406.0
577,E02000609,2737.0
578,E02000610,3870.0
579,E02000611,2652.0
580,E02000612,3078.0
581,E02000613,3195.0
582,E02000614,3374.0
583,E02000615,2956.0
584,E02000616,2390.0
585,E02000617,3343.0
586,E02000619,4054.0
587,E02000620,4589.0
588,E02000621,6009.0
589,E02000622,3633.0
590,E02000623,3331.0
591,E02000624,4272.0
592,E02000625,3797.0
593,E02000626,3448.0
594,E02000627,3917.0
595,E02000628,4483.0
596,E02000629,4016.0
597,E02000630,3430.0
598,E02000631,3739.0
599,E02000632,4261.0
600,E02000633,3962.0
601,E02000634,3106.0
602,E02000635,4337.0
603,E02000636,3079.0
604,E02000637,3705.0
605,E02000638,4107.0
606,E02000639,3725.0
607,E02000640,3804.0
608,E02000641,3391.0
609,E02000642,4170.0
610,E02000643,3948.0
611,E02000644,3496.0
612,E02000645,4047.0
613,E02000646,3905.0
614,E02000647,3422.0
615,E02000648,3188.0
616,E02000649,5304.0
617,E02000650,3277.0
618,E02000651,3479.0
619,E02000652,2544.0
620,E02000653,5293.0
621,E02000654,3596.0
622,E02000655,4007.0
623,E02000657,3990.0
624,E02000658,3458.0
625,E02000659,3541.0
626,E02000660,3603.0
627,E02000661,3044.0
628,E02000662,3304.0
629,E02000663,2819.0
630,E02000665,3414.0
631,E02000666,2735.0
632,E02000667,2524.0
633,E02000668,2727.0
634,E02000669,3308.0
635,E02000670,2782.0
636,E02000671,3682.0
637,E02000672,4200.0
638,E02000673,3496.0
639,E02000674,3057.0
640,E02000675,3420.0
641,E02000676,3190.0
642,E02000677,2645.0
643,E02000678,2614.0
644,E02000679,3375.0
645,E02000680,2913.0
646,E02000681,3351.0
647,E02000682,3218.0
648,E02000683,2724.0
649,E02000685,3423.0
650,E02000686,3044.0
651,E02000687,3455.0
652,E02000689,3512.0
653,E02000690,2225.0
654,E02000691,2957.0
655,E02000692,3568.0
656,E02000693,4282.0
657,E02000694,3834.0
658,E02000695,2941.0
659,E02000696,3270.0
660,E02000697,3666.0
661,E02000698,3182.0
662,E02000699,3262.0
663,E02000700,3357.0
664,E02000701,3114.0
665,E02000702,3366.0
666,E02000703,2937.0
667,E02000704,3573.0
668,E02000705,3115.0
669,E02000706,3535.0
670,E02000707,2778.0
671,E02000708,3255.0
672,E02000709,2869.0
673,E02000710,3438.0
674,E02000711,3458.0
675,E02000712,3404.0
676,E02000713,2831.0
677,E02000714,2646.0
678,E02000715,2091.0
679,E02000716,2302.0
680,E02000717,2395.0
681,E02000718,2248.0
682,E02000719,2873.0
683,E02000720,2125.0
684,E02000721,2764.0
685,E02000722,2935.0
686,E02000723,2862.0
687,E02000724,2534.0
688,E02000725,4000.0
689,E02000727,2291.0
690,E02000728,2342.0
691,E02000729,2201.0
692,E02000730,2566.0
693,E02000731,2770.0
694,E02000732,2752.0
695,E02000733,3461.0
696,E02000734,2495.0
697,E02000735,2659.0
698,E02000736,2653.0
699,E02000737,3066.0
700,E02000738,2785.0
701,E02000739,2480.0
702,E02000740,2495.0
703,E02000741,2685.0
704,E02000742,2528.0
705,E02000743,3578.0
706,E02000744,3326.0
707,E02000745,2875.0
708,E02000746,3394.0
709,E02000747,5447.0
710,E02000748,2209.0
711,E02000749,3330.0
712,E02000751,4438.0
713,E02000752,3266.0
714,E02000753,2474.0
715,E02000754,2590.0
716,E02000755,2186.0
717,E02000756,5258.0
718,E02000757,5179.0
719,E02000758,2317.0
720,E02000759,4818.0
721,E02000760,2628.0
722,E02000762,2105.0
723,E02000763,2577.0
724,E02000764,5367.0
725,E02000765,2426.0
726,E02000767,2769.0
727,E02000768,2200.0
728,E02000770,2489.0
729,E02000772,2538.0
730,E02000773,3112.0
731,E02000774,2459.0
732,E02000776,2082.0
733,E02000777,2324.0
734,E02000779,2774.0
735,E02000781,4428.0
736,E02000782,3577.0
737,E02000783,2115.0
738,E02000784,4176.0
739,E02000785,4162.0
740,E02000786,4944.0
741,E02000787,5173.0
742,E02000788,3623.0
743,E02000789,2842.0
744,E02000790,2704.0
745,E02000791,2969.0
746,E02000792,3101.0
747,E02000793,3135.0
748,E02000794,2760.0
749,E02000795,2588.0
750,E02000796,3981.0
751,E02000797,3479.0
752,E02000798,4324.0
753,E02000799,2440.0
754,E02000800,2157.0
755,E02000801,3017.0
756,E02000802,2976.0
757,E02000803,4096.0
758,E02000804,3168.0
759,E02000805,4633.0
760,E02000806,4254.0
761,E02000807,3734.0
762,E02000808,4696.0
763,E02000810,5395.0
764,E02000812,4533.0
765,E02000813,4483.0
766,E02000814,4587.0
767,E02000815,3233.0
768,E02000816,4146.0
769,E02000817,2925.0
770,E02000818,4487.0
771,E02000819,3555.0
772,E02000820,4228.0
773,E02000821,3133.0
774,E02000822,2771.0
775,E02000823,3634.0
776,E02000824,3791.0
777,E02000825,3891.0
778,E02000826,4023.0
779,E02000827,5018.0
780,E02000828,3594.0
781,E02000829,4737.0
782,E02000830,3761.0
783,E02000831,4052.0
784,E02000832,4100.0
785,E02000833,3046.0
786,E02000834,4103.0
787,E02000835,3030.0
788,E02000836,3337.0
789,E02000837,3150.0
790,E02000838,3924.0
791,E02000839,3428.0
792,E02000840,3475.0
793,E02000841,3301.0
794,E02000842,2958.0
795,E02000843,3981.0
796,E02000844,3217.0
797,E02000845,3609.0
798,E02000846,2786.0
799,E02000847,3683.0
800,E02000848,2916.0
801,E02000849,3251.0
802,E02000850,4090.0
803,E02000851,5036.0
804,E02000852,3250.0
805,E02000853,3202.0
806,E02000854,3085.0
807,E02000855,3212.0
808,E02000856,3800.0
809,E02000857,4080.0
810,E02000858,3310.0
811,E02000859,3491.0
812,E02000860,4119.0
813,E02000861,2863.0
814,E02000863,2423.0
815,E02000864,4664.0
816,E02000865,2893.0
817,E02000866,4152.0
818,E02000867,4871.0
819,E02000868,2785.0
820,E02000869,2524.0
821,E02000870,2420.0
822,E02000871,4228.0
823,E02000872,3193.0
824,E02000873,2921.0
825,E02000874,2524.0
826,E02000875,5079.0
827,E02000876,2777.0
828,E02000877,4913.0
829,E02000878,4011.0
830,E02000879,3047.0
831,E02000880,2281.0
832,E02000881,3853.0
833,E02000882,3808.0
834,E02000883,3030.0
835,E02000884,5114.0
836,E02000885,2391.0
837,E02000886,3823.0
838,E02000887,3947.0
839,E02000888,3354.0
840,E02000889,3807.0
841,E02000890,2891.0
842,E02000893,2988.0
843,E02000894,4463.0
844,E02000895,3277.0
845,E02000896,3836.0
846,E02000897,3370.0
847,E02000898,3201.0
848,E02000899,3226.0
849,E02000900,3119.0
850,E02000901,3850.0
851,E02000902,3519.0
852,E02000903,3467.0
853,E02000904,3108.0
854,E02000905,3630.0
855,E02000906,3627.0
856,E02000907,4067.0
857,E02000908,5239.0
858,E02000909,3568.0
859,E02000910,4404.0
860,E02000911,4848.0
861,E02000912,3270.0
862,E02000913,3115.0
863,E02000914,3972.0
864,E02000915,3283.0
865,E02000916,3982.0
866,E02000917,3650.0
867,E02000918,3408.0
868,E02000919,3357.0
869,E02000920,3815.0
870,E02000921,4058.0
871,E02000922,3635.0
872,E02000923,3469.0
