,GEOGRAPHY_CODE,1 room,2 rooms,3 rooms,4 rooms,5 rooms,6 rooms,7 rooms,8 rooms,9 or more rooms,Total: All households
2666,E02002788,0.008930849706557796,0.10538402653738199,0.32865526920132687,0.24547078336310282,0.20719571319214086,0.051798928298035216,0.028068384792038787,0.011737688185761675,0.012758356723653993,1
2667,E02002789,0.002513826043237808,0.1503267973856209,0.3200100553041729,0.28456510809451985,0.1897938662644545,0.04198089492207139,0.006033182503770739,0.002513826043237808,0.0022624434389140274,1
2668,E02002790,0.013169257340241797,0.12089810017271158,0.30915371329879104,0.25712435233160624,0.20919689119170984,0.04512089810017271,0.02158894645941278,0.011226252158894647,0.012521588946459413,1
2669,E02002791,0.00258493353028065,0.01809453471196455,0.17725258493353027,0.28175775480059084,0.19276218611521417,0.20420974889217133,0.07348596750369277,0.0310192023633678,0.01883308714918759,1
2670,E02002792,0.005120910384068279,0.053200568990042676,0.26770981507823616,0.2384068278805121,0.2705547652916074,0.10071123755334281,0.040398293029871975,0.01906116642958748,0.0048364153627311526,1
2671,E02002793,0.0011845534233593934,0.06420279554607913,0.32338308457711445,0.2546789860222696,0.20777067045723763,0.11395403932717366,0.0255863539445629,0.007581141909500119,0.001658374792703151,1
2672,E02002794,0.013562386980108499,0.06148282097649186,0.2115732368896926,0.23282097649186256,0.22739602169981918,0.14556962025316456,0.05379746835443038,0.03074141048824593,0.02305605786618445,1
2673,E02002795,0.0,0.03378001116694584,0.24371859296482412,0.26716917922948075,0.18090452261306533,0.1820212171970966,0.05695142378559464,0.021775544388609715,0.013679508654383027,1
2674,E02002796,0.00038491147036181676,0.025404157043879907,0.15204003079291764,0.27829099307159355,0.29907621247113164,0.15050038491147036,0.06543494996150885,0.01924557351809084,0.00962278675904542,1
2675,E02002797,0.0,0.03878532772098617,0.17167769092002405,0.28021647624774504,0.3180998196031269,0.1079374624173181,0.06524353577871317,0.012627781118460614,0.005411906193625977,1
2676,E02002798,0.0026857654431512983,0.03088630259623993,0.2504476275738585,0.19024171888988362,0.22717099373321398,0.22739480752014324,0.05774395702775291,0.011862130707251567,0.001566696508504924,1
2677,E02002799,0.00038955979742890534,0.03934553954031944,0.19555901830931047,0.4242306194000779,0.2945072068562524,0.04129333852746397,0.002337358784573432,0.001168679392286716,0.001168679392286716,1
2678,E02002800,0.016078184110970995,0.1453341740226986,0.12831021437578816,0.1989281210592686,0.28152585119798235,0.12200504413619168,0.0658890290037831,0.02837326607818411,0.01355611601513241,1
2679,E02002801,0.000315059861373661,0.0444234404536862,0.18273471959672338,0.25173282923755513,0.4760554505356018,0.031190926275992438,0.008821676118462508,0.003465658475110271,0.001260239445494644,1
2680,E02002802,0.0,0.10235258172930034,0.2716162542010388,0.4338527344943477,0.1625420103880232,0.022914757103574702,0.004277421326000611,0.0021387106630003055,0.00030553009471432935,1
2681,E02002803,0.01883134865688175,0.2317917474383827,0.3378565494322902,0.23511492661312655,0.1296039878150097,0.02326225422320687,0.011354195513708113,0.005261700360011078,0.006923289947382997,1
2682,E02002804,0.0010635469290082426,0.0648763626695028,0.1385269875033236,0.46955596915713904,0.2810422759904281,0.03483116192501994,0.007710715235309758,0.0015953203935123637,0.0007976601967561818,1
2683,E02002805,0.00038387715930902113,0.032245681381957776,0.16775431861804221,0.38809980806142036,0.30249520153550863,0.08138195777351248,0.018809980806142036,0.005374280230326296,0.00345489443378119,1
2684,E02002806,0.007438894792773645,0.10626992561105207,0.19766206163655686,0.4399574920297556,0.20864328728303225,0.024087849805171802,0.008147360963513992,0.005667729365922777,0.0021253985122210413,1
2685,E02002807,0.0002675943270002676,0.03585763981803586,0.20149852823120148,0.3146909285523147,0.40647578271340645,0.03157613058603158,0.008027829810008028,0.0002675943270002676,0.001337971635001338,1
2686,E02002808,0.02442774171506662,0.24564400409976084,0.2435941236761189,0.29364537068670993,0.14571233344721557,0.02425691834642979,0.009736932012299283,0.006320464639562692,0.006662111376836351,1
2687,E02002809,0.008964143426294821,0.053784860557768925,0.1945551128818061,0.4359229747675963,0.25265604249667994,0.03884462151394422,0.0076361221779548474,0.0033200531208499337,0.004316069057104913,1
2688,E02002810,0.0002553626149131767,0.015832482124616958,0.1470888661899898,0.3651685393258427,0.31409601634320733,0.10495403472931562,0.04034729315628192,0.010469867211440245,0.001787538304392237,1
2689,E02002811,0.022026431718061675,0.21200440528634362,0.07764317180616741,0.2745044052863436,0.3047907488986784,0.06305066079295155,0.022026431718061675,0.014317180616740088,0.009636563876651983,1
2690,E02002812,0.00132890365448505,0.06943521594684385,0.25880398671096344,0.1654485049833887,0.33056478405315615,0.10897009966777409,0.03388704318936877,0.018604651162790697,0.012956810631229236,1
2691,E02002813,0.011901747277791846,0.19751835907824766,0.17143580653329957,0.28437579133957963,0.25069637883008355,0.06026842238541403,0.012408204608761712,0.005571030640668524,0.005824259306153457,1
2692,E02002814,0.0006191950464396285,0.04984520123839009,0.21640866873065015,0.251702786377709,0.31176470588235294,0.13405572755417958,0.03065015479876161,0.004024767801857585,0.0009287925696594427,1
2693,E02002815,0.0015968063872255488,0.055089820359281436,0.06666666666666667,0.3317365269461078,0.4379241516966068,0.07105788423153693,0.023952095808383235,0.005588822355289421,0.006387225548902195,1
2694,E02002816,0.006810778797749482,0.019840094758661535,0.160497482973053,0.15546342907906427,0.24666864080544862,0.18951732306781166,0.13680781758957655,0.05478235119928931,0.029612081729345572,1
2695,E02002817,0.0,0.023608768971332208,0.12015177065767285,0.2925801011804384,0.3617200674536256,0.12268128161888701,0.05564924114671164,0.016020236087689713,0.007588532883642495,1
