,GEOGRAPHY_CODE,All persons,Female,Male
1956,E02002197,1,0.0,1.0
1957,E02002198,1,1.0,0.0
1958,E02002199,1,1.0,0.0
1959,E02002200,1,0.6,0.4
1960,E02002201,1,0.0,1.0
1961,E02002202,1,0.8,0.2
1962,E02002203,1,0.5,0.5
1963,E02002204,1,0.5,0.5
1964,E02002205,1,0.6666666666666666,0.3333333333333333
1965,E02002206,1,0.4,0.6
1966,E02002207,1,0.5625,0.4375
1967,E02002208,1,0.6,0.4
1968,E02002209,1,0.8333333333333334,0.16666666666666666
1969,E02002210,1,1.0,0.0
1970,E02002211,1,0.42857142857142855,0.5714285714285714
1971,E02002212,1,0.46153846153846156,0.5384615384615384
1972,E02002213,1,0.0,1.0
1973,E02002214,1,0.5,0.5
1974,E02002215,1,0.64,0.36
1975,E02002216,1,0.42857142857142855,0.5714285714285714
1976,E02002217,1,0.48,0.52
1977,E02002218,1,0.5,0.5
1978,E02002219,1,0.4642857142857143,0.5357142857142857
1979,E02002220,1,0.4,0.6
1980,E02002222,1,0.42857142857142855,0.5714285714285714
1981,E02002223,1,0.3333333333333333,0.6666666666666666
1982,E02002224,1,0.4,0.6
1983,E02002225,1,0.3333333333333333,0.6666666666666666
1984,E02002226,1,0.43478260869565216,0.5652173913043478
1985,E02002227,1,0.36363636363636365,0.6363636363636364
1986,E02002228,1,0.5454545454545454,0.45454545454545453
1987,E02002229,1,0.5,0.5
1988,E02002230,1,0.5,0.5
1989,E02002231,1,0.43478260869565216,0.5652173913043478
1990,E02002232,1,0.42857142857142855,0.5714285714285714
1991,E02002233,1,0.21739130434782608,0.782608695652174
1992,E02002234,1,0.4,0.6
1993,E02002235,1,0.4482758620689655,0.5517241379310345
1994,E02002236,1,0.8333333333333334,0.16666666666666666
1995,E02002237,1,1.0,0.0
1996,E02002238,1,0.5,0.5
1997,E02002239,1,0.5555555555555556,0.4444444444444444
1998,E02002240,1,0.0,1.0
1999,E02002241,1,1.0,0.0
2000,E02002243,1,0.0,1.0
2001,E02002244,1,1.0,0.0
2002,E02002246,1,1.0,0.0
2003,E02002247,1,0.5,0.5
2004,E02002248,1,0.5,0.5
2005,E02002249,1,1.0,0.0
2006,E02002250,1,0.25,0.75
2007,E02002251,1,0.5555555555555556,0.4444444444444444
2008,E02002252,1,1.0,0.0
2009,E02002253,1,0.0,1.0
2010,E02002255,1,0.45,0.55
2011,E02002256,1,1.0,0.0
2012,E02002257,1,0.35714285714285715,0.6428571428571429
2013,E02002258,1,0.25,0.75
2014,E02002259,1,0.0,1.0
2015,E02002260,1,0.5,0.5
2016,E02002261,1,1.0,0.0
2017,E02002262,1,0.5,0.5
2018,E02002263,1,1.0,0.0
2019,E02002264,1,1.0,0.0
2020,E02002266,1,0.0,1.0
2021,E02002267,1,0.4,0.6
2022,E02002269,1,1.0,0.0
2023,E02002270,1,0.4,0.6
2024,E02002271,1,0.0,1.0
2025,E02002272,1,0.75,0.25
2026,E02002273,1,0.5,0.5
2027,E02002276,1,0.5714285714285714,0.42857142857142855
2028,E02002277,1,0.4,0.6
2029,E02002278,1,1.0,0.0
2030,E02002280,1,0.4,0.6
2031,E02002281,1,0.35714285714285715,0.6428571428571429
2032,E02002282,1,0.36363636363636365,0.6363636363636364
2033,E02002283,1,0.7,0.3
2034,E02002284,1,0.4,0.6
2035,E02002285,1,0.0,1.0
2036,E02002286,1,0.5833333333333334,0.4166666666666667
2037,E02002287,1,0.4,0.6
2038,E02002288,1,1.0,0.0
2039,E02002289,1,0.5384615384615384,0.46153846153846156
