,GEOGRAPHY_CODE,1 car or van in household,2 cars or vans in household,3 or more cars or vans in household,No cars or vans in household,Total: All households
5930,E02006171,0.4216474133601205,0.2827724761426419,0.08764439979909593,0.20793571069814162,3982.0
5931,E02006172,0.3889564582826563,0.37728046703964974,0.12843590367307225,0.10532717100462174,4111.0
5932,E02006173,0.3045075125208681,0.41535893155258763,0.22003338898163605,0.06010016694490818,2995.0
5933,E02006174,0.3702915513939136,0.3609278569908491,0.16322621834432857,0.1055543732709087,4699.0
5934,E02006175,0.355834829443447,0.355834829443447,0.15655296229802512,0.13177737881508078,2785.0
5935,E02006176,0.35384615384615387,0.37425431711145996,0.17959183673469387,0.09230769230769231,3185.0
5936,E02006177,0.3813942422079467,0.34737092552938376,0.14656197953842492,0.12467285272424458,4203.0
5937,E02006178,0.3927464352138872,0.3143211407315561,0.13298202107873527,0.15995040297582144,3226.0
5938,E02006179,0.375918795939797,0.3689184459222961,0.15540777038851944,0.09975498774938747,2857.0
5939,E02006180,0.3586878154289834,0.33922134102379237,0.14563806777217014,0.15645277577505406,2774.0
5940,E02006181,0.44122257053291536,0.27351097178683387,0.08620689655172414,0.19905956112852666,2552.0
5941,E02006182,0.3695950583390529,0.3877831159917639,0.16403568977350722,0.07858613589567605,2914.0
5942,E02006185,0.3944148101663006,0.3018512707875745,0.11829306557891434,0.18544085346721054,3187.0
5943,E02006186,0.3496119628998675,0.38122279008139315,0.18644709445390875,0.08271815256483059,5283.0
5944,E02006187,0.33856502242152464,0.3686739269698911,0.18930172966047407,0.10345932094811018,3122.0
5945,E02006188,0.37567987567987565,0.37373737373737376,0.15384615384615385,0.09673659673659674,2574.0
5946,E02006189,0.3670520231213873,0.3805394990366089,0.16538214515093128,0.08702633269107257,3114.0
5947,E02006190,0.431230407523511,0.29760971786833856,0.08072100313479624,0.19043887147335423,5104.0
5948,E02006191,0.37161773172135865,0.4021301093839954,0.15486470926885434,0.07138744962579159,3474.0
5949,E02006192,0.3529262731188244,0.40131745629592097,0.17354953128958703,0.0722067392956676,3947.0
5950,E02006193,0.41843971631205673,0.3654024051803885,0.11224175146469319,0.10391612704286154,3243.0
5951,E02006194,0.44855172413793104,0.2783448275862069,0.07724137931034483,0.19586206896551725,3625.0
5952,E02006195,0.3599896480331263,0.4078674948240166,0.15476190476190477,0.07738095238095238,3864.0
5953,E02006196,0.4917808219178082,0.20582191780821918,0.05171232876712329,0.25068493150684934,2920.0
5954,E02006197,0.47769136307818255,0.15779778960294719,0.03356528857961523,0.330945558739255,4886.0
5955,E02006198,0.42383926147162637,0.36817811566657616,0.11186532717893022,0.09611729568286723,3683.0
5956,E02006199,0.40206473214285715,0.36690848214285715,0.13727678571428573,0.09375,3584.0
5957,E02006200,0.4336027713625866,0.2245958429561201,0.06033487297921478,0.2814665127020785,3464.0
5958,E02006201,0.383876029815614,0.399176147508827,0.1302471557473519,0.08670066692820715,5098.0
5959,E02006202,0.3501974333662389,0.38548864758144125,0.17793682132280356,0.0863770977295163,4052.0
5960,E02006203,0.4310798946444249,0.27246122329528827,0.07901668129938542,0.21744220076090137,3417.0
5961,E02006204,0.41908325537885877,0.2812597443093234,0.11693171188026193,0.18272528843155597,3207.0
5962,E02006205,0.3677115987460815,0.3664576802507837,0.20407523510971787,0.06175548589341693,3190.0
5963,E02006206,0.41610343814281514,0.27652071701439906,0.10343814281516309,0.20393770202762268,3403.0
5964,E02006207,0.4267650158061117,0.34141201264488935,0.13839128907622059,0.09343168247277836,2847.0
5965,E02006208,0.45976435196791177,0.21935322135873653,0.06192028077212334,0.2589621459012284,3989.0
5966,E02006209,0.3901646447140381,0.3652512998266898,0.14428076256499134,0.10030329289428076,4616.0
5967,E02006210,0.3518763796909492,0.37218543046357616,0.20927152317880796,0.06666666666666667,2265.0
5968,E02006211,0.36678832116788324,0.39124087591240875,0.15693430656934307,0.08503649635036496,2740.0
5969,E02006212,0.3737252549490102,0.36892621475704857,0.15956808638272346,0.09778044391121776,3334.0
5970,E02006213,0.3924581005586592,0.33100558659217877,0.1627094972067039,0.1138268156424581,2864.0
5971,E02006214,0.4190641247833622,0.2710571923743501,0.09844020797227036,0.21143847487001732,2885.0
5972,E02006215,0.37894736842105264,0.3646198830409357,0.15760233918128655,0.09883040935672514,3420.0
5973,E02006216,0.3748259537733222,0.3742690058479532,0.16318574213311055,0.08771929824561403,3591.0
5974,E02006217,0.39708691499522447,0.3541069723018147,0.11556829035339064,0.1332378223495702,4188.0
5975,E02006218,0.403504502311998,0.1968848868337795,0.05402774397663665,0.34558286687758577,4109.0
5976,E02006219,0.3919716646989374,0.33559622195985833,0.12278630460448642,0.14964580873671782,3388.0
5977,E02006220,0.4046497015394282,0.30254476908576816,0.10147659440779139,0.19132893496701225,3183.0
5978,E02006221,0.4037465125548027,0.31925069748903945,0.1251494619370267,0.15185332801913112,2509.0
5979,E02006222,0.44257602862254025,0.28300536672629695,0.0851520572450805,0.18926654740608229,2795.0
5980,E02006223,0.43493021501320256,0.20784609581290078,0.057714070162202945,0.2995096190116937,2651.0
5981,E02006224,0.36034540019926936,0.3809365659249419,0.1517768183327798,0.10694121554300896,3011.0
5982,E02006225,0.3705166173083251,0.38334978611385323,0.13820335636722605,0.1079302402105956,3039.0
5983,E02006226,0.40243599304001987,0.350981854337559,0.1091225453641561,0.13745960725826498,4023.0
5984,E02006227,0.3914495657982632,0.3430193720774883,0.16332665330661322,0.10220440881763528,2994.0
5985,E02006228,0.3748108925869894,0.3547655068078669,0.20499243570347958,0.06543116490166415,2644.0
5986,E02006229,0.39736279401282965,0.34176764076977906,0.1286528866714184,0.1322166785459729,2806.0
5987,E02006230,0.39327046720960135,0.3377625375053579,0.15173596228032576,0.11723103300471496,4666.0
5988,E02006231,0.39171974522292996,0.3617303609341826,0.15392781316348195,0.09262208067940551,3768.0
5989,E02006232,0.3392171910974674,0.386415963161934,0.2014581734458941,0.07290867229470453,2606.0
5990,E02006233,0.44584705451884377,0.23600439077936333,0.08049762166117819,0.23765093304061471,5466.0
5991,E02006234,0.41175018513947176,0.31918044927178474,0.1286102196988398,0.1404591458899037,4051.0
5992,E02006235,0.3323919796667608,0.3880259813611974,0.21039254447896075,0.06918949449308105,3541.0
5993,E02006236,0.3565610859728507,0.3893665158371041,0.18076923076923077,0.07330316742081448,4420.0
5994,E02006237,0.3665018541409147,0.3646477132262052,0.17336217552533992,0.09548825710754018,3236.0
5995,E02006238,0.46232496110246724,0.27206045787952876,0.09957768392976217,0.16603689708824182,4499.0
5996,E02006239,0.40210526315789474,0.3942857142857143,0.12781954887218044,0.07578947368421053,3325.0
5997,E02006240,0.3747338537970192,0.39578897563283655,0.15637568015140763,0.07310149041873669,4227.0
5998,E02006241,0.4582509881422925,0.2811264822134387,0.09214426877470355,0.16847826086956522,4048.0
5999,E02006242,0.3793483047115808,0.43262879788639363,0.12989872302950242,0.05812417437252312,4542.0
6000,E02006243,0.44640434192673,0.2973767526006332,0.07824513794663049,0.17797376752600633,4422.0
6001,E02006245,0.43106617647058826,0.26868872549019607,0.09865196078431372,0.20159313725490197,3264.0
6002,E02006246,0.40372062663185376,0.34203655352480417,0.1197780678851175,0.13446475195822455,3064.0
6003,E02006247,0.4486514522821577,0.25778008298755184,0.06950207468879668,0.22406639004149378,3856.0
6004,E02006248,0.4299315679857185,0.31032430824159474,0.09878012496280869,0.16096399880987802,3361.0
6005,E02006249,0.4337974337974338,0.27381927381927385,0.07889707889707889,0.2134862134862135,3663.0
6006,E02006250,0.4502768549280177,0.16301218161683279,0.04163898117386489,0.3450719822812846,4515.0
6007,E02006251,0.4478846153846154,0.1451923076923077,0.03192307692307692,0.375,5200.0
6008,E02006252,0.4810187409899087,0.2443536761172513,0.06607400288322922,0.20855358000961077,4162.0
6009,E02006253,0.3802197802197802,0.3315541601255887,0.12433281004709576,0.16389324960753532,3185.0
6010,E02006254,0.43729743206182997,0.18274744452754924,0.05410122164048865,0.3258539017701321,4011.0
6011,E02006255,0.49434069043576684,0.21533672891907188,0.06281833616298811,0.22750424448217318,3534.0
6012,E02006256,0.44173063503140264,0.20097697138869505,0.047685508257734356,0.30960688532216796,4299.0
6013,E02006257,0.42354533152909335,0.2476319350473613,0.08491204330175914,0.2439106901217862,2956.0
6014,E02006258,0.43504934649239796,0.26940517471325687,0.08962389970658842,0.20592157908775674,3749.0
6015,E02006259,0.4184799747713655,0.22894985808893092,0.06874802901292967,0.28382213812677387,3171.0
6016,E02006260,0.4340425531914894,0.2632624113475177,0.08283687943262412,0.2198581560283688,3525.0
6017,E02006261,0.3699825479930192,0.34787667248400234,0.19458987783595114,0.08755090168702734,3438.0
6018,E02006262,0.34148244473342004,0.36983094928478544,0.21612483745123537,0.07256176853055916,3845.0
6019,E02006263,0.3365764670112496,0.38127090301003347,0.21556704165399818,0.06658558832471875,3289.0
6020,E02006264,0.3513154398086633,0.39038001594472493,0.1852245548764284,0.07307998937018337,3763.0
6021,E02006265,0.35856573705179284,0.3607110021452651,0.18081520073551946,0.09990806006742262,3263.0
6022,E02006266,0.3381468110709988,0.3819494584837545,0.1865222623345367,0.09338146811070999,4155.0
6023,E02006267,0.3033419023136247,0.389031705227078,0.2482147957726364,0.059411596686660954,3501.0
6024,E02006268,0.4085014409221902,0.2543227665706052,0.09293948126801153,0.2442363112391931,2776.0
6025,E02006269,0.3660576029730567,0.37782595230721583,0.17187983895943015,0.0842366057602973,3229.0
6026,E02006270,0.42724014336917565,0.335663082437276,0.11971326164874552,0.11738351254480286,5580.0
6027,E02006271,0.3967873411651882,0.36705825941021336,0.14528889954447374,0.09086549988012467,4171.0
6028,E02006272,0.3647553287301111,0.35845091564094866,0.17051936355448813,0.10627439207445212,3331.0
6029,E02006273,0.3937111038322961,0.34032099574189323,0.17261709793645594,0.09335080248935473,3053.0
6030,E02006274,0.3829626837542405,0.36185450433471544,0.16660384470410855,0.08857896720693555,2653.0
6031,E02006275,0.430622009569378,0.2566643882433356,0.07758031442241968,0.23513328776486672,2926.0
6032,E02006276,0.3404255319148936,0.3923404255319149,0.15574468085106383,0.11148936170212766,3525.0
6033,E02006277,0.4361246943765281,0.36644254278728605,0.1152200488997555,0.08221271393643031,3272.0
6034,E02006278,0.5007738226840592,0.1989829759009507,0.04532390006632766,0.2549193013486624,4523.0
6035,E02006279,0.4455372510449963,0.27243668551758055,0.07794443078436193,0.20408163265306123,4067.0
6036,E02006280,0.3412757508066518,0.38222884090345,0.20551005212211468,0.07098535616778356,4029.0
6037,E02006281,0.46769002228274326,0.23768259470165884,0.07427581084426839,0.22035157217132953,4039.0
6038,E02006282,0.3745841650033267,0.34231536926147704,0.1679973386560213,0.11510312707917499,3006.0
6039,E02006283,0.3363105462040536,0.38886980419099965,0.21092408107179664,0.06389556853315012,2911.0
6040,E02006284,0.4272228989037759,0.2804506699147381,0.09987819732034105,0.19244823386114496,3284.0
6041,E02006285,0.38570956003969564,0.33542838240158784,0.1296725107509097,0.14918954680780683,3023.0
6042,E02006286,0.4246665208834463,0.26962606603979883,0.09905969822873387,0.206647714848021,4573.0
6043,E02006287,0.38503964150293,0.36056532230265426,0.1809720785935884,0.0734229576008273,2901.0
6044,E02006288,0.3836317135549872,0.3524761683329458,0.180888165542897,0.08300395256916997,4301.0
6045,E02006289,0.4225668689593167,0.32254439199820184,0.12632052146549785,0.12856821757698358,4449.0
6046,E02006290,0.46081663707836673,0.279229013441542,0.0933299518133401,0.16662439766675122,3943.0
6047,E02006291,0.4201890989988877,0.33787541713014463,0.11957730812013348,0.12235817575083426,3596.0
6048,E02006292,0.31040564373897706,0.400352733686067,0.22433862433862434,0.06490299823633157,2835.0
6049,E02006293,0.37384473197781887,0.39071164510166356,0.1645101663585952,0.07093345656192236,4328.0
6050,E02006294,0.47515690376569036,0.2581066945606695,0.08734309623430962,0.17939330543933055,3824.0
6051,E02006295,0.40225563909774437,0.3458646616541353,0.13508771929824562,0.11679197994987468,3990.0
6052,E02006296,0.40490572945268166,0.3633534687900421,0.14625663554823357,0.08548416620904264,5463.0
6053,E02006297,0.36974037600716203,0.38287078484034615,0.17755893763055805,0.06982990152193375,3351.0
