,GEOGRAPHY_CODE,Apprenticeship,Level 1 and entry level qualifications,Level 2 qualifications,Level 3 qualifications,Level 4 qualifications or above,No qualifications,Other qualifications,Total: All usual residents aged 16 years and over
3043,E02003187,0.048821331959294084,0.09313409764266392,0.13049078964317917,0.1867834600025763,0.3662243977843617,0.1442741208295762,0.030271802138348576,7763.0
3044,E02003188,0.04000658544616398,0.06643068817912413,0.09096147513994073,0.2843266381297333,0.36096476786302273,0.12578202173197234,0.0315278235100428,12148.0
3045,E02003189,0.049856967715570084,0.08377605230894973,0.13499523225718568,0.1701403078599646,0.38932025609589976,0.1393543114017164,0.0325568723607138,7341.0
3046,E02003190,0.05883673927689198,0.09903435885919605,0.12418594206153155,0.16011677520772513,0.3305636649449809,0.18953514484617112,0.03772737480350326,8906.0
3047,E02003191,0.06316812439261418,0.08038317367763433,0.13966402887685686,0.16298764403720672,0.388449257253922,0.13591559072608636,0.02943218103567958,7203.0
3048,E02003192,0.03930277382049778,0.06880080449174558,0.08841029079024554,0.2965725299589374,0.3509595240090505,0.12243358753037795,0.033520489399145224,11933.0
3049,E02003194,0.06693136698808849,0.0916997542068444,0.17489128379655888,0.16335791264889393,0.35583286065418795,0.12100586122140292,0.026280960484023445,5289.0
3050,E02003195,0.06615191986644407,0.12625208681135225,0.1592237061769616,0.19136060100166946,0.2577212020033389,0.17237061769616027,0.026919866444073456,4792.0
3051,E02003196,0.06385869565217392,0.09001358695652174,0.1486639492753623,0.1715353260869565,0.3717164855072464,0.12884963768115942,0.025362318840579712,8832.0
3052,E02003197,0.06254506128334535,0.1234679163662581,0.15933669790915644,0.1955659697188176,0.25901225666906996,0.16870944484498918,0.03136265320836337,5548.0
3053,E02003198,0.07658029377785112,0.12427793365241789,0.18121802277603566,0.20019805248390823,0.23650767453375143,0.15332563129229246,0.02789239148374319,6059.0
3054,E02003199,0.07111848825331972,0.1108273748723187,0.1590909090909091,0.18922369765066394,0.24514811031664965,0.1976506639427988,0.026940755873340144,7832.0
3055,E02003200,0.07546268656716418,0.12155223880597014,0.14519402985074628,0.17898507462686566,0.22101492537313433,0.22925373134328358,0.02853731343283582,8375.0
3056,E02003201,0.07123893805309735,0.11371681415929204,0.15199115044247788,0.18174778761061947,0.246570796460177,0.20309734513274336,0.03163716814159292,9040.0
3057,E02003202,0.06429124709527498,0.09488768396591789,0.12935708752904726,0.2002323780015492,0.35127807900852054,0.13361735089078233,0.026336173508907823,5164.0
3058,E02003203,0.06672038678485093,0.10701047542304593,0.14585012087026591,0.18017727639000805,0.3121676067687349,0.15777598710717164,0.030298146655922644,6205.0
3059,E02003204,0.0662603734439834,0.1029564315352697,0.14769190871369295,0.17284751037344398,0.3121109958506224,0.17090248962655602,0.027230290456431536,7712.0
3060,E02003205,0.0739568345323741,0.11553956834532374,0.1526618705035971,0.18618705035971223,0.2733812949640288,0.17223021582733813,0.0260431654676259,6950.0
3061,E02003206,0.045874908736918955,0.07751277683134583,0.14164030177658798,0.16646385981990752,0.44207836456558774,0.10452664881966416,0.02190313944998783,8218.0
