,GEOGRAPHY_CODE,Occupancy rating of bedrooms: +1,Occupancy rating of bedrooms: +2 or more,Occupancy rating of bedrooms: -1,Occupancy rating of bedrooms: -2 or less,Occupancy rating of bedrooms: 0,Total: All households
5624,E02005861,0.3752959747434886,0.3701657458563536,0.019337016574585635,0.0007892659826361484,0.23441199684293607,2534.0
5625,E02005862,0.3227056019070322,0.4225268176400477,0.03188319427890346,0.0017878426698450535,0.22109654350417163,3356.0
5626,E02005863,0.3383131030189854,0.49828820417055714,0.009648303765950824,0.001556178026766262,0.15219421101774042,3213.0
5627,E02005864,0.3605301914580265,0.5063328424153166,0.004123711340206186,0.000589101620029455,0.1284241531664212,3395.0
5628,E02005865,0.27247881934954904,0.6220278764689806,0.008198961464881116,0.0019130910084722602,0.09538125170811697,3659.0
5629,E02005866,0.35696640316205536,0.4785079051383399,0.011610671936758894,0.0017292490118577075,0.15118577075098813,4048.0
5630,E02005868,0.38575096277278564,0.41302952503209245,0.016367137355584083,0.0012836970474967907,0.18356867779204109,3116.0
5631,E02005869,0.33853738701725555,0.3360723089564503,0.031635168447000823,0.003286770747740345,0.29046836483155297,2434.0
5632,E02005870,0.38971807628524047,0.27296849087893865,0.029187396351575457,0.001990049751243781,0.3061359867330017,3015.0
5633,E02005871,0.3670807453416149,0.4782608695652174,0.011490683229813664,0.0,0.14316770186335404,3220.0
5634,E02005872,0.3396029258098224,0.5632183908045977,0.007662835249042145,0.0006966213862765587,0.08881922675026123,2871.0
5635,E02005873,0.3506161357823762,0.5208091141594978,0.008602650546384562,0.0009300162752848175,0.11904208323645664,4301.0
5636,E02005874,0.34753838009528853,0.486500794070937,0.007146638433033351,0.00026469031233456857,0.15854949708840657,3778.0
5637,E02005875,0.36510687463893704,0.45205083766608894,0.01848642403235124,0.002021952628538417,0.16233391103408434,3462.0
5638,E02005876,0.3628838451268358,0.4456608811748999,0.012550066755674232,0.0032042723631508676,0.17570093457943925,3745.0
5639,E02005877,0.39938366718027735,0.3879815100154083,0.018798151001540832,0.002465331278890601,0.1913713405238829,3245.0
5640,E02005878,0.3677021370345891,0.34368803701255785,0.020489094514210177,0.0026437541308658294,0.26547697730777703,4539.0
5641,E02005879,0.4440629470672389,0.2515021459227468,0.0240343347639485,0.002861230329041488,0.27753934191702434,3495.0
5642,E02005880,0.3369935630443014,0.44452858765619085,0.024611889435819764,0.003786444528587656,0.19007951533510034,2641.0
5643,E02005881,0.38611632270168855,0.375984990619137,0.01951219512195122,0.002626641651031895,0.21575984990619138,2665.0
5644,E02005882,0.3983668708078157,0.45231846019247596,0.00758238553514144,0.002041411490230388,0.13969087197433655,3429.0
5645,E02005883,0.3799611434915348,0.32944768248681655,0.023591451568137665,0.0019428254232583958,0.2650568970302526,3603.0
5646,E02005884,0.3959007551240561,0.39158576051779936,0.019777058612010068,0.002157497303128371,0.1905789284430061,2781.0
5647,E02005885,0.3606473156948369,0.3706652966863601,0.02491651682507064,0.0030824556896994607,0.24068841510403288,3893.0
5648,E02005886,0.37745408486383786,0.4593624656955879,0.012244036309900782,0.002322144817394976,0.14861726831327846,4737.0
5649,E02005887,0.38263525305410123,0.2194589877835951,0.04668411867364747,0.008726003490401396,0.3424956369982548,4584.0
5650,E02005888,0.3473382045929019,0.21294363256784968,0.039926931106471816,0.006524008350730689,0.39326722338204595,3832.0
5651,E02005889,0.3653298268682884,0.3824238439623055,0.024545255314486085,0.0030681569143107606,0.22463291694060925,4563.0
5652,E02005890,0.3732023851280252,0.4857944580848825,0.016134689582602595,0.0014030164854437039,0.12346545071904595,2851.0
5653,E02005891,0.3217944189332391,0.28470505121865064,0.03956199222889439,0.005298481102084069,0.34864005651713176,2831.0
5654,E02005892,0.3349946600213599,0.5517977928088288,0.011035955856176576,0.000533997864008544,0.1016375934496262,5618.0
5655,E02005893,0.3861285743256946,0.3885621577773271,0.015818292435611437,0.002839180693571284,0.20665179476779558,4931.0
5656,E02005894,0.3439672801635992,0.49447852760736194,0.010020449897750512,0.0010224948875255625,0.1505112474437628,4890.0
5657,E02005895,0.3043601359003397,0.5857870894677236,0.007078142695356738,0.0008493771234428086,0.10192525481313704,3532.0
5658,E02005896,0.29955686853766617,0.5952732644017725,0.009453471196454948,0.0008862629246676514,0.0948301329394387,3385.0
5659,E02005897,0.3150339964744397,0.5474691513472677,0.009821203727020902,0.0007554772097708386,0.12692017124150087,3971.0
5660,E02005898,0.39781243670245087,0.408547701033016,0.011342920802106542,0.0020255215718047396,0.18027141989062184,4937.0
5661,E02005899,0.3734657039711191,0.27292418772563176,0.02635379061371841,0.002888086642599278,0.3243682310469314,5540.0
5662,E02005900,0.3041044776119403,0.5425995024875622,0.00777363184079602,0.0021766169154228856,0.1433457711442786,3216.0
5663,E02005901,0.343757403458896,0.41459369817578773,0.021321961620469083,0.003079838900734423,0.21724709784411278,4221.0
5664,E02005902,0.33825167037861914,0.392260579064588,0.02477728285077951,0.0033407572383073497,0.241369710467706,3592.0
5665,E02005903,0.39084431008421505,0.41373353487367737,0.01295616497516735,0.0015115525804361909,0.180954437486504,4631.0
5666,E02005904,0.3206068268015171,0.557016434892541,0.010872313527180783,0.0007585335018963338,0.11074589127686472,3955.0
5667,E02005905,0.2594059405940594,0.643960396039604,0.0031683168316831685,0.00039603960396039607,0.09306930693069307,2525.0
5668,E02005906,0.29856115107913667,0.5884892086330935,0.0057553956834532375,0.0007194244604316547,0.10647482014388489,2780.0
5669,E02005907,0.36978221415607987,0.4793557168784029,0.008847549909255898,0.001134301270417423,0.14088021778584392,4408.0
5670,E02005908,0.31798245614035087,0.5324074074074074,0.00682261208576998,0.0012183235867446393,0.1415692007797271,4104.0
5671,E02005909,0.30211851396991096,0.5416027018728892,0.007061713233036537,0.00092109303039607,0.14829597789376728,3257.0
5672,E02005910,0.3385987261146497,0.36,0.011464968152866241,0.002802547770700637,0.2871337579617834,3925.0
5673,E02005911,0.3333333333333333,0.5320239111870196,0.00740108169655565,0.0017079419299743809,0.125533731853117,3513.0
5674,E02005912,0.32505758894292297,0.5144612234450986,0.00947018172510878,0.0010238034297414896,0.14998720245712824,3907.0
5675,E02005913,0.30150462962962965,0.5642361111111112,0.010416666666666666,0.0023148148148148147,0.12152777777777778,3456.0
5676,E02005914,0.35223618824905,0.4738380590470623,0.009938614440222157,0.0008769365682548962,0.1631102016954107,3421.0
5677,E02005915,0.30973451327433627,0.5760257441673371,0.0056315366049879325,0.0008045052292839903,0.10780370072405471,2486.0
5678,E02005916,0.38086642599277976,0.4584837545126354,0.01022864019253911,0.00030084235860409147,0.15012033694344162,3324.0
5679,E02005917,0.2653222617635429,0.6737841043890866,0.0019770660340055358,0.00039541320680110717,0.05852115460656386,2529.0
5680,E02005918,0.35588108573890564,0.5105557949159845,0.013356311934510987,0.00043084877208099956,0.11977595863851788,2321.0
5681,E02005919,0.3298296484233418,0.5306270387821674,0.009061254077564335,0.0003624501631025734,0.13011960855382385,2759.0
5682,E02005920,0.29845486581729463,0.6145296828408783,0.0035239902412577935,0.0010843046896177825,0.08240715641095148,3689.0
5683,E02005921,0.2877867746288799,0.546221322537112,0.008434547908232119,0.00033738191632928474,0.1572199730094467,2964.0
5684,E02005922,0.3703499586662993,0.3538164783686966,0.02149352438688344,0.0016533480297602646,0.2526866905483604,3629.0
5685,E02005923,0.31765711842667804,0.2894399315946986,0.046173578452330055,0.012825994014536126,0.33390337751175714,2339.0
5686,E02005924,0.3186500888099467,0.18614564831261102,0.044760213143872116,0.00763765541740675,0.4428063943161634,5630.0
5687,E02005925,0.2994488671157379,0.30404164115125537,0.048683404776484994,0.006736068585425597,0.34109001837109615,3266.0
5688,E02005926,0.3362603305785124,0.4380165289256198,0.017820247933884297,0.0018078512396694215,0.20609504132231404,3872.0
5689,E02005927,0.27850697292863,0.4520098441345365,0.011894995898277276,0.003281378178835111,0.25430680885972107,2438.0
5690,E02005928,0.2906392694063927,0.5182648401826484,0.0136986301369863,0.0018264840182648401,0.17557077625570777,4380.0
5691,E02005929,0.2976,0.5472,0.00992,0.00128,0.144,3125.0
5692,E02005930,0.3055555555555556,0.5353063343717549,0.011941848390446522,0.0010384215991692627,0.14615784008307373,3852.0
5693,E02005931,0.34361334867663984,0.4563866513233602,0.014499424626006905,0.0011507479861910242,0.18434982738780206,4345.0
5694,E02005932,0.32860872808653485,0.3908989183140619,0.027228646027601642,0.0029839612085042896,0.25027974636329725,2681.0
5695,E02005933,0.353206574282952,0.36674186271350306,0.028037383177570093,0.003222687721559781,0.2487914921044151,3103.0
5696,E02005934,0.353125,0.40795454545454546,0.019318181818181818,0.002840909090909091,0.21676136363636364,3520.0
5697,E02005935,0.3392525841505433,0.3074476543864299,0.020938245428041347,0.0023853697323085077,0.3299761463026769,3773.0
5698,E02005936,0.2744176542705353,0.5306497752349816,0.01491622394769105,0.0012259910093992644,0.17879035553739273,4894.0
5699,E02005937,0.31582537517053205,0.4328103683492497,0.015006821282401092,0.0030695770804911324,0.23328785811732605,2932.0
5700,E02005938,0.33377718597425654,0.42254771415889925,0.02796271637816245,0.005326231691078562,0.2103861517976032,2253.0
5701,E02005939,0.3335635359116022,0.39986187845303867,0.02382596685082873,0.003453038674033149,0.23929558011049723,2896.0
5702,E02005940,0.30092236740968487,0.441967717140661,0.018447348193697154,0.0030745580322828594,0.2355880092236741,2602.0
5703,E02005941,0.28010185522008,0.40596580574754454,0.02328119316114951,0.005456529647144416,0.2851946162240815,2749.0
5704,E02005942,0.29540481400437635,0.462582056892779,0.018380743982494528,0.002188183807439825,0.2214442013129103,2285.0
5705,E02005943,0.3152503793626707,0.3907435508345979,0.04286798179059181,0.02314112291350531,0.2279969650986343,2636.0
5706,E02005944,0.28406169665809766,0.20854755784061696,0.07712082262210797,0.02249357326478149,0.4077763496143959,3112.0
5707,E02005945,0.28623471246422066,0.37678896695290137,0.030184751496226906,0.008326827998959146,0.2984647410876919,3843.0
5708,E02005946,0.3134944018856806,0.3688862698880377,0.02946375957572186,0.006776664702416028,0.2813789039481438,3394.0
5709,E02005947,0.30480419862737185,0.20468308437626162,0.025030278562777553,0.008477997577714978,0.45700444085587405,2477.0
5710,E02005948,0.3511338697878566,0.232626188734455,0.03621068032187271,0.002926115581565472,0.3771031455742502,2734.0
5711,E02005949,0.28258221680876977,0.22127486804709703,0.060495330897279743,0.013398294762484775,0.42224928948436863,2463.0
5712,E02005950,0.28019699326075687,0.26956972524624156,0.0352514256091239,0.018921721099015035,0.3960601347848626,3858.0
5713,E02005951,0.3389760528488852,0.28447563996696945,0.02518579686209744,0.004128819157720892,0.347233691164327,2422.0
5714,E02005953,0.3401060070671378,0.3003533568904594,0.04151943462897526,0.015017667844522967,0.3030035335689046,2264.0
5715,E02005954,0.28234989648033126,0.3418737060041408,0.059006211180124224,0.02562111801242236,0.2911490683229814,3864.0
5716,E02005955,0.3099514563106796,0.24004854368932038,0.07257281553398058,0.02087378640776699,0.3565533980582524,4120.0
5717,E02005956,0.26430062630480167,0.22254697286012526,0.08183716075156576,0.020876826722338204,0.4104384133611691,2395.0
5718,E02005957,0.3208638642499036,0.13420748168145005,0.0929425376012341,0.012726571538758195,0.43925954492865404,2593.0
5719,E02005958,0.3628963153384747,0.4074550128534704,0.014138817480719794,0.000856898029134533,0.21465295629820053,2334.0
5720,E02005959,0.3046907430469074,0.49854711498547116,0.0157741801577418,0.0016604400166044002,0.1793275217932752,2409.0
5721,E02005960,0.32352039251763265,0.4234897270775836,0.017172646427476235,0.0015332720024532351,0.23428396197485435,3261.0
5722,E02005961,0.31028492008339126,0.4871438498957609,0.01320361362056984,0.0006949270326615705,0.18867268936761641,2878.0
