,GEOGRAPHY_CODE,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 4 years and under,Aged 40 to 44 years,Aged 45 to 49 years,Aged 5 to 9 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over,Total
5184,E02005395,0.049184043517679056,0.047484134179510425,0.04737080689029918,0.0557570262919311,0.06459655485040798,0.05609700815956482,0.04805077062556664,0.06255666364460562,0.05836355394378966,0.05315049864007253,0.07400271985494107,0.08170897552130553,0.07445602901178604,0.06119673617407072,0.061763372620126926,0.04567089755213055,0.03139165911151405,0.027198549410698096,1
5185,E02005396,0.05529685681024447,0.04831199068684517,0.03521536670547148,0.03812572759022119,0.043946449359720606,0.0400174621653085,0.0320139697322468,0.04729336437718277,0.05922584400465658,0.047438882421420255,0.09531431897555297,0.0979336437718277,0.08483701979045402,0.07290454016298022,0.07974388824214203,0.05558789289871944,0.032305005820721766,0.03448777648428405,1
5186,E02005397,0.05377969762419006,0.047732181425485964,0.052483801295896325,0.054967602591792654,0.06371490280777538,0.06069114470842333,0.04740820734341253,0.05993520518358531,0.07321814254859611,0.05140388768898488,0.08099352051835854,0.07840172786177106,0.06555075593952484,0.05701943844492441,0.06220302375809935,0.0439524838012959,0.028185745140388768,0.0183585313174946,1
5187,E02005398,0.0489581815532566,0.05405799213172082,0.13303220166108115,0.05260090339501676,0.05332944776336879,0.049686725921608624,0.03934139589100976,0.054786536500072855,0.060177764825877895,0.048083928311234155,0.07081451260381758,0.06731749963572782,0.057555005099810576,0.05493224537374326,0.06221768905726359,0.041381320122395454,0.029433192481422118,0.0222934576715722,1
5188,E02005399,0.06982333854104074,0.05287825982454032,0.04698954452589833,0.059728398029083044,0.06621800264391299,0.07511116452349477,0.05588270640548011,0.06681889196010095,0.07559187597644514,0.058406441533469536,0.07354885230140608,0.06417497896887393,0.053959860593678646,0.04999399110683812,0.057565196490806395,0.03521211392861435,0.020189881023915394,0.017906501622401153,1
5189,E02005400,0.049734179386040134,0.04270279540387584,0.0451037557880295,0.052478134110787174,0.05505059166523752,0.05076316240782027,0.04904819070485337,0.055222088835534214,0.05985251243354485,0.05436460298405076,0.0727148002057966,0.07425827473846681,0.0711713256731264,0.06945635397015949,0.07940318984736752,0.060367003944434915,0.030183501972217457,0.028125535928657176,1
5190,E02005401,0.06237424547283702,0.05448073053706857,0.04178919671877419,0.04225352112676056,0.05184955889181241,0.05432595573440644,0.04333694474539545,0.05974307382758087,0.0710416344219161,0.0482897384305835,0.08605479028014239,0.08125677139761647,0.07460145488314503,0.06361244389413404,0.06655316514471445,0.049063612443894136,0.03002631171645256,0.019346850332765824,1
5191,E02005402,0.06368583615237534,0.055302250330931016,0.04132960729519047,0.0435358140903074,0.055596411236946607,0.05986174437417267,0.04368289454331519,0.05809677893807913,0.0653037211354611,0.05927342256214149,0.07177526106780409,0.07265774378585087,0.060450066186203855,0.05721429622003236,0.0713340197087807,0.051478158552728345,0.03279894102073835,0.03662303279894102,1
5192,E02005403,0.04895531493060851,0.04499008692999847,0.04682019216104926,0.06176605154796401,0.0626811041634894,0.05902089370138783,0.045142595699252705,0.057038279701082814,0.06710385847186214,0.040109806313863045,0.07030654262620101,0.08326978801281074,0.07030654262620101,0.06130852524020131,0.062071069086472475,0.05429312185450663,0.03294189415891414,0.03187433277413451,1
5193,E02005404,0.06378341172421705,0.052885166915223124,0.048870024090856945,0.06160376276241826,0.06309510152575427,0.06137432602959734,0.051164391419066195,0.05506481587702191,0.06401284845703797,0.057244464838820695,0.08661236663989905,0.07892623609039807,0.06779855454858323,0.053344040380864974,0.05483537914420099,0.035562693587243316,0.023746701846965697,0.020075714121830904,1
