,GEOGRAPHY_CODE,1 person in household,2 people in household,3 people in household,4 people in household,5 people in household,6 people in household,7 people in household,8 or more people in household,Total: All households
76,E02000080,0.24423480083857443,0.2840670859538784,0.19627882599580712,0.18265199161425577,0.06525157232704402,0.018343815513626835,0.0047169811320754715,0.004454926624737945,1
77,E02000081,0.274862721171446,0.29560707748627213,0.18059792556436852,0.1705308114704088,0.05704697986577181,0.01525320317266626,0.003050640634533252,0.003050640634533252,1
78,E02000082,0.21057217542840545,0.29422015683996516,0.19924484461225675,0.20331106593087422,0.06593087423758351,0.019459773453383677,0.004647110078419983,0.00261399941911124,1
79,E02000083,0.2687204857207106,0.3013267371261525,0.18259500787047447,0.16033280863503485,0.06049021812457837,0.01753991454913425,0.006296379581740499,0.0026984483921744995,1
80,E02000084,0.22275107091861018,0.31294621608757733,0.18443598286530224,0.1934792955735364,0.0606853879105188,0.0159447881960971,0.005949547834364588,0.0038077106139933364,1
81,E02000085,0.24267100977198697,0.3087947882736156,0.1791530944625407,0.18501628664495115,0.06416938110749186,0.014332247557003257,0.004885993485342019,0.000977198697068404,1
82,E02000086,0.22489239598278335,0.32568149210903874,0.19296987087517933,0.18651362984218078,0.05380200860832138,0.012553802008608322,0.002152080344332855,0.0014347202295552368,1
83,E02000087,0.2613670581150256,0.3297199638663053,0.16892502258355918,0.1764528756398675,0.04847937368262571,0.011743450767841012,0.0030111412225233363,0.00030111412225233364,1
84,E02000088,0.20959087860496312,0.33568075117370894,0.1938296445338699,0.19181757209926223,0.04896042924211938,0.014419852448021462,0.004694835680751174,0.001006036217303823,1
85,E02000089,0.20034423407917384,0.3225473321858864,0.1889845094664372,0.21411359724612736,0.054388984509466436,0.014802065404475043,0.0037865748709122204,0.0010327022375215145,1
86,E02000090,0.3540772532188841,0.3283261802575107,0.14544587505960896,0.12136385312350978,0.03791130185979971,0.009298998569384835,0.002145922746781116,0.001430615164520744,1
87,E02000091,0.3459204315576534,0.2993931220498989,0.17015059563946955,0.1276691391323893,0.04495392222971454,0.007642166779051472,0.003146774556080018,0.0011238480557428637,1
88,E02000092,0.2862932940309506,0.2943994104642594,0.19454679439941047,0.1466470154753132,0.05232129697862933,0.01989683124539425,0.0036845983787767134,0.002210759027266028,1
89,E02000093,0.18492784607161947,0.2506680919294495,0.18385889898450028,0.17637626937466597,0.09914484233030466,0.05291288081239979,0.028861571352218066,0.023249599144842332,1
90,E02000094,0.21107266435986158,0.25836216839677045,0.19521337946943484,0.15916955017301038,0.08564013840830449,0.049019607843137254,0.02422145328719723,0.01730103806228374,1
