,GEOGRAPHY_CODE,One-person household,One-person household: Aged 66 years and over,One-person household: Other,Other household types,"Other household types: Other, including all full-time students and all aged 66 years and over",Other household types: With dependent children,Single family household,Single family household: All aged 66 years and over,Single family household: Cohabiting couple family,Single family household: Cohabiting couple family: All children non-dependent,Single family household: Cohabiting couple family: No children,Single family household: Cohabiting couple family: With dependent children,Single family household: Lone parent family,Single family household: Lone parent family: All children non-dependent,Single family household: Lone parent family: With dependent children,Single family household: Married or civil partnership couple,Single family household: Married or civil partnership couple: All children non-dependent,Single family household: Married or civil partnership couple: Dependent children,Single family household: Married or civil partnership couple: No children,Single family household: Other single family household,Single family household: Other single family household: Other family composition,Total: All households
3769,E02003935,0.3231185218566922,0.13609734114465977,0.18702118071203244,0.04867057232987832,0.029067147363677333,0.019603424966200992,0.6282109058134294,0.08990536277602523,0.14240648940964398,0.009013068949977467,0.07007661108607481,0.06331680937359171,0.10027039206849932,0.031545741324921134,0.06872465074357818,0.2897701667417756,0.046642631816133394,0.12821090581342948,0.1149166291122127,0.005858494817485353,0.005858494817485353,1
3770,E02003936,0.254606365159129,0.15131211613623674,0.10329424902289223,0.052763819095477386,0.0332216638749302,0.01954215522054718,0.6926298157453936,0.1739251814628699,0.09687325516471246,0.006700167504187605,0.05555555555555555,0.03461753210496929,0.06030150753768844,0.029034059184812954,0.03126744835287549,0.3592964824120603,0.06756002233389168,0.11390284757118928,0.17783361250697935,0.002233389168062535,0.002233389168062535,1
3771,E02003937,0.32259431962696056,0.18270453582026283,0.13988978380669775,0.04705383637134379,0.027130139889783807,0.019923696481559984,0.6303518440016956,0.15387876218736754,0.09877066553624417,0.00635862653666808,0.04747774480712166,0.04493429419245443,0.07079270877490462,0.03009749894022891,0.040695209834675714,0.30309453158117844,0.05426027977956761,0.11360746078846969,0.13522679101314117,0.0038151759220008477,0.0038151759220008477,1
3772,E02003938,0.2690833042872081,0.1519693272917393,0.1171139769954688,0.06761937957476473,0.04461484837922621,0.023004531195538514,0.6632973161380272,0.13454165214360406,0.12199372603694666,0.006622516556291391,0.05751132798884629,0.05785988149180899,0.08957825026141512,0.02753572673405368,0.06204252352736145,0.3119553851516208,0.05472289996514465,0.12582781456953643,0.1314046706169397,0.005228302544440571,0.005228302544440571,1
3773,E02003939,0.3520456707897241,0.19568664763717095,0.15635902315255312,0.0390104662226451,0.025055502695845226,0.013954963526799874,0.6089438629876308,0.1405011100539169,0.1014906438312718,0.003171582619727244,0.05835712020298129,0.039961941008563276,0.09007294640025372,0.037107516650808754,0.05296542974944497,0.27339042182048845,0.05550269584522677,0.11925150650174438,0.09863621947351729,0.0034887408816999684,0.0034887408816999684,1
3774,E02003940,0.25163636363636366,0.14436363636363636,0.10727272727272727,0.06909090909090909,0.04290909090909091,0.02618181818181818,0.6792727272727273,0.16254545454545455,0.09236363636363637,0.0076363636363636364,0.056,0.028727272727272726,0.07345454545454545,0.03272727272727273,0.04072727272727273,0.34654545454545455,0.06181818181818182,0.11345454545454546,0.17127272727272727,0.004363636363636364,0.004363636363636364,1
3775,E02003941,0.2926698769395399,0.13055109684323168,0.16211878009630817,0.06741573033707865,0.045211342964151954,0.0222043873729267,0.6399143927233815,0.10567148207597646,0.14312466559657572,0.006153023006955591,0.07517388978063136,0.06179775280898876,0.09443552701979668,0.03504547886570358,0.0593900481540931,0.29159978598180847,0.04253611556982344,0.1369716425896201,0.1120920278223649,0.005082932049224184,0.005082932049224184,1
3776,E02003942,0.324757004002287,0.1455117209834191,0.1792452830188679,0.06260720411663807,0.03459119496855346,0.02801600914808462,0.6126357918810749,0.08090337335620354,0.1460834762721555,0.009719839908519153,0.07089765580331618,0.06546598056032019,0.12835906232132646,0.03945111492281304,0.08890794739851343,0.24928530588907946,0.0440251572327044,0.1017724413950829,0.10348770726129217,0.008004574042309892,0.008004574042309892,1
3777,E02003943,0.3531954306884841,0.19481321395492435,0.15838221673355973,0.04878048780487805,0.03272615004631059,0.01605433775856746,0.5980240815066379,0.12380364309972214,0.10311824637233714,0.007409694350108058,0.05927755480086446,0.03643099722136462,0.12040753318925594,0.05557270762581044,0.06483482556344551,0.2494597097869713,0.05310280950910775,0.0811979005866008,0.11515899969126274,0.001234949058351343,0.001234949058351343,1
3778,E02003944,0.31023029229406557,0.16674047829938,0.14348981399468555,0.05336581045172719,0.03432240921169176,0.01904340124003543,0.6364038972542073,0.11935341009743136,0.1191319751992914,0.008635961027457928,0.05602302922940655,0.05447298494242692,0.11713906111603188,0.04738706820194863,0.06975199291408327,0.27723649247121346,0.05203720106288751,0.11536758193091232,0.10983170947741364,0.00354295837023915,0.00354295837023915,1
3779,E02003945,0.30431547619047616,0.1796875,0.12462797619047619,0.050967261904761904,0.02976190476190476,0.021205357142857144,0.6447172619047619,0.16666666666666666,0.08705357142857142,0.006324404761904762,0.04724702380952381,0.033482142857142856,0.07700892857142858,0.03459821428571429,0.04241071428571429,0.30952380952380953,0.05952380952380952,0.09486607142857142,0.15513392857142858,0.004464285714285714,0.004464285714285714,1
3780,E02003946,0.28399311531841653,0.16621588394393902,0.1177772313744775,0.05630686009343496,0.03565281534300467,0.020654044750430294,0.6597000245881485,0.13400540939267272,0.11605606097860831,0.008114089009097615,0.059011556429800834,0.04893041553970986,0.08679616424883206,0.036390459798377184,0.05040570445045488,0.3186624047209245,0.05827391197442833,0.12785837226456848,0.13253012048192772,0.004179985247110892,0.004179985247110892,1
3781,E02003947,0.2972972972972973,0.17013167013167013,0.12716562716562715,0.05544005544005544,0.033264033264033266,0.022176022176022176,0.6472626472626473,0.14656964656964658,0.10152460152460152,0.007623007623007623,0.05370755370755371,0.040194040194040194,0.08454608454608455,0.033264033264033266,0.05128205128205128,0.31046431046431044,0.057865557865557866,0.10533610533610534,0.14726264726264726,0.004158004158004158,0.004158004158004158,1
