,GEOGRAPHY_CODE,Main language is English (English or Welsh in Wales),Main language is not English (English or Welsh in Wales),Main language is not English (English or Welsh in Wales): Can speak English very well,Main language is not English (English or Welsh in Wales): Can speak English well,Main language is not English (English or Welsh in Wales): Cannot speak English,Main language is not English (English or Welsh in Wales): Cannot speak English well,Total: All usual residents aged 3 years and over
97,E02000101,0.6882359070542878,0.3117640929457122,0.11680733562571637,0.1258726685422528,0.009690528290090653,0.05939356048765239,9597.0
98,E02000102,0.616179435483871,0.38382056451612906,0.1280241935483871,0.1459173387096774,0.01663306451612903,0.09324596774193548,7936.0
99,E02000103,0.6917615119557272,0.30823848804427273,0.10880233893703666,0.13250495979951968,0.009501931711391876,0.05742925759632453,9577.0
100,E02000104,0.6494378941595832,0.3505621058404168,0.13751028242391006,0.14477652865368795,0.008774335069920482,0.05950095969289827,7294.0
101,E02000105,0.5994507235660717,0.4005492764339284,0.15770571458751453,0.16256469842611176,0.010985528678567657,0.06929333474173445,9467.0
102,E02000106,0.6026323721491008,0.39736762785089924,0.12518838541143373,0.16829096754747314,0.017783582839344923,0.08610469205264744,9953.0
103,E02000107,0.6812210566109064,0.3187789433890937,0.1349588885738588,0.12012097155278328,0.010112465740478216,0.05358661752197335,10581.0
104,E02000108,0.5980308219178082,0.4019691780821918,0.15739155251141554,0.1618150684931507,0.010416666666666666,0.0723458904109589,7008.0
105,E02000110,0.7330374128091313,0.26696258719086874,0.11629676601141407,0.09930247305009511,0.008877615726062143,0.0424857324032974,7885.0
106,E02000111,0.5424150317767339,0.4575849682232661,0.16109422492401215,0.18006815879156304,0.02321083172147002,0.09321175278622088,10857.0
107,E02000112,0.6313522067874099,0.3686477932125901,0.13240724459293124,0.1447160189906805,0.01415509055741164,0.07736943907156674,11374.0
108,E02000113,0.736510310930655,0.263489689069345,0.08847099049043701,0.10770381451009724,0.009830110054493002,0.05748477401431777,9359.0
109,E02000114,0.6774563820018366,0.32254361799816345,0.13751147842056932,0.1179981634527089,0.012855831037649219,0.05417814508723599,8712.0
110,E02000115,0.7332854061826024,0.26671459381739754,0.12964294272705487,0.08806613946800863,0.009465612269350587,0.039539899352983465,8346.0
111,E02000116,0.6414357221340495,0.3585642778659504,0.12074227811012087,0.13868880478574044,0.018923208399462824,0.0802099865706263,8191.0
112,E02000117,0.713363302002452,0.28663669799754804,0.09660809154066204,0.11769513690232938,0.008990600735594606,0.06334286881896199,12235.0
113,E02000118,0.506826720425181,0.49317327957481905,0.1507376523412444,0.18299276092733438,0.036012095665719786,0.12343077064052048,10913.0
114,E02000119,0.7387714987714987,0.2612285012285012,0.10122850122850123,0.09828009828009827,0.008943488943488943,0.052776412776412776,10175.0
115,E02000120,0.749138129165709,0.25086187083429096,0.12698230291886922,0.08182027120202252,0.004941392783268214,0.03711790393013101,8702.0
116,E02000121,0.49872773536895676,0.5012722646310432,0.16785411365564037,0.18006785411365564,0.03859202714164546,0.11475826972010178,11790.0
117,E02000122,0.7973790322580645,0.20262096774193547,0.10231854838709678,0.06577620967741936,0.0059223790322580645,0.02860383064516129,7936.0
118,E02000123,0.6989772553808579,0.30102274461914214,0.10624332163028545,0.12127919401618073,0.009845825064875592,0.06365440390780033,13102.0
119,E02000124,0.8102419101476594,0.18975808985234055,0.10315216253010787,0.05728348518169442,0.004084197298146403,0.025238244842391875,9549.0
120,E02000125,0.8125065356059814,0.18749346439401862,0.08470145351877026,0.06744745372790965,0.005960472655024574,0.029384084492314128,9563.0
121,E02000126,0.7580178593887561,0.24198214061124387,0.11344484970443969,0.08879386240724438,0.006791598541064017,0.032951829958495785,7951.0
122,E02000127,0.8830298290693778,0.11697017093062227,0.06088705172606413,0.03787286336722154,0.0017875097754440844,0.016422746061892524,8951.0
123,E02000128,0.9329317269076305,0.06706827309236948,0.040829986613119144,0.01820615796519411,0.0009370816599732262,0.007095046854082999,7470.0
124,E02000130,0.8995795201582983,0.1004204798417017,0.0504575810042048,0.03351471679445956,0.001978728666831561,0.014469453376205787,8086.0
125,E02000131,0.8633115249119275,0.13668847508807247,0.0778057372924006,0.04026170105686965,0.002315047810770005,0.01630598892803221,9935.0
126,E02000132,0.8771222410865874,0.12287775891341256,0.07618845500848896,0.03384974533106961,0.0018039049235993208,0.011035653650254669,9424.0
127,E02000133,0.9496831188784329,0.05031688112156712,0.034568849625504126,0.010754753216823508,0.0004801229114653351,0.00451315536777415,10414.0
128,E02000134,0.8658731568662285,0.13412684313377154,0.07372535086160953,0.04263634748623201,0.0023094688221709007,0.015455675963759104,11258.0
129,E02000135,0.8546450389719823,0.1453549610280177,0.0647777543711818,0.054455445544554455,0.0042131872761744255,0.021908573836107014,9494.0
