,GEOGRAPHY_CODE,Full-time,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked,Part-time,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked,Total: All usual residents aged 16 years and over in employment the week before the census
27,E02000029,0.6610426130218473,0.5520224962145793,0.109020116807268,0.3389573869781527,0.12048453385247675,0.21847285312567596,1
28,E02000030,0.6852571428571429,0.5090285714285714,0.17622857142857143,0.31474285714285716,0.1321142857142857,0.18262857142857142,1
29,E02000031,0.7261177620327388,0.5629122892743709,0.16320547275836794,0.2738822379672612,0.1131199609088688,0.16076227705839238,1
30,E02000032,0.6840717299578059,0.5603902953586498,0.12368143459915612,0.3159282700421941,0.11524261603375527,0.20068565400843882,1
31,E02000033,0.673578751164958,0.565004659832246,0.10857409133271202,0.3264212488350419,0.1206896551724138,0.20573159366262814,1
32,E02000034,0.6765765765765765,0.5502252252252252,0.12635135135135134,0.32342342342342345,0.12635135135135134,0.19707207207207209,1
33,E02000035,0.7036351007177587,0.5686501504978004,0.13498495021995832,0.29636489928224125,0.12410280157443852,0.17226209770780274,1
34,E02000036,0.6646364674533689,0.547773125237914,0.11686334221545489,0.33536353254663115,0.12409592691282832,0.2112676056338028,1
35,E02000037,0.6532128514056225,0.5144578313253012,0.13875502008032128,0.34678714859437754,0.1285140562248996,0.21827309236947792,1
36,E02000038,0.6700381679389313,0.5389312977099237,0.13110687022900763,0.3299618320610687,0.13263358778625955,0.19732824427480916,1
37,E02000039,0.6766704416761042,0.49546998867497166,0.1812004530011325,0.3233295583238958,0.13080407701019253,0.19252548131370328,1
38,E02000040,0.706765181251443,0.5578388362964674,0.14892634495497575,0.2932348187485569,0.12468252135765412,0.1685522973909028,1
39,E02000041,0.6390625,0.5272321428571428,0.11183035714285715,0.3609375,0.13392857142857142,0.22700892857142857,1
40,E02000042,0.696627197703624,0.5679942590599211,0.1286329386437029,0.30337280229637603,0.12701829924650163,0.1763545030498744,1
41,E02000043,0.7244224422442245,0.5467546754675467,0.17766776677667767,0.2755775577557756,0.11303630363036303,0.16254125412541254,1
42,E02000044,0.6673809523809524,0.545952380952381,0.12142857142857143,0.3326190476190476,0.12380952380952381,0.2088095238095238,1
