,GEOGRAPHY_CODE,1 person in the household previously served in UK armed forces,2 people in the household previously served in UK armed forces,3 or more people in the household previously served in UK armed forces,No people in the household previously served in UK armed forces,Total: All households
1772,E02001855,0.05058180954642603,0.0007124198527665638,0.0,0.9487057706008074,1
1773,E02001856,0.027977839335180055,0.000554016620498615,0.0,0.9714681440443214,1
1774,E02001857,0.02977578475336323,0.0007174887892376681,0.0,0.9695067264573991,1
1775,E02001858,0.020117610646858557,0.0006190034045187249,0.00030950170225936243,0.9789538842463633,1
1776,E02001859,0.013974096796182686,0.0010224948875255625,0.0,0.9850034083162917,1
1777,E02001860,0.0222953216374269,0.0003654970760233918,0.0,0.9773391812865497,1
1778,E02001861,0.01694428489373923,0.0002871912693854107,0.0,0.9827685238368754,1
1779,E02001862,0.011753789050417568,0.0,0.0,0.9882462109495824,1
1780,E02001863,0.015132924335378323,0.001226993865030675,0.00040899795501022495,0.9832310838445808,1
1781,E02001865,0.011265935369107619,0.0008894159501927068,0.0,0.9878446486806997,1
1782,E02001866,0.015663937344250624,0.0,0.0,0.9843360626557494,1
1783,E02001867,0.010042487446890692,0.0,0.0,0.9899575125531093,1
1784,E02001868,0.03765690376569038,0.0015214910612400153,0.0003803727653100038,0.9604412324077596,1
1785,E02001869,0.018496180136710897,0.0,0.0,0.981503819863289,1
1786,E02001870,0.027267668336115748,0.0013912075681691708,0.0,0.971341124095715,1
1787,E02001871,0.052261871312166336,0.0014048890137679123,0.0,0.9463332396740658,1
1788,E02001872,0.05319493999351281,0.0012974375608173856,0.0,0.9455076224456698,1
1789,E02001873,0.018588294398392362,0.00025119316754584274,0.00025119316754584274,0.9809093192665159,1
1790,E02001874,0.020499440924338426,0.0007454342154304882,0.0,0.9787551248602311,1
1791,E02001875,0.02218170768763294,0.00030385900941962927,0.0,0.9775144333029474,1
1792,E02001876,0.012271611671666212,0.0024543223343332426,0.0,0.9852740659940006,1
1793,E02001877,0.015525982256020279,0.0003168567807351077,0.0,0.9841571609632446,1
1794,E02001878,0.012919896640826873,0.0011074197120708748,0.0,0.9859726836471022,1
1795,E02001879,0.019344262295081967,0.0003278688524590164,0.0,0.980327868852459,1
1796,E02001880,0.03467365967365967,0.0008741258741258741,0.0,0.9644522144522144,1
1797,E02001881,0.018326417704011066,0.0013831258644536654,0.0,0.9802904564315352,1
1798,E02001882,0.03731815306767868,0.0006325110689437065,0.0,0.9620493358633776,1
1799,E02001883,0.04771097628240485,0.000827357970215113,0.0,0.95146166574738,1
1800,E02001884,0.012484897301651228,0.0004027386226339106,0.0,0.9871123640757149,1
1801,E02001886,0.028530259365994237,0.00028818443804034583,0.0,0.9711815561959655,1
1802,E02001888,0.046703296703296704,0.0015698587127158557,0.0,0.9517268445839875,1
1803,E02001889,0.013826940231935772,0.0008920606601248885,0.0,0.9852809991079393,1
1804,E02001890,0.031335149863760216,0.0006811989100817438,0.0,0.967983651226158,1
1805,E02001892,0.028546712802768166,0.0,0.0,0.9714532871972318,1
1806,E02001893,0.049066160177271285,0.0015827793605571383,0.00031655587211142766,0.9490345045900601,1
1807,E02001895,0.05060785976816511,0.0019790783149561775,0.0005654509471303364,0.9468476109697483,1
1808,E02001896,0.01166407465007776,0.00038880248833592535,0.0,0.9879471228615864,1
1809,E02001897,0.012119113573407203,0.0,0.0,0.9878808864265928,1
1810,E02001898,0.05431067223699203,0.001139384732244588,0.0,0.9445499430307633,1
1811,E02001899,0.04902789518174133,0.0016906170752324597,0.0,0.9492814877430262,1
1812,E02001900,0.03176341730558598,0.001095290251916758,0.0,0.9671412924424972,1
1813,E02001901,0.031733333333333336,0.0008,0.0,0.9674666666666667,1
1814,E02001902,0.043866774979691305,0.0008123476848090983,0.0,0.9553208773354996,1
1815,E02001903,0.012741859367626238,0.0,0.0,0.9872581406323737,1
1816,E02001904,0.02783072817384674,0.0007624857033930614,0.0,0.9714067861227602,1
1817,E02001905,0.03513411409142425,0.0011333585190782018,0.0,0.9637325273894976,1
1818,E02001906,0.06162970603403816,0.0007735946364105209,0.0,0.9375966993295514,1
1819,E02001907,0.06052332195676906,0.002502844141069397,0.0,0.9369738339021616,1
1820,E02001908,0.015829941203075532,0.0,0.0004522840343735866,0.9837177747625508,1
1821,E02001909,0.012241452089489235,0.0008442380751371887,0.0,0.9869143098353735,1
1822,E02001910,0.01835253947930004,0.0,0.0,0.9816474605207,1
1823,E02001911,0.04189074440984999,0.0016982734220209455,0.0,0.956410982168129,1
1824,E02001913,0.04030226700251889,0.0012594458438287153,0.0,0.9584382871536524,1
1825,E02001914,0.027237354085603113,0.0008646779074794639,0.0,0.9718979680069174,1
1826,E02001915,0.034763163244561905,0.0006098800569221387,0.0,0.964626956698516,1
1827,E02001916,0.03168492745039976,0.0,0.0,0.9683150725496003,1
1828,E02001918,0.02894538132393657,0.0005033979360684622,0.0002516989680342311,0.9702995217719608,1
1829,E02001919,0.029018709431080564,0.001145475372279496,0.0,0.96983581519664,1
1830,E02001920,0.04664813098548038,0.0009267840593141798,0.0,0.9524250849552054,1
1831,E02001921,0.05380742605412209,0.0,0.0,0.9461925739458779,1
1832,E02001922,0.028555111364934323,0.001142204454597373,0.0,0.9703026841804683,1
1833,E02001923,0.029114676173499703,0.00089126559714795,0.0,0.9699940582293524,1
1834,E02001924,0.03554313099041533,0.0023961661341853034,0.0011980830670926517,0.9608626198083067,1
1835,E02001925,0.04476559746210786,0.0007049700387733521,0.0,0.9545294324991188,1
1836,E02001926,0.028460543337645538,0.00129366106080207,0.0,0.9702457956015524,1
1837,E02001927,0.04251079375622717,0.0019926934573231483,0.0,0.9554965127864496,1
1838,E02001928,0.05031656114628457,0.0023325558147284237,0.0,0.947350883038987,1
1839,E02001929,0.032180209171359615,0.0005363368195226602,0.0,0.9672834540091177,1
1840,E02001930,0.038006230529595016,0.00031152647975077883,0.0,0.9616822429906542,1
1841,E02001931,0.039457070707070704,0.000946969696969697,0.0003156565656565657,0.959280303030303,1
1842,E02001932,0.05174096973641393,0.0009762447120078099,0.0003254149040026033,0.9469573706475757,1
1843,E02001933,0.04375396322130628,0.0009511731135066582,0.0,0.955294863665187,1
1844,E02001934,0.031004366812227076,0.0,0.0,0.9689956331877729,1
1845,E02001935,0.0619091186337298,0.001219884111009454,0.0,0.9368709972552608,1
1846,E02001936,0.055229142185663924,0.0019584802193497847,0.0,0.9428123775949863,1
1847,E02001937,0.047224777675559645,0.0009199632014719411,0.0,0.9518552591229684,1
1848,E02001938,0.044716604955853036,0.0005696382796923954,0.0,0.9547137567644546,1
1849,E02001939,0.05704157267160812,0.0003222687721559781,0.0,0.942636158556236,1
1850,E02001941,0.04597701149425287,0.0011890606420927466,0.0,0.9528339278636544,1
1851,E02001942,0.04717607973421927,0.0009966777408637873,0.0,0.9518272425249169,1
1852,E02001943,0.050397877984084884,0.0011367942402425162,0.0,0.9484653277756726,1
1853,E02001944,0.04868035190615836,0.001466275659824047,0.0,0.9498533724340176,1
1854,E02001945,0.04978709466098919,0.00032754667540124465,0.0,0.9498853586636096,1
1855,E02001946,0.06199376947040498,0.002803738317757009,0.0,0.935202492211838,1
1856,E02001947,0.046223224351747465,0.000751597143930853,0.0,0.9530251785043217,1
1857,E02001948,0.058360655737704915,0.0009836065573770492,0.0003278688524590164,0.940327868852459,1
1858,E02001949,0.05165912518853695,0.0026395173453996985,0.0,0.9457013574660633,1
1859,E02001950,0.0553306342780027,0.0024291497975708503,0.0,0.9422402159244264,1
1860,E02001951,0.053384418901660284,0.0020434227330779057,0.0,0.9445721583652618,1
1861,E02001952,0.046318868844466114,0.0,0.0,0.9536811311555339,1
1862,E02001953,0.05886379192334018,0.002053388090349076,0.0,0.9390828199863107,1
1863,E02001954,0.05001534212948757,0.0003068425897514575,0.0,0.949677815280761,1
1864,E02001955,0.05432937181663837,0.0014148273910582908,0.0,0.9442558007923033,1
1865,E02001956,0.05719298245614035,0.0007017543859649122,0.0,0.9421052631578948,1
1866,E02001957,0.06005377950403346,0.0023902001792650133,0.0,0.9375560203167015,1
1867,E02001958,0.050603118564283615,0.0014710208884966167,0.0,0.9479258605472197,1
1868,E02001959,0.056589147286821705,0.0011627906976744186,0.0,0.9422480620155039,1
1869,E02001961,0.03948576675849403,0.0015304560759106215,0.00030609121518212427,0.9586776859504132,1
1870,E02001962,0.03242594075260208,0.0008006405124099279,0.0,0.966773418734988,1
1871,E02001963,0.06466876971608833,0.0003943217665615142,0.0,0.9349369085173501,1
1872,E02001964,0.04620222544750847,0.0016932752781809385,0.00024189646831156264,0.951862602805999,1
1873,E02001965,0.06111603188662533,0.001771479185119575,0.0,0.937112488928255,1
1874,E02001966,0.01335113484646195,0.0004450378282153983,0.0,0.9862038273253226,1
1875,E02001967,0.07560975609756097,0.0027874564459930314,0.0,0.921602787456446,1
1876,E02001968,0.04008293020041465,0.002073255010366275,0.0,0.9578438147892191,1
1877,E02001969,0.0447260529258293,0.002609019754006709,0.0,0.952664927320164,1
1878,E02001970,0.0717382735514387,0.0035474970437524636,0.0,0.9247142294048089,1
1879,E02001971,0.04911433172302738,0.0012077294685990338,0.00040257648953301127,0.9492753623188406,1
1880,E02001972,0.014517716535433071,0.0,0.00024606299212598425,0.985236220472441,1
1881,E02001973,0.033839977057642676,0.0008603383997705764,0.0,0.9652996845425867,1
1882,E02001974,0.05502028397565923,0.002028397565922921,0.0,0.9429513184584178,1
1883,E02001975,0.04855371900826446,0.0024104683195592287,0.0,0.9490358126721763,1
1884,E02001976,0.05332056194125159,0.0006385696040868455,0.0,0.9460408684546615,1
1885,E02001977,0.032227261876342804,0.00047744091668656003,0.0,0.9672952972069706,1
1886,E02001978,0.041408668730650154,0.0003869969040247678,0.0,0.958204334365325,1
1887,E02001979,0.07743271221532091,0.002484472049689441,0.0,0.9200828157349896,1
1888,E02001980,0.07908063887806778,0.0007791195948578107,0.0,0.9201402415270744,1
1889,E02001981,0.02040816326530612,0.000687915615684476,0.0,0.9789039211190094,1
1890,E02001982,0.0625174434831147,0.0016745743790120011,0.00027909572983533354,0.935528886408038,1
1891,E02001983,0.06436710809978442,0.001539882968894364,0.0,0.9340930089313212,1
1892,E02001984,0.03894790085988872,0.0020232675771370764,0.0,0.9590288315629742,1
1893,E02001985,0.033344124312075105,0.0003237293622531564,0.0,0.9663321463256718,1
1894,E02001986,0.054963084495488104,0.0013672409078479629,0.0,0.943669674596664,1
1895,E02001987,0.04246131702051097,0.0,0.0,0.9575386829794891,1
1896,E02001988,0.025611175785797437,0.0005820721769499418,0.0002910360884749709,0.9735157159487776,1
1897,E02001989,0.06042654028436019,0.001579778830963665,0.0,0.9379936808846762,1
1898,E02001990,0.06877022653721683,0.003236245954692557,0.00026968716289104636,0.9277238403451996,1
1899,E02001991,0.04664642561413194,0.0002760143527463428,0.0,0.9530775600331217,1
1900,E02001992,0.054558506819813356,0.0011964584828906438,0.0,0.944245034697296,1
1901,E02001993,0.04856711915535445,0.0009049773755656109,0.0,0.9505279034690799,1
1902,E02001994,0.0501230012300123,0.0018450184501845018,0.0,0.9480319803198032,1
1903,E02001995,0.04276069017254314,0.0017504376094023505,0.0,0.9554888722180546,1
1904,E02001996,0.051667167317512766,0.0009011715229798738,0.0,0.9474316611595074,1
1905,E02001997,0.05573481959518921,0.0017600469345849222,0.0,0.9425051334702259,1
1906,E02001998,0.06326444538169548,0.001687051876845213,0.0,0.9350485027414593,1
1907,E02001999,0.045205479452054796,0.0018264840182648401,0.0,0.9529680365296803,1
1908,E02002000,0.05921233819884329,0.0002754062241806665,0.0,0.940512255576976,1
1909,E02002001,0.061027423715720355,0.0011587485515643105,0.0,0.9378138277327154,1
1910,E02002002,0.08691341705221414,0.0016523463317911435,0.0,0.9114342366159948,1
1911,E02002003,0.062319979052107885,0.0005236973029588898,0.0,0.9371563236449332,1
1912,E02002004,0.0516025641025641,0.0009615384615384616,0.0,0.9474358974358974,1
1913,E02002005,0.04334621755935947,0.0002760905577029266,0.0,0.9563776918829376,1
1914,E02002006,0.046286701208981,0.0010362694300518134,0.0,0.9526770293609672,1
1915,E02002007,0.07533383723859914,0.0007558578987150416,0.0002519526329050139,0.9236583522297808,1
1916,E02002008,0.0569283703472005,0.0015639662183296842,0.0,0.9415076634344698,1
1917,E02002009,0.036039453717754175,0.0018968133535660092,0.0,0.9620637329286799,1
1918,E02002010,0.040574109853712396,0.0008280430582390284,0.0,0.9585978470880486,1
1919,E02002011,0.06607760276603919,0.001536688436419516,0.0,0.9323857087975413,1
1920,E02002012,0.05254424778761062,0.0005530973451327434,0.0,0.9469026548672567,1
1921,E02002013,0.07703230386936458,0.002129925452609159,0.0,0.9208377706780263,1
1922,E02002014,0.033796588755527476,0.0003158559696778269,0.0003158559696778269,0.9655716993051169,1
1923,E02002015,0.05898305084745763,0.0023728813559322033,0.0,0.9386440677966101,1
1924,E02002016,0.04912597950572634,0.0003013863773357444,0.0,0.9505726341169379,1
1925,E02002017,0.04211757823925124,0.0014624159110851126,0.0,0.9564200058496637,1
1926,E02002018,0.07042633567188343,0.0010793308148947653,0.0,0.9284943335132217,1
1927,E02002019,0.05275080906148867,0.001941747572815534,0.0,0.9453074433656958,1
1928,E02002020,0.06601987695220066,0.001893043066729768,0.0,0.9320870799810695,1
1929,E02002021,0.03854389721627409,0.0008029978586723769,0.0,0.9606531049250535,1
1930,E02002022,0.04567436861902203,0.0018807092960773778,0.0,0.9524449220849006,1
1931,E02002023,0.07078507078507079,0.001287001287001287,0.0,0.9279279279279279,1
1932,E02002024,0.05648478201261311,0.0016451878256100905,0.00027419797093501506,0.9415958321908418,1
