,GEOGRAPHY_CODE,A caravan or other mobile or temporary structure,Detached,"In a commercial building, for example, in an office building, hotel or over a shop",In a purpose-built block of flats or tenement,"Part of a converted or shared house, including bedsits","Part of another converted building, for example, former school, church or warehouse",Semi-detached,Terraced,Total
3416,E02003572,0.00040048057669203043,0.3784541449739688,0.017220664797757308,0.092110532639167,0.0408490188225871,0.006808169803764518,0.35522627152583097,0.10893071686023229,1
3417,E02003573,0.0012030075187969924,0.22105263157894736,0.005112781954887218,0.32962406015037593,0.005714285714285714,0.0003007518796992481,0.18947368421052632,0.2475187969924812,1
3418,E02003574,0.0008748906386701663,0.20939049285505978,0.003499562554680665,0.1714785651793526,0.016331291921843103,0.0011665208515602217,0.40594925634295714,0.19130941965587636,1
3419,E02003575,0.0,0.09026798307475317,0.001763046544428773,0.46297602256699577,0.007404795486600846,0.0003526093088857546,0.21755994358251057,0.2196755994358251,1
3420,E02003576,0.0017366136034732273,0.07178002894356006,0.010998552821997106,0.2552821997105644,0.047178002894356,0.005209840810419681,0.31606367583212736,0.2917510853835022,1
3421,E02003578,0.00510204081632653,0.1924198250728863,0.004373177842565598,0.15597667638483964,0.026239067055393587,0.0010932944606413995,0.446064139941691,0.16873177842565598,1
3422,E02003579,0.00023380874444704232,0.13350479307926116,0.009352349777881692,0.3303717559036708,0.050035071311667054,0.008417114800093524,0.30044423661444936,0.16764086976852935,1
3423,E02003580,0.00038211692777990065,0.04088651127244937,0.0019105846388995033,0.4776461597248758,0.014138326327856323,0.0,0.17195261750095528,0.2930836836071838,1
3424,E02003581,0.0010893246187363835,0.11328976034858387,0.01579520697167756,0.1721132897603486,0.047113289760348585,0.012799564270152506,0.264161220043573,0.37363834422657954,1
3425,E02003582,0.006680919294494923,0.4706039551042223,0.0018706574024585784,0.026990913949759488,0.009086050240513094,0.0005344735435595938,0.3872260823089257,0.09700694815606628,1
3426,E02003583,0.04090909090909091,0.25369318181818185,0.008238636363636363,0.13721590909090908,0.01534090909090909,0.004829545454545454,0.3181818181818182,0.2215909090909091,1
3427,E02003584,0.000609942055504727,0.1171088746569076,0.04544068313510217,0.2802683745044221,0.23604757548032937,0.051540103690149434,0.19579139981701738,0.07319304666056725,1
3428,E02003585,0.014862681744749596,0.5618739903069467,0.003554119547657512,0.05072697899838449,0.01615508885298869,0.0029079159935379646,0.2323101777059774,0.11760904684975768,1
3429,E02003586,0.004995592124595945,0.31913017925359977,0.004995592124595945,0.06758742286218043,0.04760505436379665,0.015280634734058184,0.4087569791360564,0.13164854540111667,1
3430,E02003587,0.0007814535035165407,0.20760614743422767,0.004949205522271425,0.2034383954154728,0.03620734566293306,0.011721802552748111,0.39749934878874704,0.13779630112008334,1
3431,E02003588,0.004965517241379311,0.24358620689655172,0.0016551724137931034,0.1307586206896552,0.014896551724137931,0.003586206896551724,0.3660689655172414,0.23448275862068965,1
3432,E02003589,0.003748558246828143,0.0989042675893887,0.027970011534025375,0.22058823529411764,0.028546712802768166,0.012110726643598616,0.25403690888119956,0.35409457900807384,1
3433,E02003590,0.00562429696287964,0.5742407199100112,0.005905511811023622,0.07058492688413948,0.02784026996625422,0.007592800899887514,0.23059617547806524,0.07761529808773904,1
3434,E02003591,0.006701414743112435,0.3286175229585505,0.0037230081906180195,0.1164060560933234,0.014643832216430876,0.011665425663936461,0.3286175229585505,0.18962521717547778,1
