,GEOGRAPHY_CODE,Can speak Welsh,Cannot speak Welsh,Total: All usual residents aged 3 years and over
42,W02000043,0.14658555729984302,0.853414442700157,1
43,W02000044,0.16178172001542615,0.8382182799845739,1
44,W02000045,0.11011162891514036,0.8898883710848596,1
45,W02000047,0.11816479400749064,0.8818352059925093,1
46,W02000049,0.1903878844073559,0.8096121155926441,1
47,W02000050,0.17338904065563232,0.8266109593443677,1
48,W02000051,0.2339644513137558,0.7660355486862442,1
49,W02000052,0.2790649565577162,0.7209350434422839,1
50,W02000053,0.41132686084142395,0.588673139158576,1
51,W02000054,0.29216112318235,0.70783887681765,1
52,W02000055,0.3784175267065001,0.6215824732934999,1
53,W02000056,0.44486166007905137,0.5551383399209486,1
54,W02000057,0.30149597238204834,0.6985040276179517,1
55,W02000058,0.17118201886413806,0.8288179811358619,1
56,W02000059,0.1598245064243184,0.8401754935756816,1
57,W02000060,0.11793588139019928,0.8820641186098007,1
58,W02000061,0.10818553888130969,0.8918144611186903,1
59,W02000062,0.11856710393541876,0.8814328960645812,1
60,W02000063,0.17201863745120263,0.8279813625487974,1
61,W02000064,0.07442489851150202,0.925575101488498,1
62,W02000065,0.08270569845104447,0.9172943015489555,1
63,W02000066,0.07543601596974155,0.9245639840302584,1
64,W02000067,0.09386771131535332,0.9061322886846467,1
65,W02000068,0.06848233668837576,0.9315176633116242,1
66,W02000069,0.1245708680725846,0.8754291319274154,1
67,W02000070,0.09838430467397577,0.9016156953260243,1
68,W02000071,0.12697951474647684,0.8730204852535232,1
69,W02000072,0.06825817860300619,0.9317418213969938,1
70,W02000073,0.1838428831747317,0.8161571168252683,1
71,W02000074,0.09989528795811518,0.9001047120418848,1
72,W02000075,0.11177227404310068,0.8882277259568994,1
73,W02000076,0.15619314205738277,0.8438068579426172,1
74,W02000077,0.1254431875738646,0.8745568124261354,1
75,W02000080,0.11847968545216252,0.8815203145478375,1
76,W02000081,0.1296522802725843,0.8703477197274156,1
77,W02000082,0.11301416048550236,0.8869858395144976,1
78,W02000083,0.15174307545367718,0.8482569245463228,1
79,W02000085,0.10712237641931414,0.8928776235806859,1
80,W02000087,0.08613094333890324,0.9138690566610967,1
81,W02000088,0.12086997860708343,0.8791300213929165,1
82,W02000089,0.11460728548953164,0.8853927145104683,1
83,W02000090,0.1743997111391948,0.8256002888608052,1
84,W02000091,0.14842578710644677,0.8515742128935532,1
85,W02000092,0.20113706207744314,0.7988629379225568,1
86,W02000093,0.12125959580134733,0.8787404041986526,1
87,W02000094,0.11315483119906869,0.8868451688009313,1
88,W02000095,0.07940565585556798,0.920594344144432,1
89,W02000096,0.1573853720450579,0.8426146279549421,1
90,W02000097,0.2893724585119244,0.7106275414880756,1
91,W02000098,0.11520209458353788,0.8847979054164621,1
92,W02000099,0.11274813895781638,0.8872518610421837,1
93,W02000100,0.4888521882741536,0.5111478117258464,1
94,W02000101,0.1,0.9,1
95,W02000102,0.2585690515806988,0.7414309484193011,1
96,W02000103,0.09340659340659341,0.9065934065934066,1
97,W02000104,0.12508294625082947,0.8749170537491705,1
98,W02000105,0.1193158953722334,0.8806841046277666,1
99,W02000106,0.17111286503551698,0.8288871349644831,1
100,W02000107,0.0695142378559464,0.9304857621440537,1
101,W02000108,0.10498650376473931,0.8950134962352607,1
