,GEOGRAPHY_CODE,Establishment not stated,Medical and care establishment,Medical and care establishment: Local Authority: Care home with nursing,Medical and care establishment: Local Authority: Care home without nursing,Medical and care establishment: Local Authority: Children's home (including secure units),Medical and care establishment: Local Authority: Other home,Medical and care establishment: NHS: General hospital,Medical and care establishment: NHS: Mental health hospital or unit (including secure units),Medical and care establishment: NHS: Other hospital,Medical and care establishment: Other: Care home with nursing,Medical and care establishment: Other: Care home without nursing,Medical and care establishment: Other: Children's home (including secure units),Medical and care establishment: Other: Mental health hospital or unit (including secure units),Medical and care establishment: Other: Other establishment,Medical and care establishment: Other: Other hospital,Medical and care establishment: Registered Social Landlord or Housing Association: Home or hostel,Medical and care establishment:Local Authority,Medical and care establishment:NHS,Medical and care establishment:Other,Medical and care establishment:Registered Social Landlord or Housing Association,Other establishment,Other establishment: Approved premises (probation or bail hostel),Other establishment: Defence,Other establishment: Detention centres and other detention,Other establishment: Education,Other establishment: Holiday accommodation,Other establishment: Hostel or temporary shelter for the homeless,"Other establishment: Hotel, guest house, B&B or youth hostel",Other establishment: Other travel or temporary accommodation,Other establishment: Prison service,Other establishment: Religious,Other establishment: Staff or worker accommodation or Other,Total
2540,E02002994,0.0,0.17406143344709898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08532423208191127,0.08873720136518772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17406143344709898,0.0,0.825938566552901,0.0,0.0,0.0,0.825938566552901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2541,E02002995,0.0125,0.3958333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.058333333333333334,0.17083333333333334,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.22916666666666666,0.0,0.5916666666666667,0.0,0.0,0.0,0.43333333333333335,0.0,0.15833333333333333,0.0,0.0,0.0,0.0,0.0,1
2542,E02002996,0.023084025854108958,0.02123730378578024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018467220683287166,0.002770083102493075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02123730378578024,0.0,0.9556786703601108,0.0,0.0,0.0,0.9409048938134811,0.0,0.0,0.007694675284702986,0.0,0.0,0.0,0.007079101261926747,1
2543,E02002997,0.0058309037900874635,0.08454810495626822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08454810495626822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08454810495626822,0.0,0.9096209912536443,0.0,0.0,0.0,0.892128279883382,0.0,0.01749271137026239,0.0,0.0,0.0,0.0,0.0,1
2544,E02002998,0.09859154929577464,0.9014084507042254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9014084507042254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9014084507042254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2545,E02003000,0.026785714285714284,0.9107142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9107142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9107142857142857,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,1
2546,E02003001,0.0,0.7961165048543689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7961165048543689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7961165048543689,0.0,0.20388349514563106,0.0,0.0,0.0,0.0,0.0,0.0,0.1262135922330097,0.0,0.0,0.0,0.07766990291262135,1
2547,E02003002,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.9642857142857143,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2548,E02003003,0.029850746268656716,0.7611940298507462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7611940298507462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7611940298507462,0.0,0.208955223880597,0.0,0.0,0.0,0.208955223880597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2549,E02003004,0.011235955056179775,0.9438202247191011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8314606741573034,0.11235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9438202247191011,0.0,0.0449438202247191,0.0,0.0,0.0,0.0,0.0,0.0,0.0449438202247191,0.0,0.0,0.0,0.0,1
