,GEOGRAPHY_CODE,Usual residents per square kilometre
480,E02000510,4277.7
481,E02000511,4158.6
482,E02000512,6269.0
483,E02000513,6633.6
484,E02000514,8900.9
485,E02000515,4216.5
486,E02000516,5224.5
487,E02000517,6767.1
488,E02000518,3817.4
489,E02000519,5259.0
490,E02000520,3224.6
491,E02000521,5374.9
492,E02000522,6100.1
493,E02000523,6906.9
494,E02000524,367.4
495,E02000525,2473.7
496,E02000526,9345.6
497,E02000529,8221.4
498,E02000530,2981.8
499,E02000531,4527.3
500,E02000532,3920.0
501,E02000533,7912.2
502,E02000534,1758.6
503,E02000535,6485.6
504,E02000536,6749.1
505,E02000537,5214.2
506,E02000538,4291.5
507,E02000539,7425.6
508,E02000540,9666.7
509,E02000541,10069.2
510,E02000542,11762.0
511,E02000543,12233.3
512,E02000544,6175.2
513,E02000545,7037.7
514,E02000546,4238.4
515,E02000547,3369.3
516,E02000548,2997.3
517,E02000549,5106.5
518,E02000550,11335.4
519,E02000551,4578.4
520,E02000552,3025.4
521,E02000553,2821.2
522,E02000554,14685.3
523,E02000555,16056.0
524,E02000556,17510.8
525,E02000557,12394.9
526,E02000558,19619.4
527,E02000559,16609.5
528,E02000560,14619.4
529,E02000561,12040.7
530,E02000562,12137.3
531,E02000563,14966.4
532,E02000564,15377.0
533,E02000565,16654.3
534,E02000566,12215.9
535,E02000567,15710.4
536,E02000568,12560.4
537,E02000569,14190.5
538,E02000570,13782.4
539,E02000571,17861.9
540,E02000572,18765.3
541,E02000573,14250.4
542,E02000574,12879.0
543,E02000575,12169.8
544,E02000576,14117.7
545,E02000577,8849.0
546,E02000578,11687.8
547,E02000579,14730.5
548,E02000580,19931.8
549,E02000581,17134.9
550,E02000582,13407.8
551,E02000583,11167.5
552,E02000584,7870.8
553,E02000585,8908.5
554,E02000586,12324.4
555,E02000587,12437.3
556,E02000588,7800.5
557,E02000589,19552.3
558,E02000590,12972.9
559,E02000591,17221.3
560,E02000592,10156.8
561,E02000593,14839.4
562,E02000594,8343.4
563,E02000595,9699.4
564,E02000596,12083.3
565,E02000597,16040.5
566,E02000598,6083.6
567,E02000599,1686.5
568,E02000600,7564.2
569,E02000601,11112.8
570,E02000602,9571.2
571,E02000603,6524.1
572,E02000604,6029.1
573,E02000605,5902.9
574,E02000606,7050.1
575,E02000607,4716.1
576,E02000608,8765.4
577,E02000609,5174.0
578,E02000610,7146.2
579,E02000611,4135.6
580,E02000612,4372.8
581,E02000613,6725.7
582,E02000614,3147.4
583,E02000615,4817.5
584,E02000616,4620.7
585,E02000617,1252.6
586,E02000619,16582.8
587,E02000620,13499.2
588,E02000621,17174.2
589,E02000622,10789.6
590,E02000623,17136.9
591,E02000624,16729.2
592,E02000625,16779.1
593,E02000626,15045.0
594,E02000627,18154.7
595,E02000628,16445.6
596,E02000629,14212.0
597,E02000630,11108.2
598,E02000631,8947.0
599,E02000632,18151.9
600,E02000633,14500.6
601,E02000634,12994.2
602,E02000635,7896.3
603,E02000636,8353.5
604,E02000637,14384.5
605,E02000638,14968.6
606,E02000639,14241.0
607,E02000640,11359.2
608,E02000641,14129.0
609,E02000642,9047.2
610,E02000643,13395.2
611,E02000644,9421.7
612,E02000645,8413.2
613,E02000646,10021.1
614,E02000647,8881.5
615,E02000648,11111.9
616,E02000649,12043.4
617,E02000650,9926.2
618,E02000651,7803.9
619,E02000652,10998.1
620,E02000653,18645.4
621,E02000654,9287.5
622,E02000655,10508.9
623,E02000657,11336.7
624,E02000658,11135.7
625,E02000659,7859.4
626,E02000660,10100.9
627,E02000661,5046.2
628,E02000662,10772.7
629,E02000663,10361.3
630,E02000665,10189.9
631,E02000666,7550.7
632,E02000667,9193.0
633,E02000668,6798.1
634,E02000669,12413.6
635,E02000670,10790.0
636,E02000671,8790.1
637,E02000672,8860.5
638,E02000673,7676.9
639,E02000674,10341.3
640,E02000675,5949.2
641,E02000676,10480.0
642,E02000677,6865.4
643,E02000678,6736.7
644,E02000679,8664.1
645,E02000680,9170.0
646,E02000681,6258.7
647,E02000682,7504.0
648,E02000683,7056.6
649,E02000685,8407.6
650,E02000686,4353.3
651,E02000687,10636.9
652,E02000689,4645.7
653,E02000690,1022.6
654,E02000691,7923.1
655,E02000692,6690.3
656,E02000693,9406.2
657,E02000694,11754.9
658,E02000695,10712.9
659,E02000696,11646.4
660,E02000697,7535.8
661,E02000698,4692.8
662,E02000699,8825.6
663,E02000700,9394.7
664,E02000701,9418.7
665,E02000702,5982.4
666,E02000703,5399.0
667,E02000704,5146.0
668,E02000705,7512.1
669,E02000706,11093.3
670,E02000707,7162.2
671,E02000708,5398.5
672,E02000709,4645.4
673,E02000710,2847.6
674,E02000711,7096.5
675,E02000712,5929.0
676,E02000713,5088.0
677,E02000714,14037.9
678,E02000715,16767.0
679,E02000716,4691.1
680,E02000717,16818.3
681,E02000718,11847.7
682,E02000719,11631.9
683,E02000720,14275.6
684,E02000721,16184.5
685,E02000722,18000.9
686,E02000723,15765.4
687,E02000724,20175.1
688,E02000725,12598.7
689,E02000727,21589.0
690,E02000728,13006.4
691,E02000729,10404.7
692,E02000730,19725.9
693,E02000731,17149.3
694,E02000732,20154.0
695,E02000733,13641.4
696,E02000734,19180.5
697,E02000735,15708.8
698,E02000736,7344.4
699,E02000737,12342.7
700,E02000738,20855.8
701,E02000739,17035.7
702,E02000740,5348.6
703,E02000741,10913.3
704,E02000742,11003.8
705,E02000743,16407.6
706,E02000744,15329.2
707,E02000745,11870.8
708,E02000746,2237.0
709,E02000747,6901.7
710,E02000748,4711.9
711,E02000749,6731.0
712,E02000751,3629.4
713,E02000752,1798.0
714,E02000753,9134.1
715,E02000754,5489.5
716,E02000755,4073.2
717,E02000756,4061.0
718,E02000757,8308.0
719,E02000758,6005.2
720,E02000759,5582.9
721,E02000760,7250.5
722,E02000762,8261.8
723,E02000763,1036.1
724,E02000764,6195.0
725,E02000765,10376.4
726,E02000767,9835.8
727,E02000768,3407.1
728,E02000770,6975.4
729,E02000772,5974.2
730,E02000773,11274.2
731,E02000774,11940.8
732,E02000776,11725.8
733,E02000777,1715.6
734,E02000779,9418.2
735,E02000781,8648.0
736,E02000782,16771.8
737,E02000783,13056.1
738,E02000784,3837.1
739,E02000785,2397.3
740,E02000786,6171.4
741,E02000787,6867.4
742,E02000788,8385.4
743,E02000789,3432.7
744,E02000790,8290.3
745,E02000791,5779.6
746,E02000792,5739.1
747,E02000793,6110.2
748,E02000794,4790.7
749,E02000795,573.2
750,E02000796,5797.7
751,E02000797,8635.7
752,E02000798,4603.8
753,E02000799,5139.7
754,E02000800,2951.5
755,E02000801,7181.8
756,E02000802,4844.4
757,E02000803,4983.3
758,E02000804,1907.2
759,E02000805,3923.2
760,E02000806,1497.6
761,E02000807,11517.6
762,E02000808,9669.1
763,E02000810,17338.6
764,E02000812,15374.1
765,E02000813,11445.4
766,E02000814,10488.2
767,E02000815,18072.2
768,E02000816,12650.1
769,E02000817,10297.4
770,E02000818,16725.3
771,E02000819,15832.7
772,E02000820,20539.9
773,E02000821,13031.6
774,E02000822,14021.3
775,E02000823,13494.4
776,E02000824,10198.8
777,E02000825,19201.9
778,E02000826,17965.5
779,E02000827,16604.5
780,E02000828,13848.2
781,E02000829,13778.5
782,E02000830,10630.6
783,E02000831,11605.7
784,E02000832,11452.9
785,E02000833,9060.9
786,E02000834,7735.7
