,GEOGRAPHY_CODE,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations,Total: All usual residents aged 16 years and over in employment the week before the census
2043,E02002138,0.12166064981949458,0.2187725631768953,0.11299638989169675,0.10324909747292418,0.07725631768953069,0.08592057761732852,0.08700361010830325,0.09566787003610108,0.09747292418772563,1
2044,E02002139,0.08190091001011122,0.1595045500505561,0.09934277047522751,0.06951466127401415,0.08063700707785643,0.11653185035389282,0.10010111223458039,0.10844287158746209,0.18402426693629928,1
2045,E02002140,0.05679974034404414,0.11489776046738072,0.07822135670236936,0.07724764686790003,0.09607270366764038,0.11976630963972736,0.09866926322622525,0.16228497241155468,0.19604024667315806,1
2046,E02002141,0.13925263494091344,0.24049824337272438,0.1402107952730757,0.12551900351325454,0.10092622165442351,0.07345895879910572,0.060044714148834236,0.05621207282018524,0.06387735547748323,1
2047,E02002142,0.07081236520488857,0.09633357296908698,0.09309849029475198,0.09202012940330698,0.11466570812365205,0.11718188353702372,0.1175413371675054,0.13838964773544213,0.1599568655643422,1
2048,E02002143,0.06890243902439025,0.12378048780487805,0.07591463414634146,0.07408536585365853,0.10670731707317073,0.11219512195121951,0.10792682926829268,0.1496951219512195,0.18079268292682926,1
2049,E02002144,0.1748476098812961,0.2993262752646776,0.12447866538338145,0.10587102983638114,0.05453962143086301,0.059672762271414825,0.0712223291626564,0.05710619185113892,0.05293551491819057,1
2050,E02002145,0.07524634219169901,0.11555688265153777,0.08659301283965362,0.0853986264556584,0.12332039414750672,0.10421021200358316,0.10182143923559271,0.13018811585547924,0.17766497461928935,1
2051,E02002146,0.08705882352941176,0.14470588235294118,0.09450980392156863,0.07647058823529412,0.10901960784313726,0.1011764705882353,0.10980392156862745,0.12901960784313726,0.14823529411764705,1
2052,E02002147,0.07851810893005252,0.09510644180259883,0.09925352502073542,0.087641692009953,0.1365772739839646,0.10478296931158419,0.1006358860934476,0.13547138512579485,0.16201271772186895,1
2053,E02002148,0.11008522727272728,0.18732244318181818,0.13405539772727273,0.12269176136363637,0.11878551136363637,0.09161931818181818,0.07013494318181818,0.07919034090909091,0.08611505681818182,1
2054,E02002149,0.09121929026387625,0.135122838944495,0.11260236578707916,0.11146496815286625,0.12488626023657871,0.10941765241128298,0.07802547770700637,0.10850773430391265,0.12875341219290265,1
2055,E02002150,0.08330074305827141,0.15174032068830662,0.11224090731325773,0.10011732499022291,0.11732499022291748,0.11810715682440359,0.07704341024638248,0.11263199061400078,0.127493156042237,1
2056,E02002151,0.06572964034725093,0.13517982637453493,0.11120297643654403,0.09714758164530798,0.09880115750310045,0.13311285655229432,0.09425382389417114,0.11864406779661017,0.14592806945018602,1
2057,E02002152,0.06992706992706993,0.1021021021021021,0.08966108966108965,0.08665808665808666,0.12526812526812528,0.15057915057915058,0.08794508794508794,0.11282711282711283,0.17503217503217502,1
2058,E02002153,0.08343446601941748,0.12439320388349515,0.10072815533980582,0.10588592233009708,0.13228155339805825,0.11741504854368932,0.08737864077669903,0.10103155339805825,0.1474514563106796,1
2059,E02002154,0.09262387387387387,0.17201576576576577,0.12387387387387387,0.0945945945945946,0.10782657657657657,0.1036036036036036,0.0785472972972973,0.10670045045045046,0.12021396396396396,1
2060,E02002155,0.054837271511368704,0.09942041908158716,0.07668301382077575,0.07757467677218012,0.11056620597414177,0.16272848863129738,0.08782880071333037,0.12839946500222915,0.2019616584930896,1
2061,E02002156,0.08248499086400418,0.15740015661707127,0.10284521012790394,0.10023492560689115,0.12764291307752546,0.1083268076220308,0.08457321848081441,0.0947533281127643,0.1417384494909945,1
2062,E02002157,0.12367584745762712,0.2145127118644068,0.1416843220338983,0.10699152542372882,0.09004237288135593,0.09692796610169492,0.07415254237288135,0.06965042372881355,0.08236228813559322,1
2063,E02002158,0.07362155388471178,0.1162280701754386,0.10338345864661654,0.10588972431077694,0.12907268170426064,0.12406015037593984,0.08051378446115288,0.11591478696741854,0.1513157894736842,1
2064,E02002159,0.04630788485607009,0.11681268251981644,0.07133917396745933,0.06424697538589905,0.1047142261159783,0.13725490196078433,0.08343763037129745,0.16228619107217354,0.21360033375052148,1
2065,E02002160,0.08932783018867925,0.17482311320754718,0.09994103773584906,0.10347877358490566,0.11556603773584906,0.09168632075471699,0.07311320754716981,0.10701650943396226,0.14504716981132076,1
2066,E02002161,0.06147540983606557,0.1403688524590164,0.09118852459016394,0.07991803278688525,0.08504098360655737,0.11270491803278689,0.0778688524590164,0.15198087431693988,0.1994535519125683,1
2067,E02002162,0.17799158147925437,0.2696933253156945,0.13469633193024655,0.10012026458208058,0.06975345760673482,0.07185808779314491,0.057426337943475646,0.050811785929043896,0.06764882742032471,1
2068,E02002163,0.04904280490428049,0.1699290169929017,0.07313400731340074,0.06431490643149064,0.0907722090772209,0.12540331254033124,0.07851150785115078,0.13809421380942138,0.2107980210798021,1
2069,E02002164,0.04652137468566639,0.10184409052808047,0.05155071248952221,0.05113160100586756,0.07250628667225482,0.11525565800502934,0.10100586756077116,0.17728415758591787,0.2829002514668902,1
2070,E02002165,0.08394573205200678,0.19276427360090448,0.11758055398530243,0.08168456755228942,0.06613906161673262,0.10231769361221028,0.070944036178632,0.11560203504804975,0.16902204635387225,1
2071,E02002166,0.058740468794125957,0.12990680598700932,0.07963852019203614,0.09206438859079356,0.11352725218864727,0.12736515108726348,0.08443942389155605,0.13583733408641627,0.17848065518215195,1
2072,E02002167,0.15336204041073204,0.21132825438887048,0.14938721430937396,0.10533289168598874,0.09539582643259358,0.09009605829744949,0.06724080821464061,0.05332891685988738,0.07452798940046373,1
2073,E02002168,0.0670080142475512,0.1645146927871772,0.09038290293855744,0.07212822796081923,0.07591273374888691,0.13023152270703472,0.08682101513802315,0.1128673196794301,0.20013357079252003,1
2074,E02002169,0.1420918367346939,0.27168367346938777,0.13545918367346937,0.10127551020408163,0.08239795918367347,0.07397959183673469,0.06428571428571428,0.05765306122448979,0.07117346938775511,1
2075,E02002170,0.07074202229911572,0.11687812379853903,0.09727028066128413,0.09688581314878893,0.11995386389850057,0.09880815071126489,0.09611687812379854,0.13725490196078433,0.16608996539792387,1
2076,E02002171,0.07387862796833773,0.09762532981530343,0.0887203166226913,0.08608179419525067,0.1217018469656992,0.10883905013192612,0.09894459102902374,0.14676781002638523,0.1774406332453826,1
2077,E02002174,0.11555679910464466,0.23978735310576385,0.13682148852825965,0.10548405148293229,0.08477895914941243,0.08365976496922216,0.0612758813654169,0.07862339115836597,0.09401231113598209,1
2078,E02002175,0.06223246624958841,0.11030622324662497,0.07211063549555483,0.08528152782351005,0.10701350016463615,0.10833058939743168,0.10372077708264735,0.15870925255186039,0.19229502798814618,1
2079,E02002176,0.09875813128326434,0.1729745712596097,0.1218214074512123,0.10585452395032525,0.12950916617386163,0.11354228267297457,0.06918982850384388,0.0830869308101715,0.10526315789473684,1
2080,E02002177,0.07396928051738076,0.1400565885206144,0.10064672594987874,0.07700080840743735,0.09215844785772029,0.1198464025869038,0.09094583670169766,0.1301535974130962,0.1752223120452708,1
2081,E02002178,0.10597302504816955,0.2023121387283237,0.11423066336361135,0.11257913570052298,0.0737682356179466,0.08064960088081476,0.08092485549132948,0.1106523534269199,0.11890999174236168,1
2082,E02002179,0.13337735226147243,0.24529547705513371,0.13403763618355893,0.10333443380653681,0.09177946517002311,0.08913832948167712,0.06338725652030373,0.06338725652030373,0.07626279300099043,1
2083,E02002180,0.07733619763694952,0.1267454350161117,0.10741138560687433,0.10562119584675976,0.12567132116004295,0.11707841031149302,0.08736126029359112,0.11707841031149302,0.13569638381668456,1
2084,E02002181,0.09078251183514341,0.1361737677527151,0.09412419938735728,0.08827624617098301,0.11473127262600946,0.10414926204399888,0.09328877749930381,0.12781954887218044,0.15065441381230854,1
2085,E02002182,0.08034782608695652,0.1262608695652174,0.10156521739130435,0.11234782608695652,0.12208695652173913,0.11791304347826087,0.088,0.11478260869565217,0.13669565217391305,1
2086,E02002183,0.1934398654331371,0.3116063919259882,0.12825904121110177,0.07863751051303616,0.0782169890664424,0.07232968881412952,0.058452481076534904,0.023128679562657694,0.05592935239697225,1
2087,E02002184,0.19810344827586207,0.3087931034482759,0.14189655172413793,0.07689655172413794,0.07275862068965518,0.06,0.05379310344827586,0.023448275862068966,0.06431034482758621,1
2088,E02002185,0.1665470208183776,0.31442928930366115,0.14967695620961952,0.08758076094759512,0.08578607322325915,0.06173725771715721,0.052045944005743,0.029791816223977027,0.0524048815506102,1
2089,E02002187,0.20466232430579362,0.30750771340418237,0.15632499142955092,0.0911895783339047,0.06307850531367844,0.06856359273225918,0.049022968803565305,0.02399725745629071,0.03565306822077477,1
2090,E02002188,0.15257401973859697,0.20432115230728193,0.13603627634035742,0.0938917044545212,0.10589490530808215,0.08802347292611364,0.08455588156841824,0.06295012003200853,0.0717524673246199,1
2091,E02002189,0.08365019011406843,0.1714828897338403,0.09923954372623574,0.07604562737642585,0.08669201520912548,0.11178707224334601,0.12091254752851711,0.14030418250950571,0.10988593155893536,1
2092,E02002190,0.0722466960352423,0.12202643171806167,0.07995594713656387,0.07863436123348018,0.10991189427312775,0.13458149779735684,0.1198237885462555,0.14074889867841409,0.1420704845814978,1
2093,E02002191,0.06328423349699945,0.11020185488270595,0.07528641571194762,0.07392253136933988,0.12684124386252046,0.14048008728859793,0.11374795417348608,0.13502454991816695,0.16121112929623568,1
2094,E02002192,0.1711565257779842,0.2663725034835114,0.15234556432884347,0.10938225731537389,0.09033906177426847,0.06432884347422202,0.0538783093358105,0.036228518346493266,0.0559684161634928,1
2095,E02002193,0.06681852695520121,0.10364464692482915,0.10288534548215642,0.08162490508731966,0.1469248291571754,0.13933181473044798,0.08921791951404708,0.11199696279422931,0.15755504935459377,1
2096,E02002194,0.08993576017130621,0.11379626797185684,0.10247782196390333,0.09850107066381156,0.15111654940348732,0.1272560416029367,0.09085347200978892,0.10308962985622515,0.122973386356684,1
2097,E02002195,0.16928327645051194,0.2341296928327645,0.1491467576791809,0.1098976109215017,0.09385665529010238,0.07713310580204778,0.059385665529010236,0.04436860068259386,0.06279863481228669,1
2098,E02002196,0.13363315130099582,0.18278188242852553,0.1310632830067459,0.09219402505621586,0.14905236106649533,0.10472213299068422,0.07035014455509155,0.062319306135560554,0.0738837134596852,1
2099,E02002197,0.12191749250979489,0.21687024660059923,0.1532611200737497,0.10924176077437198,0.1041714680802028,0.0866559115003457,0.0684489513712837,0.054159944687716066,0.08527310440193593,1
2100,E02002198,0.11667085743022379,0.20794568770429972,0.1518732713100327,0.1053557958259995,0.11918531556449585,0.09228061352778476,0.07115916519989943,0.05204928337943173,0.08348001005783254,1
2101,E02002199,0.14407436096049575,0.2310870126516912,0.15698424993545054,0.11334882520010328,0.10224632068164213,0.08055770720371805,0.061192873741285826,0.055770720371804805,0.054737929253808416,1
2102,E02002200,0.1510859301227573,0.3052407932011331,0.15698772426817753,0.09348441926345609,0.06775259678942398,0.07034938621340887,0.059017941454202076,0.039423984891406985,0.056657223796033995,1
2103,E02002201,0.12477366255144033,0.18666666666666668,0.15094650205761317,0.10995884773662551,0.10765432098765432,0.10304526748971193,0.07242798353909465,0.06930041152263375,0.07522633744855967,1
2104,E02002202,0.10579551667577912,0.2728266812465828,0.15882996172772007,0.09595407326407873,0.07135046473482777,0.08064516129032258,0.07599781301257517,0.0519409513395298,0.08665937670858392,1
2105,E02002203,0.0842383328441444,0.1288523627825066,0.11681831523334311,0.10830642794247139,0.12386263574992662,0.11681831523334311,0.09421778690930438,0.09979454065159965,0.12709128265336073,1
2106,E02002204,0.1410734252702199,0.22978009690644802,0.13976891539321654,0.10827431979127843,0.10156541185240403,0.08702944465150951,0.07137532612746925,0.053484904957137536,0.06764815505031681,1
2107,E02002205,0.13981331168831168,0.2041396103896104,0.13007305194805194,0.09537337662337662,0.13007305194805194,0.10470779220779221,0.06189123376623377,0.057021103896103896,0.07690746753246754,1
2108,E02002206,0.08602150537634409,0.1408090117767537,0.12800819252432155,0.11264720942140297,0.12339989759344598,0.12007168458781362,0.09370199692780339,0.08602150537634409,0.10931899641577061,1
2109,E02002207,0.07820646506777894,0.2064650677789364,0.12652068126520682,0.08724365658672228,0.07194994786235662,0.11400764685436218,0.10809871393813,0.10983663538408064,0.09767118526242614,1
2110,E02002208,0.07815223707147008,0.11301568855316677,0.12667054038349795,0.10371876815804765,0.1272515979081929,0.12492736780941313,0.10662405578152237,0.09587449157466589,0.12376525276002324,1
2111,E02002209,0.06528956104758392,0.08889708594614533,0.08889708594614533,0.07451125046108448,0.10955367023238657,0.14570269273330874,0.10770933234968647,0.14127628181482849,0.1781630394688307,1
2112,E02002210,0.09717964438994482,0.13335377069282647,0.11312078479460454,0.10300429184549356,0.10606989576946659,0.11097486204782342,0.11434702636419375,0.10331085223789087,0.11863887185775598,1
2113,E02002211,0.09720670391061452,0.2074487895716946,0.11098696461824953,0.11098696461824953,0.06852886405959031,0.10167597765363129,0.10763500931098696,0.10018621973929237,0.09534450651769087,1
2114,E02002212,0.0741489720256151,0.18233906302662622,0.08291203235591507,0.08459723626558814,0.07549713515335356,0.11594202898550725,0.1243680485338726,0.12942366026289182,0.13077182339063026,1
2115,E02002213,0.15091299677765843,0.17857142857142858,0.13157894736842105,0.10311493018259936,0.13748657357679914,0.09989258861439312,0.061493018259935556,0.0700859291084855,0.06686358754027927,1
2116,E02002214,0.0770293609671848,0.13022452504317789,0.12055267702936097,0.11364421416234888,0.12435233160621761,0.1146804835924007,0.10397236614853195,0.10120898100172712,0.11433506044905009,1
2117,E02002215,0.06197887715397443,0.16564758198999444,0.0811561978877154,0.08337965536409116,0.0717065036131184,0.11367426347971095,0.12784880489160644,0.150917176209005,0.14369093941078376,1
2118,E02002216,0.0659679408138101,0.13964241676942046,0.07953144266337854,0.08199753390875462,0.08230579531442664,0.12361282367447596,0.11744759556103576,0.1442663378545006,0.16522811344019728,1
2119,E02002217,0.06823671497584541,0.12198067632850242,0.08393719806763285,0.09118357487922706,0.0966183574879227,0.11322463768115942,0.12983091787439613,0.14281400966183574,0.15217391304347827,1
2120,E02002218,0.09210860187769601,0.16569398629789395,0.10530322253235219,0.0971834559756407,0.09160111646790155,0.12484141080943922,0.08880994671403197,0.11190053285968028,0.12255772646536411,1
2121,E02002219,0.06003159557661927,0.12045813586097946,0.0679304897314376,0.08807266982622433,0.08175355450236967,0.12756714060031596,0.10584518167456557,0.15600315955766192,0.19233807266982622,1
2122,E02002220,0.06354199433784209,0.1100975149418056,0.0855614973262032,0.07927021075810003,0.08965083359547027,0.11701793016671909,0.12299465240641712,0.15633847121736394,0.17552689525007864,1
2123,E02002222,0.07860945818979016,0.1415596617601002,0.08925775133103664,0.09019730660820545,0.0836204196680238,0.12214218603194488,0.11212026307547761,0.1252740369558409,0.15721891637958033,1
