,GEOGRAPHY_CODE,All household members have the same main language,Any other combination of multiple main languages,"Main language differs between generations, but not within partnerships",Main language differs within partnerships,One-person household,Total: All households
1797,E02001881,0.4493605254061528,0.10127894918769444,0.09851365364673349,0.13722779122018666,0.21361908053923262,2893.0
1798,E02001882,0.5150173885551691,0.05469490989566867,0.0420486879544736,0.04900411002213089,0.3392349035725577,3163.0
1799,E02001883,0.5772200772200772,0.013789299503585218,0.025648097076668507,0.020959735245449532,0.36238279095421955,3626.0
1800,E02001884,0.4258662369057212,0.12933118452860595,0.13658340048348105,0.15028203062046736,0.1579371474617244,2482.0
1801,E02001886,0.4878962536023055,0.08559077809798271,0.0553314121037464,0.053314121037463975,0.31786743515850147,3470.0
1802,E02001888,0.6220565149136578,0.025510204081632654,0.05023547880690738,0.036499215070643645,0.26569858712715855,2548.0
1803,E02001889,0.4362176628010705,0.13247100802854594,0.13380909901873328,0.1400535236396075,0.15744870651204282,2242.0
1804,E02001890,0.4316840671811167,0.046527462551066726,0.02723558783477077,0.04743531547889242,0.44711756695415344,4406.0
1805,E02001892,0.5079273565869127,0.07466128567310464,0.09685788411646007,0.09339867396944364,0.22715479965407898,3469.0
1806,E02001893,0.5770813548591326,0.050332383665717,0.03672048116492561,0.050648939537828425,0.28521684077239634,3159.0
1807,E02001895,0.6317873303167421,0.013857466063348416,0.02403846153846154,0.018665158371040724,0.31165158371040724,3536.0
1808,E02001896,0.36586314152410576,0.16951788491446346,0.15746500777604977,0.11897356143079316,0.18818040435458788,2572.0
1809,E02001897,0.3612746795981988,0.08243851749220645,0.11742293037755455,0.07100796674748874,0.36785590578455146,2887.0
1810,E02001898,0.6609719058466211,0.017463933181473046,0.017084282460136675,0.0193621867881549,0.2851176917236143,2634.0
1811,E02001899,0.592227541537595,0.02787947057166995,0.02647141650239369,0.0275978597578147,0.3258237116305266,3551.0
1812,E02001900,0.44197080291970803,0.052554744525547446,0.05072992700729927,0.050364963503649635,0.4043795620437956,2740.0
1813,E02001901,0.5765333333333333,0.0144,0.017333333333333333,0.027733333333333332,0.364,3750.0
1814,E02001902,0.6485168630637952,0.018691588785046728,0.02478667208451849,0.028443722064201545,0.27956115400243803,2461.0
1815,E02001903,0.3704577630957999,0.13921661160924964,0.1519584709768759,0.12930627654554036,0.2090608777725342,2119.0
1816,E02001904,0.521540221120854,0.059855127716355316,0.06176134197483797,0.07091117041555471,0.28593213877239804,2623.0
1817,E02001905,0.555681389203473,0.04190260475651189,0.023027557568893922,0.038127595318988294,0.3412608531521329,2649.0
1818,E02001906,0.6526560082516761,0.01701908200103146,0.02294997421351212,0.02320783909231563,0.28416709644146465,3878.0
1819,E02001907,0.6236632536973834,0.017292377701934016,0.020477815699658702,0.017747440273037544,0.32081911262798635,4395.0
1820,E02001908,0.35639981908638624,0.15649027589326098,0.17277250113071008,0.14608774310266848,0.16824966078697423,2211.0
1821,E02001909,0.38175675675675674,0.11359797297297297,0.1414695945945946,0.10304054054054054,0.26013513513513514,2368.0
1822,E02001910,0.37900128040973113,0.09304310712761417,0.09560392658984208,0.08365343576611182,0.3486982501067008,2343.0
1823,E02001911,0.5527879988678177,0.02405887347863006,0.048683838097933765,0.02943673931502972,0.3450325502405887,3533.0
1824,E02001913,0.5078764965343415,0.03969754253308128,0.03339634530560807,0.027725267800882167,0.391304347826087,3174.0
1825,E02001914,0.5034602076124568,0.09731833910034603,0.057525951557093426,0.05709342560553633,0.28460207612456745,2312.0
1826,E02001915,0.524903435657654,0.03435657653994714,0.029477536084570034,0.03638951006302094,0.3748729416548079,4919.0
1827,E02001916,0.5355239786856127,0.04706927175843695,0.0630550621669627,0.08170515097690942,0.27264653641207814,3378.0
1828,E02001918,0.43522012578616354,0.031949685534591196,0.020628930817610063,0.029685534591194968,0.48251572327044023,3975.0
1829,E02001919,0.4021365890881343,0.07859595574208317,0.03700877527661198,0.047310186951545215,0.43494849294162535,2621.0
1830,E02001920,0.6024729520865533,0.012364760432766615,0.02627511591962906,0.018238021638330756,0.3406491499227203,3235.0
1831,E02001921,0.6077382824787669,0.017930166719094056,0.03680402642340359,0.031770997168921046,0.3057565272098144,3179.0
