,GEOGRAPHY_CODE,Lives in a communal establishment,Lives in a household,Total: All usual residents
176,E02000184,0.07801975752132914,0.9219802424786708,1
177,E02000185,0.00022517451024544022,0.9997748254897546,1
178,E02000186,0.02699662542182227,0.9730033745781778,1
179,E02000187,0.05570888275580088,0.9442911172441991,1
180,E02000188,0.04818941504178273,0.9518105849582172,1
181,E02000191,0.2896758478546,0.7103241521454,1
182,E02000192,0.014416579065925814,0.9855834209340741,1
183,E02000193,0.07532293239389364,0.9246770676061064,1
184,E02000194,0.017153403539246555,0.9828465964607535,1
185,E02000195,0.0038345942584723804,0.9961654057415276,1
186,E02000196,0.011119535001263583,0.9888804649987364,1
187,E02000197,0.002326869806094183,0.9976731301939058,1
188,E02000198,0.004837983798379838,0.9951620162016201,1
189,E02000199,0.0014261944378416924,0.9985738055621584,1
190,E02000200,0.014145209415405017,0.985854790584595,1
191,E02000201,0.0016106764841233318,0.9983893235158766,1
192,E02000202,0.009631537686191063,0.9903684623138089,1
193,E02000203,0.01418706842435656,0.9858129315756434,1
194,E02000204,0.00579950289975145,0.9942004971002486,1
195,E02000206,0.013126271029765206,0.9868737289702348,1
196,E02000207,0.0013480116827679174,0.9986519883172321,1
197,E02000208,0.010678449783669336,0.9893215502163306,1
198,E02000209,0.000661740377192015,0.999338259622808,1
199,E02000210,0.0012624813497073338,0.9987375186502927,1
200,E02000211,0.00048350054393811193,0.9995164994560619,1
201,E02000212,0.007293097981185921,0.9927069020188141,1
202,E02000213,0.00781372089388967,0.9921862791061103,1
203,E02000214,0.0,1.0,1
204,E02000215,0.009639776763064434,0.9903602232369355,1
205,E02000216,0.011728567439262776,0.9882714325607372,1
206,E02000217,0.0003354297693920335,0.999664570230608,1
207,E02000218,0.00029980512666766604,0.9997001948733323,1
208,E02000219,0.011793998165378064,0.9882060018346219,1
209,E02000221,0.018697614442295292,0.9813023855577047,1
210,E02000222,0.008622754491017964,0.991377245508982,1
211,E02000223,0.0,1.0,1
212,E02000224,0.008071526139326959,0.9919284738606731,1
213,E02000225,0.00013335111348179759,0.9998666488865182,1
214,E02000226,0.02298095863427446,0.9770190413657256,1
215,E02000227,0.0,1.0,1
216,E02000228,0.011563599798893917,0.9884364002011061,1
217,E02000229,0.011547714514835605,0.9884522854851644,1
218,E02000230,0.02551894877166254,0.9744810512283375,1
219,E02000231,0.027868852459016394,0.9721311475409836,1
220,E02000232,0.0025814778960955146,0.9974185221039045,1
221,E02000233,0.019641734758013826,0.9803582652419862,1
222,E02000234,0.011637748624629707,0.9883622513753703,1
223,E02000235,0.012772133526850507,0.9872278664731495,1
224,E02000236,0.0030668127053669223,0.9969331872946331,1
225,E02000237,0.0015789473684210526,0.998421052631579,1
226,E02000238,0.0,1.0,1
227,E02000239,0.0,1.0,1
228,E02000240,0.002051922562226782,0.9979480774377733,1
229,E02000241,0.0,1.0,1
230,E02000242,0.0,1.0,1
231,E02000243,0.0072231139646869984,0.992776886035313,1
232,E02000244,0.0005070351121815186,0.9994929648878185,1
233,E02000245,0.0009671179883945841,0.9990328820116054,1
234,E02000246,0.0012683648662932037,0.9987316351337068,1
235,E02000247,0.01622590766472434,0.9837740923352757,1
236,E02000248,0.0,1.0,1
237,E02000249,0.0070439350525310414,0.9929560649474689,1
238,E02000250,0.01064322073114299,0.989356779268857,1
239,E02000251,0.0012029351617947792,0.9987970648382052,1
240,E02000252,0.15991175028599444,0.8400882497140055,1
241,E02000253,0.008120649651972157,0.9918793503480279,1
242,E02000254,0.0096644586817244,0.9903355413182756,1
243,E02000255,0.013180573861908141,0.9868194261380918,1
244,E02000256,0.006316018730262441,0.9936839812697376,1
245,E02000258,0.007824952905376032,0.992175047094624,1
246,E02000259,0.0,1.0,1
247,E02000260,0.01809862735129639,0.9819013726487036,1
248,E02000261,0.0015016201691298507,0.9984983798308702,1
249,E02000262,0.011018399657680786,0.9889816003423192,1
250,E02000263,0.0008755289654166059,0.9991244710345834,1
251,E02000264,0.015069460795855898,0.9849305392041441,1
