,GEOGRAPHY_CODE,No second address,Second address is in the UK,Second address is outside the UK,Total: All usual residents
59,E02000062,0.9619143432020696,0.01882724920954297,0.01925840758838747,1
60,E02000063,0.9512130801687764,0.01595464135021097,0.03283227848101266,1
61,E02000064,0.9265477439664218,0.03927447159346425,0.03417778444011393,1
62,E02000065,0.9681220540808733,0.016745224510047136,0.015132721409079633,1
63,E02000066,0.9658536585365853,0.021633085896076352,0.012513255567338281,1
64,E02000067,0.9614895904603655,0.026879092952790538,0.011631316586843906,1
65,E02000068,0.9663690840161429,0.023113611348905466,0.010517304634951694,1
66,E02000069,0.9631170271769274,0.02689961175818081,0.009983361064891847,1
67,E02000070,0.9707804216496116,0.019356429540130688,0.009863148810257676,1
68,E02000071,0.9742019543973941,0.01941368078175896,0.006384364820846905,1
69,E02000072,0.9703652120086661,0.019962859795728878,0.009671928195605075,1
70,E02000073,0.972310274100317,0.01836658586611971,0.009323140033563304,1
71,E02000074,0.9746049661399548,0.02054176072234763,0.0048532731376975165,1
72,E02000075,0.9719509140996744,0.021036814425244178,0.007012271475081392,1
73,E02000077,0.9685426394691571,0.02150405505038093,0.00995330548046203,1
74,E02000078,0.9728980209252489,0.017017521744611117,0.010084457330139922,1
75,E02000079,0.966248574686431,0.02314709236031927,0.010604332953249715,1
76,E02000080,0.9725809656268627,0.018875422213391616,0.00854361215974568,1
77,E02000081,0.9674933782807609,0.02155068625090296,0.010955935468336142,1
78,E02000082,0.9698917818493518,0.0207864566591664,0.00932176149148184,1
79,E02000083,0.9688553682342502,0.022892635314995562,0.008251996450754214,1
80,E02000084,0.9650859353909835,0.024385854404751193,0.010528210204265274,1
81,E02000085,0.9667085427135679,0.02399497487437186,0.0092964824120603,1
82,E02000086,0.9701825275184618,0.02243277135293298,0.007384701128605267,1
83,E02000087,0.9630892922402241,0.023632598367645266,0.013278109392130588,1
84,E02000088,0.9599896747547755,0.03252452245740836,0.0074858027878162104,1
85,E02000089,0.9684839242597535,0.024272461558012454,0.0072436141822340835,1
86,E02000090,0.9234439834024897,0.06607883817427386,0.010477178423236514,1
87,E02000091,0.9524793388429752,0.03886265249901614,0.008658008658008658,1
88,E02000092,0.9671354552183568,0.02442635085122132,0.00843819393042191,1
89,E02000093,0.9569756672560411,0.016923465521596362,0.02610086722236255,1
90,E02000094,0.9584010710528832,0.017117720187434255,0.02448120875968251,1
91,E02000095,0.9555491826785202,0.01892744479495268,0.025523372526527102,1
92,E02000096,0.9593868727892048,0.018079392113192715,0.022533735097602516,1
