,GEOGRAPHY_CODE,Household is deprived in four dimensions,Household is deprived in one dimension,Household is deprived in three dimensions,Household is deprived in two dimensions,Household is not deprived in any dimension,Total: All households
5104,E02005313,0.001392369813422445,0.3508771929824561,0.07017543859649122,0.19799498746867167,0.3795600111389585,1
5105,E02005314,0.0027643400138217,0.3469246717346234,0.04733932273669662,0.1876295784381479,0.41534208707671044,1
5106,E02005315,0.0,0.3248520710059172,0.010650887573964497,0.10177514792899409,0.5627218934911242,1
5107,E02005316,0.00628698224852071,0.37056213017751477,0.060650887573964495,0.18269230769230768,0.3798076923076923,1
5108,E02005317,0.000643915003219575,0.36155827430779136,0.07340631036703155,0.216677398583387,0.34771410173857054,1
5109,E02005318,0.0006165228113440197,0.33323057953144264,0.027743526510480888,0.1319358816276202,0.5064734895191122,1
5110,E02005319,0.009113300492610837,0.337192118226601,0.10172413793103448,0.22413793103448276,0.32783251231527094,1
5111,E02005320,0.00041425020712510354,0.3483844241922121,0.037282518641259324,0.18848384424192213,0.4254349627174814,1
5112,E02005321,0.001544998068752414,0.37041328698339127,0.062186172267284665,0.22943221320973348,0.33642332947083814,1
5113,E02005322,0.0018656716417910447,0.3725124378109453,0.026326699834162522,0.15858208955223882,0.4407131011608624,1
5114,E02005323,0.0027829313543599257,0.3432282003710575,0.05813234384662956,0.2012987012987013,0.3945578231292517,1
5115,E02005324,0.00034746351633078526,0.3220986796386379,0.013551077136900626,0.08200138985406533,0.5820013898540654,1
5116,E02005325,0.0,0.353544563483018,0.019831319808525188,0.12354684294506496,0.5030772737633918,1
5117,E02005326,0.0027247956403269754,0.37825117661629926,0.052761951944513254,0.19370819915779044,0.3725538766410701,1
5118,E02005327,0.0007109847138286527,0.34198364735158193,0.019196587273373623,0.11624600071098472,0.5218627799502311,1
5119,E02005328,0.0013877324451845685,0.36330835414932,0.017762975298362477,0.147932278656675,0.46960865945045793,1
5120,E02005329,0.0011873664212776064,0.3538351935407267,0.03728330562811684,0.14604606981714557,0.46164806459273333,1
5121,E02005330,0.0002536783358701167,0.3513444951801116,0.015474378488077117,0.12404870624048706,0.5088787417554541,1
5122,E02005331,0.0007604562737642585,0.3211660329531052,0.029150823827629912,0.12319391634980989,0.5257287705956908,1
5123,E02005332,0.0,0.31654488517745305,0.01174321503131524,0.10673277661795406,0.5649791231732777,1
5124,E02005334,0.0,0.31614827439284193,0.011077971878994461,0.09714529186195142,0.5756284618662122,1
5125,E02005335,0.0012991230919129587,0.3234816498863267,0.012991230919129588,0.09873335498538487,0.5634946411172459,1
5126,E02005336,0.0006978367062107466,0.322400558269365,0.024773203070481507,0.11688764829030007,0.5352407536636427,1
