,GEOGRAPHY_CODE,10km to less than 20km,20km to less than 30km,2km to less than 5km,30km to less than 40km,40km to less than 60km,5km to less than 10km,60km and over,Less than 2km,Total: All usual residents aged 16 years and over in employment the week before the census,"Works mainly at an offshore installation, in no fixed place, or outside the UK",Works mainly from home
2349,E02002453,0.13037781174929025,0.02882725485913955,0.21008953920069884,0.010919414719371042,0.0032758244158113126,0.177986459925748,0.009827473247433938,0.10744704083861105,1,0.1539637475431317,0.16728543350076436
2350,E02002454,0.1669316375198728,0.02293890529184647,0.10152168975698388,0.010220304337951397,0.00885759709289121,0.14308426073131955,0.008630479218714513,0.19191460367930957,1,0.12650465591642063,0.21939586645468998
2351,E02002455,0.17538688282977155,0.06448047162859248,0.12196020633750922,0.01658069270449521,0.00552689756816507,0.13817243920412675,0.007737656595431098,0.17943994104642594,1,0.14959469417833457,0.14112011790714812
2352,E02002456,0.14885088188134687,0.01549973276322822,0.13522180652057722,0.00935328701229289,0.006413682522715126,0.10662747194013897,0.008818813468733297,0.1734366648850882,1,0.1378941742383752,0.257883484767504
2353,E02002457,0.15163026274137384,0.020892687559354226,0.1291547958214625,0.008863564419119974,0.004748338081671415,0.15637860082304528,0.00949667616334283,0.20987654320987653,1,0.15827793605571383,0.15068059512503956
2354,E02002458,0.14078341013824885,0.020967741935483872,0.13225806451612904,0.014285714285714285,0.008294930875576038,0.16889400921658987,0.01129032258064516,0.09539170506912442,1,0.1534562211981567,0.2543778801843318
2355,E02002459,0.1448549363389689,0.01836777290753496,0.21122938843665207,0.010018785222291797,0.006679190148194531,0.10227509914422876,0.007931538300981006,0.13754957211438112,1,0.15216030056355667,0.20893341682321018
2356,E02002460,0.1614138438880707,0.06450662739322534,0.10014727540500737,0.02150220913107511,0.006774668630338734,0.11723122238586156,0.011192930780559647,0.12135493372606775,1,0.1272459499263623,0.2686303387334315
2357,E02002461,0.16123035321953694,0.041237113402061855,0.14078080108162921,0.01521041068108839,0.0043941186412033125,0.1641034307926314,0.011661314855501098,0.07148893020111544,1,0.14551292884907893,0.24438059827615347
2358,E02002462,0.15778807180081064,0.023161551823972205,0.11696583671105965,0.010422698320787493,0.0052113491603937466,0.16878980891719744,0.006369426751592357,0.09640995946728431,1,0.15431383902721482,0.26056745801968734
2359,E02002463,0.1621876473361622,0.018151815181518153,0.24611032531824611,0.015087223008015087,0.005186232909005186,0.08816595945308817,0.012258368694012258,0.12281942479962282,1,0.15181518151815182,0.1782178217821782
2360,E02002464,0.15190487745692793,0.04222276146566367,0.17107498180053385,0.010677020140742538,0.0036398932297985924,0.18806115020626063,0.010677020140742538,0.10531424411550594,1,0.14972094151904877,0.16670710992477553
2361,E02002465,0.1680284191829485,0.024511545293072826,0.1644760213143872,0.007460035523978685,0.007104795737122558,0.09094138543516873,0.009591474245115453,0.1438721136767318,1,0.1325044404973357,0.2515097690941385
2362,E02002466,0.15514775977121067,0.025738798856053385,0.14180171591992374,0.016205910390848427,0.006434699714013346,0.1415633937082936,0.009532888465204958,0.10438512869399429,1,0.15514775977121067,0.2440419447092469
2363,E02002467,0.18679980516317585,0.02289332683877253,0.15927910375060886,0.008037018996590355,0.005114466634193863,0.1604968339016074,0.00876765708718948,0.11397954213346323,1,0.1446663419386264,0.18996590355577203
2364,E02002468,0.16246215943491424,0.020181634712411706,0.16683484695593676,0.006727211570803902,0.0053817692566431215,0.12478977463841238,0.007736293306424487,0.06727211570803902,1,0.150016818028927,0.2885973763874874
2365,E02002469,0.1388712745719721,0.03677869372225745,0.08370323398858592,0.007926442612555484,0.0034876347495244133,0.2729866835764109,0.01109701965757768,0.039949270767279645,1,0.1616994292961319,0.2435003170577045
2366,E02002470,0.1514801999231065,0.03844675124951941,0.13725490196078433,0.010765090349865437,0.006920415224913495,0.104959630911188,0.010380622837370242,0.03344867358708189,1,0.09381007304882738,0.41253364090734335
2367,E02002471,0.1836844948676391,0.07113272105168378,0.0650099045560958,0.019268863677291553,0.009004141905276427,0.1615343057806591,0.013866378534125697,0.04195930127858815,1,0.13488204574104087,0.2996578426075995
2368,E02002472,0.1699561403508772,0.03326023391812866,0.08589181286549707,0.01608187134502924,0.0062134502923976605,0.17945906432748537,0.014619883040935672,0.03179824561403509,1,0.16337719298245615,0.2993421052631579
2369,E02002473,0.18953452996653483,0.03133556434438698,0.11530270763614238,0.012777608761788866,0.005476118040766657,0.12868877395801642,0.008822634621235169,0.06419227258898692,1,0.1496805597809553,0.2941892303011865
2370,E02002474,0.1782147315855181,0.035892634207240946,0.11298377028714107,0.010299625468164793,0.007802746566791511,0.16198501872659177,0.012172284644194757,0.07584269662921349,1,0.15543071161048688,0.24937578027465668
2371,E02002475,0.16101108033240996,0.0664819944598338,0.08240997229916898,0.011426592797783934,0.009695290858725761,0.16759002770083103,0.012119113573407203,0.023199445983379502,1,0.10872576177285319,0.3573407202216066
