,GEOGRAPHY_CODE,Not in employment: Never worked,Not in employment: Not worked in the last 12 months,Not in employment: Worked in the last 12 months,Total: All usual residents aged 16 years and over not in employment the week before the census
3261,E02003412,0.3370304114490161,0.5008944543828264,0.16207513416815741,2795.0
3262,E02003414,0.3822184105202973,0.43596340766152086,0.18181818181818182,3498.0
3263,E02003415,0.4832313341493268,0.3689106487148103,0.1478580171358629,4085.0
3264,E02003416,0.3462883793237466,0.48853478429848424,0.16517683637776914,2573.0
3265,E02003417,0.36154062412145066,0.4540342985662075,0.18442507731234187,3557.0
3266,E02003418,0.366577718478986,0.4603068712474983,0.17311541027351568,2998.0
3267,E02003419,0.34355828220858897,0.4858128834355828,0.1706288343558282,2608.0
3268,E02003420,0.3057485786481364,0.4921036007580543,0.20214782059380923,1583.0
3269,E02003421,0.21665788086452292,0.6700052714812862,0.11333684765419083,1897.0
3270,E02003422,0.17033516758379189,0.7031015507753877,0.1265632816408204,3998.0
3271,E02003423,0.26512361914781696,0.5712782745923198,0.16359810625986324,1901.0
3272,E02003424,0.17476732161323683,0.6970010341261634,0.1282316442605998,2901.0
3273,E02003425,0.24771949828962372,0.5892246294184721,0.1630558722919042,3508.0
3274,E02003426,0.19630404463040446,0.6666666666666666,0.13702928870292888,2868.0
3275,E02003427,0.29095127610208815,0.5480278422273782,0.16102088167053363,2155.0
3276,E02003428,0.20465949820788532,0.6666666666666666,0.12867383512544803,2790.0
3277,E02003429,0.19454329774614473,0.66785290628707,0.1376037959667853,2529.0
3278,E02003430,0.3772687986171132,0.46240276577355227,0.1603284356093345,2314.0
3279,E02003431,0.24485981308411214,0.6102803738317757,0.14485981308411214,2140.0
3280,E02003432,0.19788359788359788,0.6227513227513227,0.17936507936507937,1890.0
3281,E02003433,0.19146873485215704,0.6708676684440136,0.13766359670382938,2063.0
3282,E02003434,0.23212435233160622,0.6290155440414508,0.138860103626943,2895.0
3283,E02003435,0.17151162790697674,0.6802325581395349,0.14825581395348839,2064.0
3284,E02003436,0.18638466622604097,0.6738268341044283,0.13978849966953075,3026.0
3285,E02003437,0.20843672456575682,0.6360628618693135,0.1555004135649297,2418.0
3286,E02003438,0.2094645080946451,0.6632627646326277,0.12727272727272726,4015.0
3287,E02003439,0.1584258324924319,0.7204843592330978,0.12108980827447023,1982.0
3288,E02003440,0.16215226939970717,0.7181551976573939,0.11969253294289897,2732.0
3289,E02003441,0.16342412451361868,0.7182879377431907,0.11828793774319066,2570.0
3290,E02003442,0.16478666012751347,0.6807258460029426,0.15448749386954388,2039.0
3291,E02003443,0.23254817987152035,0.6569593147751606,0.11049250535331906,2335.0
3292,E02003444,0.24990971469844708,0.6106897797038642,0.13940050559768868,2769.0
3293,E02003445,0.19077161690577743,0.694067468010857,0.11516091508336565,2579.0
3294,E02003446,0.23808309966862096,0.513382615345399,0.24853428498598013,3923.0
3295,E02003447,0.21268925739005046,0.6167988464311464,0.17051189617880316,2774.0
3296,E02003448,0.15850920520880107,0.7117198024247867,0.1297709923664122,2227.0
3297,E02003449,0.2153055396916048,0.5990862364363221,0.1856082238720731,1751.0
3298,E02003450,0.2376847290640394,0.6123768472906403,0.1499384236453202,3248.0
3299,E02003451,0.18173076923076922,0.7035256410256411,0.11474358974358974,3120.0
3300,E02003452,0.17600352889280987,0.6951918835465373,0.12880458756065286,2267.0
3301,E02003453,0.15036855036855037,0.7174447174447175,0.1321867321867322,2035.0
3302,E02003454,0.17804602036967182,0.6997359486986043,0.12221803093172388,2651.0
