,GEOGRAPHY_CODE,Has not previously served in any UK armed forces,Previously served in UK regular armed forces,Previously served in UK reserve armed forces,Previously served in both regular and reserve UK armed forces,Total: All usual residents aged 16 and over
87,E02000091,0.9707630140242453,0.02067981934870454,0.007606370335155693,0.0009507962918944616,1
88,E02000092,0.9695939565627951,0.018319169027384324,0.010009442870632672,0.0020774315391879133,1
89,E02000093,0.991516762060507,0.005417007358953394,0.003066230580539657,0.0,1
90,E02000094,0.9923195084485407,0.0059080704241994565,0.0016542597187758478,0.00011816140848398913,1
91,E02000095,0.9940656271817547,0.003258087037468001,0.0026762857807772866,0.0,1
92,E02000096,0.9912336627350973,0.0057379662097545425,0.0028689831048772712,0.0001593879502709595,1
93,E02000097,0.9904614591389533,0.005671564836298015,0.003351379221448827,0.0005155968032998196,1
94,E02000098,0.9932914046121594,0.004751921733053809,0.0016771488469601676,0.0002795248078266946,1
95,E02000099,0.9939000132608408,0.0034478185916987135,0.0025195597400875214,0.00013260840737302744,1
96,E02000100,0.9915029948460788,0.005571806658308956,0.0029251984956122023,0.0,1
97,E02000101,0.9921845455691416,0.0052943400983234586,0.0021429471826547334,0.00037816714988024705,1
98,E02000102,0.9934147124959846,0.0036941856729842595,0.00256986829424992,0.00032123353678124,1
99,E02000103,0.9932501273560876,0.0036933265410086604,0.002674477840040754,0.00038206826286296485,1
100,E02000104,0.9924992020427705,0.004149377593360996,0.0028726460261729973,0.0004787743376954995,1
101,E02000105,0.9910873440285205,0.006748153806977336,0.002037178507766743,0.00012732365673542143,1
102,E02000106,0.9916454776607337,0.004964281389998789,0.0030270008475602374,0.0003632401017072285,1
103,E02000107,0.9910655195234944,0.005294506949040371,0.0034193690712552393,0.00022060445621001543,1
104,E02000108,0.9931693989071039,0.004952185792349727,0.001878415300546448,0.0,1
105,E02000110,0.9911373707533235,0.005612998522895126,0.002363367799113737,0.0008862629246676514,1
106,E02000111,0.9894830067530167,0.007417247868925053,0.0028783349939112144,0.0002214103841470165,1
107,E02000112,0.9955679241393527,0.0018552875695732839,0.002576788291074005,0.0,1
108,E02000113,0.993271430493877,0.003095141972816579,0.003229713362939039,0.0004037141703673799,1
109,E02000114,0.9906554356409581,0.0052645433008686494,0.003948407475651487,0.00013161358252171624,1
110,E02000115,0.9908093278463649,0.006310013717421125,0.0027434842249657062,0.00013717421124828533,1
111,E02000116,0.9949063670411985,0.00299625468164794,0.0017977528089887641,0.000299625468164794,1
112,E02000117,0.9932851239669421,0.00371900826446281,0.0025826446280991736,0.00041322314049586776,1
113,E02000118,0.9925405405405405,0.006054054054054054,0.0014054054054054054,0.0,1
114,E02000119,0.9925354870288791,0.00465002447381302,0.0026921194322075378,0.00012236906510034264,1
115,E02000120,0.992770767613039,0.004337539432176656,0.0028916929547844372,0.0,1
116,E02000121,0.993601462522852,0.004570383912248629,0.0018281535648994515,0.0,1
117,E02000122,0.9910260245288662,0.004786120251271313,0.0035895901884534847,0.0005982650314089142,1
118,E02000123,0.9922135706340378,0.004542083796811272,0.002688172043010753,0.0005561735261401557,1
119,E02000124,0.9903893543617546,0.005174963035978314,0.004312469196648595,0.0001232134056185313,1
120,E02000125,0.9907017108851971,0.006446813786263328,0.002727498140342177,0.0001239771881973717,1
121,E02000126,0.9936111956191056,0.003954974140553696,0.002433830240340736,0.0,1
122,E02000127,0.9793628808864266,0.013850415512465374,0.005955678670360111,0.0008310249307479224,1
123,E02000128,0.9749221439108343,0.017538108506802163,0.006556302245533519,0.000983445336830028,1
124,E02000130,0.9832844574780059,0.01129032258064516,0.004545454545454545,0.0008797653958944282,1
125,E02000131,0.9864489228630994,0.006717627982395182,0.006717627982395182,0.00011582117211026175,1
126,E02000132,0.9805589307411907,0.01324422843256379,0.005710814094775213,0.0004860267314702309,1
127,E02000133,0.9724137931034482,0.019195402298850573,0.007586206896551724,0.0008045977011494253,1
128,E02000134,0.9824171168308442,0.010486177311725452,0.006355258976803305,0.0007414468806270522,1
129,E02000135,0.9872052182639237,0.008153537380832914,0.0038886101354741595,0.0007526342197691922,1
130,E02000136,0.9645466265577998,0.02556940266437473,0.007520412548345509,0.002363558229480017,1
131,E02000137,0.9742011140428027,0.019495749047200233,0.005423629434183524,0.0008795074758135445,1
132,E02000138,0.9697304768486524,0.021838286109191432,0.007601935038009675,0.00082930200414651,1
133,E02000139,0.9806188925081433,0.012377850162866449,0.006351791530944626,0.0006514657980456026,1
134,E02000140,0.9785876993166287,0.015186028853454821,0.005618830675778284,0.0006074411541381929,1
135,E02000141,0.9833476394849785,0.009270386266094421,0.0066952789699570815,0.0006866952789699571,1
136,E02000142,0.9773084058798345,0.016269444840873414,0.00585129156557728,0.0005708577137148566,1
137,E02000144,0.9823587466074513,0.01159634838391315,0.005304712558598569,0.0007401924500370096,1
138,E02000145,0.978137166816412,0.015274034141958671,0.0056903264450434265,0.0008984725965858042,1
