,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HEALTH_6_NAME,OBS_VALUE
227,2021,E02002523,2021 super output areas - middle layer,152,Very bad health,146
228,2021,E02002524,2021 super output areas - middle layer,152,Total: All usual residents,5396
229,2021,E02002524,2021 super output areas - middle layer,152,Very good health,2202
230,2021,E02002524,2021 super output areas - middle layer,152,Good health,1914
231,2021,E02002524,2021 super output areas - middle layer,152,Fair health,901
232,2021,E02002524,2021 super output areas - middle layer,152,Bad health,273
233,2021,E02002524,2021 super output areas - middle layer,152,Very bad health,106
234,2021,E02002525,2021 super output areas - middle layer,152,Total: All usual residents,7971
235,2021,E02002525,2021 super output areas - middle layer,152,Very good health,3083
236,2021,E02002525,2021 super output areas - middle layer,152,Good health,2772
237,2021,E02002525,2021 super output areas - middle layer,152,Fair health,1388
238,2021,E02002525,2021 super output areas - middle layer,152,Bad health,547
239,2021,E02002525,2021 super output areas - middle layer,152,Very bad health,181
240,2021,E02002526,2021 super output areas - middle layer,152,Total: All usual residents,7707
241,2021,E02002526,2021 super output areas - middle layer,152,Very good health,3494
242,2021,E02002526,2021 super output areas - middle layer,152,Good health,2487
243,2021,E02002526,2021 super output areas - middle layer,152,Fair health,1124
244,2021,E02002526,2021 super output areas - middle layer,152,Bad health,467
245,2021,E02002526,2021 super output areas - middle layer,152,Very bad health,135
246,2021,E02002527,2021 super output areas - middle layer,152,Total: All usual residents,5085
247,2021,E02002527,2021 super output areas - middle layer,152,Very good health,2048
248,2021,E02002527,2021 super output areas - middle layer,152,Good health,1684
249,2021,E02002527,2021 super output areas - middle layer,152,Fair health,878
250,2021,E02002527,2021 super output areas - middle layer,152,Bad health,360
251,2021,E02002527,2021 super output areas - middle layer,152,Very bad health,115
252,2021,E02002529,2021 super output areas - middle layer,152,Total: All usual residents,5740
253,2021,E02002529,2021 super output areas - middle layer,152,Very good health,2517
254,2021,E02002529,2021 super output areas - middle layer,152,Good health,1937
255,2021,E02002529,2021 super output areas - middle layer,152,Fair health,871
256,2021,E02002529,2021 super output areas - middle layer,152,Bad health,314
257,2021,E02002529,2021 super output areas - middle layer,152,Very bad health,101
258,2021,E02002530,2021 super output areas - middle layer,152,Total: All usual residents,6180
259,2021,E02002530,2021 super output areas - middle layer,152,Very good health,2479
260,2021,E02002530,2021 super output areas - middle layer,152,Good health,2061
261,2021,E02002530,2021 super output areas - middle layer,152,Fair health,1047
262,2021,E02002530,2021 super output areas - middle layer,152,Bad health,421
263,2021,E02002530,2021 super output areas - middle layer,152,Very bad health,172
264,2021,E02002532,2021 super output areas - middle layer,152,Total: All usual residents,6735
265,2021,E02002532,2021 super output areas - middle layer,152,Very good health,2806
266,2021,E02002532,2021 super output areas - middle layer,152,Good health,2179
267,2021,E02002532,2021 super output areas - middle layer,152,Fair health,1173
268,2021,E02002532,2021 super output areas - middle layer,152,Bad health,453
269,2021,E02002532,2021 super output areas - middle layer,152,Very bad health,124
270,2021,E02002533,2021 super output areas - middle layer,152,Total: All usual residents,6565
271,2021,E02002533,2021 super output areas - middle layer,152,Very good health,3162
272,2021,E02002533,2021 super output areas - middle layer,152,Good health,2321
273,2021,E02002533,2021 super output areas - middle layer,152,Fair health,773
274,2021,E02002533,2021 super output areas - middle layer,152,Bad health,229
275,2021,E02002533,2021 super output areas - middle layer,152,Very bad health,80
276,2021,E02002534,2021 super output areas - middle layer,152,Total: All usual residents,5574
277,2021,E02002534,2021 super output areas - middle layer,152,Very good health,2551
278,2021,E02002534,2021 super output areas - middle layer,152,Good health,2004
279,2021,E02002534,2021 super output areas - middle layer,152,Fair health,772
280,2021,E02002534,2021 super output areas - middle layer,152,Bad health,176
281,2021,E02002534,2021 super output areas - middle layer,152,Very bad health,71
282,2021,E02006812,2021 super output areas - middle layer,152,Total: All usual residents,7602
283,2021,E02006812,2021 super output areas - middle layer,152,Very good health,3358
284,2021,E02006812,2021 super output areas - middle layer,152,Good health,2497
285,2021,E02006812,2021 super output areas - middle layer,152,Fair health,1167
286,2021,E02006812,2021 super output areas - middle layer,152,Bad health,428
287,2021,E02006812,2021 super output areas - middle layer,152,Very bad health,152
288,2021,E02006910,2021 super output areas - middle layer,152,Total: All usual residents,10615
289,2021,E02006910,2021 super output areas - middle layer,152,Very good health,4701
290,2021,E02006910,2021 super output areas - middle layer,152,Good health,3523
291,2021,E02006910,2021 super output areas - middle layer,152,Fair health,1595
292,2021,E02006910,2021 super output areas - middle layer,152,Bad health,606
293,2021,E02006910,2021 super output areas - middle layer,152,Very bad health,190
294,2021,E02002535,2021 super output areas - middle layer,152,Total: All usual residents,9165
295,2021,E02002535,2021 super output areas - middle layer,152,Very good health,4237
296,2021,E02002535,2021 super output areas - middle layer,152,Good health,3262
297,2021,E02002535,2021 super output areas - middle layer,152,Fair health,1225
298,2021,E02002535,2021 super output areas - middle layer,152,Bad health,344
299,2021,E02002535,2021 super output areas - middle layer,152,Very bad health,97
300,2021,E02002536,2021 super output areas - middle layer,152,Total: All usual residents,9328
301,2021,E02002536,2021 super output areas - middle layer,152,Very good health,3903
302,2021,E02002536,2021 super output areas - middle layer,152,Good health,3142
303,2021,E02002536,2021 super output areas - middle layer,152,Fair health,1561
304,2021,E02002536,2021 super output areas - middle layer,152,Bad health,555
305,2021,E02002536,2021 super output areas - middle layer,152,Very bad health,167
306,2021,E02002537,2021 super output areas - middle layer,152,Total: All usual residents,8365
307,2021,E02002537,2021 super output areas - middle layer,152,Very good health,3216
308,2021,E02002537,2021 super output areas - middle layer,152,Good health,2986
309,2021,E02002537,2021 super output areas - middle layer,152,Fair health,1462
310,2021,E02002537,2021 super output areas - middle layer,152,Bad health,541
311,2021,E02002537,2021 super output areas - middle layer,152,Very bad health,160
312,2021,E02002538,2021 super output areas - middle layer,152,Total: All usual residents,5638
313,2021,E02002538,2021 super output areas - middle layer,152,Very good health,2311
314,2021,E02002538,2021 super output areas - middle layer,152,Good health,1971
315,2021,E02002538,2021 super output areas - middle layer,152,Fair health,917
316,2021,E02002538,2021 super output areas - middle layer,152,Bad health,338
317,2021,E02002538,2021 super output areas - middle layer,152,Very bad health,101
318,2021,E02002539,2021 super output areas - middle layer,152,Total: All usual residents,10538
319,2021,E02002539,2021 super output areas - middle layer,152,Very good health,5607
320,2021,E02002539,2021 super output areas - middle layer,152,Good health,3362
321,2021,E02002539,2021 super output areas - middle layer,152,Fair health,1142
322,2021,E02002539,2021 super output areas - middle layer,152,Bad health,316
323,2021,E02002539,2021 super output areas - middle layer,152,Very bad health,111
324,2021,E02002540,2021 super output areas - middle layer,152,Total: All usual residents,6066
325,2021,E02002540,2021 super output areas - middle layer,152,Very good health,2797
326,2021,E02002540,2021 super output areas - middle layer,152,Good health,2149
327,2021,E02002540,2021 super output areas - middle layer,152,Fair health,840
328,2021,E02002540,2021 super output areas - middle layer,152,Bad health,227
329,2021,E02002540,2021 super output areas - middle layer,152,Very bad health,53
330,2021,E02002541,2021 super output areas - middle layer,152,Total: All usual residents,6016
331,2021,E02002541,2021 super output areas - middle layer,152,Very good health,2549
332,2021,E02002541,2021 super output areas - middle layer,152,Good health,2099
333,2021,E02002541,2021 super output areas - middle layer,152,Fair health,987
334,2021,E02002541,2021 super output areas - middle layer,152,Bad health,294
335,2021,E02002541,2021 super output areas - middle layer,152,Very bad health,87
336,2021,E02002542,2021 super output areas - middle layer,152,Total: All usual residents,8025
337,2021,E02002542,2021 super output areas - middle layer,152,Very good health,3304
338,2021,E02002542,2021 super output areas - middle layer,152,Good health,2630
