,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HEATING_13_NAME,OBS_VALUE
203,2021,E02005606,2021 super output areas - middle layer,152,Other central heating only,7
204,2021,E02005606,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),356
205,2021,E02005606,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),40
206,2021,E02005607,2021 super output areas - middle layer,152,Total: All households,4841
207,2021,E02005607,2021 super output areas - middle layer,152,No central heating,49
208,2021,E02005607,2021 super output areas - middle layer,152,Mains gas only,534
209,2021,E02005607,2021 super output areas - middle layer,152,Tank or bottled gas only,106
210,2021,E02005607,2021 super output areas - middle layer,152,Electric only,801
211,2021,E02005607,2021 super output areas - middle layer,152,Oil only,2467
212,2021,E02005607,2021 super output areas - middle layer,152,Wood only,29
213,2021,E02005607,2021 super output areas - middle layer,152,Solid fuel only,10
214,2021,E02005607,2021 super output areas - middle layer,152,Renewable energy only,196
215,2021,E02005607,2021 super output areas - middle layer,152,District or communal heat networks only,1
216,2021,E02005607,2021 super output areas - middle layer,152,Other central heating only,23
217,2021,E02005607,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),518
218,2021,E02005607,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),107
219,2021,E02005608,2021 super output areas - middle layer,152,Total: All households,3329
220,2021,E02005608,2021 super output areas - middle layer,152,No central heating,47
221,2021,E02005608,2021 super output areas - middle layer,152,Mains gas only,625
222,2021,E02005608,2021 super output areas - middle layer,152,Tank or bottled gas only,84
223,2021,E02005608,2021 super output areas - middle layer,152,Electric only,429
224,2021,E02005608,2021 super output areas - middle layer,152,Oil only,1476
225,2021,E02005608,2021 super output areas - middle layer,152,Wood only,43
226,2021,E02005608,2021 super output areas - middle layer,152,Solid fuel only,15
227,2021,E02005608,2021 super output areas - middle layer,152,Renewable energy only,113
228,2021,E02005608,2021 super output areas - middle layer,152,District or communal heat networks only,1
229,2021,E02005608,2021 super output areas - middle layer,152,Other central heating only,7
230,2021,E02005608,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),439
231,2021,E02005608,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),50
232,2021,E02005609,2021 super output areas - middle layer,152,Total: All households,3479
233,2021,E02005609,2021 super output areas - middle layer,152,No central heating,36
234,2021,E02005609,2021 super output areas - middle layer,152,Mains gas only,1755
235,2021,E02005609,2021 super output areas - middle layer,152,Tank or bottled gas only,34
236,2021,E02005609,2021 super output areas - middle layer,152,Electric only,425
237,2021,E02005609,2021 super output areas - middle layer,152,Oil only,769
238,2021,E02005609,2021 super output areas - middle layer,152,Wood only,9
239,2021,E02005609,2021 super output areas - middle layer,152,Solid fuel only,15
240,2021,E02005609,2021 super output areas - middle layer,152,Renewable energy only,49
241,2021,E02005609,2021 super output areas - middle layer,152,District or communal heat networks only,11
242,2021,E02005609,2021 super output areas - middle layer,152,Other central heating only,11
243,2021,E02005609,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),319
