,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HIQUAL_8_NAME,OBS_VALUE
152,2021,E02003104,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,6190
153,2021,E02003104,2021 super output areas - middle layer,152,No qualifications,857
154,2021,E02003104,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,662
155,2021,E02003104,2021 super output areas - middle layer,152,Level 2 qualifications,879
156,2021,E02003104,2021 super output areas - middle layer,152,Apprenticeship,402
157,2021,E02003104,2021 super output areas - middle layer,152,Level 3 qualifications,1171
158,2021,E02003104,2021 super output areas - middle layer,152,Level 4 qualifications or above,2049
159,2021,E02003104,2021 super output areas - middle layer,152,Other qualifications,170
160,2021,E02003105,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5283
161,2021,E02003105,2021 super output areas - middle layer,152,No qualifications,813
162,2021,E02003105,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,474
163,2021,E02003105,2021 super output areas - middle layer,152,Level 2 qualifications,716
164,2021,E02003105,2021 super output areas - middle layer,152,Apprenticeship,375
165,2021,E02003105,2021 super output areas - middle layer,152,Level 3 qualifications,891
166,2021,E02003105,2021 super output areas - middle layer,152,Level 4 qualifications or above,1866
167,2021,E02003105,2021 super output areas - middle layer,152,Other qualifications,148
168,2021,E02003107,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,9645
169,2021,E02003107,2021 super output areas - middle layer,152,No qualifications,1362
170,2021,E02003107,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,848
171,2021,E02003107,2021 super output areas - middle layer,152,Level 2 qualifications,1112
172,2021,E02003107,2021 super output areas - middle layer,152,Apprenticeship,568
173,2021,E02003107,2021 super output areas - middle layer,152,Level 3 qualifications,2223
174,2021,E02003107,2021 super output areas - middle layer,152,Level 4 qualifications or above,3263
175,2021,E02003107,2021 super output areas - middle layer,152,Other qualifications,269
176,2021,E02003108,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,10285
177,2021,E02003108,2021 super output areas - middle layer,152,No qualifications,1488
178,2021,E02003108,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,1009
179,2021,E02003108,2021 super output areas - middle layer,152,Level 2 qualifications,1424
180,2021,E02003108,2021 super output areas - middle layer,152,Apprenticeship,689
181,2021,E02003108,2021 super output areas - middle layer,152,Level 3 qualifications,2008
182,2021,E02003108,2021 super output areas - middle layer,152,Level 4 qualifications or above,3426
183,2021,E02003108,2021 super output areas - middle layer,152,Other qualifications,241
184,2021,E02003109,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,4995
185,2021,E02003109,2021 super output areas - middle layer,152,No qualifications,593
186,2021,E02003109,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,437
187,2021,E02003109,2021 super output areas - middle layer,152,Level 2 qualifications,746
188,2021,E02003109,2021 super output areas - middle layer,152,Apprenticeship,329
189,2021,E02003109,2021 super output areas - middle layer,152,Level 3 qualifications,980
190,2021,E02003109,2021 super output areas - middle layer,152,Level 4 qualifications or above,1796
191,2021,E02003109,2021 super output areas - middle layer,152,Other qualifications,114
192,2021,E02003110,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,9611
193,2021,E02003110,2021 super output areas - middle layer,152,No qualifications,926
194,2021,E02003110,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,867
195,2021,E02003110,2021 super output areas - middle layer,152,Level 2 qualifications,1401
196,2021,E02003110,2021 super output areas - middle layer,152,Apprenticeship,488
197,2021,E02003110,2021 super output areas - middle layer,152,Level 3 qualifications,1960
198,2021,E02003110,2021 super output areas - middle layer,152,Level 4 qualifications or above,3802
199,2021,E02003110,2021 super output areas - middle layer,152,Other qualifications,167
200,2021,E02003111,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5522
201,2021,E02003111,2021 super output areas - middle layer,152,No qualifications,796
202,2021,E02003111,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,487
203,2021,E02003111,2021 super output areas - middle layer,152,Level 2 qualifications,697
204,2021,E02003111,2021 super output areas - middle layer,152,Apprenticeship,344
205,2021,E02003111,2021 super output areas - middle layer,152,Level 3 qualifications,960
206,2021,E02003111,2021 super output areas - middle layer,152,Level 4 qualifications or above,2112
207,2021,E02003111,2021 super output areas - middle layer,152,Other qualifications,126
208,2021,E02003112,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5198
209,2021,E02003112,2021 super output areas - middle layer,152,No qualifications,990
210,2021,E02003112,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,651
211,2021,E02003112,2021 super output areas - middle layer,152,Level 2 qualifications,764
212,2021,E02003112,2021 super output areas - middle layer,152,Apprenticeship,400
213,2021,E02003112,2021 super output areas - middle layer,152,Level 3 qualifications,909
214,2021,E02003112,2021 super output areas - middle layer,152,Level 4 qualifications or above,1360
215,2021,E02003112,2021 super output areas - middle layer,152,Other qualifications,124
216,2021,E02003113,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,8707
217,2021,E02003113,2021 super output areas - middle layer,152,No qualifications,1187
218,2021,E02003113,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,832
219,2021,E02003113,2021 super output areas - middle layer,152,Level 2 qualifications,1248
220,2021,E02003113,2021 super output areas - middle layer,152,Apprenticeship,493
221,2021,E02003113,2021 super output areas - middle layer,152,Level 3 qualifications,1397
222,2021,E02003113,2021 super output areas - middle layer,152,Level 4 qualifications or above,3382
223,2021,E02003113,2021 super output areas - middle layer,152,Other qualifications,168
224,2021,E02003114,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5984
225,2021,E02003114,2021 super output areas - middle layer,152,No qualifications,1038
226,2021,E02003114,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,706
227,2021,E02003114,2021 super output areas - middle layer,152,Level 2 qualifications,854
