,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGU_3_NAME,OBS_VALUE
98,2021,W02000033,2021 super output areas - middle layer,152,Can understand spoken Welsh,1769
99,2021,W02000034,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7497
100,2021,W02000034,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,5248
101,2021,W02000034,2021 super output areas - middle layer,152,Can understand spoken Welsh,2249
102,2021,W02000035,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8639
103,2021,W02000035,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,6164
104,2021,W02000035,2021 super output areas - middle layer,152,Can understand spoken Welsh,2475
105,2021,W02000036,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10982
106,2021,W02000036,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,8202
107,2021,W02000036,2021 super output areas - middle layer,152,Can understand spoken Welsh,2780
108,2021,W02000037,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6945
109,2021,W02000037,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,4276
110,2021,W02000037,2021 super output areas - middle layer,152,Can understand spoken Welsh,2669
111,2021,W02000038,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6070
112,2021,W02000038,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,3507
113,2021,W02000038,2021 super output areas - middle layer,152,Can understand spoken Welsh,2563
114,2021,W02000039,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7619
115,2021,W02000039,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,3881
116,2021,W02000039,2021 super output areas - middle layer,152,Can understand spoken Welsh,3738
117,2021,W02000040,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6432
118,2021,W02000040,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,2655
119,2021,W02000040,2021 super output areas - middle layer,152,Can understand spoken Welsh,3777
120,2021,W02000041,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8302
121,2021,W02000041,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,3217
122,2021,W02000041,2021 super output areas - middle layer,152,Can understand spoken Welsh,5085
123,2021,W02000042,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5705
124,2021,W02000042,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,4712
125,2021,W02000042,2021 super output areas - middle layer,152,Can understand spoken Welsh,993
126,2021,W02000043,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5096
