,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_ETHPUK11_NAME,OBS_VALUE
157,2001,E02001388,2001 super output areas - middle layer,305,Asian/Asian British: Indian,69
158,2001,E02001388,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,59
159,2001,E02001388,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,13
160,2001,E02001388,2001 super output areas - middle layer,305,Asian/Asian British: Other,21
161,2001,E02001388,2001 super output areas - middle layer,305,Black/Black British,126
162,2001,E02001388,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,29
163,2001,E02001388,2001 super output areas - middle layer,305,Black/Black British: Black African,60
164,2001,E02001388,2001 super output areas - middle layer,305,Black/Black British: Other,37
165,2001,E02001388,2001 super output areas - middle layer,305,Chinese/Other,174
166,2001,E02001388,2001 super output areas - middle layer,305,Chinese/Other: Chinese,131
167,2001,E02001388,2001 super output areas - middle layer,305,Chinese/Other: Other,43
168,2001,E02001389,2001 super output areas - middle layer,305,All categories: Ethnic group,6217
169,2001,E02001389,2001 super output areas - middle layer,305,White,5130
170,2001,E02001389,2001 super output areas - middle layer,305,White: British,4748
171,2001,E02001389,2001 super output areas - middle layer,305,White: Irish,162
172,2001,E02001389,2001 super output areas - middle layer,305,White: Other,220
173,2001,E02001389,2001 super output areas - middle layer,305,Mixed,374
174,2001,E02001389,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,108
175,2001,E02001389,2001 super output areas - middle layer,305,Mixed: White and Black African,126
176,2001,E02001389,2001 super output areas - middle layer,305,Mixed: White and Asian,36
177,2001,E02001389,2001 super output areas - middle layer,305,Mixed: Other,104
178,2001,E02001389,2001 super output areas - middle layer,305,Asian/Asian British,130
179,2001,E02001389,2001 super output areas - middle layer,305,Asian/Asian British: Indian,27
180,2001,E02001389,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,21
181,2001,E02001389,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,39
182,2001,E02001389,2001 super output areas - middle layer,305,Asian/Asian British: Other,43
183,2001,E02001389,2001 super output areas - middle layer,305,Black/Black British,387
184,2001,E02001389,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,79
185,2001,E02001389,2001 super output areas - middle layer,305,Black/Black British: Black African,238
186,2001,E02001389,2001 super output areas - middle layer,305,Black/Black British: Other,70
187,2001,E02001389,2001 super output areas - middle layer,305,Chinese/Other,196
188,2001,E02001389,2001 super output areas - middle layer,305,Chinese/Other: Chinese,125
189,2001,E02001389,2001 super output areas - middle layer,305,Chinese/Other: Other,71
190,2001,E02001390,2001 super output areas - middle layer,305,All categories: Ethnic group,7596
191,2001,E02001390,2001 super output areas - middle layer,305,White,6672
192,2001,E02001390,2001 super output areas - middle layer,305,White: British,6501
193,2001,E02001390,2001 super output areas - middle layer,305,White: Irish,68
194,2001,E02001390,2001 super output areas - middle layer,305,White: Other,103
195,2001,E02001390,2001 super output areas - middle layer,305,Mixed,306
196,2001,E02001390,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,77
197,2001,E02001390,2001 super output areas - middle layer,305,Mixed: White and Black African,94
198,2001,E02001390,2001 super output areas - middle layer,305,Mixed: White and Asian,39
199,2001,E02001390,2001 super output areas - middle layer,305,Mixed: Other,96
200,2001,E02001390,2001 super output areas - middle layer,305,Asian/Asian British,214
201,2001,E02001390,2001 super output areas - middle layer,305,Asian/Asian British: Indian,20
202,2001,E02001390,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,8
203,2001,E02001390,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,92
204,2001,E02001390,2001 super output areas - middle layer,305,Asian/Asian British: Other,94
205,2001,E02001390,2001 super output areas - middle layer,305,Black/Black British,237
206,2001,E02001390,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,54
207,2001,E02001390,2001 super output areas - middle layer,305,Black/Black British: Black African,112
208,2001,E02001390,2001 super output areas - middle layer,305,Black/Black British: Other,71
209,2001,E02001390,2001 super output areas - middle layer,305,Chinese/Other,167
210,2001,E02001390,2001 super output areas - middle layer,305,Chinese/Other: Chinese,101
211,2001,E02001390,2001 super output areas - middle layer,305,Chinese/Other: Other,66
212,2001,E02001391,2001 super output areas - middle layer,305,All categories: Ethnic group,6482
213,2001,E02001391,2001 super output areas - middle layer,305,White,6298
214,2001,E02001391,2001 super output areas - middle layer,305,White: British,6225
215,2001,E02001391,2001 super output areas - middle layer,305,White: Irish,48
216,2001,E02001391,2001 super output areas - middle layer,305,White: Other,25
217,2001,E02001391,2001 super output areas - middle layer,305,Mixed,102
218,2001,E02001391,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,37
219,2001,E02001391,2001 super output areas - middle layer,305,Mixed: White and Black African,16
220,2001,E02001391,2001 super output areas - middle layer,305,Mixed: White and Asian,22
221,2001,E02001391,2001 super output areas - middle layer,305,Mixed: Other,27
222,2001,E02001391,2001 super output areas - middle layer,305,Asian/Asian British,15
223,2001,E02001391,2001 super output areas - middle layer,305,Asian/Asian British: Indian,8
224,2001,E02001391,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,3
225,2001,E02001391,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,0
226,2001,E02001391,2001 super output areas - middle layer,305,Asian/Asian British: Other,4
227,2001,E02001391,2001 super output areas - middle layer,305,Black/Black British,37
228,2001,E02001391,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,22
229,2001,E02001391,2001 super output areas - middle layer,305,Black/Black British: Black African,9
230,2001,E02001391,2001 super output areas - middle layer,305,Black/Black British: Other,6
231,2001,E02001391,2001 super output areas - middle layer,305,Chinese/Other,30
232,2001,E02001391,2001 super output areas - middle layer,305,Chinese/Other: Chinese,27
233,2001,E02001391,2001 super output areas - middle layer,305,Chinese/Other: Other,3
234,2001,E02001392,2001 super output areas - middle layer,305,All categories: Ethnic group,5988
235,2001,E02001392,2001 super output areas - middle layer,305,White,5736
236,2001,E02001392,2001 super output areas - middle layer,305,White: British,5596
237,2001,E02001392,2001 super output areas - middle layer,305,White: Irish,58
238,2001,E02001392,2001 super output areas - middle layer,305,White: Other,82
239,2001,E02001392,2001 super output areas - middle layer,305,Mixed,56
240,2001,E02001392,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,7
241,2001,E02001392,2001 super output areas - middle layer,305,Mixed: White and Black African,15
242,2001,E02001392,2001 super output areas - middle layer,305,Mixed: White and Asian,18
243,2001,E02001392,2001 super output areas - middle layer,305,Mixed: Other,16
244,2001,E02001392,2001 super output areas - middle layer,305,Asian/Asian British,96
245,2001,E02001392,2001 super output areas - middle layer,305,Asian/Asian British: Indian,62
246,2001,E02001392,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,18
247,2001,E02001392,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,0
248,2001,E02001392,2001 super output areas - middle layer,305,Asian/Asian British: Other,16
249,2001,E02001392,2001 super output areas - middle layer,305,Black/Black British,14
250,2001,E02001392,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,0
251,2001,E02001392,2001 super output areas - middle layer,305,Black/Black British: Black African,9
252,2001,E02001392,2001 super output areas - middle layer,305,Black/Black British: Other,5
253,2001,E02001392,2001 super output areas - middle layer,305,Chinese/Other,86
254,2001,E02001392,2001 super output areas - middle layer,305,Chinese/Other: Chinese,66
255,2001,E02001392,2001 super output areas - middle layer,305,Chinese/Other: Other,20
256,2001,E02001393,2001 super output areas - middle layer,305,All categories: Ethnic group,7857
257,2001,E02001393,2001 super output areas - middle layer,305,White,7323
258,2001,E02001393,2001 super output areas - middle layer,305,White: British,7056
259,2001,E02001393,2001 super output areas - middle layer,305,White: Irish,119
260,2001,E02001393,2001 super output areas - middle layer,305,White: Other,148
261,2001,E02001393,2001 super output areas - middle layer,305,Mixed,83
262,2001,E02001393,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,12
263,2001,E02001393,2001 super output areas - middle layer,305,Mixed: White and Black African,14
264,2001,E02001393,2001 super output areas - middle layer,305,Mixed: White and Asian,28
265,2001,E02001393,2001 super output areas - middle layer,305,Mixed: Other,29
266,2001,E02001393,2001 super output areas - middle layer,305,Asian/Asian British,257
267,2001,E02001393,2001 super output areas - middle layer,305,Asian/Asian British: Indian,154
268,2001,E02001393,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,53
269,2001,E02001393,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,0
270,2001,E02001393,2001 super output areas - middle layer,305,Asian/Asian British: Other,50
271,2001,E02001393,2001 super output areas - middle layer,305,Black/Black British,28
272,2001,E02001393,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,6
273,2001,E02001393,2001 super output areas - middle layer,305,Black/Black British: Black African,17
274,2001,E02001393,2001 super output areas - middle layer,305,Black/Black British: Other,5
275,2001,E02001393,2001 super output areas - middle layer,305,Chinese/Other,166
276,2001,E02001393,2001 super output areas - middle layer,305,Chinese/Other: Chinese,138
277,2001,E02001393,2001 super output areas - middle layer,305,Chinese/Other: Other,28
278,2001,E02001394,2001 super output areas - middle layer,305,All categories: Ethnic group,9416
279,2001,E02001394,2001 super output areas - middle layer,305,White,8640
280,2001,E02001394,2001 super output areas - middle layer,305,White: British,8174
281,2001,E02001394,2001 super output areas - middle layer,305,White: Irish,202
282,2001,E02001394,2001 super output areas - middle layer,305,White: Other,264
283,2001,E02001394,2001 super output areas - middle layer,305,Mixed,256
284,2001,E02001394,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,59
285,2001,E02001394,2001 super output areas - middle layer,305,Mixed: White and Black African,67
286,2001,E02001394,2001 super output areas - middle layer,305,Mixed: White and Asian,55
287,2001,E02001394,2001 super output areas - middle layer,305,Mixed: Other,75
288,2001,E02001394,2001 super output areas - middle layer,305,Asian/Asian British,237
289,2001,E02001394,2001 super output areas - middle layer,305,Asian/Asian British: Indian,101
290,2001,E02001394,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,34
291,2001,E02001394,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,56
292,2001,E02001394,2001 super output areas - middle layer,305,Asian/Asian British: Other,46
293,2001,E02001394,2001 super output areas - middle layer,305,Black/Black British,136
294,2001,E02001394,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,35
295,2001,E02001394,2001 super output areas - middle layer,305,Black/Black British: Black African,75
296,2001,E02001394,2001 super output areas - middle layer,305,Black/Black British: Other,26
297,2001,E02001394,2001 super output areas - middle layer,305,Chinese/Other,147
298,2001,E02001394,2001 super output areas - middle layer,305,Chinese/Other: Chinese,97
299,2001,E02001394,2001 super output areas - middle layer,305,Chinese/Other: Other,50
300,2001,E02001395,2001 super output areas - middle layer,305,All categories: Ethnic group,5940
301,2001,E02001395,2001 super output areas - middle layer,305,White,5571
302,2001,E02001395,2001 super output areas - middle layer,305,White: British,5431
303,2001,E02001395,2001 super output areas - middle layer,305,White: Irish,77
304,2001,E02001395,2001 super output areas - middle layer,305,White: Other,63
305,2001,E02001395,2001 super output areas - middle layer,305,Mixed,123
306,2001,E02001395,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,31
307,2001,E02001395,2001 super output areas - middle layer,305,Mixed: White and Black African,31
308,2001,E02001395,2001 super output areas - middle layer,305,Mixed: White and Asian,34
309,2001,E02001395,2001 super output areas - middle layer,305,Mixed: Other,27
310,2001,E02001395,2001 super output areas - middle layer,305,Asian/Asian British,85
311,2001,E02001395,2001 super output areas - middle layer,305,Asian/Asian British: Indian,42
312,2001,E02001395,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,31
313,2001,E02001395,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,9
314,2001,E02001395,2001 super output areas - middle layer,305,Asian/Asian British: Other,3
315,2001,E02001395,2001 super output areas - middle layer,305,Black/Black British,46
316,2001,E02001395,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,7
317,2001,E02001395,2001 super output areas - middle layer,305,Black/Black British: Black African,33
318,2001,E02001395,2001 super output areas - middle layer,305,Black/Black British: Other,6
319,2001,E02001395,2001 super output areas - middle layer,305,Chinese/Other,115
320,2001,E02001395,2001 super output areas - middle layer,305,Chinese/Other: Chinese,90
321,2001,E02001395,2001 super output areas - middle layer,305,Chinese/Other: Other,25
322,2001,E02001396,2001 super output areas - middle layer,305,All categories: Ethnic group,7188
323,2001,E02001396,2001 super output areas - middle layer,305,White,6740
324,2001,E02001396,2001 super output areas - middle layer,305,White: British,6578
325,2001,E02001396,2001 super output areas - middle layer,305,White: Irish,79
326,2001,E02001396,2001 super output areas - middle layer,305,White: Other,83
327,2001,E02001396,2001 super output areas - middle layer,305,Mixed,188
328,2001,E02001396,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,66
329,2001,E02001396,2001 super output areas - middle layer,305,Mixed: White and Black African,38
330,2001,E02001396,2001 super output areas - middle layer,305,Mixed: White and Asian,32
331,2001,E02001396,2001 super output areas - middle layer,305,Mixed: Other,52
332,2001,E02001396,2001 super output areas - middle layer,305,Asian/Asian British,73
333,2001,E02001396,2001 super output areas - middle layer,305,Asian/Asian British: Indian,29
334,2001,E02001396,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,14
335,2001,E02001396,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,7
336,2001,E02001396,2001 super output areas - middle layer,305,Asian/Asian British: Other,23
337,2001,E02001396,2001 super output areas - middle layer,305,Black/Black British,86
338,2001,E02001396,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,15
339,2001,E02001396,2001 super output areas - middle layer,305,Black/Black British: Black African,53
340,2001,E02001396,2001 super output areas - middle layer,305,Black/Black British: Other,18
341,2001,E02001396,2001 super output areas - middle layer,305,Chinese/Other,101
342,2001,E02001396,2001 super output areas - middle layer,305,Chinese/Other: Chinese,82
343,2001,E02001396,2001 super output areas - middle layer,305,Chinese/Other: Other,19
344,2001,E02001397,2001 super output areas - middle layer,305,All categories: Ethnic group,7309
345,2001,E02001397,2001 super output areas - middle layer,305,White,7097
346,2001,E02001397,2001 super output areas - middle layer,305,White: British,6941
347,2001,E02001397,2001 super output areas - middle layer,305,White: Irish,80
348,2001,E02001397,2001 super output areas - middle layer,305,White: Other,76
349,2001,E02001397,2001 super output areas - middle layer,305,Mixed,84
350,2001,E02001397,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,18
351,2001,E02001397,2001 super output areas - middle layer,305,Mixed: White and Black African,23
352,2001,E02001397,2001 super output areas - middle layer,305,Mixed: White and Asian,18
353,2001,E02001397,2001 super output areas - middle layer,305,Mixed: Other,25
354,2001,E02001397,2001 super output areas - middle layer,305,Asian/Asian British,45
355,2001,E02001397,2001 super output areas - middle layer,305,Asian/Asian British: Indian,35
356,2001,E02001397,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,7
357,2001,E02001397,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,0
358,2001,E02001397,2001 super output areas - middle layer,305,Asian/Asian British: Other,3
359,2001,E02001397,2001 super output areas - middle layer,305,Black/Black British,10
360,2001,E02001397,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,4
361,2001,E02001397,2001 super output areas - middle layer,305,Black/Black British: Black African,6
362,2001,E02001397,2001 super output areas - middle layer,305,Black/Black British: Other,0
363,2001,E02001397,2001 super output areas - middle layer,305,Chinese/Other,73
364,2001,E02001397,2001 super output areas - middle layer,305,Chinese/Other: Chinese,65
365,2001,E02001397,2001 super output areas - middle layer,305,Chinese/Other: Other,8
366,2001,E02001398,2001 super output areas - middle layer,305,All categories: Ethnic group,7333
367,2001,E02001398,2001 super output areas - middle layer,305,White,6737
368,2001,E02001398,2001 super output areas - middle layer,305,White: British,6415
369,2001,E02001398,2001 super output areas - middle layer,305,White: Irish,152
370,2001,E02001398,2001 super output areas - middle layer,305,White: Other,170
