,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_HHSDUK11_NAME,OBS_VALUE
118,2001,E02003507,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",38
119,2001,E02003507,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,3
120,2001,E02003508,2001 super output areas - middle layer,305,All household spaces - with residents,3219
121,2001,E02003508,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,84
122,2001,E02003508,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,9
123,2001,E02003508,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,52
124,2001,E02003508,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,200
125,2001,E02003508,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,2273
126,2001,E02003508,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",325
127,2001,E02003508,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",425
128,2001,E02003508,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",37
129,2001,E02003508,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,0
130,2001,E02003509,2001 super output areas - middle layer,305,All household spaces - with residents,4304
131,2001,E02003509,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,160
132,2001,E02003509,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,30
133,2001,E02003509,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,114
134,2001,E02003509,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,220
135,2001,E02003509,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,563
136,2001,E02003509,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",1380
137,2001,E02003509,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",2111
138,2001,E02003509,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",104
