,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_OCCPUK11_2_NAME,OBS_VALUE
131,2001,E02005905,2001 super output areas - middle layer,305,1. Managers and senior officials,443
132,2001,E02005905,2001 super output areas - middle layer,305,2. Professional occupations,263
133,2001,E02005905,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,197
134,2001,E02005905,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,79
135,2001,E02005905,2001 super output areas - middle layer,305,5. Skilled trades occupations,307
136,2001,E02005905,2001 super output areas - middle layer,305,6. Personal service occupations,25
137,2001,E02005905,2001 super output areas - middle layer,305,7. Sales and customer service occupations,52
138,2001,E02005905,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",125
139,2001,E02005905,2001 super output areas - middle layer,305,9. Elementary occupations,149
140,2001,E02005906,2001 super output areas - middle layer,305,All categories: Occupation,1629
141,2001,E02005906,2001 super output areas - middle layer,305,1. Managers and senior officials,458
142,2001,E02005906,2001 super output areas - middle layer,305,2. Professional occupations,260
143,2001,E02005906,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,223
144,2001,E02005906,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,76
145,2001,E02005906,2001 super output areas - middle layer,305,5. Skilled trades occupations,291
146,2001,E02005906,2001 super output areas - middle layer,305,6. Personal service occupations,22
147,2001,E02005906,2001 super output areas - middle layer,305,7. Sales and customer service occupations,28
148,2001,E02005906,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",129
149,2001,E02005906,2001 super output areas - middle layer,305,9. Elementary occupations,142
150,2001,E02005907,2001 super output areas - middle layer,305,All categories: Occupation,2324
151,2001,E02005907,2001 super output areas - middle layer,305,1. Managers and senior officials,565
152,2001,E02005907,2001 super output areas - middle layer,305,2. Professional occupations,363
153,2001,E02005907,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,382
154,2001,E02005907,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,122
155,2001,E02005907,2001 super output areas - middle layer,305,5. Skilled trades occupations,328
156,2001,E02005907,2001 super output areas - middle layer,305,6. Personal service occupations,35
157,2001,E02005907,2001 super output areas - middle layer,305,7. Sales and customer service occupations,80
158,2001,E02005907,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",247
159,2001,E02005907,2001 super output areas - middle layer,305,9. Elementary occupations,202
160,2001,E02005908,2001 super output areas - middle layer,305,All categories: Occupation,2077
161,2001,E02005908,2001 super output areas - middle layer,305,1. Managers and senior officials,551
162,2001,E02005908,2001 super output areas - middle layer,305,2. Professional occupations,391
163,2001,E02005908,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,310
164,2001,E02005908,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,112
165,2001,E02005908,2001 super output areas - middle layer,305,5. Skilled trades occupations,291
166,2001,E02005908,2001 super output areas - middle layer,305,6. Personal service occupations,36
