,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
96,2001,W02000222,2001 super output areas - middle layer,305,Other combination of skills,433
97,2001,W02000222,2001 super output areas - middle layer,305,No knowledge of Welsh,4451
98,2001,W02000223,2001 super output areas - middle layer,305,All people aged 3 and over,4835
99,2001,W02000223,2001 super output areas - middle layer,305,Understands spoken Welsh only,223
100,2001,W02000223,2001 super output areas - middle layer,305,Speaks but does not read or write Welsh,76
101,2001,W02000223,2001 super output areas - middle layer,305,Speaks and reads but does not write Welsh,47
102,2001,W02000223,2001 super output areas - middle layer,305,"Speaks, reads and writes Welsh",321
103,2001,W02000223,2001 super output areas - middle layer,305,Other combination of skills,248
104,2001,W02000223,2001 super output areas - middle layer,305,No knowledge of Welsh,3920
105,2001,W02000224,2001 super output areas - middle layer,305,All people aged 3 and over,5384
106,2001,W02000224,2001 super output areas - middle layer,305,Understands spoken Welsh only,231
107,2001,W02000224,2001 super output areas - middle layer,305,Speaks but does not read or write Welsh,80
108,2001,W02000224,2001 super output areas - middle layer,305,Speaks and reads but does not write Welsh,38
109,2001,W02000224,2001 super output areas - middle layer,305,"Speaks, reads and writes Welsh",409
110,2001,W02000224,2001 super output areas - middle layer,305,Other combination of skills,227
111,2001,W02000224,2001 super output areas - middle layer,305,No knowledge of Welsh,4399
112,2001,W02000225,2001 super output areas - middle layer,305,All people aged 3 and over,8445
113,2001,W02000225,2001 super output areas - middle layer,305,Understands spoken Welsh only,372
114,2001,W02000225,2001 super output areas - middle layer,305,Speaks but does not read or write Welsh,124
115,2001,W02000225,2001 super output areas - middle layer,305,Speaks and reads but does not write Welsh,59
116,2001,W02000225,2001 super output areas - middle layer,305,"Speaks, reads and writes Welsh",659
117,2001,W02000225,2001 super output areas - middle layer,305,Other combination of skills,481
118,2001,W02000225,2001 super output areas - middle layer,305,No knowledge of Welsh,6750
119,2001,W02000226,2001 super output areas - middle layer,305,All people aged 3 and over,9155
120,2001,W02000226,2001 super output areas - middle layer,305,Understands spoken Welsh only,355
121,2001,W02000226,2001 super output areas - middle layer,305,Speaks but does not read or write Welsh,140
122,2001,W02000226,2001 super output areas - middle layer,305,Speaks and reads but does not write Welsh,77
123,2001,W02000226,2001 super output areas - middle layer,305,"Speaks, reads and writes Welsh",815
124,2001,W02000226,2001 super output areas - middle layer,305,Other combination of skills,447
125,2001,W02000226,2001 super output areas - middle layer,305,No knowledge of Welsh,7321
126,2001,W02000227,2001 super output areas - middle layer,305,All people aged 3 and over,5772
127,2001,W02000227,2001 super output areas - middle layer,305,Understands spoken Welsh only,247
128,2001,W02000227,2001 super output areas - middle layer,305,Speaks but does not read or write Welsh,106
129,2001,W02000227,2001 super output areas - middle layer,305,Speaks and reads but does not write Welsh,46
130,2001,W02000227,2001 super output areas - middle layer,305,"Speaks, reads and writes Welsh",470
131,2001,W02000227,2001 super output areas - middle layer,305,Other combination of skills,261
132,2001,W02000227,2001 super output areas - middle layer,305,No knowledge of Welsh,4642
