,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_HHCHUK11_NAME,OBS_VALUE
226,2001,E02002486,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,19.0
227,2001,E02002486,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
228,2001,E02002487,2001 super output areas - middle layer,305,All households,2606.0
229,2001,E02002487,2001 super output areas - middle layer,305,Average household size,2.09
230,2001,E02002487,2001 super output areas - middle layer,305,Average number of rooms per household,4.66
231,2001,E02002487,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,188.0
232,2001,E02002487,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2279.0
233,2001,E02002487,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,3.0
234,2001,E02002487,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,320.0
235,2001,E02002487,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,4.0
236,2001,E02002487,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,5.0
237,2001,E02002487,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2271.0
238,2001,E02002487,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,324.0
239,2001,E02002487,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,6.0
240,2001,E02002488,2001 super output areas - middle layer,305,All households,2297.0
241,2001,E02002488,2001 super output areas - middle layer,305,Average household size,2.47
242,2001,E02002488,2001 super output areas - middle layer,305,Average number of rooms per household,6.4
243,2001,E02002488,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,33.0
244,2001,E02002488,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2201.0
245,2001,E02002488,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
246,2001,E02002488,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,94.0
247,2001,E02002488,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,3.0
248,2001,E02002488,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,15.0
249,2001,E02002488,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2184.0
250,2001,E02002488,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,98.0
251,2001,E02002488,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
252,2001,E02002489,2001 super output areas - middle layer,305,All households,3223.0
253,2001,E02002489,2001 super output areas - middle layer,305,Average household size,2.27
254,2001,E02002489,2001 super output areas - middle layer,305,Average number of rooms per household,5.39
255,2001,E02002489,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,263.0
256,2001,E02002489,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2909.0
257,2001,E02002489,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,10.0
258,2001,E02002489,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,295.0
259,2001,E02002489,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,9.0
260,2001,E02002489,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,12.0
261,2001,E02002489,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2856.0
262,2001,E02002489,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,353.0
263,2001,E02002489,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,3.0
264,2001,E02002490,2001 super output areas - middle layer,305,All households,2768.0
265,2001,E02002490,2001 super output areas - middle layer,305,Average household size,2.37
266,2001,E02002490,2001 super output areas - middle layer,305,Average number of rooms per household,5.13
267,2001,E02002490,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,123.0
268,2001,E02002490,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2489.0
269,2001,E02002490,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,3.0
270,2001,E02002490,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,272.0
271,2001,E02002490,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,4.0
272,2001,E02002490,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,3.0
273,2001,E02002490,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2612.0
274,2001,E02002490,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,153.0
275,2001,E02002490,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
276,2001,E02002491,2001 super output areas - middle layer,305,All households,2732.0
277,2001,E02002491,2001 super output areas - middle layer,305,Average household size,2.37
278,2001,E02002491,2001 super output areas - middle layer,305,Average number of rooms per household,5.06
279,2001,E02002491,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,157.0
280,2001,E02002491,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2552.0
281,2001,E02002491,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,3.0
282,2001,E02002491,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,170.0
283,2001,E02002491,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,7.0
284,2001,E02002491,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,0.0
285,2001,E02002491,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2592.0
286,2001,E02002491,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,140.0
287,2001,E02002491,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
288,2001,E02002492,2001 super output areas - middle layer,305,All households,2602.0
289,2001,E02002492,2001 super output areas - middle layer,305,Average household size,2.26
290,2001,E02002492,2001 super output areas - middle layer,305,Average number of rooms per household,5.1
291,2001,E02002492,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,109.0
292,2001,E02002492,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2489.0
293,2001,E02002492,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,3.0
294,2001,E02002492,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,109.0
295,2001,E02002492,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,3.0
296,2001,E02002492,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,5.0
297,2001,E02002492,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2405.0
298,2001,E02002492,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,192.0
299,2001,E02002492,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
300,2001,E02002493,2001 super output areas - middle layer,305,All households,2452.0
301,2001,E02002493,2001 super output areas - middle layer,305,Average household size,2.4
302,2001,E02002493,2001 super output areas - middle layer,305,Average number of rooms per household,5.74
303,2001,E02002493,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,85.0
304,2001,E02002493,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2363.0
305,2001,E02002493,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
306,2001,E02002493,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,81.0
307,2001,E02002493,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,7.0
308,2001,E02002493,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,10.0
309,2001,E02002493,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2340.0
310,2001,E02002493,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,102.0
