,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_SEX_NAME,OBS_VALUE
176,2021,E01012092,2021 super output areas - lower layer,151,Male,15
177,2021,E01012093,2021 super output areas - lower layer,151,All persons,20
178,2021,E01012093,2021 super output areas - lower layer,151,Female,9
179,2021,E01012093,2021 super output areas - lower layer,151,Male,11
180,2021,E01035189,2021 super output areas - lower layer,151,All persons,6
181,2021,E01035189,2021 super output areas - lower layer,151,Female,4
182,2021,E01035189,2021 super output areas - lower layer,151,Male,2
183,2021,E01035190,2021 super output areas - lower layer,151,All persons,6
184,2021,E01035190,2021 super output areas - lower layer,151,Female,1
185,2021,E01035190,2021 super output areas - lower layer,151,Male,5
186,2021,E01035191,2021 super output areas - lower layer,151,All persons,9
187,2021,E01035191,2021 super output areas - lower layer,151,Female,5
188,2021,E01035191,2021 super output areas - lower layer,151,Male,4
189,2021,E01035192,2021 super output areas - lower layer,151,All persons,3
190,2021,E01035192,2021 super output areas - lower layer,151,Female,1
191,2021,E01035192,2021 super output areas - lower layer,151,Male,2
192,2021,E01012058,2021 super output areas - lower layer,151,All persons,6
193,2021,E01012058,2021 super output areas - lower layer,151,Female,3
194,2021,E01012058,2021 super output areas - lower layer,151,Male,3
195,2021,E01012059,2021 super output areas - lower layer,151,All persons,12
196,2021,E01012059,2021 super output areas - lower layer,151,Female,5
197,2021,E01012059,2021 super output areas - lower layer,151,Male,7
198,2021,E01012060,2021 super output areas - lower layer,151,All persons,0
199,2021,E01012060,2021 super output areas - lower layer,151,Female,0
200,2021,E01012060,2021 super output areas - lower layer,151,Male,0
201,2021,E01012061,2021 super output areas - lower layer,151,All persons,0
202,2021,E01012061,2021 super output areas - lower layer,151,Female,0
203,2021,E01012061,2021 super output areas - lower layer,151,Male,0
204,2021,E01012036,2021 super output areas - lower layer,151,All persons,17
205,2021,E01012036,2021 super output areas - lower layer,151,Female,4
206,2021,E01012036,2021 super output areas - lower layer,151,Male,13
207,2021,E01012037,2021 super output areas - lower layer,151,All persons,14
208,2021,E01012037,2021 super output areas - lower layer,151,Female,6
209,2021,E01012037,2021 super output areas - lower layer,151,Male,8
210,2021,E01012038,2021 super output areas - lower layer,151,All persons,10
211,2021,E01012038,2021 super output areas - lower layer,151,Female,6
212,2021,E01012038,2021 super output areas - lower layer,151,Male,4
213,2021,E01012039,2021 super output areas - lower layer,151,All persons,21
214,2021,E01012039,2021 super output areas - lower layer,151,Female,7
215,2021,E01012039,2021 super output areas - lower layer,151,Male,14
216,2021,E01012040,2021 super output areas - lower layer,151,All persons,17
217,2021,E01012040,2021 super output areas - lower layer,151,Female,5
218,2021,E01012040,2021 super output areas - lower layer,151,Male,12
219,2021,E01012041,2021 super output areas - lower layer,151,All persons,1
220,2021,E01012041,2021 super output areas - lower layer,151,Female,1
221,2021,E01012041,2021 super output areas - lower layer,151,Male,0
222,2021,E01012074,2021 super output areas - lower layer,151,All persons,0
223,2021,E01012074,2021 super output areas - lower layer,151,Female,0
224,2021,E01012074,2021 super output areas - lower layer,151,Male,0
225,2021,E01012075,2021 super output areas - lower layer,151,All persons,0
226,2021,E01012075,2021 super output areas - lower layer,151,Female,0
227,2021,E01012075,2021 super output areas - lower layer,151,Male,0
228,2021,E01012076,2021 super output areas - lower layer,151,All persons,0
229,2021,E01012076,2021 super output areas - lower layer,151,Female,0
230,2021,E01012076,2021 super output areas - lower layer,151,Male,0
231,2021,E01012077,2021 super output areas - lower layer,151,All persons,1
232,2021,E01012077,2021 super output areas - lower layer,151,Female,1
233,2021,E01012077,2021 super output areas - lower layer,151,Male,0
234,2021,E01012088,2021 super output areas - lower layer,151,All persons,0
235,2021,E01012088,2021 super output areas - lower layer,151,Female,0
236,2021,E01012088,2021 super output areas - lower layer,151,Male,0
237,2021,E01012078,2021 super output areas - lower layer,151,All persons,1
238,2021,E01012078,2021 super output areas - lower layer,151,Female,0
239,2021,E01012078,2021 super output areas - lower layer,151,Male,1
240,2021,E01012079,2021 super output areas - lower layer,151,All persons,0
241,2021,E01012079,2021 super output areas - lower layer,151,Female,0
242,2021,E01012079,2021 super output areas - lower layer,151,Male,0
243,2021,E01012080,2021 super output areas - lower layer,151,All persons,3
244,2021,E01012080,2021 super output areas - lower layer,151,Female,0
245,2021,E01012080,2021 super output areas - lower layer,151,Male,3
246,2021,E01012081,2021 super output areas - lower layer,151,All persons,1
247,2021,E01012081,2021 super output areas - lower layer,151,Female,1
248,2021,E01012081,2021 super output areas - lower layer,151,Male,0
249,2021,E01012026,2021 super output areas - lower layer,151,All persons,5
250,2021,E01012026,2021 super output areas - lower layer,151,Female,3
251,2021,E01012026,2021 super output areas - lower layer,151,Male,2
252,2021,E01012027,2021 super output areas - lower layer,151,All persons,2
253,2021,E01012027,2021 super output areas - lower layer,151,Female,1
254,2021,E01012027,2021 super output areas - lower layer,151,Male,1
255,2021,E01033469,2021 super output areas - lower layer,151,All persons,3
256,2021,E01033469,2021 super output areas - lower layer,151,Female,0
257,2021,E01033469,2021 super output areas - lower layer,151,Male,3
258,2021,E01012015,2021 super output areas - lower layer,151,All persons,0
259,2021,E01012015,2021 super output areas - lower layer,151,Female,0
260,2021,E01012015,2021 super output areas - lower layer,151,Male,0
261,2021,E01012016,2021 super output areas - lower layer,151,All persons,1
262,2021,E01012016,2021 super output areas - lower layer,151,Female,0
263,2021,E01012016,2021 super output areas - lower layer,151,Male,1
264,2021,E01012017,2021 super output areas - lower layer,151,All persons,0
265,2021,E01012017,2021 super output areas - lower layer,151,Female,0
266,2021,E01012017,2021 super output areas - lower layer,151,Male,0
267,2021,E01012089,2021 super output areas - lower layer,151,All persons,0
268,2021,E01012089,2021 super output areas - lower layer,151,Female,0
269,2021,E01012089,2021 super output areas - lower layer,151,Male,0
270,2021,E01012090,2021 super output areas - lower layer,151,All persons,0
271,2021,E01012090,2021 super output areas - lower layer,151,Female,0
272,2021,E01012090,2021 super output areas - lower layer,151,Male,0
273,2021,E01012091,2021 super output areas - lower layer,151,All persons,2
274,2021,E01012091,2021 super output areas - lower layer,151,Female,2
275,2021,E01012091,2021 super output areas - lower layer,151,Male,0
276,2021,E01012011,2021 super output areas - lower layer,151,All persons,0
277,2021,E01012011,2021 super output areas - lower layer,151,Female,0
278,2021,E01012011,2021 super output areas - lower layer,151,Male,0
279,2021,E01012012,2021 super output areas - lower layer,151,All persons,1
280,2021,E01012012,2021 super output areas - lower layer,151,Female,0
281,2021,E01012012,2021 super output areas - lower layer,151,Male,1
282,2021,E01012013,2021 super output areas - lower layer,151,All persons,2
283,2021,E01012013,2021 super output areas - lower layer,151,Female,1
284,2021,E01012013,2021 super output areas - lower layer,151,Male,1
285,2021,E01012014,2021 super output areas - lower layer,151,All persons,2
286,2021,E01012014,2021 super output areas - lower layer,151,Female,1
287,2021,E01012014,2021 super output areas - lower layer,151,Male,1
288,2021,E01012053,2021 super output areas - lower layer,151,All persons,1
289,2021,E01012053,2021 super output areas - lower layer,151,Female,0
290,2021,E01012053,2021 super output areas - lower layer,151,Male,1
291,2021,E01012054,2021 super output areas - lower layer,151,All persons,1
292,2021,E01012054,2021 super output areas - lower layer,151,Female,1
293,2021,E01012054,2021 super output areas - lower layer,151,Male,0
294,2021,E01012055,2021 super output areas - lower layer,151,All persons,1
295,2021,E01012055,2021 super output areas - lower layer,151,Female,1
296,2021,E01012055,2021 super output areas - lower layer,151,Male,0
297,2021,E01012056,2021 super output areas - lower layer,151,All persons,4
298,2021,E01012056,2021 super output areas - lower layer,151,Female,2
299,2021,E01012056,2021 super output areas - lower layer,151,Male,2
300,2021,E01012057,2021 super output areas - lower layer,151,All persons,5
301,2021,E01012057,2021 super output areas - lower layer,151,Female,1
302,2021,E01012057,2021 super output areas - lower layer,151,Male,4
303,2021,E01012082,2021 super output areas - lower layer,151,All persons,0
304,2021,E01012082,2021 super output areas - lower layer,151,Female,0
305,2021,E01012082,2021 super output areas - lower layer,151,Male,0
306,2021,E01012083,2021 super output areas - lower layer,151,All persons,1
307,2021,E01012083,2021 super output areas - lower layer,151,Female,1
308,2021,E01012083,2021 super output areas - lower layer,151,Male,0
309,2021,E01012084,2021 super output areas - lower layer,151,All persons,0
310,2021,E01012084,2021 super output areas - lower layer,151,Female,0
311,2021,E01012084,2021 super output areas - lower layer,151,Male,0
312,2021,E01012085,2021 super output areas - lower layer,151,All persons,0
313,2021,E01012085,2021 super output areas - lower layer,151,Female,0
314,2021,E01012085,2021 super output areas - lower layer,151,Male,0
315,2021,E01012018,2021 super output areas - lower layer,151,All persons,5
316,2021,E01012018,2021 super output areas - lower layer,151,Female,4
317,2021,E01012018,2021 super output areas - lower layer,151,Male,1
318,2021,E01012019,2021 super output areas - lower layer,151,All persons,1
319,2021,E01012019,2021 super output areas - lower layer,151,Female,1
320,2021,E01012019,2021 super output areas - lower layer,151,Male,0
321,2021,E01012020,2021 super output areas - lower layer,151,All persons,1
322,2021,E01012020,2021 super output areas - lower layer,151,Female,0
323,2021,E01012020,2021 super output areas - lower layer,151,Male,1
324,2021,E01012021,2021 super output areas - lower layer,151,All persons,0
325,2021,E01012021,2021 super output areas - lower layer,151,Female,0
326,2021,E01012021,2021 super output areas - lower layer,151,Male,0
327,2021,E01012007,2021 super output areas - lower layer,151,All persons,1
328,2021,E01012007,2021 super output areas - lower layer,151,Female,1
329,2021,E01012007,2021 super output areas - lower layer,151,Male,0
330,2021,E01012008,2021 super output areas - lower layer,151,All persons,1
331,2021,E01012008,2021 super output areas - lower layer,151,Female,0
332,2021,E01012008,2021 super output areas - lower layer,151,Male,1
333,2021,E01012009,2021 super output areas - lower layer,151,All persons,1
334,2021,E01012009,2021 super output areas - lower layer,151,Female,0
335,2021,E01012009,2021 super output areas - lower layer,151,Male,1
336,2021,E01012010,2021 super output areas - lower layer,151,All persons,0
337,2021,E01012010,2021 super output areas - lower layer,151,Female,0
338,2021,E01012010,2021 super output areas - lower layer,151,Male,0
339,2021,E01012046,2021 super output areas - lower layer,151,All persons,0
340,2021,E01012046,2021 super output areas - lower layer,151,Female,0
341,2021,E01012046,2021 super output areas - lower layer,151,Male,0
342,2021,E01012047,2021 super output areas - lower layer,151,All persons,0
343,2021,E01012047,2021 super output areas - lower layer,151,Female,0
344,2021,E01012047,2021 super output areas - lower layer,151,Male,0
345,2021,E01012048,2021 super output areas - lower layer,151,All persons,0
346,2021,E01012048,2021 super output areas - lower layer,151,Female,0
347,2021,E01012048,2021 super output areas - lower layer,151,Male,0
348,2021,E01012049,2021 super output areas - lower layer,151,All persons,0
349,2021,E01012049,2021 super output areas - lower layer,151,Female,0
350,2021,E01012049,2021 super output areas - lower layer,151,Male,0
351,2021,E01012050,2021 super output areas - lower layer,151,All persons,2
352,2021,E01012050,2021 super output areas - lower layer,151,Female,1
353,2021,E01012050,2021 super output areas - lower layer,151,Male,1
354,2021,E01012051,2021 super output areas - lower layer,151,All persons,0
355,2021,E01012051,2021 super output areas - lower layer,151,Female,0
356,2021,E01012051,2021 super output areas - lower layer,151,Male,0
357,2021,E01012052,2021 super output areas - lower layer,151,All persons,0
358,2021,E01012052,2021 super output areas - lower layer,151,Female,0
359,2021,E01012052,2021 super output areas - lower layer,151,Male,0
360,2021,E01012022,2021 super output areas - lower layer,151,All persons,2
361,2021,E01012022,2021 super output areas - lower layer,151,Female,1
362,2021,E01012022,2021 super output areas - lower layer,151,Male,1
363,2021,E01012023,2021 super output areas - lower layer,151,All persons,0
364,2021,E01012023,2021 super output areas - lower layer,151,Female,0
365,2021,E01012023,2021 super output areas - lower layer,151,Male,0
366,2021,E01012024,2021 super output areas - lower layer,151,All persons,0
367,2021,E01012024,2021 super output areas - lower layer,151,Female,0
368,2021,E01012024,2021 super output areas - lower layer,151,Male,0
369,2021,E01012025,2021 super output areas - lower layer,151,All persons,0
370,2021,E01012025,2021 super output areas - lower layer,151,Female,0
371,2021,E01012025,2021 super output areas - lower layer,151,Male,0
372,2021,E01012065,2021 super output areas - lower layer,151,All persons,0
373,2021,E01012065,2021 super output areas - lower layer,151,Female,0
374,2021,E01012065,2021 super output areas - lower layer,151,Male,0
375,2021,E01012066,2021 super output areas - lower layer,151,All persons,2
376,2021,E01012066,2021 super output areas - lower layer,151,Female,2
377,2021,E01012066,2021 super output areas - lower layer,151,Male,0
378,2021,E01012067,2021 super output areas - lower layer,151,All persons,0
379,2021,E01012067,2021 super output areas - lower layer,151,Female,0
380,2021,E01012067,2021 super output areas - lower layer,151,Male,0
381,2021,E01012042,2021 super output areas - lower layer,151,All persons,0
382,2021,E01012042,2021 super output areas - lower layer,151,Female,0
383,2021,E01012042,2021 super output areas - lower layer,151,Male,0
384,2021,E01012043,2021 super output areas - lower layer,151,All persons,2
385,2021,E01012043,2021 super output areas - lower layer,151,Female,0
386,2021,E01012043,2021 super output areas - lower layer,151,Male,2
387,2021,E01012044,2021 super output areas - lower layer,151,All persons,0
388,2021,E01012044,2021 super output areas - lower layer,151,Female,0
389,2021,E01012044,2021 super output areas - lower layer,151,Male,0
390,2021,E01012045,2021 super output areas - lower layer,151,All persons,0
391,2021,E01012045,2021 super output areas - lower layer,151,Female,0
392,2021,E01012045,2021 super output areas - lower layer,151,Male,0
393,2021,E01032552,2021 super output areas - lower layer,151,All persons,0
394,2021,E01032552,2021 super output areas - lower layer,151,Female,0
395,2021,E01032552,2021 super output areas - lower layer,151,Male,0
396,2021,E01035193,2021 super output areas - lower layer,151,All persons,0
397,2021,E01035193,2021 super output areas - lower layer,151,Female,0
398,2021,E01035193,2021 super output areas - lower layer,151,Male,0
399,2021,E01035194,2021 super output areas - lower layer,151,All persons,2
400,2021,E01035194,2021 super output areas - lower layer,151,Female,2
401,2021,E01035194,2021 super output areas - lower layer,151,Male,0
402,2021,E01012030,2021 super output areas - lower layer,151,All persons,1
403,2021,E01012030,2021 super output areas - lower layer,151,Female,0
404,2021,E01012030,2021 super output areas - lower layer,151,Male,1
405,2021,E01012031,2021 super output areas - lower layer,151,All persons,1
406,2021,E01012031,2021 super output areas - lower layer,151,Female,1
407,2021,E01012031,2021 super output areas - lower layer,151,Male,0
408,2021,E01012032,2021 super output areas - lower layer,151,All persons,0
409,2021,E01012032,2021 super output areas - lower layer,151,Female,0
410,2021,E01012032,2021 super output areas - lower layer,151,Male,0
411,2021,E01012033,2021 super output areas - lower layer,151,All persons,1
412,2021,E01012033,2021 super output areas - lower layer,151,Female,1
413,2021,E01012033,2021 super output areas - lower layer,151,Male,0
414,2021,E01012034,2021 super output areas - lower layer,151,All persons,0
415,2021,E01012034,2021 super output areas - lower layer,151,Female,0
416,2021,E01012034,2021 super output areas - lower layer,151,Male,0
417,2021,E01012035,2021 super output areas - lower layer,151,All persons,0
418,2021,E01012035,2021 super output areas - lower layer,151,Female,0
419,2021,E01012035,2021 super output areas - lower layer,151,Male,0
420,2021,E01012062,2021 super output areas - lower layer,151,All persons,1
421,2021,E01012062,2021 super output areas - lower layer,151,Female,0
422,2021,E01012062,2021 super output areas - lower layer,151,Male,1
423,2021,E01012063,2021 super output areas - lower layer,151,All persons,0
424,2021,E01012063,2021 super output areas - lower layer,151,Female,0
425,2021,E01012063,2021 super output areas - lower layer,151,Male,0
426,2021,E01012071,2021 super output areas - lower layer,151,All persons,0
427,2021,E01012071,2021 super output areas - lower layer,151,Female,0
428,2021,E01012071,2021 super output areas - lower layer,151,Male,0
429,2021,E01012073,2021 super output areas - lower layer,151,All persons,2
430,2021,E01012073,2021 super output areas - lower layer,151,Female,2
431,2021,E01012073,2021 super output areas - lower layer,151,Male,0
432,2021,E01032593,2021 super output areas - lower layer,151,All persons,0
433,2021,E01032593,2021 super output areas - lower layer,151,Female,0
434,2021,E01032593,2021 super output areas - lower layer,151,Male,0
435,2021,E01035195,2021 super output areas - lower layer,151,All persons,1
436,2021,E01035195,2021 super output areas - lower layer,151,Female,1
437,2021,E01035195,2021 super output areas - lower layer,151,Male,0
438,2021,E01035196,2021 super output areas - lower layer,151,All persons,0
439,2021,E01035196,2021 super output areas - lower layer,151,Female,0
440,2021,E01035196,2021 super output areas - lower layer,151,Male,0
441,2021,E01012100,2021 super output areas - lower layer,151,All persons,0
442,2021,E01012100,2021 super output areas - lower layer,151,Female,0
443,2021,E01012100,2021 super output areas - lower layer,151,Male,0
444,2021,E01012101,2021 super output areas - lower layer,151,All persons,0
445,2021,E01012101,2021 super output areas - lower layer,151,Female,0
446,2021,E01012101,2021 super output areas - lower layer,151,Male,0
447,2021,E01012102,2021 super output areas - lower layer,151,All persons,0
448,2021,E01012102,2021 super output areas - lower layer,151,Female,0
449,2021,E01012102,2021 super output areas - lower layer,151,Male,0
450,2021,E01012184,2021 super output areas - lower layer,151,All persons,0
451,2021,E01012184,2021 super output areas - lower layer,151,Female,0
452,2021,E01012184,2021 super output areas - lower layer,151,Male,0
453,2021,E01012105,2021 super output areas - lower layer,151,All persons,0
