,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGS_3_NAME,OBS_VALUE
260,2021,W01000061,2021 super output areas - lower layer,151,Can speak Welsh,1026
261,2021,W01000078,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1517
262,2021,W01000078,2021 super output areas - lower layer,151,Cannot speak Welsh,455
263,2021,W01000078,2021 super output areas - lower layer,151,Can speak Welsh,1062
264,2021,W01000089,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1870
265,2021,W01000089,2021 super output areas - lower layer,151,Cannot speak Welsh,477
266,2021,W01000089,2021 super output areas - lower layer,151,Can speak Welsh,1393
267,2021,W01000070,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1263
268,2021,W01000070,2021 super output areas - lower layer,151,Cannot speak Welsh,347
269,2021,W01000070,2021 super output areas - lower layer,151,Can speak Welsh,916
270,2021,W01000094,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1188
271,2021,W01000094,2021 super output areas - lower layer,151,Cannot speak Welsh,329
272,2021,W01000094,2021 super output areas - lower layer,151,Can speak Welsh,859
273,2021,W01000095,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1261
274,2021,W01000095,2021 super output areas - lower layer,151,Cannot speak Welsh,338
275,2021,W01000095,2021 super output areas - lower layer,151,Can speak Welsh,923
276,2021,W01000108,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2032
277,2021,W01000108,2021 super output areas - lower layer,151,Cannot speak Welsh,484
278,2021,W01000108,2021 super output areas - lower layer,151,Can speak Welsh,1548
279,2021,W01000109,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1815
280,2021,W01000109,2021 super output areas - lower layer,151,Cannot speak Welsh,460
281,2021,W01000109,2021 super output areas - lower layer,151,Can speak Welsh,1355
282,2021,W01000074,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1770
