,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_COB_12_NAME,OBS_VALUE
110,2021,E01015651,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,56
111,2021,E01015651,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,301
112,2021,E01015651,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,26
113,2021,E01015651,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,2
114,2021,E01015651,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,8
115,2021,E01015651,2021 super output areas - lower layer,151,Africa,51
116,2021,E01015651,2021 super output areas - lower layer,151,Middle East and Asia,404
117,2021,E01015651,2021 super output areas - lower layer,151,The Americas and the Caribbean,11
118,2021,E01015651,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,0
119,2021,E01015651,2021 super output areas - lower layer,151,British Overseas,0
120,2021,E01015652,2021 super output areas - lower layer,151,Total: All usual residents,2287
121,2021,E01015652,2021 super output areas - lower layer,151,Europe,1749
122,2021,E01015652,2021 super output areas - lower layer,151,Europe: United Kingdom,1207
123,2021,E01015652,2021 super output areas - lower layer,151,Europe: EU countries,523
124,2021,E01015652,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,59
125,2021,E01015652,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,374
126,2021,E01015652,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,90
127,2021,E01015652,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,0
128,2021,E01015652,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,19
129,2021,E01015652,2021 super output areas - lower layer,151,Africa,34
130,2021,E01015652,2021 super output areas - lower layer,151,Middle East and Asia,499
131,2021,E01015652,2021 super output areas - lower layer,151,The Americas and the Caribbean,3
132,2021,E01015652,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,2
133,2021,E01015652,2021 super output areas - lower layer,151,British Overseas,0
134,2021,E01015653,2021 super output areas - lower layer,151,Total: All usual residents,1944
135,2021,E01015653,2021 super output areas - lower layer,151,Europe,1599
136,2021,E01015653,2021 super output areas - lower layer,151,Europe: United Kingdom,1311
137,2021,E01015653,2021 super output areas - lower layer,151,Europe: EU countries,273
138,2021,E01015653,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,71
139,2021,E01015653,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,157
140,2021,E01015653,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,39
141,2021,E01015653,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,6
142,2021,E01015653,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,15
143,2021,E01015653,2021 super output areas - lower layer,151,Africa,66
144,2021,E01015653,2021 super output areas - lower layer,151,Middle East and Asia,254
145,2021,E01015653,2021 super output areas - lower layer,151,The Americas and the Caribbean,20
146,2021,E01015653,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,5
147,2021,E01015653,2021 super output areas - lower layer,151,British Overseas,0
148,2021,E01015654,2021 super output areas - lower layer,151,Total: All usual residents,2793
149,2021,E01015654,2021 super output areas - lower layer,151,Europe,2271
150,2021,E01015654,2021 super output areas - lower layer,151,Europe: United Kingdom,1373
151,2021,E01015654,2021 super output areas - lower layer,151,Europe: EU countries,869
152,2021,E01015654,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,117
153,2021,E01015654,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,600
154,2021,E01015654,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,151
155,2021,E01015654,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,1
156,2021,E01015654,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,29
157,2021,E01015654,2021 super output areas - lower layer,151,Africa,65
158,2021,E01015654,2021 super output areas - lower layer,151,Middle East and Asia,424
159,2021,E01015654,2021 super output areas - lower layer,151,The Americas and the Caribbean,32
160,2021,E01015654,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,1
161,2021,E01015654,2021 super output areas - lower layer,151,British Overseas,0
162,2021,E01015606,2021 super output areas - lower layer,151,Total: All usual residents,1861
163,2021,E01015606,2021 super output areas - lower layer,151,Europe,1605
164,2021,E01015606,2021 super output areas - lower layer,151,Europe: United Kingdom,1282
165,2021,E01015606,2021 super output areas - lower layer,151,Europe: EU countries,308
166,2021,E01015606,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,55
167,2021,E01015606,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,231
168,2021,E01015606,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,20
169,2021,E01015606,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,2
170,2021,E01015606,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,15
171,2021,E01015606,2021 super output areas - lower layer,151,Africa,70
172,2021,E01015606,2021 super output areas - lower layer,151,Middle East and Asia,142
173,2021,E01015606,2021 super output areas - lower layer,151,The Americas and the Caribbean,42
174,2021,E01015606,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,2
175,2021,E01015606,2021 super output areas - lower layer,151,British Overseas,0
176,2021,E01015613,2021 super output areas - lower layer,151,Total: All usual residents,1604
177,2021,E01015613,2021 super output areas - lower layer,151,Europe,1435
178,2021,E01015613,2021 super output areas - lower layer,151,Europe: United Kingdom,1121
179,2021,E01015613,2021 super output areas - lower layer,151,Europe: EU countries,306
180,2021,E01015613,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,63
181,2021,E01015613,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,218
182,2021,E01015613,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,24
183,2021,E01015613,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,1
184,2021,E01015613,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,8
185,2021,E01015613,2021 super output areas - lower layer,151,Africa,61
186,2021,E01015613,2021 super output areas - lower layer,151,Middle East and Asia,83
187,2021,E01015613,2021 super output areas - lower layer,151,The Americas and the Caribbean,21
188,2021,E01015613,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,3
189,2021,E01015613,2021 super output areas - lower layer,151,British Overseas,1
190,2021,E01015614,2021 super output areas - lower layer,151,Total: All usual residents,2156
191,2021,E01015614,2021 super output areas - lower layer,151,Europe,1941
192,2021,E01015614,2021 super output areas - lower layer,151,Europe: United Kingdom,1354
193,2021,E01015614,2021 super output areas - lower layer,151,Europe: EU countries,546
194,2021,E01015614,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,71
195,2021,E01015614,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,409
196,2021,E01015614,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,65
197,2021,E01015614,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,1
198,2021,E01015614,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,41
199,2021,E01015614,2021 super output areas - lower layer,151,Africa,81
200,2021,E01015614,2021 super output areas - lower layer,151,Middle East and Asia,104
201,2021,E01015614,2021 super output areas - lower layer,151,The Americas and the Caribbean,28
202,2021,E01015614,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,1
203,2021,E01015614,2021 super output areas - lower layer,151,British Overseas,1
204,2021,E01015615,2021 super output areas - lower layer,151,Total: All usual residents,1945
205,2021,E01015615,2021 super output areas - lower layer,151,Europe,1622
206,2021,E01015615,2021 super output areas - lower layer,151,Europe: United Kingdom,1257
207,2021,E01015615,2021 super output areas - lower layer,151,Europe: EU countries,348
208,2021,E01015615,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,65
209,2021,E01015615,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,229
210,2021,E01015615,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,50
211,2021,E01015615,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,4
212,2021,E01015615,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,17
213,2021,E01015615,2021 super output areas - lower layer,151,Africa,64
214,2021,E01015615,2021 super output areas - lower layer,151,Middle East and Asia,240
215,2021,E01015615,2021 super output areas - lower layer,151,The Americas and the Caribbean,17
216,2021,E01015615,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,1
217,2021,E01015615,2021 super output areas - lower layer,151,British Overseas,1
218,2021,E01015616,2021 super output areas - lower layer,151,Total: All usual residents,2223
219,2021,E01015616,2021 super output areas - lower layer,151,Europe,1797
220,2021,E01015616,2021 super output areas - lower layer,151,Europe: United Kingdom,1254
221,2021,E01015616,2021 super output areas - lower layer,151,Europe: EU countries,526
222,2021,E01015616,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,88
223,2021,E01015616,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,366
224,2021,E01015616,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,71
