,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGU_3_NAME,OBS_VALUE
109,2021,W01000042,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,605
110,2021,W01000042,2021 super output areas - lower layer,151,Can understand spoken Welsh,1377
111,2021,W01000007,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1738
112,2021,W01000007,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,567
113,2021,W01000007,2021 super output areas - lower layer,151,Can understand spoken Welsh,1171
114,2021,W01000025,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2097
115,2021,W01000025,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,496
116,2021,W01000025,2021 super output areas - lower layer,151,Can understand spoken Welsh,1601
117,2021,W01000027,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1812
118,2021,W01000027,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,570
119,2021,W01000027,2021 super output areas - lower layer,151,Can understand spoken Welsh,1242
120,2021,W01000038,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2178
121,2021,W01000038,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,760
122,2021,W01000038,2021 super output areas - lower layer,151,Can understand spoken Welsh,1418
123,2021,W01000062,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1964
124,2021,W01000062,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,1477
125,2021,W01000062,2021 super output areas - lower layer,151,Can understand spoken Welsh,487
126,2021,W01000076,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1273
127,2021,W01000076,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,746
128,2021,W01000076,2021 super output areas - lower layer,151,Can understand spoken Welsh,527
129,2021,W01000077,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1146
130,2021,W01000077,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,627
131,2021,W01000077,2021 super output areas - lower layer,151,Can understand spoken Welsh,519
132,2021,W01000091,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1048
133,2021,W01000091,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,371
134,2021,W01000091,2021 super output areas - lower layer,151,Can understand spoken Welsh,677
135,2021,W01000092,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,3035
136,2021,W01000092,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,2264
137,2021,W01000092,2021 super output areas - lower layer,151,Can understand spoken Welsh,771
138,2021,W01000064,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1943
139,2021,W01000064,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,681
140,2021,W01000064,2021 super output areas - lower layer,151,Can understand spoken Welsh,1262
141,2021,W01000072,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1633
142,2021,W01000072,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,606
143,2021,W01000072,2021 super output areas - lower layer,151,Can understand spoken Welsh,1027
144,2021,W01000075,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1367
145,2021,W01000075,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,676
146,2021,W01000075,2021 super output areas - lower layer,151,Can understand spoken Welsh,691
147,2021,W01000090,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1315
148,2021,W01000090,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,376
149,2021,W01000090,2021 super output areas - lower layer,151,Can understand spoken Welsh,939
150,2021,W01000102,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1831
151,2021,W01000102,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,574
152,2021,W01000102,2021 super output areas - lower layer,151,Can understand spoken Welsh,1257
153,2021,W01000050,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1397
154,2021,W01000050,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,519
155,2021,W01000050,2021 super output areas - lower layer,151,Can understand spoken Welsh,878
156,2021,W01000071,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2174
157,2021,W01000071,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,530
158,2021,W01000071,2021 super output areas - lower layer,151,Can understand spoken Welsh,1644
159,2021,W01000096,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1220
160,2021,W01000096,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,231
161,2021,W01000096,2021 super output areas - lower layer,151,Can understand spoken Welsh,989
162,2021,W01000097,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1104
163,2021,W01000097,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,289
164,2021,W01000097,2021 super output areas - lower layer,151,Can understand spoken Welsh,815
165,2021,W01000115,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2066
166,2021,W01000115,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,565
167,2021,W01000115,2021 super output areas - lower layer,151,Can understand spoken Welsh,1501
168,2021,W01000052,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1061
169,2021,W01000052,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,187
170,2021,W01000052,2021 super output areas - lower layer,151,Can understand spoken Welsh,874
171,2021,W01000053,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1146
172,2021,W01000053,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,311
173,2021,W01000053,2021 super output areas - lower layer,151,Can understand spoken Welsh,835
174,2021,W01000087,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1778
175,2021,W01000087,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,306
176,2021,W01000087,2021 super output areas - lower layer,151,Can understand spoken Welsh,1472
177,2021,W01000119,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2257
178,2021,W01000119,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,621
179,2021,W01000119,2021 super output areas - lower layer,151,Can understand spoken Welsh,1636
180,2021,W01000063,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1847
181,2021,W01000063,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,484
182,2021,W01000063,2021 super output areas - lower layer,151,Can understand spoken Welsh,1363
183,2021,W01000081,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1958
184,2021,W01000081,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,543
185,2021,W01000081,2021 super output areas - lower layer,151,Can understand spoken Welsh,1415
186,2021,W01000099,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1617
187,2021,W01000099,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,452
188,2021,W01000099,2021 super output areas - lower layer,151,Can understand spoken Welsh,1165
189,2021,W01000103,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1141
190,2021,W01000103,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,386
191,2021,W01000103,2021 super output areas - lower layer,151,Can understand spoken Welsh,755
192,2021,W01000059,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2028
193,2021,W01000059,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,374
194,2021,W01000059,2021 super output areas - lower layer,151,Can understand spoken Welsh,1654
195,2021,W01000093,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2184
196,2021,W01000093,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,440
197,2021,W01000093,2021 super output areas - lower layer,151,Can understand spoken Welsh,1744
198,2021,W01000098,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2422
199,2021,W01000098,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,450
200,2021,W01000098,2021 super output areas - lower layer,151,Can understand spoken Welsh,1972
201,2021,W01000110,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1544
202,2021,W01000110,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,227
203,2021,W01000110,2021 super output areas - lower layer,151,Can understand spoken Welsh,1317
204,2021,W01000054,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,989
205,2021,W01000054,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,182
206,2021,W01000054,2021 super output areas - lower layer,151,Can understand spoken Welsh,807
207,2021,W01000088,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2009
208,2021,W01000088,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,387
209,2021,W01000088,2021 super output areas - lower layer,151,Can understand spoken Welsh,1622
210,2021,W01000111,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1530
211,2021,W01000111,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,347
212,2021,W01000111,2021 super output areas - lower layer,151,Can understand spoken Welsh,1183
213,2021,W01000118,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1655
214,2021,W01000118,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,449
215,2021,W01000118,2021 super output areas - lower layer,151,Can understand spoken Welsh,1206
216,2021,W01000073,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1620
217,2021,W01000073,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,341
218,2021,W01000073,2021 super output areas - lower layer,151,Can understand spoken Welsh,1279
219,2021,W01000086,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2113
220,2021,W01000086,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,591
221,2021,W01000086,2021 super output areas - lower layer,151,Can understand spoken Welsh,1522
222,2021,W01000104,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1745
223,2021,W01000104,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,337
224,2021,W01000104,2021 super output areas - lower layer,151,Can understand spoken Welsh,1408
225,2021,W01000112,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1877
226,2021,W01000112,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,527
227,2021,W01000112,2021 super output areas - lower layer,151,Can understand spoken Welsh,1350
228,2021,W01000056,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1715
229,2021,W01000056,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,404
230,2021,W01000056,2021 super output areas - lower layer,151,Can understand spoken Welsh,1311
231,2021,W01000065,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,995
232,2021,W01000065,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,278
233,2021,W01000065,2021 super output areas - lower layer,151,Can understand spoken Welsh,717
234,2021,W01000113,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1793
235,2021,W01000113,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,456
236,2021,W01000113,2021 super output areas - lower layer,151,Can understand spoken Welsh,1337
237,2021,W01000114,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1378
238,2021,W01000114,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,356
239,2021,W01000114,2021 super output areas - lower layer,151,Can understand spoken Welsh,1022
240,2021,W01000066,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1143
241,2021,W01000066,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,377
242,2021,W01000066,2021 super output areas - lower layer,151,Can understand spoken Welsh,766
243,2021,W01000100,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1032
244,2021,W01000100,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,296
245,2021,W01000100,2021 super output areas - lower layer,151,Can understand spoken Welsh,736
246,2021,W01000105,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1689
