,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ARRUK_13_NAME,OBS_VALUE
104,2021,E01021365,2021 super output areas - lower layer,151,Arrived 2011 to 2013,64
105,2021,E01021365,2021 super output areas - lower layer,151,Arrived 2014 to 2016,75
106,2021,E01021365,2021 super output areas - lower layer,151,Arrived 2017 to 2019,75
107,2021,E01021365,2021 super output areas - lower layer,151,Arrived 2020 to 2021,18
108,2021,E01033458,2021 super output areas - lower layer,151,Total: All usual residents,1635
109,2021,E01033458,2021 super output areas - lower layer,151,Born in the UK,1223
110,2021,E01033458,2021 super output areas - lower layer,151,Arrived before 1951,1
111,2021,E01033458,2021 super output areas - lower layer,151,Arrived 1951 to 1960,6
112,2021,E01033458,2021 super output areas - lower layer,151,Arrived 1961 to 1970,5
113,2021,E01033458,2021 super output areas - lower layer,151,Arrived 1971 to 1980,9
114,2021,E01033458,2021 super output areas - lower layer,151,Arrived 1981 to 1990,7
115,2021,E01033458,2021 super output areas - lower layer,151,Arrived 1991 to 2000,24
116,2021,E01033458,2021 super output areas - lower layer,151,Arrived 2001 to 2010,137
117,2021,E01033458,2021 super output areas - lower layer,151,Arrived 2011 to 2013,49
118,2021,E01033458,2021 super output areas - lower layer,151,Arrived 2014 to 2016,90
119,2021,E01033458,2021 super output areas - lower layer,151,Arrived 2017 to 2019,69
120,2021,E01033458,2021 super output areas - lower layer,151,Arrived 2020 to 2021,15
121,2021,E01033459,2021 super output areas - lower layer,151,Total: All usual residents,1750
122,2021,E01033459,2021 super output areas - lower layer,151,Born in the UK,1419
123,2021,E01033459,2021 super output areas - lower layer,151,Arrived before 1951,1
124,2021,E01033459,2021 super output areas - lower layer,151,Arrived 1951 to 1960,3
125,2021,E01033459,2021 super output areas - lower layer,151,Arrived 1961 to 1970,13
126,2021,E01033459,2021 super output areas - lower layer,151,Arrived 1971 to 1980,7
