,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TTWDIST_11_NAME,OBS_VALUE
97,2021,E01000784,2021 super output areas - lower layer,151,10km to less than 20km,92
98,2021,E01000784,2021 super output areas - lower layer,151,20km to less than 30km,12
99,2021,E01000784,2021 super output areas - lower layer,151,30km to less than 40km,8
100,2021,E01000784,2021 super output areas - lower layer,151,40km to less than 60km,3
101,2021,E01000784,2021 super output areas - lower layer,151,60km and over,3
102,2021,E01000784,2021 super output areas - lower layer,151,Works mainly from home,369
103,2021,E01000784,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",112
104,2021,E01000799,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,969
105,2021,E01000799,2021 super output areas - lower layer,151,Less than 2km,50
106,2021,E01000799,2021 super output areas - lower layer,151,2km to less than 5km,72
107,2021,E01000799,2021 super output areas - lower layer,151,5km to less than 10km,108
108,2021,E01000799,2021 super output areas - lower layer,151,10km to less than 20km,137
109,2021,E01000799,2021 super output areas - lower layer,151,20km to less than 30km,10
110,2021,E01000799,2021 super output areas - lower layer,151,30km to less than 40km,3
111,2021,E01000799,2021 super output areas - lower layer,151,40km to less than 60km,4
112,2021,E01000799,2021 super output areas - lower layer,151,60km and over,7
113,2021,E01000799,2021 super output areas - lower layer,151,Works mainly from home,448
114,2021,E01000799,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",130
115,2021,E01000802,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,1058
116,2021,E01000802,2021 super output areas - lower layer,151,Less than 2km,47
117,2021,E01000802,2021 super output areas - lower layer,151,2km to less than 5km,55
118,2021,E01000802,2021 super output areas - lower layer,151,5km to less than 10km,122
119,2021,E01000802,2021 super output areas - lower layer,151,10km to less than 20km,116
120,2021,E01000802,2021 super output areas - lower layer,151,20km to less than 30km,10
121,2021,E01000802,2021 super output areas - lower layer,151,30km to less than 40km,2
122,2021,E01000802,2021 super output areas - lower layer,151,40km to less than 60km,3
123,2021,E01000802,2021 super output areas - lower layer,151,60km and over,4
124,2021,E01000802,2021 super output areas - lower layer,151,Works mainly from home,616
125,2021,E01000802,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",83
126,2021,E01000803,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,881
127,2021,E01000803,2021 super output areas - lower layer,151,Less than 2km,33
128,2021,E01000803,2021 super output areas - lower layer,151,2km to less than 5km,63
129,2021,E01000803,2021 super output areas - lower layer,151,5km to less than 10km,102
130,2021,E01000803,2021 super output areas - lower layer,151,10km to less than 20km,93
131,2021,E01000803,2021 super output areas - lower layer,151,20km to less than 30km,5
132,2021,E01000803,2021 super output areas - lower layer,151,30km to less than 40km,3
133,2021,E01000803,2021 super output areas - lower layer,151,40km to less than 60km,1
134,2021,E01000803,2021 super output areas - lower layer,151,60km and over,6
135,2021,E01000803,2021 super output areas - lower layer,151,Works mainly from home,491
136,2021,E01000803,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",84
137,2021,E01000804,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,730
138,2021,E01000804,2021 super output areas - lower layer,151,Less than 2km,34
139,2021,E01000804,2021 super output areas - lower layer,151,2km to less than 5km,54
140,2021,E01000804,2021 super output areas - lower layer,151,5km to less than 10km,85
141,2021,E01000804,2021 super output areas - lower layer,151,10km to less than 20km,80
142,2021,E01000804,2021 super output areas - lower layer,151,20km to less than 30km,4
143,2021,E01000804,2021 super output areas - lower layer,151,30km to less than 40km,2
144,2021,E01000804,2021 super output areas - lower layer,151,40km to less than 60km,1
145,2021,E01000804,2021 super output areas - lower layer,151,60km and over,1
146,2021,E01000804,2021 super output areas - lower layer,151,Works mainly from home,410
147,2021,E01000804,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",59
148,2021,E01000805,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,917
149,2021,E01000805,2021 super output areas - lower layer,151,Less than 2km,48
150,2021,E01000805,2021 super output areas - lower layer,151,2km to less than 5km,64
151,2021,E01000805,2021 super output areas - lower layer,151,5km to less than 10km,94
152,2021,E01000805,2021 super output areas - lower layer,151,10km to less than 20km,127
153,2021,E01000805,2021 super output areas - lower layer,151,20km to less than 30km,7
154,2021,E01000805,2021 super output areas - lower layer,151,30km to less than 40km,8
155,2021,E01000805,2021 super output areas - lower layer,151,40km to less than 60km,0
156,2021,E01000805,2021 super output areas - lower layer,151,60km and over,6
157,2021,E01000805,2021 super output areas - lower layer,151,Works mainly from home,468
158,2021,E01000805,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",95
159,2021,E01000741,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,1142
160,2021,E01000741,2021 super output areas - lower layer,151,Less than 2km,35
161,2021,E01000741,2021 super output areas - lower layer,151,2km to less than 5km,50
162,2021,E01000741,2021 super output areas - lower layer,151,5km to less than 10km,108
163,2021,E01000741,2021 super output areas - lower layer,151,10km to less than 20km,151
164,2021,E01000741,2021 super output areas - lower layer,151,20km to less than 30km,4
165,2021,E01000741,2021 super output areas - lower layer,151,30km to less than 40km,1
166,2021,E01000741,2021 super output areas - lower layer,151,40km to less than 60km,2
167,2021,E01000741,2021 super output areas - lower layer,151,60km and over,4
168,2021,E01000741,2021 super output areas - lower layer,151,Works mainly from home,684
