,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATIDUK_17_NAME,OBS_VALUE
129,2021,E01021625,2021 super output areas - lower layer,151,Northern Irish only identity,1
130,2021,E01021625,2021 super output areas - lower layer,151,Northern Irish and British only identity,0
131,2021,E01021625,2021 super output areas - lower layer,151,Cornish only identity,0
132,2021,E01021625,2021 super output areas - lower layer,151,Cornish and British only identity,0
133,2021,E01021625,2021 super output areas - lower layer,151,Any other combination of only UK identities ,2
134,2021,E01021625,2021 super output areas - lower layer,151,Irish only identity,4
135,2021,E01021625,2021 super output areas - lower layer,151,Irish and at least one UK identity,1
136,2021,E01021625,2021 super output areas - lower layer,151,Other identity only,66
137,2021,E01021625,2021 super output areas - lower layer,151,Other identity and at least one UK identity,24
138,2021,E01021625,2021 super output areas - lower layer,151,Non-UK identity only,70
139,2021,E01021625,2021 super output areas - lower layer,151,UK identity and non-UK identity,25
140,2021,E01021626,2021 super output areas - lower layer,151,Total: All usual residents,1501
141,2021,E01021626,2021 super output areas - lower layer,151,British only identity,840
142,2021,E01021626,2021 super output areas - lower layer,151,English only identity,253
143,2021,E01021626,2021 super output areas - lower layer,151,English and British only identity,260
144,2021,E01021626,2021 super output areas - lower layer,151,Welsh only identity,4
145,2021,E01021626,2021 super output areas - lower layer,151,Welsh and British only identity,1
146,2021,E01021626,2021 super output areas - lower layer,151,Any other combination of only UK identities,14
147,2021,E01021626,2021 super output areas - lower layer,151,Scottish only identity,9
148,2021,E01021626,2021 super output areas - lower layer,151,Scottish and British only identity,2
149,2021,E01021626,2021 super output areas - lower layer,151,Northern Irish only identity,0
150,2021,E01021626,2021 super output areas - lower layer,151,Northern Irish and British only identity,1
151,2021,E01021626,2021 super output areas - lower layer,151,Cornish only identity,0
152,2021,E01021626,2021 super output areas - lower layer,151,Cornish and British only identity,0
153,2021,E01021626,2021 super output areas - lower layer,151,Any other combination of only UK identities ,2
154,2021,E01021626,2021 super output areas - lower layer,151,Irish only identity,6
155,2021,E01021626,2021 super output areas - lower layer,151,Irish and at least one UK identity,3
156,2021,E01021626,2021 super output areas - lower layer,151,Other identity only,87
157,2021,E01021626,2021 super output areas - lower layer,151,Other identity and at least one UK identity,33
158,2021,E01021626,2021 super output areas - lower layer,151,Non-UK identity only,93
159,2021,E01021626,2021 super output areas - lower layer,151,UK identity and non-UK identity,36
160,2021,E01021544,2021 super output areas - lower layer,151,Total: All usual residents,1263
