,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HH_1_NAME,OBS_VALUE
131,2021,E01016412,2021 super output areas - lower layer,151,Number of households,580
132,2021,E01016386,2021 super output areas - lower layer,151,Number of households,609
133,2021,E01016387,2021 super output areas - lower layer,151,Number of households,590
134,2021,E01016425,2021 super output areas - lower layer,151,Number of households,669
135,2021,E01016426,2021 super output areas - lower layer,151,Number of households,512
136,2021,E01016430,2021 super output areas - lower layer,151,Number of households,513
137,2021,E01016364,2021 super output areas - lower layer,151,Number of households,601
138,2021,E01016409,2021 super output areas - lower layer,151,Number of households,744
139,2021,E01016427,2021 super output areas - lower layer,151,Number of households,666
140,2021,E01016428,2021 super output areas - lower layer,151,Number of households,763
141,2021,E01016429,2021 super output areas - lower layer,151,Number of households,635
142,2021,E01016362,2021 super output areas - lower layer,151,Number of households,904
143,2021,E01016363,2021 super output areas - lower layer,151,Number of households,704
144,2021,E01016365,2021 super output areas - lower layer,151,Number of households,781
145,2021,E01016366,2021 super output areas - lower layer,151,Number of households,680
146,2021,E01016367,2021 super output areas - lower layer,151,Number of households,698
147,2021,E01016380,2021 super output areas - lower layer,151,Number of households,704
148,2021,E01016383,2021 super output areas - lower layer,151,Number of households,664
149,2021,E01016384,2021 super output areas - lower layer,151,Number of households,629
150,2021,E01016431,2021 super output areas - lower layer,151,Number of households,651
151,2021,E01016432,2021 super output areas - lower layer,151,Number of households,630
152,2021,E01016381,2021 super output areas - lower layer,151,Number of households,527
153,2021,E01016382,2021 super output areas - lower layer,151,Number of households,722
154,2021,E01016385,2021 super output areas - lower layer,151,Number of households,606
155,2021,E01016396,2021 super output areas - lower layer,151,Number of households,665
156,2021,E01016397,2021 super output areas - lower layer,151,Number of households,684
157,2021,E01016355,2021 super output areas - lower layer,151,Number of households,821
158,2021,E01016358,2021 super output areas - lower layer,151,Number of households,766
159,2021,E01016359,2021 super output areas - lower layer,151,Number of households,1036
160,2021,E01016360,2021 super output areas - lower layer,151,Number of households,886
161,2021,E01016361,2021 super output areas - lower layer,151,Number of households,787
162,2021,E01016356,2021 super output areas - lower layer,151,Number of households,672
163,2021,E01016357,2021 super output areas - lower layer,151,Number of households,752
164,2021,E01016395,2021 super output areas - lower layer,151,Number of households,618
165,2021,E01016398,2021 super output areas - lower layer,151,Number of households,756
166,2021,E01016399,2021 super output areas - lower layer,151,Number of households,586
167,2021,E01016400,2021 super output areas - lower layer,151,Number of households,687
168,2021,E01016394,2021 super output areas - lower layer,151,Number of households,592
169,2021,E01016433,2021 super output areas - lower layer,151,Number of households,642
170,2021,E01016434,2021 super output areas - lower layer,151,Number of households,760
171,2021,E01016435,2021 super output areas - lower layer,151,Number of households,621
172,2021,E01016436,2021 super output areas - lower layer,151,Number of households,633
173,2021,E01016402,2021 super output areas - lower layer,151,Number of households,631
174,2021,E01016404,2021 super output areas - lower layer,151,Number of households,812
175,2021,E01016405,2021 super output areas - lower layer,151,Number of households,667
176,2021,E01016406,2021 super output areas - lower layer,151,Number of households,469
177,2021,E01033417,2021 super output areas - lower layer,151,Number of households,622
178,2021,E01033421,2021 super output areas - lower layer,151,Number of households,1070
179,2021,E01016401,2021 super output areas - lower layer,151,Number of households,566
180,2021,E01016403,2021 super output areas - lower layer,151,Number of households,676
181,2021,E01016416,2021 super output areas - lower layer,151,Number of households,730
182,2021,E01016417,2021 super output areas - lower layer,151,Number of households,553
183,2021,E01016418,2021 super output areas - lower layer,151,Number of households,568
184,2021,E01016388,2021 super output areas - lower layer,151,Number of households,621
185,2021,E01016389,2021 super output areas - lower layer,151,Number of households,695
186,2021,E01016390,2021 super output areas - lower layer,151,Number of households,714
187,2021,E01016392,2021 super output areas - lower layer,151,Number of households,1057
188,2021,E01016393,2021 super output areas - lower layer,151,Number of households,768
189,2021,E01016374,2021 super output areas - lower layer,151,Number of households,705
190,2021,E01016375,2021 super output areas - lower layer,151,Number of households,498
191,2021,E01016376,2021 super output areas - lower layer,151,Number of households,783
192,2021,E01016379,2021 super output areas - lower layer,151,Number of households,804
193,2021,E01016413,2021 super output areas - lower layer,151,Number of households,503
194,2021,E01016414,2021 super output areas - lower layer,151,Number of households,767
195,2021,E01016419,2021 super output areas - lower layer,151,Number of households,927
196,2021,E01016420,2021 super output areas - lower layer,151,Number of households,622
197,2021,E01016421,2021 super output areas - lower layer,151,Number of households,527
198,2021,E01016422,2021 super output areas - lower layer,151,Number of households,616
199,2021,E01016423,2021 super output areas - lower layer,151,Number of households,598
200,2021,E01016424,2021 super output areas - lower layer,151,Number of households,534
201,2021,E01016370,2021 super output areas - lower layer,151,Number of households,471
202,2021,E01016371,2021 super output areas - lower layer,151,Number of households,615
203,2021,E01016373,2021 super output areas - lower layer,151,Number of households,545
204,2021,E01016415,2021 super output areas - lower layer,151,Number of households,648
205,2021,E01016368,2021 super output areas - lower layer,151,Number of households,546
206,2021,E01016372,2021 super output areas - lower layer,151,Number of households,486
207,2021,E01016377,2021 super output areas - lower layer,151,Number of households,668
208,2021,E01016438,2021 super output areas - lower layer,151,Number of households,526
209,2021,E01016443,2021 super output areas - lower layer,151,Number of households,557
210,2021,E01033857,2021 super output areas - lower layer,151,Number of households,713
211,2021,E01033858,2021 super output areas - lower layer,151,Number of households,712
212,2021,E01033859,2021 super output areas - lower layer,151,Number of households,702
213,2021,E01016369,2021 super output areas - lower layer,151,Number of households,643
214,2021,E01016437,2021 super output areas - lower layer,151,Number of households,511
215,2021,E01016439,2021 super output areas - lower layer,151,Number of households,744
216,2021,E01016440,2021 super output areas - lower layer,151,Number of households,565
217,2021,E01016441,2021 super output areas - lower layer,151,Number of households,586
218,2021,E01016353,2021 super output areas - lower layer,151,Number of households,883
219,2021,E01033415,2021 super output areas - lower layer,151,Number of households,1091
220,2021,E01033418,2021 super output areas - lower layer,151,Number of households,715
221,2021,E01033422,2021 super output areas - lower layer,151,Number of households,691
222,2021,E01016391,2021 super output areas - lower layer,151,Number of households,939
223,2021,E01033420,2021 super output areas - lower layer,151,Number of households,689
224,2021,E01033423,2021 super output areas - lower layer,151,Number of households,793
225,2021,E01033838,2021 super output areas - lower layer,151,Number of households,553
226,2021,E01033839,2021 super output areas - lower layer,151,Number of households,630
227,2021,E01016450,2021 super output areas - lower layer,151,Number of households,533
228,2021,E01016451,2021 super output areas - lower layer,151,Number of households,617
229,2021,E01016452,2021 super output areas - lower layer,151,Number of households,643
230,2021,E01016453,2021 super output areas - lower layer,151,Number of households,632
231,2021,E01016454,2021 super output areas - lower layer,151,Number of households,597
232,2021,E01016455,2021 super output areas - lower layer,151,Number of households,687
233,2021,E01016483,2021 super output areas - lower layer,151,Number of households,599
234,2021,E01016484,2021 super output areas - lower layer,151,Number of households,620
235,2021,E01016485,2021 super output areas - lower layer,151,Number of households,542
236,2021,E01016486,2021 super output areas - lower layer,151,Number of households,590
237,2021,E01016487,2021 super output areas - lower layer,151,Number of households,503
238,2021,E01016488,2021 super output areas - lower layer,151,Number of households,670
239,2021,E01016493,2021 super output areas - lower layer,151,Number of households,465
240,2021,E01016494,2021 super output areas - lower layer,151,Number of households,749
241,2021,E01016495,2021 super output areas - lower layer,151,Number of households,623
242,2021,E01016496,2021 super output areas - lower layer,151,Number of households,571
243,2021,E01016497,2021 super output areas - lower layer,151,Number of households,464
244,2021,E01016498,2021 super output areas - lower layer,151,Number of households,623
245,2021,E01016499,2021 super output areas - lower layer,151,Number of households,490
246,2021,E01016444,2021 super output areas - lower layer,151,Number of households,476
247,2021,E01016445,2021 super output areas - lower layer,151,Number of households,524
248,2021,E01016446,2021 super output areas - lower layer,151,Number of households,457
249,2021,E01016447,2021 super output areas - lower layer,151,Number of households,521
250,2021,E01016448,2021 super output areas - lower layer,151,Number of households,764
251,2021,E01016449,2021 super output areas - lower layer,151,Number of households,658
252,2021,E01016516,2021 super output areas - lower layer,151,Number of households,481
253,2021,E01016517,2021 super output areas - lower layer,151,Number of households,481
254,2021,E01016518,2021 super output areas - lower layer,151,Number of households,606
255,2021,E01016519,2021 super output areas - lower layer,151,Number of households,960
256,2021,E01016520,2021 super output areas - lower layer,151,Number of households,569
257,2021,E01016521,2021 super output areas - lower layer,151,Number of households,646
258,2021,E01016467,2021 super output areas - lower layer,151,Number of households,538
259,2021,E01016468,2021 super output areas - lower layer,151,Number of households,653
260,2021,E01016469,2021 super output areas - lower layer,151,Number of households,664
261,2021,E01016470,2021 super output areas - lower layer,151,Number of households,679
262,2021,E01016471,2021 super output areas - lower layer,151,Number of households,497
263,2021,E01016472,2021 super output areas - lower layer,151,Number of households,588
264,2021,E01016473,2021 super output areas - lower layer,151,Number of households,914
265,2021,E01016474,2021 super output areas - lower layer,151,Number of households,829
266,2021,E01016475,2021 super output areas - lower layer,151,Number of households,633
267,2021,E01016476,2021 super output areas - lower layer,151,Number of households,650
268,2021,E01016477,2021 super output areas - lower layer,151,Number of households,1031
269,2021,E01016478,2021 super output areas - lower layer,151,Number of households,676
270,2021,E01016462,2021 super output areas - lower layer,151,Number of households,760
271,2021,E01016463,2021 super output areas - lower layer,151,Number of households,593
272,2021,E01016464,2021 super output areas - lower layer,151,Number of households,608
273,2021,E01016465,2021 super output areas - lower layer,151,Number of households,926
274,2021,E01032729,2021 super output areas - lower layer,151,Number of households,621
275,2021,E01032730,2021 super output areas - lower layer,151,Number of households,752
276,2021,E01016506,2021 super output areas - lower layer,151,Number of households,738
277,2021,E01016507,2021 super output areas - lower layer,151,Number of households,623
278,2021,E01016508,2021 super output areas - lower layer,151,Number of households,714
279,2021,E01016509,2021 super output areas - lower layer,151,Number of households,590
280,2021,E01016510,2021 super output areas - lower layer,151,Number of households,646
281,2021,E01016511,2021 super output areas - lower layer,151,Number of households,963
282,2021,E01016514,2021 super output areas - lower layer,151,Number of households,876
283,2021,E01016515,2021 super output areas - lower layer,151,Number of households,609
284,2021,E01035247,2021 super output areas - lower layer,151,Number of households,615
285,2021,E01035248,2021 super output areas - lower layer,151,Number of households,643
286,2021,E01035249,2021 super output areas - lower layer,151,Number of households,402
287,2021,E01035250,2021 super output areas - lower layer,151,Number of households,477
288,2021,E01016500,2021 super output areas - lower layer,151,Number of households,599
289,2021,E01016501,2021 super output areas - lower layer,151,Number of households,611
290,2021,E01016502,2021 super output areas - lower layer,151,Number of households,493
291,2021,E01016503,2021 super output areas - lower layer,151,Number of households,581
292,2021,E01016504,2021 super output areas - lower layer,151,Number of households,471
293,2021,E01016505,2021 super output areas - lower layer,151,Number of households,618
294,2021,E01016490,2021 super output areas - lower layer,151,Number of households,791
295,2021,E01016491,2021 super output areas - lower layer,151,Number of households,621
296,2021,E01016492,2021 super output areas - lower layer,151,Number of households,608
297,2021,E01032731,2021 super output areas - lower layer,151,Number of households,482
298,2021,E01032732,2021 super output areas - lower layer,151,Number of households,643
299,2021,E01016479,2021 super output areas - lower layer,151,Number of households,541
300,2021,E01016480,2021 super output areas - lower layer,151,Number of households,515
301,2021,E01016481,2021 super output areas - lower layer,151,Number of households,668
302,2021,E01016482,2021 super output areas - lower layer,151,Number of households,670
303,2021,E01016458,2021 super output areas - lower layer,151,Number of households,556
304,2021,E01035251,2021 super output areas - lower layer,151,Number of households,650
305,2021,E01035252,2021 super output areas - lower layer,151,Number of households,486
306,2021,E01035253,2021 super output areas - lower layer,151,Number of households,651
307,2021,E01016456,2021 super output areas - lower layer,151,Number of households,620
308,2021,E01016457,2021 super output areas - lower layer,151,Number of households,564
309,2021,E01016460,2021 super output areas - lower layer,151,Number of households,565
310,2021,E01035254,2021 super output areas - lower layer,151,Number of households,546
311,2021,E01016570,2021 super output areas - lower layer,151,Number of households,634
312,2021,E01016572,2021 super output areas - lower layer,151,Number of households,554
313,2021,E01016582,2021 super output areas - lower layer,151,Number of households,514
314,2021,E01016600,2021 super output areas - lower layer,151,Number of households,449
315,2021,E01016530,2021 super output areas - lower layer,151,Number of households,653
316,2021,E01016531,2021 super output areas - lower layer,151,Number of households,591
317,2021,E01016532,2021 super output areas - lower layer,151,Number of households,840
318,2021,E01016533,2021 super output areas - lower layer,151,Number of households,766
319,2021,E01016578,2021 super output areas - lower layer,151,Number of households,667
320,2021,E01016579,2021 super output areas - lower layer,151,Number of households,739
321,2021,E01016581,2021 super output areas - lower layer,151,Number of households,601
322,2021,E01016571,2021 super output areas - lower layer,151,Number of households,674
323,2021,E01016573,2021 super output areas - lower layer,151,Number of households,539
324,2021,E01016574,2021 super output areas - lower layer,151,Number of households,564
325,2021,E01016599,2021 super output areas - lower layer,151,Number of households,604
326,2021,E01016583,2021 super output areas - lower layer,151,Number of households,802
327,2021,E01016585,2021 super output areas - lower layer,151,Number of households,825
328,2021,E01016586,2021 super output areas - lower layer,151,Number of households,540
329,2021,E01016591,2021 super output areas - lower layer,151,Number of households,879
330,2021,E01016592,2021 super output areas - lower layer,151,Number of households,852
331,2021,E01016525,2021 super output areas - lower layer,151,Number of households,725
332,2021,E01016528,2021 super output areas - lower layer,151,Number of households,665
333,2021,E01016529,2021 super output areas - lower layer,151,Number of households,898
334,2021,E01016536,2021 super output areas - lower layer,151,Number of households,863
335,2021,E01016584,2021 super output areas - lower layer,151,Number of households,933
336,2021,E01032733,2021 super output areas - lower layer,151,Number of households,735
337,2021,E01032734,2021 super output areas - lower layer,151,Number of households,802
338,2021,E01016526,2021 super output areas - lower layer,151,Number of households,704
339,2021,E01016527,2021 super output areas - lower layer,151,Number of households,655
340,2021,E01016534,2021 super output areas - lower layer,151,Number of households,600
