,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGW_3_NAME,OBS_VALUE
151,2021,W01000102,2021 super output areas - lower layer,151,Cannot write Welsh,886
152,2021,W01000102,2021 super output areas - lower layer,151,Can write Welsh,946
153,2021,W01000050,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1397
154,2021,W01000050,2021 super output areas - lower layer,151,Cannot write Welsh,717
155,2021,W01000050,2021 super output areas - lower layer,151,Can write Welsh,680
156,2021,W01000071,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2174
157,2021,W01000071,2021 super output areas - lower layer,151,Cannot write Welsh,760
158,2021,W01000071,2021 super output areas - lower layer,151,Can write Welsh,1414
159,2021,W01000096,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1218
160,2021,W01000096,2021 super output areas - lower layer,151,Cannot write Welsh,315
161,2021,W01000096,2021 super output areas - lower layer,151,Can write Welsh,903
162,2021,W01000097,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1105
163,2021,W01000097,2021 super output areas - lower layer,151,Cannot write Welsh,371
164,2021,W01000097,2021 super output areas - lower layer,151,Can write Welsh,734
165,2021,W01000115,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2066
166,2021,W01000115,2021 super output areas - lower layer,151,Cannot write Welsh,842
167,2021,W01000115,2021 super output areas - lower layer,151,Can write Welsh,1224
168,2021,W01000052,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1061
169,2021,W01000052,2021 super output areas - lower layer,151,Cannot write Welsh,208
170,2021,W01000052,2021 super output areas - lower layer,151,Can write Welsh,853
171,2021,W01000053,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1144
172,2021,W01000053,2021 super output areas - lower layer,151,Cannot write Welsh,455
173,2021,W01000053,2021 super output areas - lower layer,151,Can write Welsh,689
174,2021,W01000087,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1778
175,2021,W01000087,2021 super output areas - lower layer,151,Cannot write Welsh,365
176,2021,W01000087,2021 super output areas - lower layer,151,Can write Welsh,1413
177,2021,W01000119,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2257
178,2021,W01000119,2021 super output areas - lower layer,151,Cannot write Welsh,885
179,2021,W01000119,2021 super output areas - lower layer,151,Can write Welsh,1372
180,2021,W01000063,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1847
181,2021,W01000063,2021 super output areas - lower layer,151,Cannot write Welsh,663
182,2021,W01000063,2021 super output areas - lower layer,151,Can write Welsh,1184
183,2021,W01000081,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1958
184,2021,W01000081,2021 super output areas - lower layer,151,Cannot write Welsh,723
185,2021,W01000081,2021 super output areas - lower layer,151,Can write Welsh,1235
186,2021,W01000099,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1617
187,2021,W01000099,2021 super output areas - lower layer,151,Cannot write Welsh,616
188,2021,W01000099,2021 super output areas - lower layer,151,Can write Welsh,1001
189,2021,W01000103,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1141
190,2021,W01000103,2021 super output areas - lower layer,151,Cannot write Welsh,583
191,2021,W01000103,2021 super output areas - lower layer,151,Can write Welsh,558
192,2021,W01000059,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2028
193,2021,W01000059,2021 super output areas - lower layer,151,Cannot write Welsh,569
194,2021,W01000059,2021 super output areas - lower layer,151,Can write Welsh,1459
