,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_LPSTAT_12_NAME,OBS_VALUE
108,2021,E01033658,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,43
109,2021,E01033658,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,42
110,2021,E01033658,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,1
111,2021,E01033658,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,13
112,2021,E01033658,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,13
113,2021,E01033658,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
114,2021,E01033664,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1756
115,2021,E01033664,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,1427
116,2021,E01033664,2021 super output areas - lower layer,151,Married or in a registered civil partnership,223
117,2021,E01033664,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,217
118,2021,E01033664,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,204
119,2021,E01033664,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,13
120,2021,E01033664,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,6
121,2021,E01033664,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,0
122,2021,E01033664,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,6
123,2021,E01033664,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",37
124,2021,E01033664,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",37
125,2021,E01033664,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
126,2021,E01033664,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,62
127,2021,E01033664,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,62
128,2021,E01033664,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
129,2021,E01033664,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,7
130,2021,E01033664,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,7
131,2021,E01033664,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
132,2021,E01033667,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1466
133,2021,E01033667,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,1158
134,2021,E01033667,2021 super output areas - lower layer,151,Married or in a registered civil partnership,232
135,2021,E01033667,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,213
136,2021,E01033667,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,205
137,2021,E01033667,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,8
138,2021,E01033667,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,19
139,2021,E01033667,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,2
140,2021,E01033667,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,17
141,2021,E01033667,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",15
142,2021,E01033667,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",15
143,2021,E01033667,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
144,2021,E01033667,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,56
145,2021,E01033667,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,52
146,2021,E01033667,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,4
147,2021,E01033667,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,5
148,2021,E01033667,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,5
149,2021,E01033667,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
150,2021,E01005128,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,2015
151,2021,E01005128,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,1858
152,2021,E01005128,2021 super output areas - lower layer,151,Married or in a registered civil partnership,121
153,2021,E01005128,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,109
154,2021,E01005128,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,96
155,2021,E01005128,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,13
156,2021,E01005128,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,12
157,2021,E01005128,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,0
158,2021,E01005128,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,12
159,2021,E01005128,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",8
160,2021,E01005128,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",7
161,2021,E01005128,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",1
162,2021,E01005128,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,24
163,2021,E01005128,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,24
164,2021,E01005128,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
165,2021,E01005128,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,4
166,2021,E01005128,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,4
167,2021,E01005128,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
168,2021,E01033653,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1818
169,2021,E01033653,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,1346
170,2021,E01033653,2021 super output areas - lower layer,151,Married or in a registered civil partnership,262
171,2021,E01033653,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,253
172,2021,E01033653,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,234
173,2021,E01033653,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,19
174,2021,E01033653,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,9
175,2021,E01033653,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,2
176,2021,E01033653,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,7
177,2021,E01033653,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",51
178,2021,E01033653,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",51
179,2021,E01033653,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
180,2021,E01033653,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,83
181,2021,E01033653,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,80
182,2021,E01033653,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,3
183,2021,E01033653,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,76
184,2021,E01033653,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,75
185,2021,E01033653,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,1
186,2021,E01033654,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1773
187,2021,E01033654,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,1560
188,2021,E01033654,2021 super output areas - lower layer,151,Married or in a registered civil partnership,176
189,2021,E01033654,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,168
190,2021,E01033654,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,167
191,2021,E01033654,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,1
192,2021,E01033654,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,8
193,2021,E01033654,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,0
194,2021,E01033654,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,8
195,2021,E01033654,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",8
196,2021,E01033654,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",8
197,2021,E01033654,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
198,2021,E01033654,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,23
199,2021,E01033654,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,22
200,2021,E01033654,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,1
201,2021,E01033654,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,6
202,2021,E01033654,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,6
203,2021,E01033654,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
204,2021,E01033661,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1957
205,2021,E01033661,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,1600
206,2021,E01033661,2021 super output areas - lower layer,151,Married or in a registered civil partnership,191
207,2021,E01033661,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,183
208,2021,E01033661,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,158
209,2021,E01033661,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,25
210,2021,E01033661,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,8
211,2021,E01033661,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,2
212,2021,E01033661,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,6
213,2021,E01033661,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",26
214,2021,E01033661,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",24
215,2021,E01033661,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",2
216,2021,E01033661,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,104
217,2021,E01033661,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,103
218,2021,E01033661,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,1
219,2021,E01033661,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,36
220,2021,E01033661,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,36
221,2021,E01033661,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
222,2021,E01034129,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1056
223,2021,E01034129,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,870
224,2021,E01034129,2021 super output areas - lower layer,151,Married or in a registered civil partnership,136
225,2021,E01034129,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,132
226,2021,E01034129,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,128
227,2021,E01034129,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,4
228,2021,E01034129,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,4
