msoa,occupation_11,qualification_11,log_med_house_price_11,log_med_income_11,score_11,occupation_21,qualification_21,log_med_house_price_21,log_med_income_21,score_21,rank_11,rank_21,ses_asc,score_pr_11,score_pr_21,score_pr_asc
E02001044,0.5016198704103669,0.3140972794723825,11.986055452062393,10.69650269224425,-11.91563879925013,0.5427985648385443,0.3761525238318487,12.577639650232573,10.707751151716078,-11.996453734024282,2361.0,1622.0,-0.08081493477415158,27.607361963190186,49.75460122699387,22.147239263803684
E02001045,0.2338790511192781,0.1210323821737736,11.156264806643742,10.125069885783383,-11.215993526050909,0.30066747572815533,0.2149489322191272,11.860062063178267,10.425282789490705,-11.597373416475996,302.0,488.0,-0.38137989042508735,90.76687116564418,14.969325153374232,-75.79754601226995
E02001046,0.2743721307048338,0.1610192837465564,11.424105180165641,10.165890277802454,-11.292140773875015,0.3509522790498608,0.2952494061757719,12.063938642041201,10.510559281627845,-11.717774214011234,487.0,814.0,-0.4256334401362185,85.0920245398773,24.969325153374232,-60.12269938650307
E02001047,0.2684249445403006,0.1575537704068411,11.385103457032141,10.165890277802454,-11.287169460391079,0.3264405204460965,0.2591723285978999,12.06537851880616,10.468829770273567,-11.668821782915295,471.0,671.0,-0.3816523225242161,85.58282208588957,20.58282208588957,-65.0
E02001048,0.3307086614173227,0.2425636307881018,11.566475710526321,10.261196961231647,-11.417568700480022,0.3629448519424068,0.3076375035622684,11.92504173829169,10.547995807489514,-11.74463233473577,773.0,896.0,-0.32706363425574914,76.31901840490798,27.484662576687118,-48.834355828220865
E02001049,0.2888735314443675,0.1665388548057259,11.686277751180642,10.261196961231647,-11.412605581075944,0.34986830553116754,0.2552019583843329,12.063938642041201,10.502351525774941,-11.704149521837197,761.0,771.0,-0.2915439407612528,76.68711656441718,23.650306748466257,-53.036809815950924
E02001050,0.2504230118443315,0.1900460503010981,11.267037714175425,10.082512013210788,-11.196587469148241,0.26680313886045703,0.2559880239520958,11.884495917930655,10.428245666832275,-11.603416260398399,262.0,501.0,-0.4068287912501578,91.99386503067485,15.368098159509202,-76.62576687116565
E02001051,0.232011331444759,0.161753113668611,11.218567827096358,10.185692150979541,-11.286319985712563,0.29368734760227566,0.2658227848101265,11.904974309480183,10.442929787247998,-11.62478127874304,467.0,551.0,-0.3384612930304769,85.70552147239265,16.901840490797547,-68.80368098159511
E02001052,0.29006181645268636,0.2459898805038217,11.429554725537322,10.082512013210788,-11.225041967870649,0.30107309171897134,0.2808882140823686,12.100717685412471,10.425282789490705,-11.62904184635642,325.0,561.0,-0.4039998784857719,90.06134969325153,17.208588957055216,-72.85276073619632
E02001053,0.1897271268057784,0.1210869854802184,11.277215789596893,9.917439766154132,-11.018499035053102,0.21859296482412038,0.2542894332031712,11.773353240267667,10.292179440058462,-11.453159127555768,91.0,197.0,-0.434660092502666,97.23926380368098,6.042944785276074,-91.1963190184049
E02001055,0.221814848762603,0.1219295649600473,11.231901180182515,10.038062150832348,-11.136599177575754,0.2908541609447953,0.2413362905461602,11.91170829631447,10.354595018522993,-11.535446412004218,163.0,327.0,-0.39884723442846415,95.03067484662576,10.030674846625768,-84.99999999999999
