,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_BEDROOMS_5_NAME,OBS_VALUE
152,2021,E02003317,2021 super output areas - middle layer,152,2 bedrooms,663
153,2021,E02003317,2021 super output areas - middle layer,152,3 bedrooms,1314
154,2021,E02003317,2021 super output areas - middle layer,152,4 or more bedrooms,659
155,2021,E02003318,2021 super output areas - middle layer,152,Total: All households,2284
156,2021,E02003318,2021 super output areas - middle layer,152,1 bedroom,25
157,2021,E02003318,2021 super output areas - middle layer,152,2 bedrooms,318
158,2021,E02003318,2021 super output areas - middle layer,152,3 bedrooms,1222
159,2021,E02003318,2021 super output areas - middle layer,152,4 or more bedrooms,719
160,2021,E02003319,2021 super output areas - middle layer,152,Total: All households,3299
161,2021,E02003319,2021 super output areas - middle layer,152,1 bedroom,386
162,2021,E02003319,2021 super output areas - middle layer,152,2 bedrooms,1026
163,2021,E02003319,2021 super output areas - middle layer,152,3 bedrooms,1483
164,2021,E02003319,2021 super output areas - middle layer,152,4 or more bedrooms,404
165,2021,E02003320,2021 super output areas - middle layer,152,Total: All households,3793
166,2021,E02003320,2021 super output areas - middle layer,152,1 bedroom,688
167,2021,E02003320,2021 super output areas - middle layer,152,2 bedrooms,1295
168,2021,E02003320,2021 super output areas - middle layer,152,3 bedrooms,1171
169,2021,E02003320,2021 super output areas - middle layer,152,4 or more bedrooms,639
170,2021,E02003321,2021 super output areas - middle layer,152,Total: All households,2493
171,2021,E02003321,2021 super output areas - middle layer,152,1 bedroom,241
172,2021,E02003321,2021 super output areas - middle layer,152,2 bedrooms,468
173,2021,E02003321,2021 super output areas - middle layer,152,3 bedrooms,1516
174,2021,E02003321,2021 super output areas - middle layer,152,4 or more bedrooms,268
175,2021,E02003322,2021 super output areas - middle layer,152,Total: All households,3136
176,2021,E02003322,2021 super output areas - middle layer,152,1 bedroom,688
177,2021,E02003322,2021 super output areas - middle layer,152,2 bedrooms,992
178,2021,E02003322,2021 super output areas - middle layer,152,3 bedrooms,1193
179,2021,E02003322,2021 super output areas - middle layer,152,4 or more bedrooms,263
180,2021,E02003323,2021 super output areas - middle layer,152,Total: All households,2821
181,2021,E02003323,2021 super output areas - middle layer,152,1 bedroom,196
182,2021,E02003323,2021 super output areas - middle layer,152,2 bedrooms,783
183,2021,E02003323,2021 super output areas - middle layer,152,3 bedrooms,1467
184,2021,E02003323,2021 super output areas - middle layer,152,4 or more bedrooms,375
185,2021,E02003324,2021 super output areas - middle layer,152,Total: All households,3861
186,2021,E02003324,2021 super output areas - middle layer,152,1 bedroom,299
187,2021,E02003324,2021 super output areas - middle layer,152,2 bedrooms,1150
188,2021,E02003324,2021 super output areas - middle layer,152,3 bedrooms,1996
189,2021,E02003324,2021 super output areas - middle layer,152,4 or more bedrooms,416
190,2021,E02003325,2021 super output areas - middle layer,152,Total: All households,3006
191,2021,E02003325,2021 super output areas - middle layer,152,1 bedroom,635
192,2021,E02003325,2021 super output areas - middle layer,152,2 bedrooms,1140
193,2021,E02003325,2021 super output areas - middle layer,152,3 bedrooms,1005
194,2021,E02003325,2021 super output areas - middle layer,152,4 or more bedrooms,226
195,2021,E02003326,2021 super output areas - middle layer,152,Total: All households,2962
196,2021,E02003326,2021 super output areas - middle layer,152,1 bedroom,244
197,2021,E02003326,2021 super output areas - middle layer,152,2 bedrooms,526
198,2021,E02003326,2021 super output areas - middle layer,152,3 bedrooms,1804
199,2021,E02003326,2021 super output areas - middle layer,152,4 or more bedrooms,388
200,2021,E02003327,2021 super output areas - middle layer,152,Total: All households,3662
201,2021,E02003327,2021 super output areas - middle layer,152,1 bedroom,978
202,2021,E02003327,2021 super output areas - middle layer,152,2 bedrooms,1370
203,2021,E02003327,2021 super output areas - middle layer,152,3 bedrooms,815
204,2021,E02003327,2021 super output areas - middle layer,152,4 or more bedrooms,499
205,2021,E02003328,2021 super output areas - middle layer,152,Total: All households,4332
206,2021,E02003328,2021 super output areas - middle layer,152,1 bedroom,1355
207,2021,E02003328,2021 super output areas - middle layer,152,2 bedrooms,1453
208,2021,E02003328,2021 super output areas - middle layer,152,3 bedrooms,1123
209,2021,E02003328,2021 super output areas - middle layer,152,4 or more bedrooms,401
210,2021,E02003329,2021 super output areas - middle layer,152,Total: All households,2643
211,2021,E02003329,2021 super output areas - middle layer,152,1 bedroom,327
212,2021,E02003329,2021 super output areas - middle layer,152,2 bedrooms,614
213,2021,E02003329,2021 super output areas - middle layer,152,3 bedrooms,1437
214,2021,E02003329,2021 super output areas - middle layer,152,4 or more bedrooms,265
215,2021,E02003330,2021 super output areas - middle layer,152,Total: All households,2732
216,2021,E02003330,2021 super output areas - middle layer,152,1 bedroom,138
