,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_PUR2ADDR_10_NAME,OBS_VALUE
117,2021,E02002496,2021 super output areas - middle layer,152,Partner's address,82
118,2021,E02002496,2021 super output areas - middle layer,152,Other,159
119,2021,E02002496,2021 super output areas - middle layer,152,Second address type not specified,0
120,2021,E02002497,2021 super output areas - middle layer,152,Total: All usual residents,172
121,2021,E02002497,2021 super output areas - middle layer,152,Armed forces base address,0
122,2021,E02002497,2021 super output areas - middle layer,152,Another address when working away from home,9
123,2021,E02002497,2021 super output areas - middle layer,152,Holiday home,5
124,2021,E02002497,2021 super output areas - middle layer,152,Student's term-time address,3
125,2021,E02002497,2021 super output areas - middle layer,152,Student's home address,23
126,2021,E02002497,2021 super output areas - middle layer,152,Another parent or guardian's address,71
127,2021,E02002497,2021 super output areas - middle layer,152,Partner's address,17
128,2021,E02002497,2021 super output areas - middle layer,152,Other,44
129,2021,E02002497,2021 super output areas - middle layer,152,Second address type not specified,0
130,2021,E02002498,2021 super output areas - middle layer,152,Total: All usual residents,521
131,2021,E02002498,2021 super output areas - middle layer,152,Armed forces base address,3
132,2021,E02002498,2021 super output areas - middle layer,152,Another address when working away from home,27
133,2021,E02002498,2021 super output areas - middle layer,152,Holiday home,8
134,2021,E02002498,2021 super output areas - middle layer,152,Student's term-time address,0
135,2021,E02002498,2021 super output areas - middle layer,152,Student's home address,225
136,2021,E02002498,2021 super output areas - middle layer,152,Another parent or guardian's address,122
137,2021,E02002498,2021 super output areas - middle layer,152,Partner's address,49
138,2021,E02002498,2021 super output areas - middle layer,152,Other,87
139,2021,E02002498,2021 super output areas - middle layer,152,Second address type not specified,0
140,2021,E02002499,2021 super output areas - middle layer,152,Total: All usual residents,179
141,2021,E02002499,2021 super output areas - middle layer,152,Armed forces base address,8
142,2021,E02002499,2021 super output areas - middle layer,152,Another address when working away from home,11
143,2021,E02002499,2021 super output areas - middle layer,152,Holiday home,5
144,2021,E02002499,2021 super output areas - middle layer,152,Student's term-time address,2
145,2021,E02002499,2021 super output areas - middle layer,152,Student's home address,20
146,2021,E02002499,2021 super output areas - middle layer,152,Another parent or guardian's address,98
147,2021,E02002499,2021 super output areas - middle layer,152,Partner's address,12
148,2021,E02002499,2021 super output areas - middle layer,152,Other,23
149,2021,E02002499,2021 super output areas - middle layer,152,Second address type not specified,0
150,2021,E02002500,2021 super output areas - middle layer,152,Total: All usual residents,257
151,2021,E02002500,2021 super output areas - middle layer,152,Armed forces base address,1
152,2021,E02002500,2021 super output areas - middle layer,152,Another address when working away from home,22
153,2021,E02002500,2021 super output areas - middle layer,152,Holiday home,32
154,2021,E02002500,2021 super output areas - middle layer,152,Student's term-time address,1
155,2021,E02002500,2021 super output areas - middle layer,152,Student's home address,56
156,2021,E02002500,2021 super output areas - middle layer,152,Another parent or guardian's address,92
157,2021,E02002500,2021 super output areas - middle layer,152,Partner's address,21
158,2021,E02002500,2021 super output areas - middle layer,152,Other,32
159,2021,E02002500,2021 super output areas - middle layer,152,Second address type not specified,0
160,2021,E02002501,2021 super output areas - middle layer,152,Total: All usual residents,147
161,2021,E02002501,2021 super output areas - middle layer,152,Armed forces base address,3
162,2021,E02002501,2021 super output areas - middle layer,152,Another address when working away from home,18
163,2021,E02002501,2021 super output areas - middle layer,152,Holiday home,9
164,2021,E02002501,2021 super output areas - middle layer,152,Student's term-time address,3
165,2021,E02002501,2021 super output areas - middle layer,152,Student's home address,6
166,2021,E02002501,2021 super output areas - middle layer,152,Another parent or guardian's address,58
167,2021,E02002501,2021 super output areas - middle layer,152,Partner's address,18
168,2021,E02002501,2021 super output areas - middle layer,152,Other,32
169,2021,E02002501,2021 super output areas - middle layer,152,Second address type not specified,0
170,2021,E02002502,2021 super output areas - middle layer,152,Total: All usual residents,187
171,2021,E02002502,2021 super output areas - middle layer,152,Armed forces base address,11
172,2021,E02002502,2021 super output areas - middle layer,152,Another address when working away from home,30
173,2021,E02002502,2021 super output areas - middle layer,152,Holiday home,10
174,2021,E02002502,2021 super output areas - middle layer,152,Student's term-time address,0
175,2021,E02002502,2021 super output areas - middle layer,152,Student's home address,6
176,2021,E02002502,2021 super output areas - middle layer,152,Another parent or guardian's address,87
177,2021,E02002502,2021 super output areas - middle layer,152,Partner's address,14
178,2021,E02002502,2021 super output areas - middle layer,152,Other,29
179,2021,E02002502,2021 super output areas - middle layer,152,Second address type not specified,0
180,2021,E02002503,2021 super output areas - middle layer,152,Total: All usual residents,188
181,2021,E02002503,2021 super output areas - middle layer,152,Armed forces base address,7
182,2021,E02002503,2021 super output areas - middle layer,152,Another address when working away from home,18
183,2021,E02002503,2021 super output areas - middle layer,152,Holiday home,9
184,2021,E02002503,2021 super output areas - middle layer,152,Student's term-time address,0
185,2021,E02002503,2021 super output areas - middle layer,152,Student's home address,1
186,2021,E02002503,2021 super output areas - middle layer,152,Another parent or guardian's address,94
187,2021,E02002503,2021 super output areas - middle layer,152,Partner's address,24
188,2021,E02002503,2021 super output areas - middle layer,152,Other,35
189,2021,E02002503,2021 super output areas - middle layer,152,Second address type not specified,0
190,2021,E02002504,2021 super output areas - middle layer,152,Total: All usual residents,345
191,2021,E02002504,2021 super output areas - middle layer,152,Armed forces base address,4
192,2021,E02002504,2021 super output areas - middle layer,152,Another address when working away from home,35
193,2021,E02002504,2021 super output areas - middle layer,152,Holiday home,46
194,2021,E02002504,2021 super output areas - middle layer,152,Student's term-time address,0
195,2021,E02002504,2021 super output areas - middle layer,152,Student's home address,22
196,2021,E02002504,2021 super output areas - middle layer,152,Another parent or guardian's address,134
197,2021,E02002504,2021 super output areas - middle layer,152,Partner's address,39
198,2021,E02002504,2021 super output areas - middle layer,152,Other,65
199,2021,E02002504,2021 super output areas - middle layer,152,Second address type not specified,0
200,2021,E02002505,2021 super output areas - middle layer,152,Total: All usual residents,168
201,2021,E02002505,2021 super output areas - middle layer,152,Armed forces base address,9
202,2021,E02002505,2021 super output areas - middle layer,152,Another address when working away from home,13
203,2021,E02002505,2021 super output areas - middle layer,152,Holiday home,10
204,2021,E02002505,2021 super output areas - middle layer,152,Student's term-time address,0
205,2021,E02002505,2021 super output areas - middle layer,152,Student's home address,3
206,2021,E02002505,2021 super output areas - middle layer,152,Another parent or guardian's address,112
207,2021,E02002505,2021 super output areas - middle layer,152,Partner's address,13
208,2021,E02002505,2021 super output areas - middle layer,152,Other,8
209,2021,E02002505,2021 super output areas - middle layer,152,Second address type not specified,0
210,2021,E02002506,2021 super output areas - middle layer,152,Total: All usual residents,275
211,2021,E02002506,2021 super output areas - middle layer,152,Armed forces base address,3
212,2021,E02002506,2021 super output areas - middle layer,152,Another address when working away from home,8
213,2021,E02002506,2021 super output areas - middle layer,152,Holiday home,8
214,2021,E02002506,2021 super output areas - middle layer,152,Student's term-time address,2
215,2021,E02002506,2021 super output areas - middle layer,152,Student's home address,112
216,2021,E02002506,2021 super output areas - middle layer,152,Another parent or guardian's address,92
217,2021,E02002506,2021 super output areas - middle layer,152,Partner's address,15
218,2021,E02002506,2021 super output areas - middle layer,152,Other,35
219,2021,E02002506,2021 super output areas - middle layer,152,Second address type not specified,0
220,2021,E02002507,2021 super output areas - middle layer,152,Total: All usual residents,217
221,2021,E02002507,2021 super output areas - middle layer,152,Armed forces base address,4
222,2021,E02002507,2021 super output areas - middle layer,152,Another address when working away from home,35
223,2021,E02002507,2021 super output areas - middle layer,152,Holiday home,19
224,2021,E02002507,2021 super output areas - middle layer,152,Student's term-time address,4
225,2021,E02002507,2021 super output areas - middle layer,152,Student's home address,9
226,2021,E02002507,2021 super output areas - middle layer,152,Another parent or guardian's address,96
227,2021,E02002507,2021 super output areas - middle layer,152,Partner's address,23
228,2021,E02002507,2021 super output areas - middle layer,152,Other,27
229,2021,E02002507,2021 super output areas - middle layer,152,Second address type not specified,0
230,2021,E02002508,2021 super output areas - middle layer,152,Total: All usual residents,159
231,2021,E02002508,2021 super output areas - middle layer,152,Armed forces base address,9
232,2021,E02002508,2021 super output areas - middle layer,152,Another address when working away from home,20
233,2021,E02002508,2021 super output areas - middle layer,152,Holiday home,20
234,2021,E02002508,2021 super output areas - middle layer,152,Student's term-time address,1
235,2021,E02002508,2021 super output areas - middle layer,152,Student's home address,6
236,2021,E02002508,2021 super output areas - middle layer,152,Another parent or guardian's address,70
