,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HEATING_13_NAME,OBS_VALUE
102,2021,E02002493,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),258
103,2021,E02002493,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),10
104,2021,E02002494,2021 super output areas - middle layer,152,Total: All households,3387
105,2021,E02002494,2021 super output areas - middle layer,152,No central heating,35
106,2021,E02002494,2021 super output areas - middle layer,152,Mains gas only,2771
107,2021,E02002494,2021 super output areas - middle layer,152,Tank or bottled gas only,24
108,2021,E02002494,2021 super output areas - middle layer,152,Electric only,140
109,2021,E02002494,2021 super output areas - middle layer,152,Oil only,2
110,2021,E02002494,2021 super output areas - middle layer,152,Wood only,1
111,2021,E02002494,2021 super output areas - middle layer,152,Solid fuel only,1
112,2021,E02002494,2021 super output areas - middle layer,152,Renewable energy only,3
113,2021,E02002494,2021 super output areas - middle layer,152,District or communal heat networks only,2
114,2021,E02002494,2021 super output areas - middle layer,152,Other central heating only,78
115,2021,E02002494,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),320
116,2021,E02002494,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),10
117,2021,E02006909,2021 super output areas - middle layer,152,Total: All households,5512
118,2021,E02006909,2021 super output areas - middle layer,152,No central heating,15
119,2021,E02006909,2021 super output areas - middle layer,152,Mains gas only,4730
120,2021,E02006909,2021 super output areas - middle layer,152,Tank or bottled gas only,37
121,2021,E02006909,2021 super output areas - middle layer,152,Electric only,89
122,2021,E02006909,2021 super output areas - middle layer,152,Oil only,103
123,2021,E02006909,2021 super output areas - middle layer,152,Wood only,6
124,2021,E02006909,2021 super output areas - middle layer,152,Solid fuel only,15
125,2021,E02006909,2021 super output areas - middle layer,152,Renewable energy only,17
126,2021,E02006909,2021 super output areas - middle layer,152,District or communal heat networks only,2
127,2021,E02006909,2021 super output areas - middle layer,152,Other central heating only,33
128,2021,E02006909,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),425
129,2021,E02006909,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),40
130,2021,E02007059,2021 super output areas - middle layer,152,Total: All households,4942
131,2021,E02007059,2021 super output areas - middle layer,152,No central heating,57
132,2021,E02007059,2021 super output areas - middle layer,152,Mains gas only,3929
133,2021,E02007059,2021 super output areas - middle layer,152,Tank or bottled gas only,13
134,2021,E02007059,2021 super output areas - middle layer,152,Electric only,421
135,2021,E02007059,2021 super output areas - middle layer,152,Oil only,6
136,2021,E02007059,2021 super output areas - middle layer,152,Wood only,1
137,2021,E02007059,2021 super output areas - middle layer,152,Solid fuel only,1
138,2021,E02007059,2021 super output areas - middle layer,152,Renewable energy only,5
139,2021,E02007059,2021 super output areas - middle layer,152,District or communal heat networks only,15
140,2021,E02007059,2021 super output areas - middle layer,152,Other central heating only,47
141,2021,E02007059,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),434
142,2021,E02007059,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),13
143,2021,E02002496,2021 super output areas - middle layer,152,Total: All households,4461
144,2021,E02002496,2021 super output areas - middle layer,152,No central heating,109
145,2021,E02002496,2021 super output areas - middle layer,152,Mains gas only,2927
146,2021,E02002496,2021 super output areas - middle layer,152,Tank or bottled gas only,28
147,2021,E02002496,2021 super output areas - middle layer,152,Electric only,635
148,2021,E02002496,2021 super output areas - middle layer,152,Oil only,5
149,2021,E02002496,2021 super output areas - middle layer,152,Wood only,2
150,2021,E02002496,2021 super output areas - middle layer,152,Solid fuel only,0
151,2021,E02002496,2021 super output areas - middle layer,152,Renewable energy only,10
152,2021,E02002496,2021 super output areas - middle layer,152,District or communal heat networks only,64
153,2021,E02002496,2021 super output areas - middle layer,152,Other central heating only,158
154,2021,E02002496,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),511
155,2021,E02002496,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),12
156,2021,E02002497,2021 super output areas - middle layer,152,Total: All households,2745
157,2021,E02002497,2021 super output areas - middle layer,152,No central heating,55
158,2021,E02002497,2021 super output areas - middle layer,152,Mains gas only,2083
159,2021,E02002497,2021 super output areas - middle layer,152,Tank or bottled gas only,23
160,2021,E02002497,2021 super output areas - middle layer,152,Electric only,187
161,2021,E02002497,2021 super output areas - middle layer,152,Oil only,2
162,2021,E02002497,2021 super output areas - middle layer,152,Wood only,0
163,2021,E02002497,2021 super output areas - middle layer,152,Solid fuel only,3
164,2021,E02002497,2021 super output areas - middle layer,152,Renewable energy only,2
