,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ROOMS_10_NAME,OBS_VALUE
206,2021,E02002505,2021 super output areas - middle layer,152,6 rooms,19
207,2021,E02002505,2021 super output areas - middle layer,152,7 rooms,5
208,2021,E02002505,2021 super output areas - middle layer,152,8 rooms,1
209,2021,E02002505,2021 super output areas - middle layer,152,9 or more rooms,3
210,2021,E02002506,2021 super output areas - middle layer,152,Total: All households,2331
211,2021,E02002506,2021 super output areas - middle layer,152,1 room,19
212,2021,E02002506,2021 super output areas - middle layer,152,2 rooms,278
213,2021,E02002506,2021 super output areas - middle layer,152,3 rooms,437
214,2021,E02002506,2021 super output areas - middle layer,152,4 rooms,860
215,2021,E02002506,2021 super output areas - middle layer,152,5 rooms,640
216,2021,E02002506,2021 super output areas - middle layer,152,6 rooms,78
217,2021,E02002506,2021 super output areas - middle layer,152,7 rooms,7
218,2021,E02002506,2021 super output areas - middle layer,152,8 rooms,4
219,2021,E02002506,2021 super output areas - middle layer,152,9 or more rooms,8
220,2021,E02002507,2021 super output areas - middle layer,152,Total: All households,2556
221,2021,E02002507,2021 super output areas - middle layer,152,1 room,2
222,2021,E02002507,2021 super output areas - middle layer,152,2 rooms,87
223,2021,E02002507,2021 super output areas - middle layer,152,3 rooms,305
224,2021,E02002507,2021 super output areas - middle layer,152,4 rooms,330
225,2021,E02002507,2021 super output areas - middle layer,152,5 rooms,1443
226,2021,E02002507,2021 super output areas - middle layer,152,6 rooms,280
227,2021,E02002507,2021 super output areas - middle layer,152,7 rooms,90
228,2021,E02002507,2021 super output areas - middle layer,152,8 rooms,13
229,2021,E02002507,2021 super output areas - middle layer,152,9 or more rooms,6
230,2021,E02002508,2021 super output areas - middle layer,152,Total: All households,2280
231,2021,E02002508,2021 super output areas - middle layer,152,1 room,19
232,2021,E02002508,2021 super output areas - middle layer,152,2 rooms,21
233,2021,E02002508,2021 super output areas - middle layer,152,3 rooms,376
234,2021,E02002508,2021 super output areas - middle layer,152,4 rooms,406
235,2021,E02002508,2021 super output areas - middle layer,152,5 rooms,1106
236,2021,E02002508,2021 super output areas - middle layer,152,6 rooms,274
237,2021,E02002508,2021 super output areas - middle layer,152,7 rooms,71
238,2021,E02002508,2021 super output areas - middle layer,152,8 rooms,3
239,2021,E02002508,2021 super output areas - middle layer,152,9 or more rooms,4
240,2021,E02002509,2021 super output areas - middle layer,152,Total: All households,2252
241,2021,E02002509,2021 super output areas - middle layer,152,1 room,25
242,2021,E02002509,2021 super output areas - middle layer,152,2 rooms,59
243,2021,E02002509,2021 super output areas - middle layer,152,3 rooms,335
244,2021,E02002509,2021 super output areas - middle layer,152,4 rooms,590
245,2021,E02002509,2021 super output areas - middle layer,152,5 rooms,1020
246,2021,E02002509,2021 super output areas - middle layer,152,6 rooms,183
247,2021,E02002509,2021 super output areas - middle layer,152,7 rooms,31
248,2021,E02002509,2021 super output areas - middle layer,152,8 rooms,6
249,2021,E02002509,2021 super output areas - middle layer,152,9 or more rooms,3
250,2021,E02002510,2021 super output areas - middle layer,152,Total: All households,3114
251,2021,E02002510,2021 super output areas - middle layer,152,1 room,2
252,2021,E02002510,2021 super output areas - middle layer,152,2 rooms,41
253,2021,E02002510,2021 super output areas - middle layer,152,3 rooms,600
254,2021,E02002510,2021 super output areas - middle layer,152,4 rooms,1092
255,2021,E02002510,2021 super output areas - middle layer,152,5 rooms,1003
256,2021,E02002510,2021 super output areas - middle layer,152,6 rooms,284
257,2021,E02002510,2021 super output areas - middle layer,152,7 rooms,73
258,2021,E02002510,2021 super output areas - middle layer,152,8 rooms,12
259,2021,E02002510,2021 super output areas - middle layer,152,9 or more rooms,7
260,2021,E02002512,2021 super output areas - middle layer,152,Total: All households,2304
261,2021,E02002512,2021 super output areas - middle layer,152,1 room,15
262,2021,E02002512,2021 super output areas - middle layer,152,2 rooms,35
263,2021,E02002512,2021 super output areas - middle layer,152,3 rooms,428
264,2021,E02002512,2021 super output areas - middle layer,152,4 rooms,495
265,2021,E02002512,2021 super output areas - middle layer,152,5 rooms,706
266,2021,E02002512,2021 super output areas - middle layer,152,6 rooms,471
267,2021,E02002512,2021 super output areas - middle layer,152,7 rooms,114
268,2021,E02002512,2021 super output areas - middle layer,152,8 rooms,34
269,2021,E02002512,2021 super output areas - middle layer,152,9 or more rooms,6
270,2021,E02002513,2021 super output areas - middle layer,152,Total: All households,4530
271,2021,E02002513,2021 super output areas - middle layer,152,1 room,12
272,2021,E02002513,2021 super output areas - middle layer,152,2 rooms,515
273,2021,E02002513,2021 super output areas - middle layer,152,3 rooms,791
274,2021,E02002513,2021 super output areas - middle layer,152,4 rooms,1559
275,2021,E02002513,2021 super output areas - middle layer,152,5 rooms,1059
276,2021,E02002513,2021 super output areas - middle layer,152,6 rooms,413
277,2021,E02002513,2021 super output areas - middle layer,152,7 rooms,139
278,2021,E02002513,2021 super output areas - middle layer,152,8 rooms,28
279,2021,E02002513,2021 super output areas - middle layer,152,9 or more rooms,14
280,2021,E02002514,2021 super output areas - middle layer,152,Total: All households,3791
281,2021,E02002514,2021 super output areas - middle layer,152,1 room,3
282,2021,E02002514,2021 super output areas - middle layer,152,2 rooms,620
283,2021,E02002514,2021 super output areas - middle layer,152,3 rooms,800
284,2021,E02002514,2021 super output areas - middle layer,152,4 rooms,961
285,2021,E02002514,2021 super output areas - middle layer,152,5 rooms,680
286,2021,E02002514,2021 super output areas - middle layer,152,6 rooms,586
287,2021,E02002514,2021 super output areas - middle layer,152,7 rooms,105
288,2021,E02002514,2021 super output areas - middle layer,152,8 rooms,24
289,2021,E02002514,2021 super output areas - middle layer,152,9 or more rooms,12
