,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_2ADDR_4_NAME,OBS_VALUE
131,2021,E02002517,2021 super output areas - middle layer,152,Second address is outside the UK,30
132,2021,E02002518,2021 super output areas - middle layer,152,Total: All usual residents,10877
133,2021,E02002518,2021 super output areas - middle layer,152,No second address,10500
134,2021,E02002518,2021 super output areas - middle layer,152,Second address is in the UK,305
135,2021,E02002518,2021 super output areas - middle layer,152,Second address is outside the UK,72
136,2021,E02002519,2021 super output areas - middle layer,152,Total: All usual residents,7473
137,2021,E02002519,2021 super output areas - middle layer,152,No second address,7257
138,2021,E02002519,2021 super output areas - middle layer,152,Second address is in the UK,198
139,2021,E02002519,2021 super output areas - middle layer,152,Second address is outside the UK,18
140,2021,E02002520,2021 super output areas - middle layer,152,Total: All usual residents,13088
141,2021,E02002520,2021 super output areas - middle layer,152,No second address,12619
142,2021,E02002520,2021 super output areas - middle layer,152,Second address is in the UK,380
143,2021,E02002520,2021 super output areas - middle layer,152,Second address is outside the UK,89
144,2021,E02002521,2021 super output areas - middle layer,152,Total: All usual residents,5874
145,2021,E02002521,2021 super output areas - middle layer,152,No second address,5631
146,2021,E02002521,2021 super output areas - middle layer,152,Second address is in the UK,178
147,2021,E02002521,2021 super output areas - middle layer,152,Second address is outside the UK,65
148,2021,E02002523,2021 super output areas - middle layer,152,Total: All usual residents,6387
149,2021,E02002523,2021 super output areas - middle layer,152,No second address,6247
150,2021,E02002523,2021 super output areas - middle layer,152,Second address is in the UK,134
151,2021,E02002523,2021 super output areas - middle layer,152,Second address is outside the UK,6
152,2021,E02002524,2021 super output areas - middle layer,152,Total: All usual residents,5400
153,2021,E02002524,2021 super output areas - middle layer,152,No second address,5217
154,2021,E02002524,2021 super output areas - middle layer,152,Second address is in the UK,153
155,2021,E02002524,2021 super output areas - middle layer,152,Second address is outside the UK,30
156,2021,E02002525,2021 super output areas - middle layer,152,Total: All usual residents,7971
157,2021,E02002525,2021 super output areas - middle layer,152,No second address,7737
158,2021,E02002525,2021 super output areas - middle layer,152,Second address is in the UK,217
159,2021,E02002525,2021 super output areas - middle layer,152,Second address is outside the UK,17
160,2021,E02002526,2021 super output areas - middle layer,152,Total: All usual residents,7706
161,2021,E02002526,2021 super output areas - middle layer,152,No second address,7454
162,2021,E02002526,2021 super output areas - middle layer,152,Second address is in the UK,222
163,2021,E02002526,2021 super output areas - middle layer,152,Second address is outside the UK,30
164,2021,E02002527,2021 super output areas - middle layer,152,Total: All usual residents,5086
165,2021,E02002527,2021 super output areas - middle layer,152,No second address,4935
166,2021,E02002527,2021 super output areas - middle layer,152,Second address is in the UK,139
167,2021,E02002527,2021 super output areas - middle layer,152,Second address is outside the UK,12
168,2021,E02002529,2021 super output areas - middle layer,152,Total: All usual residents,5740
169,2021,E02002529,2021 super output areas - middle layer,152,No second address,5558
170,2021,E02002529,2021 super output areas - middle layer,152,Second address is in the UK,151
171,2021,E02002529,2021 super output areas - middle layer,152,Second address is outside the UK,31
172,2021,E02002530,2021 super output areas - middle layer,152,Total: All usual residents,6180
173,2021,E02002530,2021 super output areas - middle layer,152,No second address,6024
174,2021,E02002530,2021 super output areas - middle layer,152,Second address is in the UK,128
175,2021,E02002530,2021 super output areas - middle layer,152,Second address is outside the UK,28
176,2021,E02002532,2021 super output areas - middle layer,152,Total: All usual residents,6735
177,2021,E02002532,2021 super output areas - middle layer,152,No second address,6509
178,2021,E02002532,2021 super output areas - middle layer,152,Second address is in the UK,198
179,2021,E02002532,2021 super output areas - middle layer,152,Second address is outside the UK,28
180,2021,E02002533,2021 super output areas - middle layer,152,Total: All usual residents,6565
181,2021,E02002533,2021 super output areas - middle layer,152,No second address,6309
182,2021,E02002533,2021 super output areas - middle layer,152,Second address is in the UK,206
183,2021,E02002533,2021 super output areas - middle layer,152,Second address is outside the UK,50
184,2021,E02002534,2021 super output areas - middle layer,152,Total: All usual residents,5574
185,2021,E02002534,2021 super output areas - middle layer,152,No second address,5358
186,2021,E02002534,2021 super output areas - middle layer,152,Second address is in the UK,161
187,2021,E02002534,2021 super output areas - middle layer,152,Second address is outside the UK,55
188,2021,E02006812,2021 super output areas - middle layer,152,Total: All usual residents,7602
189,2021,E02006812,2021 super output areas - middle layer,152,No second address,7403
190,2021,E02006812,2021 super output areas - middle layer,152,Second address is in the UK,169
191,2021,E02006812,2021 super output areas - middle layer,152,Second address is outside the UK,30
192,2021,E02006910,2021 super output areas - middle layer,152,Total: All usual residents,10612
193,2021,E02006910,2021 super output areas - middle layer,152,No second address,10304
194,2021,E02006910,2021 super output areas - middle layer,152,Second address is in the UK,254
195,2021,E02006910,2021 super output areas - middle layer,152,Second address is outside the UK,54
196,2021,E02002535,2021 super output areas - middle layer,152,Total: All usual residents,9165
197,2021,E02002535,2021 super output areas - middle layer,152,No second address,8767
198,2021,E02002535,2021 super output areas - middle layer,152,Second address is in the UK,309
199,2021,E02002535,2021 super output areas - middle layer,152,Second address is outside the UK,89
200,2021,E02002536,2021 super output areas - middle layer,152,Total: All usual residents,9329
201,2021,E02002536,2021 super output areas - middle layer,152,No second address,8999
202,2021,E02002536,2021 super output areas - middle layer,152,Second address is in the UK,278
203,2021,E02002536,2021 super output areas - middle layer,152,Second address is outside the UK,52
204,2021,E02002537,2021 super output areas - middle layer,152,Total: All usual residents,8363
205,2021,E02002537,2021 super output areas - middle layer,152,No second address,8067
