,GEOGRAPHY_CODE,Family member or partner of staff or owner,Resident,Resident: Female: Aged 0 to 15 years,Resident: Female: Aged 16 to 24 years,Resident: Female: Aged 25 to 34 years,Resident: Female: Aged 35 to 49 years,Resident: Female: Aged 50 to 64 years,Resident: Female: Aged 65 to 74 years,Resident: Female: Aged 75 to 84 years,Resident: Female: Aged 85 years and over,Resident: Male: Aged 0 to 15 years,Resident: Male: Aged 16 to 24 years,Resident: Male: Aged 25 to 34 years,Resident: Male: Aged 35 to 49 years,Resident: Male: Aged 50 to 64 years,Resident: Male: Aged 65 to 74 years,Resident: Male: Aged 75 to 84 years,Resident: Male: Aged 85 years and over,Resident:Female,Resident:Male,Staff or owner,Staying temporarily (no usual UK address),Total: All usual residents in communal establishments
44,E02000050,0.0,0.4230769230769231,0.0,0.0,0.07692307692307693,0.19230769230769232,0.07692307692307693,0.038461538461538464,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.038461538461538464,0.0,0.5769230769230769,26.0
45,E02000051,0.0,0.7619047619047619,0.0,0.0,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.0,0.0,0.0,0.0,0.07142857142857142,0.19047619047619047,0.2619047619047619,0.14285714285714285,0.0,0.0,0.0,0.09523809523809523,0.6666666666666666,0.0,0.23809523809523808,42.0
46,E02000054,0.0,1.0,0.0,0.0,0.08571428571428572,0.11428571428571428,0.2571428571428571,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.05714285714285714,0.11428571428571428,0.2,0.05714285714285714,0.05714285714285714,0.0,0.5142857142857142,0.4857142857142857,0.0,0.0,35.0
47,E02000055,0.0,0.7818181818181819,0.0,0.4,0.06363636363636363,0.02727272727272727,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.00909090909090909,0.05454545454545454,0.0,0.0,0.0,0.0,0.4909090909090909,0.2909090909090909,0.02727272727272727,0.19090909090909092,110.0
48,E02000056,0.0125,0.9875,0.0,0.0,0.0,0.0125,0.0125,0.05,0.2625,0.425,0.0,0.0,0.0,0.0,0.0,0.0375,0.0875,0.1,0.7625,0.225,0.0,0.0,80.0
49,E02000057,0.0,0.9782608695652174,0.0,0.0,0.0,0.021739130434782608,0.043478260869565216,0.08695652173913043,0.1956521739130435,0.17391304347826086,0.0,0.0,0.0,0.0,0.08695652173913043,0.17391304347826086,0.17391304347826086,0.021739130434782608,0.5217391304347826,0.45652173913043476,0.0,0.021739130434782608,46.0
50,E02000058,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.4,0.0,0.0,5.0
51,E02000059,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.6,0.2,0.0,5.0
52,E02000060,0.0070921985815602835,0.9858156028368794,0.0,0.0,0.0,0.014184397163120567,0.04964539007092199,0.014184397163120567,0.05673758865248227,0.48226950354609927,0.0,0.0,0.0,0.02127659574468085,0.10638297872340426,0.04964539007092199,0.07801418439716312,0.11347517730496454,0.6170212765957447,0.36879432624113473,0.0,0.0070921985815602835,141.0
53,E02000061,0.0,0.9831932773109243,0.0,0.0,0.0,0.0,0.01680672268907563,0.07563025210084033,0.08403361344537816,0.33613445378151263,0.0,0.01680672268907563,0.0,0.0,0.05042016806722689,0.1092436974789916,0.14285714285714285,0.15126050420168066,0.5126050420168067,0.47058823529411764,0.01680672268907563,0.0,119.0
54,E02000062,0.0,0.8571428571428571,0.0,0.47619047619047616,0.047619047619047616,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.6190476190476191,0.23809523809523808,0.0,0.14285714285714285,21.0
55,E02000063,0.0,0.9864864864864865,0.0,0.0,0.0,0.02702702702702703,0.013513513513513514,0.05405405405405406,0.14864864864864866,0.2972972972972973,0.0,0.0,0.02702702702702703,0.04054054054054054,0.02702702702702703,0.12162162162162163,0.16216216216216217,0.06756756756756757,0.5405405405405406,0.44594594594594594,0.0,0.013513513513513514,74.0
56,E02000064,0.0,1.0,0.0,0.4,0.0375,0.0,0.05,0.0,0.0,0.0,0.0,0.3625,0.1,0.0125,0.025,0.0125,0.0,0.0,0.4875,0.5125,0.0,0.0,80.0
57,E02000065,0.0,1.0,0.0,0.0,0.0,0.02040816326530612,0.08163265306122448,0.04081632653061224,0.1836734693877551,0.2653061224489796,0.0,0.0,0.0,0.0,0.04081632653061224,0.20408163265306123,0.12244897959183673,0.04081632653061224,0.5918367346938775,0.40816326530612246,0.0,0.0,49.0
58,E02000066,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,0.11627906976744186,0.20930232558139536,0.0,0.0,0.0,0.0,0.046511627906976744,0.23255813953488372,0.20930232558139536,0.09302325581395349,0.4186046511627907,0.5813953488372093,0.0,0.0,43.0
59,E02000067,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.5714285714285714,7.0
60,E02000068,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.0,0.0,0.0,1.0,0.0,0.0,11.0
61,E02000069,0.0,1.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.37037037037037035,0.0,0.0,0.0,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.5185185185185185,0.48148148148148145,0.0,0.0,27.0
62,E02000071,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,1.0,0.0,0.0,7.0
63,E02000072,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,4.0
64,E02000074,0.0,0.9642857142857143,0.0,0.0,0.03571428571428571,0.07142857142857142,0.0,0.03571428571428571,0.21428571428571427,0.32142857142857145,0.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.6785714285714286,0.2857142857142857,0.0,0.03571428571428571,28.0
65,E02000077,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0547945205479452,0.3013698630136986,0.410958904109589,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.1095890410958904,0.0958904109589041,0.7671232876712328,0.2328767123287671,0.0,0.0,73.0
66,E02000078,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.37735849056603776,0.4716981132075472,0.0,0.0,0.0,0.0,0.0,0.0,0.05660377358490566,0.05660377358490566,0.8867924528301887,0.11320754716981132,0.0,0.0,53.0
67,E02000079,0.031746031746031744,0.9470899470899471,0.0,0.0,0.005291005291005291,0.0,0.005291005291005291,0.042328042328042326,0.164021164021164,0.4497354497354497,0.0,0.0,0.0,0.0,0.005291005291005291,0.031746031746031744,0.164021164021164,0.07936507936507936,0.6666666666666666,0.2804232804232804,0.0,0.021164021164021163,189.0
68,E02000081,0.02,0.98,0.0,0.0,0.0,0.0,0.0,0.02,0.2,0.56,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.16,0.78,0.2,0.0,0.0,50.0
69,E02000083,0.0,0.9090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.13636363636363635,0.045454545454545456,0.22727272727272727,0.0,0.0,0.0,0.4090909090909091,0.5,0.09090909090909091,0.0,22.0
70,E02000085,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
71,E02000086,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.5,0.0,0.0,4.0
72,E02000087,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.36363636363636365,0.0,0.45454545454545453,0.45454545454545453,0.0,0.09090909090909091,11.0
73,E02000089,0.0,1.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0873015873015873,0.25396825396825395,0.3888888888888889,0.0,0.0,0.015873015873015872,0.0,0.0,0.03968253968253968,0.1111111111111111,0.07936507936507936,0.753968253968254,0.24603174603174602,0.0,0.0,126.0
74,E02000090,0.005263157894736842,0.9868421052631579,0.0,0.24210526315789474,0.0,0.0,0.005263157894736842,0.02894736842105263,0.11578947368421053,0.26052631578947366,0.0,0.18947368421052632,0.005263157894736842,0.0,0.007894736842105263,0.034210526315789476,0.05789473684210526,0.039473684210526314,0.6526315789473685,0.33421052631578946,0.002631578947368421,0.005263157894736842,380.0
75,E02000091,0.0,1.0,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.0,0.028169014084507043,0.04225352112676056,0.23943661971830985,0.29577464788732394,0.014084507042253521,0.056338028169014086,0.0,0.0,0.09859154929577464,0.028169014084507043,0.04225352112676056,0.11267605633802817,0.647887323943662,0.352112676056338,0.0,0.0,71.0
76,E02000092,0.0,1.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.019230769230769232,0.057692307692307696,0.25,0.0,0.0,0.038461538461538464,0.057692307692307696,0.1346153846153846,0.1346153846153846,0.11538461538461539,0.11538461538461539,0.40384615384615385,0.5961538461538461,0.0,0.0,52.0
