,GEOGRAPHY_CODE,Bad health,Fair health,Good health,Total: All usual residents,Very bad health,Very good health
3937,E02004110,0.029140688533477906,0.1181892111683383,0.346706424505286,7378.0,0.008809975603144483,0.4971537001897533
3938,E02004111,0.05965038745719949,0.1713822310326185,0.34240403676338077,5549.0,0.016939989187240944,0.40962335555956025
3939,E02004112,0.041128646580583454,0.1516021042563367,0.36170891120675913,6273.0,0.011637175195281365,0.43392316276103937
3940,E02004113,0.06977199334572855,0.18025247088756238,0.34778354046384186,10219.0,0.02045209903121636,0.38173989627165084
3941,E02004114,0.036005194191949,0.14366662731672766,0.3482469602172117,8471.0,0.010624483532050526,0.46145673474206117
3942,E02004115,0.05731472023606855,0.1634320735444331,0.344796277380547,8811.0,0.013619339462036091,0.42083758937691523
3943,E02004116,0.07406974022934706,0.19003042358998362,0.33875497308682423,8546.0,0.020009361104610345,0.37713550198923473
3944,E02004117,0.055314936270263584,0.1606236851874768,0.332508352926618,8081.0,0.014602153198861528,0.4369508724167801
3945,E02004118,0.02774176821363754,0.11394866476536168,0.33056779880736326,7714.0,0.007518796992481203,0.5202229712211563
3946,E02004119,0.024295922656578393,0.10416141235813367,0.34258091635140814,11895.0,0.0058848255569567045,0.5230769230769231
3947,E02004120,0.027973306517963252,0.11591553158423988,0.3448212816528019,10939.0,0.007130450681049456,0.5041594295639455
3948,E02004121,0.030146425495262703,0.10777347114556417,0.33290267011197244,9288.0,0.008613264427217916,0.5205641688199828
3949,E02004122,0.025882012724117987,0.1064198958935801,0.33718912666281087,6916.0,0.005349913244650087,0.525159051474841
3950,E02004123,0.03354514555933205,0.11408305009605438,0.33707699128121765,6767.0,0.013447613418058224,0.5018471996453376
3951,E02004124,0.04497949464214843,0.14922608810689245,0.35904220134938486,7559.0,0.013229263130043656,0.43352295277153063
3952,E02004125,0.05294049948210381,0.15813097019219702,0.36540453446886867,8689.0,0.012774772701116354,0.4107492231557141
3953,E02004126,0.05088614393125671,0.16742749731471537,0.34559613319011817,7448.0,0.015440386680988185,0.42064983888292157
3954,E02004128,0.03957116708794561,0.1403294691885296,0.3488189662686307,11473.0,0.012899851826026322,0.45838054562886776
3955,E02004129,0.02960039467192896,0.1322150962012827,0.35487584278901496,6081.0,0.0050978457490544315,0.47821082058871894
3956,E02004130,0.0508749189889825,0.1722294232015554,0.3614711600777706,6172.0,0.013933895009721323,0.4014906027219702
3957,E02004131,0.0366120218579235,0.14225865209471766,0.3744990892531876,5490.0,0.010382513661202186,0.43624772313296906
3958,E02004132,0.03035754441196312,0.1100742073307848,0.32943557454463684,8894.0,0.008657521924893186,0.5214751517877221
3959,E02004133,0.043101691461177906,0.15080497248828204,0.3676380680660281,9814.0,0.009374363154676992,0.4290809048298349
3960,E02004135,0.03588516746411483,0.1417464114832536,0.3631578947368421,8360.0,0.011244019138755982,0.4479665071770335
3961,E02004136,0.030654166227746762,0.11745496681765512,0.3339302644053513,9493.0,0.008953966080269672,0.5090066364689771
3962,E02004137,0.030422535211267605,0.13446009389671362,0.3652582159624413,5325.0,0.007887323943661971,0.4619718309859155
3963,E02004138,0.05630689206762029,0.18985695708712613,0.3782834850455137,7690.0,0.015214564369310794,0.3603381014304291
3964,E02004139,0.043118218161050825,0.14962878355225587,0.373929183323815,7004.0,0.011136493432324385,0.422187321530554
3965,E02004140,0.041145240803943876,0.1812665908229048,0.372772089495639,5274.0,0.011566173682214638,0.3932499051952977
3966,E02004141,0.03467561521252797,0.11760945989133909,0.3344519015659955,6258.0,0.008469159475870885,0.5047938638542665
3967,E02004142,0.02566510172143975,0.11721439749608764,0.3392801251956182,6390.0,0.005164319248826291,0.5126760563380282
3968,E02004143,0.04209364653949235,0.13589784013873563,0.34794261390509224,6343.0,0.00882862998581113,0.4652372694308687
3969,E02004144,0.037441724941724944,0.14583333333333334,0.3534382284382284,6864.0,0.010343822843822844,0.45294289044289043
3970,E02004145,0.043236161152964296,0.1487061906321651,0.37422207664592205,6106.0,0.009007533573534229,0.42482803799541435
3971,E02004146,0.04321887843033276,0.14145565424897255,0.3416412567943789,7543.0,0.011666445711255469,0.4620177648150603
3972,E02004147,0.04416403785488959,0.13679380556352166,0.35460281043877256,6974.0,0.012761686263263551,0.4516776598795526
3973,E02004148,0.05619855967078189,0.17219650205761317,0.35378086419753085,7776.0,0.01646090534979424,0.40136316872427985
3974,E02004149,0.01825576140985088,0.07681879801174876,0.3263443289652056,11065.0,0.008676005422503389,0.5699051061906913
3975,E02004150,0.040586245772266064,0.12429537767756482,0.3355411499436302,7096.0,0.008596392333709131,0.49098083427282974
3976,E02004151,0.039205955334987594,0.12476426799007444,0.31821339950372207,10075.0,0.013101736972704715,0.5047146401985112
3977,E02004152,0.026713243604233022,0.085996095756704,0.3080242474057331,9733.0,0.004828932497688277,0.5744374807356416
3978,E02004153,0.034326165353279016,0.13182850273807933,0.34726859890476824,7487.0,0.009082409509817016,0.47749432349405635
3979,E02004154,0.03508137432188065,0.10150693188667873,0.3163351416515974,8295.0,0.006268836648583484,0.5408077154912598
3980,E02004155,0.04772757742324708,0.1367475532913259,0.330205121329937,7459.0,0.017026411047057245,0.4682933369084328
3981,E02004156,0.03965932553337922,0.1174294562973159,0.3439435650378527,11624.0,0.011097728836889195,0.487869924294563
3982,E02004157,0.030097699338165775,0.10337220296249607,0.3020800504254649,6346.0,0.010085092971950834,0.5543649543019225
3983,E02004158,0.03943452380952381,0.12586805555555555,0.34486607142857145,8064.0,0.011284722222222222,0.478546626984127
3984,E02004159,0.02498237919962409,0.09186310595974626,0.32688542564022244,12769.0,0.00759652282872582,0.5486725663716814
3985,E02004160,0.041175655067239705,0.15097740191321227,0.3434077360321641,7213.0,0.013032025509496743,0.45140718147788716
3986,E02004161,0.05063291139240506,0.1467148884870404,0.3291139240506329,8295.0,0.01289933694996986,0.4606389391199518
3987,E02004162,0.04110181713296798,0.1313815979232766,0.3289587539659648,6934.0,0.012835304297663686,0.4857225266801269
3988,E02004163,0.039500787592390646,0.12734763116442505,0.3407245849993942,8253.0,0.010178117048346057,0.48224887919544407
3989,E02004164,0.03689548728502132,0.12273996766132589,0.3433779215052183,6803.0,0.011318535940026459,0.48566808760840807
3990,E02004165,0.03492564218116269,0.1389139251915277,0.35691753041910773,8876.0,0.007435781883731411,0.46180712032447047
3991,E02004166,0.036135693215339236,0.12300884955752213,0.3271386430678466,6780.0,0.01047197640117994,0.5032448377581121
3992,E02004167,0.05024424284717376,0.13900907187718073,0.35882763433356596,7165.0,0.01270062805303559,0.43921842288904395
3993,E02004168,0.048936510474972016,0.15656484887254118,0.3579082040620502,6253.0,0.015032784263553494,0.4215576523268831
3994,E02004169,0.0341688654353562,0.12018469656992084,0.3482849604221636,7580.0,0.008970976253298154,0.4883905013192612
3995,E02004170,0.03712534059945504,0.13873751135331516,0.3576294277929155,8808.0,0.012034514078110809,0.45447320617620346
3996,E02004171,0.03063380281690141,0.115962441314554,0.3288732394366197,8520.0,0.010328638497652582,0.5142018779342723
3997,E02004172,0.03230769230769231,0.13230769230769232,0.3516923076923077,6500.0,0.009538461538461539,0.47415384615384615
3998,E02004173,0.03577148958889482,0.13080619327282433,0.33929524826481583,7492.0,0.009476775226908703,0.4846502936465563
3999,E02004174,0.03577618222332261,0.13827680118841298,0.3608566476850706,8078.0,0.009903441445902451,0.4551869274572914
4000,E02004175,0.06294929084903828,0.1628132892947348,0.3357295511948708,5147.0,0.0172916261900136,0.42121624247134254
4001,E02004176,0.03880704275961193,0.1487603305785124,0.35429392741645704,5566.0,0.011857707509881422,0.4462809917355372
4002,E02004177,0.051443123938879454,0.1538200339558574,0.33531409168081494,5890.0,0.012393887945670628,0.4470288624787776
4003,E02004178,0.029104051740536426,0.1067148563819669,0.30873121552216093,5257.0,0.010842685942552787,0.5446071904127829
4004,E02004179,0.03519061583577713,0.1253394156619963,0.3062886933854676,9207.0,0.011187140219398284,0.5219941348973607
4005,E02004180,0.03823122984799632,0.12052817442038999,0.3282665438354061,6513.0,0.009212344541685858,0.5037617073545217
4006,E02004181,0.04661312849162011,0.14315642458100558,0.32733938547486036,5728.0,0.01204608938547486,0.4708449720670391
4007,E02004182,0.058673469387755105,0.15146683673469388,0.35347576530612246,6272.0,0.016262755102040817,0.42012117346938777
4008,E02004183,0.052874743326488706,0.15896646132785763,0.34223134839151265,5844.0,0.01642710472279261,0.42950034223134836
4009,E02004184,0.05057229619247839,0.13384723195515066,0.34781593085727636,8562.0,0.013548236393366036,0.45421630460172857
4010,E02004185,0.043744401313825024,0.1491489997014034,0.34846222753060613,6698.0,0.011197372349955211,0.4474469991042102
4011,E02004186,0.03691308199625947,0.12235456245693474,0.3257210355349936,10159.0,0.009548183876365784,0.5054631361354464
4012,E02004187,0.042689732142857144,0.1382998511904762,0.34337797619047616,10752.0,0.015066964285714286,0.46056547619047616
4013,E02004188,0.039897406668566546,0.15089769165004274,0.3555143915645483,7018.0,0.014106583072100314,0.4395839270447421
4014,E02004189,0.03342028040430388,0.12031300945549397,0.3288229540267362,6134.0,0.010596674274535377,0.5068470818389306
