,GEOGRAPHY_CODE,Living in a couple,Living in a couple: Cohabiting,Living in a couple: Cohabiting: Opposite-sex couple,Living in a couple: Cohabiting: Same-sex couple,Living in a couple: Married or in a civil partnership,Living in a couple: Married or in a civil partnership: Opposite-sex couple,Living in a couple: Married or in a civil partnership: Same-sex couple,"Living in a couple: Separated, but still married or in a civil partnership",Not living in a couple,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,Not living in a couple: Married or in a registered civil partnership,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),Not living in a couple: Single (never married and never registered a civil partnership),Not living in a couple: Widowed or surviving partner from a civil partnership,Total: All usual residents
11,E02000013,0.47430376112546657,0.10436405397645708,0.10163652024117141,0.0027275337352856734,0.3683606086706862,0.3676428366350847,0.000717772035601493,0.0015790984783232845,0.5256962388745334,0.07737582543784094,0.03229974160206718,0.024260694803330464,0.34280792420327305,0.04895205282802182,6966.0
12,E02000014,0.47502369026668473,0.1154731284689319,0.11019358332205226,0.0052795451468796535,0.35711384865303913,0.35657235684310273,0.0005414918099363748,0.0024367131447136864,0.5249763097333153,0.0728306484364424,0.036821443075673484,0.02693921754433464,0.34195207797482063,0.04643292270204413,7387.0
13,E02000015,0.44237794752573895,0.11524410494852208,0.10993025572899369,0.005313849219528396,0.32414480239123217,0.3228163400863501,0.001328462304882099,0.0029890401859847225,0.557622052474261,0.08817668548654932,0.02889405513118565,0.031883095317170373,0.37147127200265695,0.03719694453669877,6022.0
14,E02000016,0.5135991550039609,0.10826511750726169,0.09294956429891735,0.015315553208344336,0.40335357803010297,0.39939265909691046,0.003960918933192501,0.0019804594665962503,0.4864008449960391,0.0625825191444415,0.04621072088724584,0.024953789279112754,0.3353578030102984,0.017296012674940586,7574.0
15,E02000017,0.47766661969846413,0.06833873467662392,0.06608426095533323,0.0022544737212906864,0.4073552205157109,0.40608707904748487,0.0012681414682260109,0.0019726645061293505,0.5223333803015359,0.07073411300549529,0.05481189234887981,0.01662674369451881,0.34113005495279697,0.03903057629984501,7097.0
16,E02000018,0.48034310221586846,0.1080771979985704,0.10264474624731951,0.0054324517512508936,0.37026447462473194,0.3699785561115082,0.0002859185132237312,0.0020014295925661185,0.5196568977841315,0.06547533952823445,0.033166547533952824,0.026304503216583272,0.35139385275196566,0.04331665475339528,6995.0
17,E02000019,0.4985632183908046,0.11120689655172414,0.10862068965517241,0.002586206896551724,0.38491379310344825,0.38318965517241377,0.0017241379310344827,0.002442528735632184,0.5014367816091954,0.06408045977011494,0.02600574712643678,0.026436781609195402,0.3484195402298851,0.03649425287356322,6960.0
18,E02000020,0.506140350877193,0.10029239766081871,0.09619883040935673,0.004093567251461989,0.4039961013645224,0.4016569200779727,0.0023391812865497076,0.001851851851851852,0.493859649122807,0.05838206627680312,0.04200779727095517,0.023294346978557506,0.3351851851851852,0.034990253411306044,10260.0
19,E02000021,0.4802998883394481,0.11086297655128409,0.10815122029031743,0.0027117562609666615,0.36704418567554636,0.36608709523049926,0.000957090445047057,0.002392726112617642,0.519700111660552,0.07034614771095869,0.03270059020577445,0.02823416812888818,0.33657680650821503,0.051842399106715585,6269.0
20,E02000022,0.4664934100612586,0.11323556710599592,0.10358269909040282,0.009652868015593095,0.35158715426025616,0.3499164655652497,0.001670688695006497,0.001670688695006497,0.5335065899387414,0.06441433079636161,0.031000556896231667,0.033413773900129944,0.3863003527009467,0.01837757564507147,5387.0
