,GEOGRAPHY_CODE,Address one year ago is student term-time or boarding school address in the UK,Address one year ago is the same as the address of enumeration,Migrant from outside the UK: Address one year ago was outside the UK,Migrant from within the UK: Address one year ago was in the UK,Total: All usual residents
3939,E02004112,0.0019255455712451862,0.9351732991014121,0.0019255455712451862,0.06097560975609756,6232.0
3940,E02004113,0.000594118229527676,0.9152391325873849,0.0024754926230319834,0.08169125656005545,10099.0
3941,E02004114,0.00107053645771381,0.8852147020340193,0.002735815391935292,0.11097894611633163,8407.0
3942,E02004115,0.0011409013120365088,0.9291500285225328,0.002852253280091272,0.06685681688533941,8765.0
3943,E02004116,0.0013010053222945004,0.906682436428149,0.0028385570668243644,0.08917800118273211,8455.0
3944,E02004117,0.0012479720454261825,0.9215025583426931,0.0016223636590540372,0.07562710595282665,8013.0
3945,E02004118,0.0017044709584371313,0.8746558279795463,0.0034089419168742627,0.12023075914514225,7627.0
3946,E02004119,0.001953125,0.8963145380434783,0.0038213315217391305,0.09791100543478261,11776.0
3947,E02004120,0.0009262689885142645,0.9034827713968137,0.005557613931085587,0.09003334568358651,10796.0
3948,E02004121,0.0018516501470428057,0.9000108920596885,0.004138982681625095,0.09399847511164361,9181.0
3949,E02004122,0.006844327945245377,0.8881607688947138,0.004077471967380225,0.10091743119266056,6867.0
3950,E02004123,0.002676977989292088,0.9171624033313504,0.002676977989292088,0.07748364069006544,6724.0
3951,E02004124,0.0010688042752171009,0.9322645290581162,0.0022712090848363395,0.06439545758183032,7485.0
3952,E02004125,0.0009281819236570367,0.9064856711915535,0.0018563638473140735,0.09072978303747535,8619.0
3953,E02004126,0.0006778741865509761,0.911062906724512,0.001220173535791757,0.08703904555314533,7376.0
3954,E02004128,0.001320190107375462,0.9127794402393945,0.0023763421932758316,0.08352402745995423,11362.0
3955,E02004129,0.0014925373134328358,0.9038142620232172,0.007131011608623549,0.08756218905472637,6030.0
3956,E02004130,0.001143603986276752,0.9085116810978598,0.0052279039372651525,0.08511681097859827,6121.0
3957,E02004131,0.001836210062431142,0.9109438119720896,0.0033051781123760557,0.0839147998531032,5446.0
3958,E02004132,0.003285746657602538,0.9112848402447314,0.0035123498753682303,0.08191706322229776,8826.0
3959,E02004133,0.0014395886889460154,0.8919280205655526,0.005655526992287918,0.10097686375321337,9725.0
3960,E02004135,0.0024035572647518326,0.9105876697512318,0.004206225213315707,0.08280254777070063,8321.0
