,GEOGRAPHY_CODE,"L1, L2 and L3 Higher managerial, administrative and professional occupations",L10 and L11 Lower supervisory and technical occupations,L12 Semi-routine occupations,L13 Routine occupations,L14.1 and L14.2 Never worked and long-term unemployed,L15 Full-time students,"L4, L5 and L6 Lower managerial, administrative and professional occupations",L7 Intermediate occupations,L8 and L9 Small employers and own account workers,Total: All usual residents aged 16 years and over
6478,E02006729,0.09697855750487329,0.06920077972709551,0.1539961013645224,0.15789473684210525,0.06692657569850552,0.04467186484730344,0.1903833658219623,0.1333658219623132,0.08658219623131903,6156.0
6479,E02006730,0.057421875,0.06640625,0.1900390625,0.2017578125,0.09765625,0.0578125,0.14765625,0.106640625,0.074609375,5120.0
6480,E02006731,0.10823630875377317,0.06748598533850798,0.15135834411384216,0.1313065976714101,0.061233290211297975,0.04139715394566624,0.203751617076326,0.1328158689090125,0.10241483398016386,4638.0
6481,E02006732,0.14587266174703964,0.06418397116869744,0.1239059550368972,0.10073794405354385,0.05440192208683714,0.04616440707053372,0.22996396087180368,0.13454607859962245,0.10022309936502488,5827.0
6482,E02006733,0.1738184694482895,0.05299584734032035,0.1008503065058335,0.08404192208819458,0.053193593039351394,0.045679256476171645,0.23848131303144157,0.12022938501087602,0.13070990705952146,5057.0
6483,E02006734,0.15846994535519127,0.051691035297592676,0.09644070299808005,0.08137645842563876,0.04401122433909319,0.0530202333481022,0.2739624870772412,0.1329198050509526,0.10810810810810811,6771.0
6484,E02006735,0.04948601482189816,0.07506574229022232,0.1888596700932345,0.24503944537413339,0.1400908438919436,0.04805163758068372,0.10136265837915372,0.08893138895529525,0.06311259861343534,4183.0
6485,E02006736,0.16283846872082167,0.059757236227824466,0.11783380018674136,0.0965452847805789,0.04201680672268908,0.047619047619047616,0.24687208216619982,0.1469654528478058,0.07955182072829131,5355.0
6486,E02006737,0.12547142442703801,0.05700609225413403,0.12967798085291557,0.12895271250362633,0.05802146794313896,0.054540179866550624,0.2258485639686684,0.13257905425007252,0.08790252393385553,6894.0
6487,E02006738,0.058881394041596403,0.06913996627318718,0.16160764474423833,0.22723440134907252,0.1045531197301855,0.06281618887015177,0.13139404159640247,0.09865092748735245,0.08572231590781337,7116.0
6488,E02006739,0.09701202949165696,0.04074505238649592,0.08129608071400854,0.08381839348079162,0.04714784633294528,0.3009313154831199,0.17171129220023282,0.10128055878928988,0.07605743112145906,5154.0
6489,E02006740,0.12698652943847435,0.05130921749659452,0.11094293930679583,0.12199182685031028,0.06614197063720297,0.121537762978659,0.20947479945512334,0.10655365521416679,0.08506129862267292,6607.0
6490,E02006741,0.16172344689378756,0.05130260521042084,0.10721442885771543,0.09759519038076152,0.045490981963927854,0.05531062124248497,0.25851703406813625,0.14889779559118235,0.07394789579158316,4990.0
6491,E02006742,0.0715158094721129,0.06310218482833492,0.13828199212918985,0.15348079793730493,0.07463699280770797,0.15782331388248066,0.16094449721807572,0.09634957253358664,0.08386483919120641,7369.0
6492,E02006743,0.07631189948263119,0.06596452328159645,0.15003695491500368,0.1860679970436068,0.09405025868440503,0.060790835181079084,0.17165558019216556,0.11104951958610496,0.08407243163340725,5412.0
6493,E02006744,0.11843790012804098,0.057458386683738795,0.11731754161331626,0.146606914212548,0.09010883482714468,0.0761843790012804,0.21142765685019207,0.09090909090909091,0.09154929577464789,6248.0
6494,E02006745,0.1306250854876214,0.05690056079879634,0.12241827383394885,0.10832991382847763,0.05799480235261934,0.06524415264669675,0.2232252769798933,0.13527561209136918,0.0999863219805772,7311.0
6495,E02006746,0.16666666666666666,0.04970525187566988,0.10329581993569131,0.08815648445873527,0.06109324758842444,0.05627009646302251,0.2540192926045016,0.12915326902465166,0.09163987138263666,7464.0
6496,E02006747,0.15603885135135134,0.05384290540540541,0.12267736486486487,0.09691722972972973,0.04307432432432432,0.04983108108108108,0.24767736486486486,0.1501266891891892,0.07981418918918919,4736.0
6497,E02006748,0.17540181691125087,0.05129280223619846,0.08651292802236199,0.08791055206149546,0.06009783368273934,0.0443046820405311,0.23535988819007686,0.11558350803633823,0.1435359888190077,7155.0
6498,E02006749,0.07901524032825323,0.06822977725674091,0.15615474794841736,0.18640093786635403,0.08909730363423213,0.06330597889800703,0.15685814771395076,0.10621336459554513,0.09472450175849942,4265.0
6499,E02006750,0.1364716044050961,0.06283740012956165,0.1330166270783848,0.12934571366875405,0.060893975383286544,0.031958540272079464,0.21291297775858345,0.12826603325415678,0.10429712805009717,4631.0
6500,E02006751,0.11432676518883415,0.05931855500821018,0.14655172413793102,0.13916256157635468,0.07820197044334976,0.04433497536945813,0.19642857142857142,0.1221264367816092,0.09954844006568145,4872.0
6501,E02006752,0.18434528163862474,0.044330651060716895,0.10402340892465252,0.06964155084125823,0.042574981711777614,0.05193855157278712,0.251353328456474,0.15098756400877836,0.1008046817849305,6835.0
6502,E02006753,0.18775644181848022,0.0471032332184474,0.08780567864762842,0.08600032824552765,0.05301165271623174,0.04775972427375677,0.2294436238306253,0.11866075824716889,0.14245855900213358,6093.0
6503,E02006754,0.21493995522084267,0.03907999185833503,0.06533686138815388,0.06431915326684307,0.03785874211276206,0.04803582332587014,0.24526765723590474,0.11276205984123754,0.1723997557500509,4913.0
6504,E02006755,0.20404120443740095,0.03625198098256735,0.07369255150554675,0.06002377179080824,0.042194928684627576,0.04536450079239303,0.25217908082408874,0.11588748019017432,0.17036450079239301,5048.0
6505,E02006756,0.1792799412196914,0.04996326230712711,0.0944158706833211,0.0799044819985305,0.04463629684055841,0.05547391623806025,0.24559147685525348,0.1245407788390889,0.12619397501836885,5444.0
6506,E02006757,0.17502380196762932,0.04950809266899397,0.09631862900666455,0.08600444303395748,0.0561726436052047,0.046175817200888605,0.22262773722627738,0.10583941605839416,0.16232941923198985,6302.0
6507,E02006758,0.13358988455195162,0.058823529411764705,0.10207073483599047,0.13652189847901777,0.06743632032252153,0.037016675829210186,0.2013927066153564,0.10866776617188932,0.15448048378229798,5457.0
6508,E02006759,0.13174332765474162,0.057637705848949464,0.12890403180011356,0.1303236797274276,0.06615559341283361,0.038756388415672915,0.21024985803520727,0.12081203861442362,0.11541737649063033,7044.0
6509,E02006760,0.13525615698669827,0.05663110759910444,0.11378901619913077,0.12432503621756881,0.06150401685763203,0.03819307256683788,0.2016330831028579,0.12090082971157645,0.14776768075859345,7593.0
6510,E02006761,0.06433301797540208,0.08514664143803216,0.1498580889309366,0.2550614947965941,0.07473982970671712,0.035383159886471144,0.14512771996215704,0.09536423841059603,0.09498580889309366,5285.0
6511,E02006762,0.12028421586871933,0.06851632549484013,0.12705126036203687,0.14143122991033666,0.0622568093385214,0.04195567585856877,0.2096092031805109,0.11334799526306885,0.11554728472339705,5911.0
6512,E02006763,0.12351233671988389,0.0690856313497823,0.13657474600870828,0.1471698113207547,0.04702467343976778,0.04905660377358491,0.20333817126269957,0.11843251088534107,0.10580551523947751,6890.0
6513,E02006764,0.08116677235256817,0.08560558021559923,0.14986260832804904,0.20333967448742338,0.07059818220249418,0.04121750158528852,0.16634960896216444,0.10441767068273092,0.0974424011836821,4731.0
6514,E02006765,0.1578852073148651,0.050334962882491396,0.11750860039833425,0.09270324099221437,0.050153901864928484,0.028788701792504073,0.21310881767155532,0.11298207495926127,0.17653449212384573,5523.0
6515,E02006766,0.20837665230952027,0.043665527996435465,0.08450913411555028,0.06638942521907025,0.04693301648596465,0.04440813901678301,0.23822961532749146,0.11495618594979949,0.15253230357938513,6733.0
6516,E02006767,0.16041381029540072,0.04661597906020192,0.0982176243300511,0.09397980805185092,0.06755577714072043,0.0562133865137729,0.21637791349869126,0.10856288171506917,0.15206281939424154,8023.0
6517,E02006768,0.08685891901226041,0.06527370056984977,0.15126921084441375,0.1576584355033673,0.07062683474356761,0.03833534795372129,0.18286997064410293,0.13849076152650666,0.10861681920221032,5791.0
6518,E02006769,0.11131725417439703,0.07151290268173385,0.12868949232585597,0.126496879743633,0.0590318772136954,0.04520155169505819,0.2135267330072525,0.1303761173891044,0.11384719176926969,5929.0
6519,E02006770,0.07398966879367973,0.07247037374658159,0.16940139775144333,0.18018839258584016,0.11121239744758432,0.06137951990276512,0.14494074749316319,0.09206927985414767,0.09434822242479489,6582.0
6520,E02006771,0.12852447673412903,0.05864037363777893,0.10984258778758,0.12004843452689846,0.07490053623940494,0.043937035115032004,0.21363085971285245,0.11174537277287666,0.1387303234734475,5781.0
6521,E02006772,0.10071942446043165,0.07446043165467627,0.1422661870503597,0.14406474820143886,0.08273381294964029,0.04226618705035971,0.18471223021582733,0.12086330935251799,0.1079136690647482,5560.0
6522,E02006773,0.0944468736335811,0.06442209590438712,0.14560559685177088,0.16688529368896662,0.08336977117038333,0.04576592333479085,0.1785454015449643,0.11762133799737648,0.10333770587377933,6861.0
6523,E02006774,0.0899821977666289,0.06926687166208124,0.15876355397313482,0.16523709338080594,0.07460754167340994,0.044181906457355556,0.1814209418999838,0.11441980903058747,0.1021200841560123,6179.0
6524,E02006775,0.06117696867061812,0.07430143945808637,0.16955969517358171,0.20512277730736664,0.12108382726502964,0.05228619813717189,0.1354784081287045,0.09081287044877223,0.09017781541066892,4724.0
6525,E02006776,0.12199664742037623,0.06258148631029987,0.1294468243620786,0.1253492270441423,0.05922890668653381,0.04134848202644813,0.21568262246228348,0.14136710746880238,0.10299869621903521,5369.0
6526,E02006777,0.1476986128625473,0.057849936948297605,0.10576923076923077,0.09883354350567465,0.06431273644388398,0.04145649432534679,0.22194199243379573,0.11711853720050441,0.1450189155107188,6344.0
6527,E02006778,0.10154002369267219,0.07192418344897614,0.14097139955999324,0.14350990015231005,0.06583178202741581,0.03740057539346759,0.19952614655610088,0.13437129801996953,0.1049246911490946,5909.0
6528,E02006779,0.11015251887228471,0.06624557079032506,0.13110460637806193,0.1306424279771992,0.07872438761361886,0.043906948081959635,0.19750423663534125,0.1209366815590818,0.12078262209212756,6491.0
6529,E02006780,0.08205536745668193,0.07608046205935072,0.15275841465843457,0.17924716191993625,0.09101772555267874,0.033061143198566026,0.17028480382393946,0.11073491336387174,0.10476000796654053,5021.0
6530,E02006781,0.10456383593298671,0.07914500288850375,0.10687463893703061,0.09647602541883304,0.030618139803581745,0.01848642403235124,0.21028307336799537,0.09243212016175621,0.2611207394569613,1731.0
6531,E02006782,0.16651291512915128,0.04305043050430504,0.09778597785977859,0.07118696186961869,0.0761070110701107,0.06472939729397294,0.23062730627306274,0.12484624846248463,0.12515375153751537,6504.0
6532,E02006783,0.0788135593220339,0.053389830508474574,0.12694915254237288,0.128135593220339,0.12627118644067797,0.09593220338983051,0.168135593220339,0.1047457627118644,0.1176271186440678,5900.0
6533,E02006784,0.08920409771473602,0.047911741528762805,0.12498029944838455,0.12151300236406619,0.1297084318360914,0.0876280535855004,0.17336485421591805,0.1095350669818755,0.11615445232466509,6345.0
6534,E02006785,0.12157153446997776,0.05967383246849518,0.10693106004447739,0.11434395848776872,0.08876945885841364,0.060044477390659746,0.19644180874722017,0.14455151964418086,0.10767234988880653,5396.0
6535,E02006786,0.0965705511004948,0.05579252687254735,0.14093158164135813,0.11448558266507422,0.11277938918273332,0.08377409998293807,0.18222146391400784,0.1132912472274356,0.10015355741341068,5861.0
6536,E02006787,0.22113821138211381,0.03447154471544715,0.07560975609756097,0.059024390243902436,0.05430894308943089,0.05951219512195122,0.25626016260162604,0.1286178861788618,0.11105691056910569,6150.0
6537,E02006788,0.12390276839972991,0.038318703578663064,0.1186698176907495,0.09098582039162728,0.09756920999324781,0.08659689399054693,0.21218771100607697,0.12035786630654963,0.11141120864280891,5924.0
6538,E02006789,0.1468358893001939,0.04459721487748986,0.08866560902520712,0.06627886479816676,0.06169575180680416,0.047770139256125506,0.22827428168517538,0.15089018156178388,0.16499206768905342,5673.0
6539,E02006790,0.15959980943306337,0.046530093695410515,0.09512466253771637,0.06939812609178975,0.057805304113069715,0.04859456884230586,0.23233285691599173,0.1389550579641099,0.1516595204065428,6297.0
6540,E02006791,0.27821688270629147,0.030034777110338286,0.055643376541258296,0.05437875434713879,0.06528612077141954,0.06133417641479608,0.26319949415112237,0.07793234271261461,0.11397407524502055,6326.0
6541,E02006792,0.26827676240208875,0.027545691906005223,0.05404699738903394,0.0531331592689295,0.07114882506527415,0.07898172323759792,0.25718015665796345,0.07963446475195822,0.11005221932114882,7660.0
6542,E02006793,0.050232050232050234,0.04531804531804532,0.11725361725361726,0.1341796341796342,0.20775320775320774,0.11875511875511875,0.13704613704613705,0.08353808353808354,0.10592410592410592,7326.0
6543,E02006794,0.057211155378486055,0.047649402390438245,0.11282868525896414,0.15633466135458168,0.1754581673306773,0.1099601593625498,0.13912350597609563,0.07330677290836653,0.12812749003984064,6275.0
6544,E02006795,0.15420702179176757,0.03753026634382567,0.09019370460048426,0.07914648910411622,0.10108958837772397,0.09987893462469734,0.18356537530266342,0.12212469733656174,0.1322639225181598,6608.0
6545,E02006796,0.1556102617258357,0.05338170510494947,0.08901269759004923,0.08849442860844778,0.07968385592122311,0.05688002073075926,0.21715470329100803,0.13876651982378854,0.12101580720393884,7718.0
6546,E02006798,0.13184146670261526,0.04745214343488811,0.09166891345376112,0.10798058775950391,0.10663251550283095,0.12658398490159073,0.21744405500134809,0.08438932326772715,0.0860070099757347,7418.0
6547,E02006799,0.06287015945330296,0.05353075170842825,0.11810933940774487,0.1315489749430524,0.143621867881549,0.1070615034168565,0.14453302961275627,0.10774487471526197,0.13097949886104784,8780.0
6548,E02006800,0.10024840312278212,0.034599006387508874,0.10113555713271824,0.09616749467707594,0.1548083747338538,0.10947480482611781,0.15933286018452802,0.10069198012775017,0.143541518807665,11272.0
6549,E02006801,0.20836021158560186,0.03006063733711779,0.05883111856534641,0.0683782737711263,0.06515288349890337,0.2548058315056122,0.18397626112759644,0.06734614888401497,0.06308863372468068,7751.0
6550,E02006802,0.22080337217951898,0.02863873047359286,0.06298041160426482,0.06756756756756757,0.08814778080833127,0.21311678651128194,0.1848499876022812,0.070047111331515,0.06384825192164642,8066.0
6551,E02006803,0.1535377053421291,0.05639632647781658,0.11227525546501099,0.0953304876471349,0.0525158452981503,0.053938688397361274,0.2342517138791877,0.14124951493985255,0.10050446255335661,7731.0
6552,E02006804,0.07791247782377292,0.08116499112950917,0.15789473684210525,0.1666173861620343,0.08441750443524541,0.054257835600236545,0.16986989946777056,0.10615020697811946,0.1017149615612064,6764.0
6553,E02006805,0.05409717186366932,0.05989847715736041,0.150253807106599,0.19724437998549674,0.1129804205946338,0.09963741841914431,0.13604060913705585,0.11094996374184192,0.0788977519941987,6895.0
6554,E02006806,0.07511534025374855,0.07410611303344868,0.14561707035755478,0.16911764705882354,0.09111880046136102,0.05767012687427912,0.16738754325259517,0.12817185697808536,0.09169550173010381,6936.0
6555,E02006807,0.13959627329192548,0.048291925465838506,0.10124223602484472,0.090527950310559,0.09301242236024845,0.084472049689441,0.21195652173913043,0.13214285714285715,0.09875776397515527,6440.0
6556,E02006808,0.16164639850327409,0.052385406922357346,0.11225444340505145,0.0950420954162769,0.0617399438727783,0.0608044901777362,0.22432179607109448,0.13732460243217962,0.09448082319925163,5345.0
6557,E02006809,0.11421996124031007,0.03948643410852713,0.0998062015503876,0.1224563953488372,0.12136627906976744,0.09714147286821706,0.18507751937984496,0.11700581395348837,0.10343992248062016,8256.0
6558,E02006810,0.08097949886104784,0.0541002277904328,0.13109339407744874,0.1591116173120729,0.1214123006833713,0.07004555808656036,0.17027334851936218,0.12255125284738042,0.09043280182232347,8780.0
6559,E02006811,0.15646185300764015,0.06607123641450555,0.09394167653072205,0.07758527924244055,0.0645647261379533,0.06122888195415904,0.2535241579683633,0.14311847627246316,0.08350371247175294,9293.0
6560,E02006812,0.06692283061159142,0.07044508485430676,0.1516170349023375,0.15722062119756644,0.1292026897214217,0.057476785142491195,0.17515209734229908,0.11831572206211975,0.07364713416586616,6246.0
6561,E02006813,0.05078939529341674,0.07834375930890676,0.17560321715817695,0.2025618111408996,0.11751563896336015,0.05600238308013107,0.1428358653559726,0.10857908847184987,0.06776884122728627,6714.0
6562,E02006814,0.08562874251497006,0.0844311377245509,0.14535928143712576,0.1441616766467066,0.0657185628742515,0.05104790419161677,0.2026946107784431,0.13607784431137723,0.08488023952095808,6680.0
6563,E02006815,0.07023987145644439,0.05371284287845748,0.14541489727992654,0.18799495007460118,0.12728107425685756,0.0758636520142316,0.14346378973946977,0.1147710317915758,0.08125789050843567,8713.0
6564,E02006816,0.17480293182132486,0.044945374083805834,0.09224173696584152,0.08242290139676393,0.05780666574471027,0.052413220854653574,0.24450283501590375,0.1344212418752593,0.11644309224173696,7231.0
6565,E02006817,0.10709020238573917,0.036858329982576064,0.10253317249698432,0.12009114059777509,0.09181074922932583,0.22074788902291917,0.15895992494303712,0.09167671893848009,0.07023187240316311,7461.0
