,GEOGRAPHY_CODE,Any other combination of only UK identities,Any other combination of only UK identities ,British only identity,Cornish and British only identity,Cornish only identity,English and British only identity,English only identity,Irish and at least one UK identity,Irish only identity,Non-UK identity only,Northern Irish and British only identity,Northern Irish only identity,Other identity and at least one UK identity,Other identity only,Scottish and British only identity,Scottish only identity,Total: All usual residents,UK identity and non-UK identity,Welsh and British only identity,Welsh only identity
10,E02000012,0.0023455824863174357,0.0003474937016766571,0.6992442011988532,0.0,8.687342541916427e-05,0.04274172530622882,0.06671879072191816,0.0003474937016766571,0.002171835635479107,0.16427764746763965,0.00017374685083832854,0.00060811397793415,0.02397706541568934,0.16210581183216055,0.00017374685083832854,0.000955607679610807,11511.0,0.024324559117365998,0.0,0.0003474937016766571
11,E02000013,0.0028729516918493295,0.000638433709299851,0.5518195360715046,0.0,0.0,0.06927005745903383,0.12609065758672058,0.00021281123643328368,0.002766546073632688,0.22472866567354757,0.00010640561821664184,0.000638433709299851,0.02372845286231113,0.22196211959991488,0.00010640561821664184,0.001383273036816344,9398.0,0.023941264098744412,0.000638433709299851,0.000638433709299851
12,E02000014,0.0045611189945266575,0.0011149401986620718,0.5083113723900263,0.0,0.0,0.08240421650111494,0.14342185282789377,0.0007095073991485911,0.003851611595378066,0.23545509831745387,0.0003040745996351105,0.0009122237989053314,0.02463004257044395,0.2316034867220758,0.0007095073991485911,0.0015203729981755525,9866.0,0.02533954996959254,0.00010135819987837016,0.00040543279951348065
13,E02000015,0.002188183807439825,0.0,0.5731825917821541,0.0,0.0,0.07038657913931437,0.11062484804279114,0.00024313153415998054,0.0046194991490396305,0.2189399465110625,0.00012156576707999027,0.0009725261366399222,0.023826890347678095,0.21432044736202285,0.00024313153415998054,0.0008509603695599319,8226.0,0.024070021881838075,0.00024313153415998054,0.00036469730123997083
14,E02000016,0.002555124444023848,0.0004731711933377496,0.523138071354216,0.0,0.0,0.03425759439765307,0.03690735308034447,0.00028390271600264974,0.004542443456042396,0.3732374373048169,9.463423866754992e-05,0.0007570739093403993,0.029241979748272924,0.36869499384877447,0.0005678054320052995,0.0006624396706728494,10567.0,0.029525882464275576,9.463423866754992e-05,0.00028390271600264974
15,E02000017,0.0020805957074025404,0.0005475251861585633,0.5640604467805519,0.0,0.0,0.032194480946123524,0.04314498466929479,0.000657030223390276,0.0028471309680245293,0.3272010512483574,0.0002190100744634253,0.00010950503723171266,0.030004380201489267,0.3243539202803329,0.0,0.0012045554095488392,9132.0,0.030661410424879545,0.00010950503723171266,0.0005475251861585633
16,E02000018,0.0023029414843504657,0.0005233957918978332,0.5611849680728567,0.0,0.0,0.0680414529467183,0.10520255417146446,0.0007327541086569664,0.0023029414843504657,0.23908719773893017,0.00010467915837956663,0.00010467915837956663,0.02240133989322726,0.23678425625457972,0.0004187166335182665,0.0011514707421752329,9553.0,0.023134094001884226,0.0003140374751386999,0.0007327541086569664
17,E02000019,0.0015526343028671981,0.0003105268605734396,0.5559465893799813,0.0,0.0,0.07255977642066039,0.1193458234137253,0.0004140358140979195,0.004243867094503675,0.22482144705517026,0.0,0.0003105268605734396,0.025359693613497568,0.2205775799606666,0.0003105268605734396,0.0006210537211468792,9661.0,0.025773729427595485,0.0,0.0
18,E02000020,0.002276931834353209,0.00028461647929415115,0.581756083677245,0.0,0.0,0.04625017788529956,0.06354062900241925,0.0005692329585883023,0.0028461647929415115,0.2728760495232674,7.115411982353779e-05,0.0007115411982353779,0.032517432759356764,0.2700298847303259,0.00028461647929415115,0.0009250035577059912,14054.0,0.033086665717945066,0.0,0.00021346235947061336
19,E02000021,0.0021689497716894978,0.00022831050228310502,0.5453196347031963,0.0,0.0,0.0523972602739726,0.11084474885844749,0.0010273972602739725,0.0069634703196347035,0.25707762557077624,0.00022831050228310502,0.0009132420091324201,0.02968036529680365,0.25011415525114156,0.00011415525114155251,0.0006849315068493151,8760.0,0.030707762557077627,0.0009132420091324201,0.0005707762557077625
