,GEOGRAPHY_CODE,Not a student,Student,Total
92,E02000096,0.8068418856904463,0.1931581143095536,7191.0
93,E02000097,0.7819741532976827,0.21802584670231728,8976.0
94,E02000098,0.7707405177603853,0.2292594822396147,8305.0
95,E02000099,0.7607292492356471,0.23927075076435284,8831.0
96,E02000100,0.7798844801607232,0.22011551983927674,7964.0
97,E02000101,0.7487726787620064,0.2512273212379936,9370.0
98,E02000102,0.7127480223057969,0.2872519776942031,7711.0
99,E02000103,0.7554721030042918,0.24452789699570815,9320.0
100,E02000104,0.7959697732997482,0.2040302267002519,7146.0
101,E02000105,0.753572597360096,0.246427402639904,9167.0
102,E02000106,0.7589294904786412,0.24107050952135872,9715.0
103,E02000107,0.802433371958285,0.19756662804171496,10356.0
104,E02000108,0.7642145369284877,0.2357854630715123,6824.0
105,E02000110,0.7896440129449838,0.21035598705501618,7725.0
