,GEOGRAPHY_CODE,Divorced or civil partnership dissolved,Divorced or civil partnership dissolved: Divorced,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,Married or in a registered civil partnership,Married or in a registered civil partnership: In a registered civil partnership,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,Married or in a registered civil partnership: In a registered civil partnership: Same sex,Married or in a registered civil partnership: Married,Married or in a registered civil partnership: Married: Opposite sex,Married or in a registered civil partnership: Married: Same sex,Never married and never registered a civil partnership,"Separated, but still legally married or still legally in a civil partnership","Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership: Separated, but still married",Total: All usual residents aged 16 and over,Widowed or surviving civil partnership partner,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,Widowed or surviving civil partnership partner: Widowed
5805,E02006046,0.09020176711064222,0.0900698931821179,0.00013187392852433074,0.559804826585784,0.0021099828563892918,0.0015824871422919688,0.0005274957140973229,0.5576948437293947,0.5553211130159568,0.0023737307134379534,0.25675853883687194,0.02149545034946591,0.0,0.02149545034946591,7583.0,0.07173941711723593,0.0,0.07173941711723593
5806,E02006047,0.09791069233920524,0.09763758022668305,0.00027311211252219035,0.5454048887068141,0.0021848969001775228,0.00027311211252219035,0.0019117847876553326,0.5432199918066366,0.5418544312440257,0.0013655605626109518,0.2780281305475898,0.01925440393281442,0.0,0.01925440393281442,7323.0,0.0594018844735764,0.00027311211252219035,0.05912877236105421
5807,E02006048,0.08902480462113489,0.08885490995582739,0.00016989466530750936,0.5307509344206592,0.0008494733265375467,0.0003397893306150187,0.0005096839959225281,0.5299014610941216,0.5265035677879715,0.0033978933061501867,0.3015630309208291,0.016479782534828406,0.0005096839959225281,0.015970098538905877,5886.0,0.06218144750254842,0.00016989466530750936,0.06201155283724091
5808,E02006049,0.09836875926841325,0.09820398747734388,0.00016477179106936892,0.5437469105289174,0.002306805074971165,0.0013181743285549513,0.0009886307464162135,0.5414401054539463,0.5391333003789751,0.002306805074971165,0.26907233481627946,0.018783984181908058,0.0,0.018783984181908058,6069.0,0.0700280112044818,0.0,0.0700280112044818
5809,E02006050,0.12643678160919541,0.12601106853980418,0.0004257130693912303,0.37845891868880377,0.0031218958422023556,0.0008514261387824606,0.002270469703419895,0.37533702284660136,0.3724989357173265,0.0028380871292748686,0.3996026678019015,0.02965801050092238,0.0,0.02965801050092238,7047.0,0.06584362139917696,0.0,0.06584362139917696
5810,E02006051,0.09184392167910974,0.09170305676855896,0.0001408649105507818,0.5357092548246232,0.0018312438371601634,0.0001408649105507818,0.0016903789266093816,0.533878010987463,0.5302155233131427,0.003662487674320327,0.283420200028173,0.017748978729398505,0.0004225947316523454,0.01732638399774616,7099.0,0.07127764473869559,0.0001408649105507818,0.07113677982814481
5811,E02006052,0.09835315645013723,0.09820067093626106,0.00015248551387618176,0.5208905154010369,0.003812137846904544,0.000609942055504727,0.003202195791399817,0.5170783775541323,0.5147910948459896,0.0022872827081427266,0.28956999085086915,0.019518145776151265,0.0,0.019518145776151265,6558.0,0.07166819152180542,0.0,0.07166819152180542
5812,E02006053,0.11319460324719872,0.11308026526412074,0.0001143379830779785,0.44065858678252917,0.0024010976446375487,0.000686027898467871,0.0017150697461696775,0.4382574891378916,0.43551337754402014,0.002744111593871484,0.36462382803567345,0.02504001829407729,0.0003430139492339355,0.024697004344843357,8746.0,0.05648296364052138,0.0,0.05648296364052138
5813,E02006054,0.12763875297078148,0.12763875297078148,0.0,0.44988116874038864,0.0034950370473927025,0.001398014818957081,0.0020970222284356216,0.44638613169299596,0.445407521319726,0.0009786103732699566,0.3016915979309381,0.024605060813644625,0.0,0.024605060813644625,7153.0,0.09618341954424717,0.0,0.09618341954424717
5814,E02006055,0.11267605633802817,0.11240520043336945,0.00027085590465872155,0.4420368364030336,0.0020314192849404116,0.00027085590465872155,0.0017605633802816902,0.44000541711809316,0.4379739978331528,0.0020314192849404116,0.36836403033586135,0.023835319609967497,0.0,0.023835319609967497,7384.0,0.05308775731310943,0.00013542795232936077,0.052952329360780065
5815,E02006056,0.10064734895191121,0.10064734895191121,0.0,0.5346794081381011,0.0032367447595561035,0.0006165228113440197,0.0026202219482120838,0.531442663378545,0.5278976572133169,0.0035450061652281136,0.2842170160295931,0.019574599260172628,0.0,0.019574599260172628,6488.0,0.06088162762022195,0.0,0.06088162762022195
5816,E02006057,0.152183908045977,0.15187739463601532,0.0003065134099616858,0.3943295019157088,0.0036781609195402297,0.0009195402298850574,0.002758620689655172,0.3906513409961686,0.3852873563218391,0.0053639846743295016,0.3524904214559387,0.029425287356321838,0.0004597701149425287,0.028965517241379312,6525.0,0.07157088122605364,0.0001532567049808429,0.0714176245210728
5817,E02006058,0.08095171054484021,0.08081092496128396,0.00014078558355624384,0.5111924538927214,0.0016894270026749261,0.0005631423342249754,0.0011262846684499507,0.5095030268900465,0.5071096719695903,0.002393354920456145,0.32971983668872307,0.01872448261298043,0.0,0.01872448261298043,7103.0,0.0594115162607349,0.00042235675066873153,0.05898915951006617
