,GEOGRAPHY_CODE,Household reference person has not previously served in regular or reserve UK armed forces,Household reference person previously served in both regular and reserve UK armed forces,Household reference person previously served in regular UK armed forces,Household reference person previously served in reserve UK armed forces,Total: All households
5852,E02006093,0.917373939091363,0.004742885671492761,0.06789815277084374,0.00998502246630055,4006.0
5853,E02006094,0.8811759902000816,0.004899959167006942,0.1000408329930584,0.013883217639853002,2449.0
5854,E02006095,0.9181467181467181,0.002574002574002574,0.0694980694980695,0.009781209781209782,3885.0
5855,E02006096,0.9239130434782609,0.002173913043478261,0.06521739130434782,0.008695652173913044,3220.0
5856,E02006097,0.9242085065558043,0.004796929964822514,0.06044131755676367,0.01055324592260953,3127.0
5857,E02006098,0.9059254734270006,0.005192425167990226,0.07635919364691508,0.012522907758094075,3274.0
5858,E02006099,0.9171177266576455,0.004736129905277402,0.06529093369418133,0.012855209742895805,2956.0
5859,E02006100,0.9130303942220884,0.003912127595546194,0.0695154980439362,0.01354198013842913,3323.0
5860,E02006101,0.9241406558672461,0.005136309758988542,0.060450414855788226,0.010272619517977083,2531.0
5861,E02006102,0.908284023668639,0.005917159763313609,0.07363576594345825,0.012163050624589087,3042.0
5862,E02006103,0.9048307781313277,0.00404975412207116,0.07463118310673995,0.016488284639861153,3457.0
5863,E02006104,0.9317980513728964,0.00354295837023915,0.05602302922940655,0.008635961027457928,4516.0
5864,E02006105,0.9373040752351097,0.0029503964595242486,0.049603540475751426,0.010141987829614604,5423.0
5865,E02006106,0.9182174338883448,0.0039177277179236044,0.06758080313418217,0.01028403525954946,4084.0
5866,E02006107,0.9301939058171745,0.004986149584487534,0.05457063711911357,0.010249307479224376,3610.0
5867,E02006108,0.9173387096774194,0.00492831541218638,0.06563620071684588,0.012096774193548387,4464.0
5868,E02006109,0.9011406844106464,0.004387247733255338,0.0804328751096812,0.014039192746417082,3419.0
5869,E02006110,0.920796364423285,0.004328067517853278,0.06254057563297988,0.012334992425881843,4621.0
5870,E02006111,0.9045562513496005,0.0056143381559058516,0.07838479809976247,0.011444612394731159,4631.0
5871,E02006112,0.9157986111111112,0.00318287037037037,0.06655092592592593,0.014467592592592593,3456.0
5872,E02006113,0.910908052541405,0.004283266704740148,0.0693889206167904,0.015419760137064534,3502.0
5873,E02006114,0.9080039853869146,0.0036532713384257723,0.07472600464961807,0.013616738625041515,3011.0
5874,E02006115,0.9064587973273942,0.004454342984409799,0.0757238307349666,0.013363028953229399,3592.0
5875,E02006116,0.9107388080197748,0.006316945893985169,0.06619060697610546,0.01675363911013458,3641.0
5876,E02006117,0.9127218934911243,0.004807692307692308,0.06915680473372782,0.013313609467455622,2704.0
5877,E02006118,0.9302178718029681,0.001894537417113988,0.05557309756867698,0.012314493211240922,3167.0
5878,E02006119,0.9325717470047367,0.0030649205906937865,0.05461131234327111,0.009752020061298413,3589.0
5879,E02006120,0.9329252741647539,0.003570517725070135,0.05483295077786279,0.008671257332313186,3921.0
5880,E02006121,0.9467665615141956,0.0015772870662460567,0.043769716088328074,0.007886435331230283,2536.0
