,GEOGRAPHY_CODE,Disabled under the Equality Act,Disabled under the Equality Act: Day-to-day activities limited a little,Disabled under the Equality Act: Day-to-day activities limited a lot,Not disabled under the Equality Act,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,Not disabled under the Equality Act: No long term physical or mental health conditions,Total: All usual residents
68,E02000071,0.15200104288880198,0.09359926997783861,0.05840177291096337,0.847998957111198,0.05761960630947725,0.7903793508017207,7671.0
69,E02000072,0.15536985453419994,0.08611884865366759,0.06925100588053235,0.8446301454658001,0.04688950789229341,0.7977406375735067,12924.0
70,E02000073,0.124743613649077,0.07244079806078688,0.052302815588290134,0.875256386350923,0.05948163341413388,0.8157747529367891,10726.0
71,E02000074,0.17955084076289357,0.09660309220178309,0.08294774856111048,0.8204491592371064,0.053154271526915695,0.7672948877101907,8861.0
72,E02000075,0.14350112697220135,0.08477335336839469,0.05872777360380666,0.8564988730277987,0.0674931129476584,0.7890057600801402,7986.0
73,E02000077,0.14984033407025302,0.08609678211741587,0.06374355195283714,0.850159665929747,0.05600589535740604,0.7941537705723409,8142.0
74,E02000078,0.14022698612862547,0.08650693568726356,0.05372005044136192,0.8597730138713745,0.07162673392181589,0.7881462799495587,7930.0
75,E02000079,0.1594434306569343,0.08553832116788321,0.0739051094890511,0.8405565693430657,0.06113138686131387,0.7794251824817519,8768.0
76,E02000080,0.13010229417022545,0.07875657960075479,0.05134571456947065,0.8698977058297745,0.05700665408680107,0.8128910517429735,10069.0
77,E02000081,0.16451884860893654,0.09081055040346862,0.0737082982054679,0.8354811513910635,0.062266650608213896,0.7732145007828496,8303.0
78,E02000082,0.11694152923538231,0.06960805311629899,0.04733347611908332,0.8830584707646177,0.05932747911758406,0.8237309916470337,9338.0
79,E02000083,0.15696539485359362,0.08793256433007986,0.06903283052351375,0.8430346051464064,0.05723158828748891,0.7858030168589175,11270.0
80,E02000084,0.1264957264957265,0.07791273054430949,0.048582995951417005,0.8735042735042735,0.05982905982905983,0.8136752136752137,11115.0
