,GEOGRAPHY_CODE,All other sexual orientations,Bisexual,Gay or Lesbian,Not answered,Straight or Heterosexual,Total: All usual residents aged 16 years and over
3719,E02003885,0.0018796992481203006,0.006766917293233083,0.011278195488721804,0.05244360902255639,0.9276315789473685,5320.0
3720,E02003886,0.0017172295363480253,0.00896775424537302,0.013737836290784202,0.06315588628124404,0.9124212936462507,5241.0
3721,E02003887,0.0024831500532103584,0.00833628946434906,0.016495211067754523,0.04717985101099681,0.9255054984036892,5638.0
3722,E02003888,0.002642007926023778,0.010756746555953954,0.014153613889413098,0.07454236648424231,0.8979052651443669,5299.0
3723,E02003889,0.0016187778227438284,0.010319708619991905,0.015985430999595304,0.060299473897207606,0.9117766086604614,4942.0
3724,E02003890,0.002113792496036639,0.010040514356174035,0.016734190593623393,0.0512594680288885,0.9198520345252774,5677.0
3725,E02003891,0.0011179429849077697,0.004658095770449041,0.006707657909446618,0.05645612073784237,0.9310601825973542,5367.0
3726,E02003892,0.0020869565217391303,0.009565217391304347,0.01408695652173913,0.07965217391304348,0.8946086956521739,5750.0
3727,E02003893,0.0012282856641516056,0.007720652746095806,0.014213019828040007,0.08229513949815757,0.894542902263555,5699.0
3728,E02003894,0.0029965753424657533,0.008418949771689497,0.014412100456621004,0.07006278538812785,0.9041095890410958,7008.0
3729,E02003895,0.002068519715578539,0.010213316095669037,0.012669683257918552,0.0764059469941823,0.8986425339366516,7735.0
3730,E02003896,0.002612540192926045,0.01527331189710611,0.019091639871382637,0.08762057877813505,0.8754019292604501,4976.0
3731,E02003897,0.002646085997794928,0.007717750826901874,0.008599779492833517,0.06063947078280044,0.9203969128996692,4535.0
3732,E02003898,0.001718213058419244,0.009621993127147767,0.010309278350515464,0.0640893470790378,0.9142611683848797,5820.0
3733,E02003899,0.0020491803278688526,0.008879781420765027,0.01343351548269581,0.06898907103825136,0.906648451730419,4392.0
3734,E02003900,0.004609868533378863,0.00939047293836435,0.01639064367423596,0.0570257811166126,0.9125832337374082,5857.0
3735,E02003901,0.0023723137036003347,0.009210159084566006,0.010745185598660341,0.07647222997488139,0.901200111638292,7166.0
3736,E02003902,0.0024937655860349127,0.012468827930174564,0.012468827930174564,0.06597143504874178,0.9065971435048742,4411.0
3737,E02003903,0.0018846588767433095,0.01394647568790049,0.0079155672823219,0.06671692423671316,0.9095363739163211,5306.0
3738,E02003904,0.001112842198976185,0.007789895392833296,0.012686401068328511,0.06409971066102826,0.9143111506788337,4493.0
3739,E02003905,0.002230610844200412,0.008064516129032258,0.012354152367879203,0.07189430336307481,0.9054564172958133,5828.0
3740,E02003906,0.0013220018885741266,0.010953729933899906,0.013220018885741265,0.07573182247403211,0.8987724268177526,5295.0
3741,E02003907,0.002313141535347694,0.010264565563105392,0.009975422871186931,0.07185195894173775,0.9055949110886222,6917.0
3742,E02003908,0.003015941404566997,0.012350998132988655,0.01579778830963665,0.07597300014361626,0.8928622720091914,6963.0
3743,E02003909,0.00212266785833985,0.01184225226231706,0.014076639481622166,0.07786839459278293,0.894090045804938,8951.0
3744,E02003910,0.004786324786324786,0.019487179487179488,0.023418803418803417,0.06871794871794872,0.8835897435897436,5850.0
3745,E02003911,0.002339485313231089,0.007538341564855732,0.009227969846633741,0.06433584611385496,0.9165583571614245,7694.0
3746,E02003912,0.0021337126600284497,0.010668563300142247,0.010099573257467994,0.07510668563300142,0.9019914651493599,7030.0
3747,E02003913,0.002543035993740219,0.006455399061032864,0.007042253521126761,0.07413928012519562,0.9098200312989045,5112.0
3748,E02003914,0.012448132780082987,0.04439834024896266,0.02199170124481328,0.08838174273858922,0.8327800829875519,7230.0
3749,E02003915,0.012602132668605456,0.05068550062318238,0.020080321285140562,0.09444675252735078,0.8221852928957208,7221.0
3750,E02003916,0.011882716049382716,0.055092592592592596,0.023919753086419752,0.09104938271604938,0.8180555555555555,6480.0
3751,E02003917,0.0024763292061179896,0.014420975965040059,0.012672978878368536,0.07822286962855061,0.8922068463219228,6865.0
3752,E02003918,0.002149826360178601,0.008433934182239127,0.01273358690259633,0.06201422192822888,0.9146684306267571,6047.0
3753,E02003919,0.004981733643307871,0.014945200929923613,0.013118565260710728,0.08053802723347725,0.8864164729325805,6022.0
3754,E02003920,0.0038524225811231295,0.01570603052304045,0.015557860423766483,0.08149355460068158,0.8833901318713884,6749.0
3755,E02003921,0.0070315469403268716,0.008931965032307108,0.014253135689851768,0.07164576206765488,0.8981375902698594,5262.0
3756,E02003922,0.002474907190980338,0.009762133919978001,0.012649525642788395,0.07163481369448646,0.9034786195517668,7273.0
3757,E02003923,0.0019922964537123122,0.018063487846991633,0.020055784300703944,0.08380927081949795,0.8760791605790942,7529.0
3758,E02003924,0.0019305019305019305,0.013352638352638353,0.00933075933075933,0.08027670527670527,0.8951093951093951,6216.0
3759,E02003925,0.0016980811682798438,0.013414841229410767,0.015282730514518594,0.08218712854474444,0.8874172185430463,5889.0
3760,E02003926,0.0015804597701149425,0.008620689655172414,0.01192528735632184,0.06724137931034482,0.910632183908046,6960.0
