,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_UKFORCEVET_6_NAME,OBS_VALUE
102,2021,E02002505,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,40
103,2021,E02002505,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,7
104,2021,E02002505,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4500
105,2021,E02002506,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4404
106,2021,E02002506,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,126
107,2021,E02002506,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,38
108,2021,E02002506,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,8
109,2021,E02002506,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4232
110,2021,E02002507,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5060
111,2021,E02002507,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,167
112,2021,E02002507,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,54
113,2021,E02002507,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,12
114,2021,E02002507,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4827
115,2021,E02002508,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4468
116,2021,E02002508,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,184
117,2021,E02002508,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,48
118,2021,E02002508,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,11
119,2021,E02002508,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4225
120,2021,E02002509,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4118
121,2021,E02002509,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,146
122,2021,E02002509,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,40
123,2021,E02002509,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,6
124,2021,E02002509,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,3926
125,2021,E02002510,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5855
126,2021,E02002510,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,191
127,2021,E02002510,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,51
128,2021,E02002510,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,12
129,2021,E02002510,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5601
130,2021,E02002512,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4472
131,2021,E02002512,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,162
132,2021,E02002512,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,53
133,2021,E02002512,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,9
134,2021,E02002512,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4248
135,2021,E02002513,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,8249
136,2021,E02002513,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,330
137,2021,E02002513,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,88
138,2021,E02002513,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,12
139,2021,E02002513,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,7819
140,2021,E02002514,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6942
141,2021,E02002514,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,290
142,2021,E02002514,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,82
143,2021,E02002514,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,24
144,2021,E02002514,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,6546
145,2021,E02006811,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,9293
146,2021,E02006811,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,320
147,2021,E02006811,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,93
148,2021,E02006811,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,15
149,2021,E02006811,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,8865
150,2021,E02002515,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5464
151,2021,E02002515,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,315
152,2021,E02002515,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,61
153,2021,E02002515,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,11
154,2021,E02002515,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5077
155,2021,E02002516,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4656
156,2021,E02002516,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,233
157,2021,E02002516,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,50
158,2021,E02002516,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,15
159,2021,E02002516,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4358
160,2021,E02002517,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4284
161,2021,E02002517,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,236
162,2021,E02002517,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,61
163,2021,E02002517,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,15
164,2021,E02002517,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,3972
165,2021,E02002518,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,9098
166,2021,E02002518,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,504
167,2021,E02002518,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,97
