,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RESUK_6_NAME,OBS_VALUE
281,2021,E02002534,2021 super output areas - middle layer,152,Less than 2 years,10
282,2021,E02006812,2021 super output areas - middle layer,152,Total: All usual residents,7601
283,2021,E02006812,2021 super output areas - middle layer,152,Born in the UK,7393
284,2021,E02006812,2021 super output areas - middle layer,152,10 years or more,157
285,2021,E02006812,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",18
286,2021,E02006812,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",18
287,2021,E02006812,2021 super output areas - middle layer,152,Less than 2 years,15
288,2021,E02006910,2021 super output areas - middle layer,152,Total: All usual residents,10615
289,2021,E02006910,2021 super output areas - middle layer,152,Born in the UK,10076
290,2021,E02006910,2021 super output areas - middle layer,152,10 years or more,269
291,2021,E02006910,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",61
292,2021,E02006910,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",128
293,2021,E02006910,2021 super output areas - middle layer,152,Less than 2 years,81
294,2021,E02002535,2021 super output areas - middle layer,152,Total: All usual residents,9165
295,2021,E02002535,2021 super output areas - middle layer,152,Born in the UK,8941
296,2021,E02002535,2021 super output areas - middle layer,152,10 years or more,171
297,2021,E02002535,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",23
298,2021,E02002535,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",15
299,2021,E02002535,2021 super output areas - middle layer,152,Less than 2 years,15
300,2021,E02002536,2021 super output areas - middle layer,152,Total: All usual residents,9329
301,2021,E02002536,2021 super output areas - middle layer,152,Born in the UK,9061
302,2021,E02002536,2021 super output areas - middle layer,152,10 years or more,188
303,2021,E02002536,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",41
304,2021,E02002536,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",17
305,2021,E02002536,2021 super output areas - middle layer,152,Less than 2 years,22
306,2021,E02002537,2021 super output areas - middle layer,152,Total: All usual residents,8365
307,2021,E02002537,2021 super output areas - middle layer,152,Born in the UK,8056
308,2021,E02002537,2021 super output areas - middle layer,152,10 years or more,217
309,2021,E02002537,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",51
310,2021,E02002537,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",27
311,2021,E02002537,2021 super output areas - middle layer,152,Less than 2 years,14
312,2021,E02002538,2021 super output areas - middle layer,152,Total: All usual residents,5638
313,2021,E02002538,2021 super output areas - middle layer,152,Born in the UK,5471
314,2021,E02002538,2021 super output areas - middle layer,152,10 years or more,112
315,2021,E02002538,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",29
316,2021,E02002538,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",14
317,2021,E02002538,2021 super output areas - middle layer,152,Less than 2 years,12
318,2021,E02002539,2021 super output areas - middle layer,152,Total: All usual residents,10538
319,2021,E02002539,2021 super output areas - middle layer,152,Born in the UK,10045
320,2021,E02002539,2021 super output areas - middle layer,152,10 years or more,406
321,2021,E02002539,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",42
322,2021,E02002539,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",28
323,2021,E02002539,2021 super output areas - middle layer,152,Less than 2 years,17
324,2021,E02002540,2021 super output areas - middle layer,152,Total: All usual residents,6064
325,2021,E02002540,2021 super output areas - middle layer,152,Born in the UK,5904
326,2021,E02002540,2021 super output areas - middle layer,152,10 years or more,129
327,2021,E02002540,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",10
